FeatureID,Name,Formula,MW,KEGG Pathways,name4plot,C,H,O,NA,F,N,Cl,P,S,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,gap_status,control_means,treatment_means,log2FC,pval,pval.adj,Comment,isolate
Feature0550,NA,C23 H38 O5,354.27704,NA,Feature0550,23,38,5,0,0,0,0,0,0,1.652173913,0.217391304,-1.217391304,94.99565217,5,0,0,0.12195122,0,Lipid,Full gap,21.59930289,27.90735316,6.308050269,4.04E-16,4.04E-15,Upregulated,1154
Feature0548,NA,C14 H10 F N O2,243.07186,NA,Feature0548,14,10,2,0,1,1,0,0,0,0.714285714,0.142857143,-0.214285714,66.40714286,10.5,8.5,0.681818182,0.708333333,7.5,CondensedHC,Full gap,19.664149,28.27648359,8.612334582,2.69E-12,1.16E-11,Upregulated,1154
Feature0547,NA,C8 H15 N O4,189.10013,NA,Feature0547,8,15,4,0,0,1,0,0,0,1.875,0.5,-0.5,74.55,2,-2,-1,-0.2,-3,Protein,Full gap,21.13139977,22.03686254,0.90546277,0.019636958,0.026150913,Upregulated,1154
Feature0546,NA,C19 H22 Cl2 N6 O,420.12438,NA,Feature0546,20,22,1,0,0,6,2,0,0,1.1,0.05,-0.1,63.15,13,12,0.461538462,0.481481481,6,UnsaturatedHC,Full gap,28.90455349,19.88971961,-9.014833871,5.17E-17,6.32E-16,Downregulated,1154
Feature0544,NA,C14 H10 F N O2,221.08991,Metabolic pathways;ABC transporters;Other,Feature0544,14,10,2,0,1,1,0,0,0,0.714285714,0.142857143,-0.214285714,66.40714286,10.5,8.5,0.681818182,0.708333333,7.5,CondensedHC,Full gap,20.96475145,26.81755721,5.852805754,1.97E-17,2.47E-16,Upregulated,1154
Feature0543,NA,C5 H14 N O6 P,215.05586,Metabolic pathways;Other,Feature0543,5,14,6,0,0,1,0,1,0,2.8,1.2,-0.8,83.1,0,-6,2.666666667,#NAME?,-8,Other,Full gap,22.29831879,25.1103323,2.812013512,2.30E-11,8.80E-11,Upregulated,1154
Feature0542,NA,C23 H38 O5,376.259,NA,Feature0542,23,38,5,0,0,0,0,0,0,1.652173913,0.217391304,-1.217391304,94.99565217,5,0,0,0.12195122,0,Lipid,Full gap,20.62265808,26.64242889,6.01977081,1.34E-14,9.55E-14,Upregulated,1154
Feature0541,NA,C14 H10 F N O2,243.07186,NA,Feature0541,14,10,2,0,1,1,0,0,0,0.714285714,0.142857143,-0.214285714,66.40714286,10.5,8.5,0.681818182,0.708333333,7.5,CondensedHC,Full gap,19.3177337,27.67297118,8.35523748,9.04E-16,8.29E-15,Upregulated,1154
Feature0539,NA,C4 H2 O8 S2,241.91814,NA,Feature0539,4,2,8,0,0,0,0,0,2,0.5,2,4.5,-67.95,4,-4,1,1,-6,Other,Full gap,26.33901528,26.68644843,0.347433156,8.84E-06,1.72E-05,Upregulated,1154
Feature0538,NA,C10 H19 N O8,281.11106,NA,Feature0538,10,19,8,0,0,1,0,0,0,1.9,0.8,0,60.3,2,-6,-7,-0.6,-7,Carbohydrate,Full gap,25.60366154,24.60330995,-1.000351585,2.08E-04,3.63E-04,Downregulated,1154
Feature0537,NA,C12 H12 N2 O S,232.07112,NA,Feature0537,12,12,1,0,0,2,0,0,1,1,0.083333333,-0.166666667,65.05,8,7,0.5,0.529411765,4,UnsaturatedHC,Full gap,26.26410567,26.72937794,0.465272264,0.016174262,0.02175023,Upregulated,1154
Feature0535,NA,C23 H40 N2 O3,370.31962,NA,Feature0535,23,40,3,0,0,2,0,0,0,1.739130435,0.130434783,-1.217391304,94.99565217,5,2,0,0.076923077,0,Lipid,Full gap,26.38135673,26.882398,0.501041275,2.87E-04,4.88E-04,Upregulated,1154
Feature0534,NA,C19 H20 N4 O2,336.16458,NA,Feature0534,19,20,2,0,0,4,0,0,0,1.052631579,0.105263158,-0.210526316,66.3,12,10,0.461538462,0.5,6,UnsaturatedHC,Full gap,25.0938037,26.05660183,0.962798126,1.74E-09,5.23E-09,Upregulated,1154
Feature0533,NA,C2 H3 P S,89.96937,NA,Feature0533,2,3,0,0,0,0,0,1,1,1.5,0,-3,145.8,2,2,NA,NA,0,Lipid,Full gap,25.88303453,26.40947552,0.526440991,6.95E-07,1.53E-06,Upregulated,1154
