"","10plus_RP_pos_MS2","11plus_RP_pos_MS2","12plus_RP_pos_MS2","13plus_RP_pos_MS2","14plus_RP_pos_MS2","15plus_RP_pos_MS2","16plus_RP_pos_MS2","17plus_RP_pos_MS2","18plus_RP_pos_MS2","19plus_RP_pos_MS2","1plus_RP_pos_MS2","20plus_RP_pos_MS2","21plus_RP_pos_MS2","22plus_RP_pos_MS2","24plus_RP_pos_MS2","25plus_RP_pos_MS2","26plus_RP_pos_MS2","27plus_RP_pos_MS2","28plus_RP_pos_MS2","29plus_RP_pos_MS2","2plus_RP_pos_MS2","30plus_RP_pos_MS2","31plus_RP_pos_MS2","32plus_RP_pos_MS2","33plus_RP_pos_MS2","34plus_RP_pos_MS2","35plus_RP_pos_MS2","36plus_RP_pos_MS2","37plus_RP_pos_MS2","38plus_RP_pos_MS2","39plus_RP_pos_MS2","3plus_RP_pos_MS2","40plus_RP_pos_MS2","41plus_RP_pos_MS2","42plus_RP_pos_MS2","43plus_RP_pos_MS2","44plus_RP_pos_MS2","45plus_RP_pos_MS2","46plus_RP_pos_MS2","47plus_RP_pos_MS2","48plus_RP_pos_MS2","49plus_RP_pos_MS2","4plus_RP_pos_MS2","50plus_RP_pos_MS2","51plus_RP_pos_MS2","52plus_RP_pos_MS2","53plus_RP_pos_MS2","54plus_RP_pos_MS2","55plus_RP_pos_MS2","56plus_RP_pos_MS2","57plus_RP_pos_MS2","58plus_RP_pos_MS2","59plus_RP_pos_MS2","5plus_RP_pos_MS2","60plus_RP_pos_MS2","6plus_RP_pos_MS2","7plus_RP_pos_MS2","8plus_RP_pos_MS2","9plus_RP_pos_MS2"
"Feature0001",26.379524990436,25.7558822918622,25.6065149437733,25.3544623963621,27.1370022347878,27.2971878466512,27.0813002970053,26.2721260358965,28.3499807197315,26.5161159361672,25.6338995465494,25.6791031547569,25.9416299759608,26.6293551091037,25.1108973664158,27.0046919511676,25.8119874299512,28.613612376748,27.0226529620506,25.8521621049101,27.3359287434759,25.7115747366022,26.9172742206885,27.1778021681408,28.6496757661705,27.404367400168,25.6683921597385,27.1544966435912,25.869208104552,28.8015657029768,25.0700927771482,25.382464922304,27.0536931956756,27.0356659368217,25.70567084277,25.4764158160169,25.4436127419998,26.1017970153428,25.0443912675553,26.0822083033278,26.8250375914564,25.2152389761394,25.537385916247,25.3484654902579,25.7364816624789,25.5486387194719,24.9600485871157,27.0295034613642,27.1327467814178,26.5064736574953,26.618415523973,25.9615801828359,26.6084335254994,26.4671548793838,26.4139544361547,26.7036642981809,25.3534741239163,26.0431178617421,25.6267177524923
"Feature0002",23.6185036166194,23.1441862313491,23.9024541045452,23.1757012496999,23.893408463914,23.4892653778389,22.3227664146386,22.7954866290964,24.4713963745903,23.0221799440778,24.3569749022508,21.6573476934618,23.2493639736706,23.931101875655,24.5395791616185,22.6830882563418,22.5798333024428,25.7138177012143,20.6527046261149,22.476637917302,21.7336794829642,21.5480596507391,21.6919890677,21.489832810764,25.8451377310035,26.6636508746628,22.978513641703,22.4170556077626,23.1694545516195,25.8909829624349,24.707755561135,23.4977437814944,22.1822099571438,21.6716505401356,23.3153114322642,22.8860710694752,23.9024624651042,24.1957994285442,23.5207226789678,22.8621101101507,22.616777737535,23.6443805188462,22.4047586755585,26.5261092742085,23.3386694340691,22.2116605191273,25.4607982043204,20.8591393109292,21.3268626299341,22.1892927680832,22.5101012063295,22.261638621718,23.7017285887672,24.4599905359703,22.7969074661445,23.2788267502413,23.7357195589701,23.3421835468023,23.7241069774509
"Feature0003",28.5059499741897,30.6739627519221,26.5415110418595,30.4980806093476,29.2706210364828,29.2021325226578,31.414704756076,32.0125988382909,24.4893984103611,30.4354293660768,27.1698915459483,27.3197827910067,28.6736583572868,32.0181642295894,26.1922027456888,31.4108818266131,30.5636859820734,27.2508819692675,31.6380385350113,30.5042330816031,31.5932497693238,27.6895812467459,31.6169084761149,31.4503360741514,27.2658734085822,25.6838286376202,30.4910794726742,31.4421725482813,30.5649382473759,27.2177014568656,26.7719844135101,26.3622800856275,31.5023366614636,29.5802345692756,26.3792928032113,26.2603396203024,26.9060381888769,27.0428469070493,26.2867571429614,28.7363369779007,31.9235859165172,30.6120494524351,30.6859517291039,30.734002515724,30.8224328451002,30.2490354214632,26.6661595275296,31.6381659878188,31.350848306612,30.7180802137284,30.8929148766251,27.7701905314779,28.0990496581182,26.8064929492122,31.1938803094425,28.8392896576813,26.9858076254954,30.4719694679122,26.7204474866247
"Feature0004",23.9615226332098,27.3868934609051,24.7745716511466,27.4764909993627,24.3036052074303,23.8745771432587,25.1060010999463,18.6638487273636,22.7207438460143,26.5578165996743,23.4046454761117,24.4406815389531,24.3386053765758,23.4795383655839,24.42335445309,18.1416963518526,23.55218850816,22.8500177933416,25.1917327953395,23.7042281043666,26.2696333828897,23.5690230805702,25.498667750495,24.9887949847226,24.6412103974474,22.3081191691326,24.5944603376612,24.388608385987,26.7810898341541,23.1500408780369,22.1078009986397,24.8855265784373,25.0105746875536,25.8755294068036,24.1632952627098,24.0044983996708,24.6552771244602,24.5464371354778,24.4758176262445,24.0118559891617,18.4000006441494,19.4695305367493,23.9065118027043,20.8346276176909,27.5310786019042,26.2296287701018,21.9462726278866,22.2290836808952,17.9245233899637,26.646905414445,27.2410094753133,24.5515314469866,24.5648771773143,24.3271772947604,27.7742271735839,24.4947784978966,24.1512474433086,27.519108335383,24.5190584938601
"Feature0005",23.4386219426226,23.3551383524616,22.8911579882736,22.9611518969696,23.7661870024955,23.4430699706026,22.5197150800505,22.5967042616545,23.4028069695991,24.4387533323831,23.9616284570463,24.1950081509465,23.8902437675675,23.3564756084874,23.5288203639556,22.6560768112105,22.9358645438309,25.9153892681674,22.941246461484,23.7886955887521,22.7262420104414,24.6226858660127,23.0375197114934,22.4538022028109,26.4261187989162,26.0655792294572,22.7180256721846,22.387635395287,21.6848645559374,25.359843301647,22.8965790685781,23.980171601971,22.8892310464892,22.5841557278819,24.5314734579084,23.6897522776496,23.6727878041459,23.4489732866791,24.1163917375204,23.6744634329128,23.5816997911908,22.2622914962032,23.4665245435291,23.7126902552351,23.1809820314878,24.2209611645359,24.4547694369778,23.2132540773353,22.590220223185,24.4322942729329,23.5267032984193,23.8339633086197,22.9257387025341,23.877264197316,24.3706824982225,23.8038526311654,24.0695752913875,23.1569415140892,24.5611966129434
"Feature0006",25.4592509065938,25.3357105202323,25.0815312016151,25.5880346015724,25.3265321519339,26.3338529033489,25.9156187860488,24.5968316255502,23.3865298426216,26.1703404864939,26.1536025298523,25.7045067025755,26.2779544859475,24.9124321964684,25.3777855138096,25.1180701944207,25.8645978852615,24.8380007433983,25.299150190261,26.334247357558,25.4918047425767,25.7120648664312,24.9919877624849,25.4531698296831,24.2552818813598,21.8958901254409,26.3005319558683,25.2633129813243,26.3378252460009,24.5510823441164,25.3441381810422,26.3140867057556,25.0625732114773,25.279958677593,25.551107346629,25.6596492457858,26.2183634801751,26.4268863516391,25.6375876558739,26.8443076674754,24.5841792953291,25.88423511904,26.0535431458199,24.9768579249636,25.3261618610573,26.6038056397137,24.9515349073552,25.1648233033106,25.6185422664546,26.838128175883,26.2355956853798,26.3722542686121,26.1936057382081,25.7099705592962,24.2281360283814,26.1730766483228,25.5428829418796,25.7949566759431,25.3725469572894
"Feature0007",27.4529083648692,25.9118459679398,26.782146009392,25.828572401031,26.8918309330267,27.6598432509748,27.6749649587536,26.9580178948975,27.728067825459,26.1389243492073,27.4399045117289,27.1213416897405,27.8569117564733,26.7656639705039,27.2441675647771,27.5871216112673,25.8416982685268,27.8188449980288,27.3751937570001,26.6372300910744,27.6855664328495,27.1911224271961,27.2835335898916,27.6215758281766,27.8132856753762,27.8531660945228,26.6368108668988,27.5795103106011,26.2460845841626,27.8197582267963,26.8204015861396,28.0910338014274,27.4628587351016,27.5225048928393,27.4213003446924,27.1970528934373,27.9578194261955,28.1761280464196,27.4222590102048,28.0761674585451,26.928296513298,27.0321464863977,26.0793155625676,26.3023227887147,25.7544080764981,26.8677212180789,26.9041471589209,27.2751604880024,27.5298455355866,27.427452749703,25.6460351223349,27.935810412974,28.2657984543439,28.0065694353946,24.8949240499932,28.2339964280205,27.7456708641424,26.6027292146939,27.1028802751767
"Feature0008",23.1583001967864,24.6153448765264,24.5518479725668,24.395613732965,24.0674835438702,24.7017877324165,23.7470079797972,23.3581594357272,24.6494748495753,24.4480700041858,25.3692296326171,25.4624742478136,23.5058985022541,23.559293794471,24.2180879876894,23.5484771817987,24.2205164894115,23.4692283902527,23.3495745912911,23.9802199835563,23.4241131559116,25.1855912036903,23.3141253341306,23.4883609833602,23.2434764281933,21.6973526869806,24.8829679068549,23.6097595865837,24.9950679821101,22.9131499561447,25.0076232156282,24.0684356765069,23.3832424558747,23.4103973948881,25.0264268203351,25.763925237276,24.7225516001093,24.6738197461595,23.731065160605,24.4150596831792,23.1765557329607,24.0017368267584,24.0644710077362,23.0875349035379,24.4284543887952,24.1925671398617,24.0202382492438,21.6691336361946,23.6852593364425,24.1072854830586,24.7554488637227,19.3875281238078,23.4086967403143,22.8822187366009,23.4525495547689,23.1917852662941,23.6140823663981,23.8957959771598,25.4349530905432
"Feature0009",23.9950929933626,23.0683208254883,23.2423080726002,23.1361583073476,23.8782169430712,24.5576424313005,23.8408495502111,23.9165711208888,23.2435144888605,22.9742973212605,23.2592669759601,23.7236138884492,22.5679982668138,24.1100384941421,22.4604041027823,23.8051316099779,22.7847220047088,23.3035528314586,23.8022955461802,22.9658926203921,24.1808704546579,24.0196433986149,24.0619813873652,23.9098236976459,23.4088907634578,23.2097218661805,22.9132157853251,23.7950661582541,23.490380522252,23.0356885444325,23.2880390177349,24.5650862941702,23.9697159322994,23.7690486735515,23.9049506510173,24.28413171473,24.6693310226169,24.606426433833,24.2055842805973,23.1509504157518,23.7049808043134,23.7388007025973,22.973999948723,23.2420652766936,23.1560088944713,23.2616490195929,23.5047500243105,23.8259323251535,23.5446261882356,23.3416111457859,22.9952949290271,24.1596060223891,24.0455386325804,24.5186046386072,22.3638190003303,24.7074646055883,24.3134181482027,23.4053616465061,23.9484317876594
"Feature0010",23.8649632300665,24.8902154529254,24.9585019953112,24.6898198346607,24.6262903605229,23.7979548287082,23.9125937866069,24.7495020444925,23.9327498526729,24.3630942669293,24.8967219239265,24.0456411562346,22.0132681686011,23.5619258870063,24.4065508992838,23.4234657945515,24.0421574475488,24.3797082691939,23.9796458260239,24.0497059078844,23.9874285949276,23.6970790835526,23.3541351104885,23.6655224168798,24.3647144030922,22.8527436526795,24.2903153181847,23.5162780773092,24.655578766763,23.9837285665666,25.0711044198628,23.8473912704516,23.6909858669892,23.5676163770607,23.338576367677,23.3836782001858,23.0097528847362,22.6354622282416,22.3937524131694,22.180539724777,22.6722619561998,24.1106577591566,24.8350963164894,23.7066257758121,24.4135381429908,23.9257998836016,24.4638099764791,23.5520396259144,23.082770926522,24.0508729860367,23.8953204052605,23.089682984117,22.6809973763302,23.7842030438938,23.5780937973815,23.6067067058047,23.8428831464574,24.7900884186849,23.9301752301466
