"","10plus_RP_pos_MS2","11plus_RP_pos_MS2","12plus_RP_pos_MS2","13plus_RP_pos_MS2","14plus_RP_pos_MS2","15plus_RP_pos_MS2","16plus_RP_pos_MS2","17plus_RP_pos_MS2","18plus_RP_pos_MS2","19plus_RP_pos_MS2","1plus_RP_pos_MS2","20plus_RP_pos_MS2","21plus_RP_pos_MS2","22plus_RP_pos_MS2","24plus_RP_pos_MS2","25plus_RP_pos_MS2","26plus_RP_pos_MS2","27plus_RP_pos_MS2","28plus_RP_pos_MS2","29plus_RP_pos_MS2","2plus_RP_pos_MS2","30plus_RP_pos_MS2","31plus_RP_pos_MS2","32plus_RP_pos_MS2","33plus_RP_pos_MS2","34plus_RP_pos_MS2","35plus_RP_pos_MS2","36plus_RP_pos_MS2","37plus_RP_pos_MS2","38plus_RP_pos_MS2","39plus_RP_pos_MS2","3plus_RP_pos_MS2","40plus_RP_pos_MS2","41plus_RP_pos_MS2","42plus_RP_pos_MS2","43plus_RP_pos_MS2","44plus_RP_pos_MS2","45plus_RP_pos_MS2","46plus_RP_pos_MS2","47plus_RP_pos_MS2","48plus_RP_pos_MS2","49plus_RP_pos_MS2","4plus_RP_pos_MS2","50plus_RP_pos_MS2","51plus_RP_pos_MS2","52plus_RP_pos_MS2","53plus_RP_pos_MS2","54plus_RP_pos_MS2","55plus_RP_pos_MS2","56plus_RP_pos_MS2","57plus_RP_pos_MS2","58plus_RP_pos_MS2","59plus_RP_pos_MS2","5plus_RP_pos_MS2","6plus_RP_pos_MS2","7plus_RP_pos_MS2","8plus_RP_pos_MS2","9plus_RP_pos_MS2"
"Feature0001",0,0,25.3414657530329,0,0,27.1964099803979,27.0857507665068,26.267739705259,28.1990932347558,26.811533632331,0,0,0,26.6645579303094,25.4880629938572,0,26.3684011881243,28.8481225872928,27.1911777587338,0,27.1786796633042,26.1729333712549,26.9736987708157,27.4157797095058,28.4899977670263,0,25.9903582480902,0,26.2525389287088,0,25.5538898105193,0,27.2136616413289,0,0,0,0,0,0,0,0,25.6956927613162,0,0,0,0,0,27.1918768540025,0,26.1843707219995,0,0,26.5107831977206,0,0,0,0,0
"Feature0002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3487096773134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0003",28.3087831664913,30.7034173827376,26.4351568397032,30.3595653035551,29.083760923586,28.9569098344049,31.3895921178444,31.7896760583276,0,30.340812024506,26.8339879465696,27.4920844908834,28.6006710571306,31.9358537190429,26.350657405011,31.3212194426498,30.4891053350731,27.3547509254793,31.5596960496875,30.5250537301778,31.347713750057,27.9967930819892,31.5085312234908,31.429727576998,0,25.1068162654562,30.3836688223504,31.4306972420965,30.5313581321282,26.583371675804,26.9154249648554,25.9804242514979,31.3350117279011,29.8524573900989,26.2292055358927,26.3162304184968,26.5657027404037,26.7075827155073,26.0062446080551,28.8178071921894,31.936895144103,30.7718372877529,30.6491037607748,30.7343209179678,30.7492104391931,30.333526466083,27.0156152570017,31.3958249568106,31.0464710331405,30.3981897219742,30.7217842916808,27.3224103532434,27.9437996603409,26.4107202876071,28.456344894801,26.5965932846556,30.405423764848,26.7189117365418
"Feature0004",0,27.2403598653896,0,27.2200983055325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6651026216493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4321661910588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0007",27.4286894163204,26.0642691871612,26.6759680104681,25.8808969277806,26.6922478322563,27.526155626668,27.719920847025,27.0175804918086,27.3655524278694,26.3936320740747,27.1301679480262,26.9505756545734,27.5646156578869,26.8133334242416,27.5070536036611,27.7957956462089,26.278256721307,28.0182548540944,27.5839791939011,26.9875666946881,27.5765414407977,27.5142085267165,27.349963225613,27.8672944765033,27.4693838219068,27.6618395779614,26.8303705844408,27.8032499943384,26.4939787969439,27.5058014792935,27.1237706316962,27.7739373331224,27.5967818874762,27.5783693879899,27.1798821551567,27.0798658135376,27.7831768465695,27.8323418020065,27.2871738494082,28.3441416320582,27.190345974946,27.4299493218997,26.2259413190981,26.5981202595077,25.9493977362269,27.3647920464636,27.4055715089705,27.4092937128002,27.6564967061837,27.1280313261094,25.5907777058502,27.0433851971291,0,27.7396024912229,27.8489717647203,27.5082038960754,26.8247227675953,27.0094718927822
"Feature0008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5776342099739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0009",0,0,0,0,0,21.6412573103586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4077359225675,0,0,0,0,0,0,0,0,0
"Feature0010",0,21.4901186061432,0,21.8881864133736,0,0,0,0,0,22.4269549527801,0,0,0,0,0,25.7561973230936,0,0,26.2107754567195,0,0,0,0,0,0,24.659393848753,0,25.6453334347562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1165663015331,0,22.6208432568584,0,0,0,24.9852561668233,0,0,0,0,0,0,0,21.6045293737447,0
"Feature0011",0,0,0,0,0,0,24.7899388157499,0,0,0,0,0,0,0,27.6733594212473,0,0,0,0,0,0,0,20.354446441249,0,0,0,24.9666591453417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5106461840914,0,0,0,0,0,0,0,0,0,0
"Feature0012",0,0,27.591706738063,0,0,25.3958163849241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0013",0,22.7999939936956,0,23.4104494608537,0,0,0,0,0,23.7450519196729,0,0,0,0,0,25.9471085279056,0,0,25.3945524230881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7207598847323,0,0,27.04389701017,24.6456621494508,0,0,0,25.177161864527,23.2545792295294,0,0,20.7715254831048,0,0,0,0,0
"Feature0014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8206463186739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0015",0,0,0,0,0,0,0,0,0,0,22.2810268113078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4851278415446,0,0,0,0,0,0,0,0,22.0243772329372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0016",0,0,0,0,19.7296599648577,20.7416181343629,0,0,0,0,0,0,0,0,0,0,21.9025253914605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4661976698427,0,0,0,0,0,0,0,0,20.1512532416475,0,0,0
"Feature0017",0,0,0,0,0,0,23.5782360540825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1695867294014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0018",0,25.9349036002442,0,26.2511537698119,0,0,26.5481821639592,26.479210022633,0,26.4327653009756,0,0,0,0,25.0559798513583,26.9158496736701,0,23.4108402587428,26.7262603087926,0,0,25.3469605355113,26.7299691187403,0,0,22.7110155582455,26.759343068937,27.2922529538052,0,0,25.3105966980779,0,26.7239578421786,0,0,0,0,0,0,25.4699656551551,27.0396626909608,26.2947476538635,26.8255875388468,27.1347674600536,26.2020178040818,0,24.5902635520428,27.0024493176495,27.0137472602087,26.3994479786581,0,0,24.0119582020992,0,0,0,26.1924448338215,0
"Feature0019",0,0,0,0,0,0,0,0,0,23.4718738735083,0,0,0,0,0,0,0,0,25.2053604559614,0,0,0,0,0,0,24.5441202145572,0,25.4836375945589,0,23.457503559002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9877567748716,0,0,0,24.8485344425835,0,0,0,0,0,0,0,0,0
"Feature0020",0,18.5877373952995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6914114484924,0,0,0,0,0,0,0,0,20.0061239444011,0,0,0,0,0,0,0,0,0,0,0,0,18.9484114667243,0,0,0,17.6142664348799,0,0,0,0,0,0,0,19.4515981133138,0,0,0,18.5054633418059,0
"Feature0021",0,0,0,0,0,25.6620845167375,0,0,0,0,0,0,25.6476268195824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0022",0,0,0,0,22.1164083633888,23.101954116299,0,0,0,0,0,0,0,0,0,0,23.1776710439046,0,0,0,0,0,0,20.3244349727449,0,0,0,0,22.996749580694,0,0,0,0,0,0,0,0,0,25.4274550346375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3855776842535,0,0,0
"Feature0023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0987349974156,0,0,0,0,0,0,0,0
"Feature0024",0,0,0,0,0,0,0,0,22.7975804658605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2955391733991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3696055139183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1491377749694,0,0
"Feature0027",0,0,0,0,0,0,0,23.3123326964659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0028",23.610281833098,0,0,0,22.5800116063159,23.151356965076,0,0,23.4542539406841,0,0,0,22.9471703691973,0,0,0,21.6888447116932,0,0,0,0,0,0,24.6792319734637,0,0,0,0,21.0143389980622,0,0,23.3304615127766,0,0,0,24.4136395486418,0,0,24.6173964781427,0,0,0,0,0,0,0,0,0,0,0,0,23.647512799037,0,23.1484290855463,22.1701853840562,23.272417922314,0,0
"Feature0029",0,22.3116797994528,0,23.102521496363,23.01897878892,0,0,0,0,23.3610389906308,0,0,0,0,0,26.0731773231489,0,0,25.6373449531193,0,0,0,0,0,0,26.5665503081215,0,25.8024641477934,0,23.4745917551705,0,0,0,0,0,0,0,0,0,0,0,0,22.876843660555,25.5351958306261,24.3084419643328,0,0,0,0,22.0626882581995,0,0,26.8059067771935,0,0,0,22.3479745570692,0
"Feature0030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9616765505621,0,0,0,0,0,0,21.0200641646567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8415718186334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0032",0,0,0,0,0,0,0,0,24.7477190168918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0544970452461,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0034",24.7882625938093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6581643435159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8692292016636,23.729748306382,0,0
"Feature0035",0,0,0,0,0,0,0,0,0,0,0,0,24.8783422578175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.15553670386,0,0,25.3050043815194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8066702646661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2224725517726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2547509416556,0,0,0,0,0,0,0
"Feature0038",24.155439751782,0,0,0,0,0,0,0,24.3069183957675,0,0,0,0,0,0,0,23.4915197849421,0,0,0,0,0,0,24.5390228192853,24.9750957960056,0,0,0,24.1199867344076,24.893798574277,0,0,0,0,0,0,24.108969623219,0,24.1848768553458,0,0,0,0,0,0,23.875665108529,0,0,0,0,0,0,0,23.8177434021507,23.7573468760892,0,0,0
