"","10plus_RP_pos_MS2","18plus_RP_pos_MS2","20plus_RP_pos_MS2","30plus_RP_pos_MS2","3plus_RP_pos_MS2","42plus_RP_pos_MS2","43plus_RP_pos_MS2","44plus_RP_pos_MS2","45plus_RP_pos_MS2","46plus_RP_pos_MS2","58plus_RP_pos_MS2","59plus_RP_pos_MS2","5plus_RP_pos_MS2","7plus_RP_pos_MS2","9plus_RP_pos_MS2"
"Feature0001",115261485.8,451637535.1,55688427.73,48316571.87,51309215.52,35993403.52,42770007.88,62047783.8,97168896.28,37092236.09,46601325.03,106842169.1,101416177.3,51998643.63,31353453.25
"Feature0002",3594321.743,8206937.868,622662.8249,538696.2721,2772726.251,1616312.829,1248525.582,3550944.205,5328866.033,2456749.41,1025390.907,5274848.335,4906996.091,3136142.09,1878633.893
"Feature0003",529970412.5,23544198.55,180882255.6,201288045.7,96441494.82,58417245.94,78053364.23,151645124.8,171861555.5,80081395.79,176254079.3,315581929.6,122122922.3,161757296.1,73841009.33
"Feature0004",12255626.44,5865253.369,12279156.14,6152477.663,21715742.8,6985841.53,7441791.23,22318633.91,20383994.14,14855320.03,12882528.27,22619258.08,12469505.8,13173794.89,7296419.244
"Feature0005",5183422.105,6020561.379,6072386.118,7541803.349,6889694.389,5776591.84,3425641.845,6011059.494,5641044.904,6740116.493,4864356.637,4870413.181,5600933.589,7368405.785,4911278.964
"Feature0006",56446434.62,14879035.24,49595046.19,43341654.09,89784293.94,30100129.03,42853536.52,101070066.2,115909434.4,51638573.97,58441017.55,78868328.13,54977799.3,53957275.17,23517962.78
"Feature0007",247587012,269954297.3,154075608.4,137257449.7,334234169,119744703,144346651.4,344466101.5,399990752.4,189619088.7,189410606.7,343718240.9,294032111,275789020.4,89905793.51
"Feature0008",5990123.385,18980040.08,21279329.19,16266736.8,10568449.68,11084174.34,21107223.53,19660245.74,19226217.22,7545344.947,312829.2108,9156235.459,3925937.064,7841055.447,11967330.83
"Feature0009",7905339.997,5538991.34,4569516.169,5183576.771,10777196.41,3876923.71,5393876.137,12649775.48,13138852.81,7486390.172,6336563.604,10954936.18,9076695.104,9116896.607,3312029.405
"Feature0010",9232767.157,10927884.01,7505414.493,5461954.928,8549647.989,3277918.343,3808974.933,5586043.546,4411008.127,2809840.902,3862035.964,5289687.756,6948967.569,8665736.354,4019041.353
"Feature0011",24378652.72,35944034.65,2236605.552,20258384.32,901308.0792,13657818.17,18039280.46,22657458.87,12635919.73,19806657.51,23975360.36,29453596.77,22413461.74,29947492.16,12829814.3
"Feature0012",594761.269,14684436.26,307362.1223,332915.5055,513274.0412,253190.0558,1340148.203,953559.3193,281993.7198,398291.735,339464.4573,34847990.85,339211.4746,221125.1248,453853.0177
"Feature0013",196697.4919,10089617.25,468954.4426,612775.4901,552468.5174,157499.1053,276384.4066,336818.9051,548198.1559,442531.0099,271010.9393,339130.9567,230157.4921,351327.5204,306603.7508
"Feature0014",2151670.045,13338056.59,14050645.8,10412704.22,2430925.982,5248545.773,4721269.273,4617300.612,3352479.729,3528787.658,9293594.482,3419382.815,1981314.605,3394703.386,3267522.952
"Feature0015",4732440.72,9290749.197,7387156.924,3148749.767,5712878.012,4964548.908,8118056.557,5462466.698,7077029.168,3376769.114,8986706.766,7620814.456,4922755.302,3450127.135,1820144.661
"Feature0016",11997089.32,14504811.57,8647524.338,7022080.724,12038206.25,8674607.2,11112770.1,14983454.03,12804702.77,10809894.1,11055856.51,14697997.1,14831023.81,13065782.14,6090721.3
"Feature0017",15605612.85,13945482.85,11147031.5,10108237.34,17299300.7,6277329.751,10375342.98,21068168.38,19222890,13900493.5,12621436.11,23543722.39,17959636.75,16679198.12,6773753.95
"Feature0018",15764407.1,6571271.843,17369589.27,17206884.56,18152695.2,12474820.97,14663993.99,18571127.46,22733212.52,17345111.73,17869543.86,15218358.83,15330498.46,15982042.75,13298129.47
"Feature0019",9538221.14,10803035.73,15772465.94,12873695.34,15109651.36,10138048.74,15635989.92,21116722.52,29742552.28,10573331.77,22844418.53,15994686.15,7551060.908,14101178.12,7870454.051
"Feature0020",115706.2144,122814.7782,110825.8978,89636.22962,114431.9474,84715.3473,204855.514,112073.464,129795.8502,127837.1397,84562.72902,135086.3951,121216.1537,115718.4101,84944.82923
"Feature0021",25196534.76,14964212.02,1072698.478,784320.6969,1711383.426,973703.9694,797109.8111,3061512.939,2629447.995,1390273.889,727362.9917,17109254.25,2958796.728,2416370.304,889696.475
"Feature0022",35767000.73,32045563.63,25855965.44,19963351.41,35641739.93,31273478.32,24359998.61,35857800.58,36289465.47,36229211.1,20066596,30175286.02,30326703.4,37049043.44,23398736.2
"Feature0023",72848062.86,73841856.98,74179774.89,77768686.13,205807.3791,72906037.81,80721919.86,71397616.89,76262203.59,76376116.34,54457916.52,53664955.65,70422552.9,70475885.28,63369437.16
"Feature0024",17375503.41,20908979.68,7421225.637,7186838.97,18004747.58,5328357.086,6960351.964,18528295.5,18125395.35,15983690.78,9831759.896,18294595.91,15322943.43,15469403.02,4832938.869
"Feature0025",81131.72477,292127.0176,52364.4639,36395.95602,82701.73661,61433.06288,59239.50847,72247.9657,85732.31421,53011.18425,61268.17281,113929.21,107136.5048,71355.56584,39192.66284
"Feature0026",12023828.05,13641148.08,14576941.38,12761411.08,20730478.59,12840725.1,17230017.39,19353624.43,16188377.56,23645460.27,14289251.74,15939616.95,20109660.83,23792187.76,11725388.48
"Feature0027",31640.60575,31976.09327,79998.56471,67807.6252,32546.95852,64342.08124,51657.62387,77078.4764,36093.05427,70432.91049,53777.08191,74480.28594,64714.39067,34949.44788,31847.86595
"Feature0028",35336946,33861017.55,13283035.56,12027260.69,27419377.02,9690104.044,13737087.67,32564006.91,25038031.25,23201338.46,16772457.37,32691949.46,31266928.04,27508910.96,8182030.521
"Feature0029",26016750.46,23103084.5,34369220.55,25680645.12,42441496.16,20125897.41,12828444.97,35003909.93,35366127.17,37413323.93,24266280.7,23191693.14,36120529.37,39426271.08,16548186.14
