"","10plus_RP_pos_MS2","11plus_RP_pos_MS2","12plus_RP_pos_MS2","13plus_RP_pos_MS2","14plus_RP_pos_MS2","15plus_RP_pos_MS2","16plus_RP_pos_MS2","17plus_RP_pos_MS2","18plus_RP_pos_MS2","19plus_RP_pos_MS2","1plus_RP_pos_MS2","20plus_RP_pos_MS2","21plus_RP_pos_MS2","22plus_RP_pos_MS2","24plus_RP_pos_MS2","25plus_RP_pos_MS2","26plus_RP_pos_MS2","27plus_RP_pos_MS2","28plus_RP_pos_MS2","29plus_RP_pos_MS2","2plus_RP_pos_MS2","30plus_RP_pos_MS2","31plus_RP_pos_MS2","32plus_RP_pos_MS2","33plus_RP_pos_MS2","34plus_RP_pos_MS2","35plus_RP_pos_MS2","36plus_RP_pos_MS2","37plus_RP_pos_MS2","38plus_RP_pos_MS2","39plus_RP_pos_MS2","3plus_RP_pos_MS2","40plus_RP_pos_MS2","41plus_RP_pos_MS2","42plus_RP_pos_MS2","43plus_RP_pos_MS2","44plus_RP_pos_MS2","45plus_RP_pos_MS2","46plus_RP_pos_MS2","47plus_RP_pos_MS2","48plus_RP_pos_MS2","49plus_RP_pos_MS2","4plus_RP_pos_MS2","50plus_RP_pos_MS2","51plus_RP_pos_MS2","52plus_RP_pos_MS2","53plus_RP_pos_MS2","54plus_RP_pos_MS2","55plus_RP_pos_MS2","56plus_RP_pos_MS2","57plus_RP_pos_MS2","58plus_RP_pos_MS2","59plus_RP_pos_MS2","5plus_RP_pos_MS2","6plus_RP_pos_MS2","7plus_RP_pos_MS2","8plus_RP_pos_MS2","9plus_RP_pos_MS2"
"Feature0001",NA,NA,42662469.04,NA,NA,227559237.7,265328972.2,94180813.81,451637535.1,163191454.8,NA,NA,NA,108235661.5,30417636.05,NA,89750085.54,532657411,209900403.9,NA,245868068.5,48316571.87,174486707,286487846,510600368.2,NA,107302139.1,NA,82761047.89,NA,33488508.83,NA,232952094.5,NA,NA,NA,NA,NA,NA,NA,NA,49800271.63,NA,NA,NA,NA,NA,188463839.2,NA,152957869.7,NA,NA,106842169.1,NA,NA,NA,NA,NA
"Feature0002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4818003.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0003",529970412.5,2257877489,87405418.97,2443810116,772266600.7,862268943.6,6567127769,5680319711,NA,3403539010,97314533.63,180882255.6,617315860.9,4812171960,62516548.37,5899734626,3079264593,178954618.2,5673252194,3733793930,6177729688,201288045.7,5318952292,6439472833,NA,28640530.51,4034616346,6044236916,2614204914,166285172.8,105733104.5,96441494.82,5771263692,1670227853,58417245.94,78053364.23,151645124.8,171861555.5,80081395.79,761193302,5691441687,2550549273,3525943490,3557974026,2280918498,3654456106,74682157.34,5216030082,6023940974,3988189921,3229576979,176254079.3,315581929.6,122122922.3,564585014.5,161757296.1,2987756454,73841009.33
"Feature0004",NA,165812705.8,NA,192173424.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4562720.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51638573.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0007",247587012,72929886.65,98551834.46,76912639.97,143956782.7,293066636.3,428098462.6,158753682.6,269954297.3,137245855.9,107397218.1,154075608.4,345202753.6,122665754.8,132727471.5,389927192.9,97852890.32,288947923.7,279032166.9,210870824.3,341386789.3,137257449.7,237649325.5,412580432.5,265367176.3,202149111.5,225855792.5,387151696.8,112114748.7,285974028,111879663.5,334234169,324168419.3,377312653.3,119744703,144346651.4,344466101.5,399990752.4,189619088.7,461560322.8,155449720.9,184628577.5,107125411.7,147315200.5,60125683.49,280697957.8,96418174.64,235308506.8,383578282.3,318888778.1,66762488.07,189410606.7,NA,294032111,356829805.3,275789020.4,151206905.5,89905793.51
"Feature0008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1883088.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0009",NA,NA,NA,NA,NA,17155344.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11139429.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0010",NA,26326841.53,NA,25086744.56,NA,NA,NA,NA,NA,33495061.28,NA,NA,NA,NA,NA,11171758.26,NA,NA,13772477.93,NA,NA,NA,NA,NA,NA,4009147.992,NA,13111384.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35736814.19,NA,18127759.88,NA,NA,NA,10362555.13,NA,NA,NA,NA,NA,NA,NA,29422851.6,NA
"Feature0011",NA,NA,NA,NA,NA,NA,91879125.83,NA,NA,NA,NA,NA,NA,NA,31758502.76,NA,NA,NA,NA,NA,NA,NA,2985721.534,NA,NA,NA,54049675.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52885634.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0012",NA,NA,224852715.5,NA,NA,64320299.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0013",NA,41939295.08,NA,42938066.44,NA,NA,NA,NA,NA,50901307.57,NA,NA,NA,NA,NA,27411365.41,NA,NA,21227314.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23070513.06,NA,NA,43435931.58,36562220.93,NA,NA,NA,30196710.11,53404748.68,NA,NA,339130.9567,NA,NA,NA,NA,NA
"Feature0014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6069764.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25229025.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19152524.28,NA,NA,NA,NA,NA,NA,NA,NA,3376769.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0016",NA,NA,NA,NA,21677333.07,26325426.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1834261.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983974.58,NA,NA,NA,NA,NA,NA,NA,NA,23476289.95,NA,NA,NA
"Feature0017",NA,NA,NA,NA,NA,NA,41402067.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22311527.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
