"","1_ERIN_1177.3","10_CTRL_1154.3","11_ERIN_1246.1","12_ERLE_1177.3","13_ERLE_1246.1","14_CTRL_1177.3","15_BOCU_1177.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","19_CTRL_1246.2","2_CTRL_CTRL.2","20_ERIN_1154.1","21_LEDU_1177.3","22_BOCU_CTRL.2","24_ERLE_1177.1","25_ERIN_CTRL.2","26_LEDU_1246.2","27_LEDU_1177.2","28_ERLE_CTRL.1","29_LEDU_1246.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","33_BOCU_1177.1","34_ERLE_1177.2","35_LEDU_1246.3","36_ERIN_CTRL.1","37_ERLE_1246.3","38_BOCU_1177.2","39_ERIN_1177.2","4_BOCU_1246.3","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","47_CTRL_1177.1","48_LEDU_CTRL.2","49_ERIN_1246.3","5_LEDU_1154.2","50_BOCU_CTRL.2","51_ERLE_1246.2","52_BOCU_1246.2","53_ERIN_1177.1","54_LEDU_CTRL.1","55_LEDU_CTRL.2","56_BOCU_1246.1","57_CTRL_1246.3","58_ERLE_1154.1","59_CTRL_1154.1","6_LEDU_1177.1","60_CTRL_1246.1","7_BOCU_1154.1","8_ERIN_1246.2","9_ERLE_1154.2"
"Feature0001",19374848.09,29789507.65,27124821.05,27138467.52,27292317.45,30987235.85,32451646.8,31298283.59,29824911.46,34540854.22,32668224.62,26372676.09,24770189.1,33975994.23,20975593.27,24040718.85,32232494.14,27869960.03,35487456.01,28971354.14,33786555.94,25837873.68,21713438.89,28325306.8,35783738.76,33559693.24,27594541.19,34635455.84,34510075.66,29095930.79,35282397.08,24889429.45,28260758.55,27656492.73,30871608.79,14942202.29,20853949.43,29579438.74,26841017.48,27017016.28,32204931.65,24026761.56,25600547.07,27608720.02,32007153.07,24257525.87,33651212.8,24647418.35,23594499.87,35702888.3,36674381.32,30577805.68,25423261.7,31306499.22,26374896.87,28057833.22,30640600.09,28114908.22,14552772.57
"Feature0002",18297662.73,25853964.24,22027958.93,21229383.06,21185459.51,26556998.13,26013002.03,26461325.61,25009165.57,26511938.61,29309723.25,26788187.42,20249958.37,29151984.38,16416351.45,21672653.83,27113901.7,26283450.4,30006414.97,24251217.01,29149627.78,23058514.07,17190569.69,22236251.43,27248667.48,29650836.22,21945062.41,27264643.63,29829989.23,24781336.36,28587558.41,21212251.81,22487394.06,25330232.8,28174663.25,12419514.6,17472257.35,25576930.13,22873901.53,22190981.2,29871428.21,19629455.01,21700996.68,21898751.2,28175791.65,20670938.78,30572867.1,20951703.03,20026094.57,28390022.21,36795901.32,26689565.08,21241313.13,28919951.66,22024427.94,26068916.18,25545087.93,25443703.75,12444748.28
"Feature0003",20709689.42,503275.0485,322552.5885,32235788.43,525094.4089,6705847.621,8993663.002,549005.1557,368599.7991,360206.6024,692011.7645,475668.8515,780125.2979,28874061.03,424849.6863,33315449.11,544836.1387,704116.8613,948444.4221,530082.6671,876330.143,379130.7583,291560.5893,427358.9787,613982.3725,410768.4541,5240257.365,732653.5762,512550.1098,434378.027,2893834.66,38226326.3,609634.7706,501194.8959,638086.0885,410365.1706,442079.334,385653.7462,347340.3046,301540.3498,68150972.05,394132.8304,371085.2564,377275.3723,718659.5777,351486.582,804542.2045,13040585.13,461806.6056,580042.8747,719400.0667,669202.6773,808838.0018,455083.842,5331087.041,454801.4826,383293.05,593958.1018,202813.3868
"Feature0004",114764.1392,299760.8127,467916.9847,128987.2261,528586.0409,166533.1402,162616.7262,41947484.3,40323089.44,185067.1216,2612307.5,37457991.78,145556.0606,209381.2911,20824304.34,140617.0103,39163812.07,4955294.98,185703.7267,32767615,13109192.5,233455.7731,115527.8785,35190801.91,56194020.44,164477.7975,174514.2444,7524421.713,43462841.52,403828.5952,174446.9901,153777.071,6833470.522,37531400.72,40515228.72,117276.0137,127113.8282,185658.3003,182027.8064,264724.5067,212051.7058,21401851.95,361952.2866,191099.8779,42206869.48,438947.457,5625598.703,141413.7352,26288131.46,39258827.64,6507209.876,1199501.785,133976.4754,169361.7252,153099.8272,432266.4759,174128.109,900909.3918,87645.2991
"Feature0005",33318637.74,49442595.5,47638698.8,42915427.22,43535934.75,53393383.58,52810285.15,58274849.21,51192344.56,54550501.05,53953085,48144748.11,44767111.44,55113205.22,35445355.72,42742264.11,55656186.98,48520256.16,58243588.01,49169089.34,59364709.72,47667589.87,36363158.21,47818859.77,50554395.05,59832643.36,47139244.14,58298923.04,55406106.76,48894335.47,58268080.61,43435401.37,47303865.7,49672032.53,53312421.26,27832311.81,35592255.98,49108542.78,49577528.23,47546811.85,55219237.6,40978572.35,42036198.42,44235314.35,53485279.6,40427836.3,55911096.37,43789548.03,44868074.08,59241623.79,69361110.3,50792307.55,43452162.17,50246336.43,46324738.6,48121665.41,53278976.09,49711850.36,25179657.66
"Feature0006",431782.1077,2382306.443,7599938.764,517134.1372,8267379.023,1471852.557,1057785.474,52291398.78,46536781.67,13171670.69,13008659.43,57649545.13,896108.1134,1016099.683,26418537.22,729956.222,49443083.34,14335123.94,16810221.52,41607080.37,23696824.9,2212952.558,866995.92,39785071.32,55477498.26,16392670.19,11540856.97,13999449.73,49337514.37,7474292.414,15707936.42,673144.671,13125994.74,53234512.25,61903045.11,656983.2208,786815.1018,2916357.963,1973174.409,1577925.395,1642555.114,35303013.51,1973927.91,1231287.364,23560285.09,5005241.875,14555495.27,823931.8752,40572996.07,49538515.31,15514092.6,8075550.418,743602.8884,2455838.264,860747.9205,7684476.229,1977131.965,6568779.456,574362.3994
"Feature0007",1699515.336,65525661.56,63361583.66,63399381.69,62317772.63,64538981.83,60904795.02,62737129.08,59533310.32,65368553.43,68749228.39,204163.9447,64670351.57,62956299.12,66906057.04,60481288.66,76101481.11,62991457.27,59940034.48,60035981.94,64113618.01,66774270.23,67911458.09,68893620.49,64923357.69,61951633.73,64557060.64,64123859.57,69549019.72,59260037.04,60500242.19,64362467.61,1532307.096,65603503.96,66060025.9,63537614.61,64999973,61820757.8,64232172.49,61998054.45,61385872.35,59411032.52,60621049.91,65488419.1,62302290.63,57005254.25,55569443.16,63197057.1,61468424.57,68511403.82,338345.6934,902738.4797,192439.4663,206770.4943,63404992.58,531825.7972,62611519.69,55951899.93,65670962.56
"Feature0008",220984.9338,1671812.11,547654.463,1672704.436,969910.89,1055813.806,477650.5196,267325.99,2608337.476,2703186.664,844227.851,278312.3501,509921.3817,706491.6726,66906057.04,60481288.66,76101481.11,62991457.27,58323054.49,60035981.94,64113618.01,522990.6763,67911458.09,68893620.49,64923357.69,61951633.73,64557060.64,64123859.57,69549019.72,59260037.04,60500242.19,64362467.61,1590687.786,65603503.96,66060025.9,63537614.61,64999973,61820757.8,64232172.49,61998054.45,61385872.35,59411032.52,60621049.91,2264272.605,62302290.63,56928515.32,55569442.7,63197057.1,61940549.7,68511403.82,76240427.98,64882924.77,67658919.28,72624068.79,192700.1035,70635328.88,3687739.537,1172837.494,504200.9222
"Feature0009",281709.0913,1268520.274,6589411.148,835184.8376,14018643.11,1792001.645,2052176.762,21154095.64,13607614.79,10333541.39,15084902.97,14435019.84,594364.0732,1745347.838,8533296.974,596412.7333,18829046.83,31890034.03,2257492.48,14036439.02,22735920.47,788531.4494,259911.175,15457630.5,20504302.84,2624329.606,14805358.04,19357522.23,21374577.71,2308252.021,3288975.879,519928.4949,11557964.95,14139204.47,16203341.88,157354.8624,418310.3547,1009971.512,770712.2632,533138.5041,2049130.216,11070080.44,2968515.587,961017.1325,76394596.82,4091973.822,29766221.91,966486.5628,13942785.12,18335436.46,9839445.314,17818700.44,463454.0961,1587401.646,1460522.803,9943626.003,1315179.492,7459877.722,196702.9899
"Feature0010",208882.4739,8116342.153,313824.6542,339529.3114,1904865.873,923094.9996,625528.6566,110257140.8,115997692.7,1846003.661,8804970.632,75501813.01,1228829.106,610582.4301,61777976.28,248439.2459,91702001.86,16091407.75,505893.3313,78010227.64,38758303.55,5050606.747,715413.7773,61844442.16,70362224.23,458517.2098,335624.5472,25771286.91,122087272.1,791088.969,554272.9186,291965.2619,14130334.49,85993154.69,65832025.02,583993.6315,1089226.859,5368143.616,4445130.588,6060129.709,1177048.613,41556392.2,411256.2395,1813203.32,59708170.2,324401.5332,15776843.42,618450.5551,85468622.07,121930875.1,27941380.67,3420544.882,1453167.947,12948924.22,251517.798,1355095.366,8620303.928,1777251.425,445770.3728
