LC-MS_ID,ID,Plant,Fungi,replicate,SampleID,
60,6CL1,CTRL,1246,1,60_CTRL_1246.1,Area: 60_CTRL_1246.1
59,4CL1,CTRL,1154,1,59_CTRL_1154.1,Area: 59_CTRL_1154.1
58,4EE1,ERLE,1154,1,58_ERLE_1154.1,Area: 58_ERLE_1154.1
57,6CL3,CTRL,1246,3,57_CTRL_1246.3,Area: 57_CTRL_1246.3
56,6BU1,BOCU,1246,1,56_BOCU_1246.1,Area: 56_BOCU_1246.1
55,CLLU2,LEDU,CTRL,2,55_LEDU_CTRL.2,Area: 55_LEDU_CTRL.2
54,CLLU1,LEDU,CTRL,1,54_LEDU_CTRL.1,Area: 54_LEDU_CTRL.1
53,7EN1,ERIN,1177,1,53_ERIN_1177.1,Area: 53_ERIN_1177.1
52,6BU2,BOCU,1246,2,52_BOCU_1246.2,Area: 52_BOCU_1246.2
51,6EE2,ERLE,1246,2,51_ERLE_1246.2,Area: 51_ERLE_1246.2
50,CLBU2,BOCU,CTRL,2,50_BOCU_CTRL.2,Area: 50_BOCU_CTRL.2
49,6EN3,ERIN,1246,3,49_ERIN_1246.3,Area: 49_ERIN_1246.3
48,CLLU3,LEDU,CTRL,3,48_LEDU_CTRL.2,Area: 48_LEDU_CTRL.2
47,7CL1,CTRL,1177,1,47_CTRL_1177.1,Area: 47_CTRL_1177.1
46,4CL2,CTRL,1154,2,46_CTRL_1154.2,Area: 46_CTRL_1154.2
45,4LU1,LEDU,1154,1,45_LEDU_1154.1,Area: 45_LEDU_1154.1
44,4BU2,BOCU,1154,2,44_BOCU_1154.2,Area: 44_BOCU_1154.2
43,4EN3,ERIN,1154,3,43_ERIN_1154.3,Area: 43_ERIN_1154.3
42,4EN2,ERIN,1154,2,42_ERIN_1154.2,Area: 42_ERIN_1154.2
41,CLCL1,CTRL,CTRL,1,41_CTRL_CTRL.1,Area: 41_CTRL_CTRL.1
40,CLCL3,CTRL,CTRL,3,40_CTRL_CTRL.3,Area: 40_CTRL_CTRL.3
39,7EN2,ERIN,1177,2,39_ERIN_1177.2,Area: 39_ERIN_1177.2
38,7BU2,BOCU,1177,2,38_BOCU_1177.2,Area: 38_BOCU_1177.2
37,6EE3,ERLE,1246,3,37_ERLE_1246.3,Area: 37_ERLE_1246.3
36,CLEN1,ERIN,CTRL,1,36_ERIN_CTRL.1,Area: 36_ERIN_CTRL.1
35,6LU3,LEDU,1246,3,35_LEDU_1246.3,Area: 35_LEDU_1246.3
34,7EE2,ERLE,1177,2,34_ERLE_1177.2,Area: 34_ERLE_1177.2
33,7BU1,BOCU,1177,1,33_BOCU_1177.1,Area: 33_BOCU_1177.1
32,CLEE2,ERLE,CTRL,2,32_ERLE_CTRL.2,Area: 32_ERLE_CTRL.2
31,CLBU1,BOCU,CTRL,1,31_BOCU_CTRL.1,Area: 31_BOCU_CTRL.1
30,4EE3,ERLE,1154,3,30_ERLE_1154.3,Area: 30_ERLE_1154.3
29,6LU1,LEDU,1246,1,29_LEDU_1246.1,Area: 29_LEDU_1246.1
28,CLEE1,ERLE,CTRL,1,28_ERLE_CTRL.1,Area: 28_ERLE_CTRL.1
27,7LU2,LEDU,1177,2,27_LEDU_1177.2,Area: 27_LEDU_1177.2
26,6LU2,LEDU,1246,2,26_LEDU_1246.2,Area: 26_LEDU_1246.2
25,CLEN3,ERIN,CTRL,3,25_ERIN_CTRL.2,Area: 25_ERIN_CTRL.2
24,7EE1,ERLE,1177,1,24_ERLE_1177.1,Area: 24_ERLE_1177.1
22,CLBU3,BOCU,CTRL,3,22_BOCU_CTRL.2,Area: 22_BOCU_CTRL.2
21,7LU3,LEDU,1177,3,21_LEDU_1177.3,Area: 21_LEDU_1177.3
20,4EN1,ERIN,1154,1,20_ERIN_1154.1,Area: 20_ERIN_1154.1
19,6CL2,CTRL,1246,2,19_CTRL_1246.2,Area: 19_CTRL_1246.2
18,4BU3,BOCU,1154,3,18_BOCU_1154.3,Area: 18_BOCU_1154.3
17,CLEN2,ERIN,CTRL,2,17_ERIN_CTRL.2,Area: 17_ERIN_CTRL.2
16,CLEE3,ERLE,CTRL,3,16_ERLE_CTRL.2,Area: 16_ERLE_CTRL.2
15,7BU3,BOCU,1177,3,15_BOCU_1177.3,Area: 15_BOCU_1177.3
14,7CL3,CTRL,1177,3,14_CTRL_1177.3,Area: 14_CTRL_1177.3
13,6EE1,ERLE,1246,1,13_ERLE_1246.1,Area: 13_ERLE_1246.1
12,7EE3,ERLE,1177,3,12_ERLE_1177.3,Area: 12_ERLE_1177.3
11,6EN1,ERIN,1246,1,11_ERIN_1246.1,Area: 11_ERIN_1246.1
10,4CL3,CTRL,1154,3,10_CTRL_1154.3,Area: 10_CTRL_1154.3
9,4EE2,ERLE,1154,2,9_ERLE_1154.2,Area: 9_ERLE_1154.2
8,6EN2,ERIN,1246,2,8_ERIN_1246.2,Area: 8_ERIN_1246.2
7,4BU1,BOCU,1154,1,7_BOCU_1154.1,Area: 7_BOCU_1154.1
6,7LU1,LEDU,1177,1,6_LEDU_1177.1,Area: 6_LEDU_1177.1
5,4LU2,LEDU,1154,2,5_LEDU_1154.2,Area: 5_LEDU_1154.2
4,6BU3,BOCU,1246,3,4_BOCU_1246.3,Area: 4_BOCU_1246.3
3,4LU3,LEDU,1154,3,3_LEDU_1154.3,Area: 3_LEDU_1154.3
2,CLCL2,CTRL,CTRL,2,2_CTRL_CTRL.2,Area: 2_CTRL_CTRL.2
1,7EN3,ERIN,1177,3,1_ERIN_1177.3,Area: 1_ERIN_1177.3
