FeatureID,Name,Formula,MW,KEGG Pathways,name4plot,C,H,N,O,Cl,S,P,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,gap_status,control_means,treatment_means,log2FC,pval,pval.adj,Comment
Feature0363,Υ-Aminobutyric acid (GABA),C4 H9 N O2,103.06331,Metabolic pathways;Microbial metabolism in diverse environments;Other,Υ-Aminobutyric acid (GABA),4,9,1,2,0,0,0,2.25,0.5,-0.5,74.55,1,-1,-2,-0.5,-2,Protein,Missing ions,12.750827882587899,9.205323409941084,-3.5455044726468152,0.6179506461464865,0.9546629250691132,Downregulated
Feature0354,Trigonelline,C7 H7 N O2,137.04767,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;Biosynthesis of phenylpropanoids;Degradation of aromatic compounds;Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of various plant secondary metabolites;Other",Trigonelline,7,7,1,2,0,0,0,1,0.2857142857142857,0,60.3,5,3,0.5,0.6,2,Phenol,No gap,8.05923120463074,7.8706160829319165,-0.188615121698823,0.9749256840511853,0.9984331369054189,Downregulated
Feature0349,Tetrolic Acid,C4 H4 O2,84.02115,Metabolic pathways;Other,Tetrolic Acid,4,4,0,2,0,0,0,1,0.5,0,60.3,3,1,0.5,0.6666666666666666,1,Phenol,No gap,9.65743093242558,11.398315954628966,1.7408850222033863,0.7784888670059106,0.9546629250691132,Upregulated
Feature0347,Stavudine,C10 H12 N2 O4,224.07968,Metabolic pathways;Biosynthesis of cofactors;Other,Stavudine,10,12,2,4,0,0,0,1.2,0.4,0.20000000000000015,54.599999999999994,6,2,0,0.3333333333333333,0,Phenol,No gap,3.415420974036847,2.6701053341814833,-0.7453156398553635,0.822423728286311,0.9546629250691132,Downregulated
Feature0345,Pyrone,C5 H4 O2,96.02111,Metabolic pathways;Microbial metabolism in diverse environments;Other,Pyrone,5,4,0,2,0,0,0,0.8,0.4,0,60.3,4,2,0.6666666666666666,0.75,2,Condensed HC,No gap,6.3192171328349795,7.678590981130533,1.3593738482955535,0.8142263922046097,0.9546629250691132,Upregulated
Feature0343,Pyrogallol,C6 H6 O3,126.03166,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Other,Pyrogallol,6,6,0,3,0,0,0,1,0.5,0,60.3,4,1,0.3333333333333333,0.5555555555555556,1,Phenol,No gap,3.1330891393294134,10.32801077039805,7.194921631068636,0.20013222974798556,0.9176985427155225,Upregulated
Feature0341,PYRIDOXAMINE,C8 H12 N2 O2,168.08991,Metabolic pathways;Microbial metabolism in diverse environments;Other,PYRIDOXAMINE,8,12,2,2,0,0,0,1.5,0.25,-0.25,67.425,4,2,0,0.2,0,Lipid,No gap,24.101646750537974,26.207018341790434,2.10537159125246,0.24385601411075508,0.9176985427155225,Upregulated
Feature0338,Proline,C5 H9 N O2,115.06328,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;D-Amino acid metabolism;Other,Proline,5,9,1,2,0,0,0,1.8,0.4,-0.4000000000000003,71.7,2,0,-0.5,0,-1,Protein,No gap,28.956147540780947,27.830001434934882,-1.1261461058460647,0.04287202080681035,0.9176985427155225,Downregulated
Feature0336,Piptamine(antibiotic),C23 H41 N,331.32396,NA,Piptamine(antibiotic),23,41,1,0,0,0,0,1.7826086956521738,0,-1.6521739130434785,107.38695652173914,4,4,0.13636363636363635,0.13636363636363635,3,Lipid,No gap,1.7386858558241132,0,-1.7386858558241132,0.33428194339465767,0.9176985427155225,Downregulated
Feature0318,NP-011220,C11 H18 N2 O2,210.13681,NA,NP-011220,11,18,2,2,0,0,0,1.6363636363636365,0.18181818181818185,-0.7272727272727275,81.02727272727273,4,2,0,0.125,0,Lipid,No gap,26.344344802872726,26.6043345655338,0.25998976266107476,0.11956496904658936,0.9176985427155225,Upregulated
