FeatureID,Name,Formula,MW,# mzCloud Results,KEGG Pathways,name4plot,C,H,O,NA,F,N,Cl,P,S,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,SampleID,AUC,gap_status,Plant,Fungi
Feature0547,NA,C8 H15 N O4,189.10013,20,NA,Feature0547,8,15,4,0,0,1,0,0,0,1.875,0.5,-0.5,74.55,2,-2,-1,-0.2,-3,Protein,59_CTRL_1154.1,1915419.822,Missing ions,CTRL,1154
Feature0545,NA,NA,85.98542,0,NA,Feature0545,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,59_CTRL_1154.1,161366132,No gap,CTRL,1154
Feature0540,NA,NA,103.99596,0,NA,Feature0540,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,59_CTRL_1154.1,166628311.7,Missing ions,CTRL,1154
Feature0539,NA,C4 H2 O8 S2,241.91814,0,NA,Feature0539,4,2,8,0,0,0,0,0,2,0.5,2,4.5,-67.95,4,-4,1,1,-6,Other,59_CTRL_1154.1,147151158.8,No gap,CTRL,1154
Feature0533,NA,C2 H3 P S,89.96937,0,NA,Feature0533,2,3,0,0,0,0,0,1,1,1.5,0,-3,145.8,2,2,NA,NA,0,Lipid,59_CTRL_1154.1,105032619.9,No gap,CTRL,1154
Feature0530,NA,NA,101.96297,0,NA,Feature0530,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,59_CTRL_1154.1,48008709.54,No gap,CTRL,1154
Feature0525,NA,C18 H23 N5,309.19516,2,NA,Feature0525,18,23,0,0,0,5,0,0,0,1.2777777777777777,0,-0.44444444444444464,72.96666666666667,10,10,0.38461538461538464,0.38461538461538464,5,Unsaturated HC,59_CTRL_1154.1,92774435.52,No gap,CTRL,1154
Feature0516,NA,C35 H63 N O3,545.48105,0,NA,Feature0516,35,63,3,0,0,1,0,0,0,1.8,0.08571428571428572,-1.5428571428571427,104.27142857142857,5,2,0.03225806451612903,0.07692307692307693,1,Lipid,59_CTRL_1154.1,72624068.79,No gap,CTRL,1154
Feature0513,NA,NA,257.89211,0,NA,Feature0513,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,59_CTRL_1154.1,40949452.16,No gap,CTRL,1154
Feature0511,NA,C3 H2 N4 O18 S2,445.88051,0,NA,Feature0511,3,2,18,0,0,4,0,0,2,0.6666666666666666,6,16.666666666666664,-414.69999999999993,5,-13,0.9047619047619048,0.8333333333333334,-19,Other,59_CTRL_1154.1,50246336.43,No gap,CTRL,1154
