SampleID,Plant,Fungi
59_CTRL_1154.1,CTRL,1154
58_ERLE_1154.1,ERLE,1154
55_LEDU_CTRL.2,LEDU,CTRL
54_LEDU_CTRL.1,LEDU,CTRL
50_BOCU_CTRL.2,BOCU,CTRL
48_LEDU_CTRL.2,LEDU,CTRL
46_CTRL_1154.2,CTRL,1154
45_LEDU_1154.1,LEDU,1154
44_BOCU_1154.2,BOCU,1154
43_ERIN_1154.3,ERIN,1154
42_ERIN_1154.2,ERIN,1154
41_CTRL_CTRL.1,CTRL,CTRL
40_CTRL_CTRL.3,CTRL,CTRL
36_ERIN_CTRL.1,ERIN,CTRL
32_ERLE_CTRL.2,ERLE,CTRL
31_BOCU_CTRL.1,BOCU,CTRL
30_ERLE_1154.3,ERLE,1154
28_ERLE_CTRL.1,ERLE,CTRL
25_ERIN_CTRL.2,ERIN,CTRL
22_BOCU_CTRL.2,BOCU,CTRL
20_ERIN_1154.1,ERIN,1154
18_BOCU_1154.3,BOCU,1154
17_ERIN_CTRL.2,ERIN,CTRL
16_ERLE_CTRL.2,ERLE,CTRL
10_CTRL_1154.3,CTRL,1154
9_ERLE_1154.2,ERLE,1154
7_BOCU_1154.1,BOCU,1154
5_LEDU_1154.2,LEDU,1154
3_LEDU_1154.3,LEDU,1154
2_CTRL_CTRL.2,CTRL,CTRL
