"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0001",0,27.0348628829521,26.7949582349103,28.2827949498863,0,0,0,0,27.4084619916652,0,27.0613008570978,26.9821244183419,27.5774704459344,0,27.2104920136326,0,0,0,0,0,0,0,0,0,27.2038485787014,0,0,26.3770359042523,0,0
"Feature0003",28.7489678521228,31.9303262104215,0,24.1817368503776,31.975540988871,27.8478015919559,32.8353534423409,31.8660260430752,32.1237693102116,26.6894282994268,28.2670489553469,32.048766866717,32.0236142333812,31.9960023239097,31.9681190422636,29.9285140515207,26.5815461712034,26.613697909273,27.1229725034661,27.1235918273199,26.5738708454731,32.6047839994111,26.7791095097904,31.2875861368922,31.9951875800643,31.8526057756767,27.8001703337497,28.1389249027028,26.9477348090903,27.1516570435271
"Feature0004",23.8201485485802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0005",0,0,0,0,0,0,0,0,0,0,0,0,22.0603500426891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2968552763351,0,0,0,0,0,0,0,0,0
"Feature0007",27.7040088875094,27.7858895455413,27.548587102636,27.5851865421433,28.0692402446728,27.2224330427612,27.6663307156785,27.9535835195877,27.8129384203474,28.2772583615202,28.293988055725,27.4839076125275,28.0993584771277,28.0206721309798,27.7452245210274,27.9230259460694,27.4009455733199,27.2869750810336,27.947280184199,28.00848203648,27.4564843895369,27.4330022275174,27.7594803955669,26.6274556544885,27.554809589011,27.8344545528054,27.4388865375968,0,28.0559437105964,27.2132352937822
"Feature0009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0076307169523,0,0,0,0
"Feature0010",23.4122833490091,0,0,23.2377467460826,0,0,0,22.9906617368809,23.1952390337596,24.4332529787043,0,0,0,22.8767649498046,0,0,0,0,0,0,0,0,0,0,0,22.8660421192824,0,0,24.7863728790847,0
"Feature0011",0,0,0,0,0,0,0,0,0,0,0,19.1516697682102,0,0,0,0,0,0,0,0,0,0,0,0,22.7251709646381,0,0,0,0,0
"Feature0013",17.838120247564,0,0,22.9921371323316,0,0,0,24.5643189303677,24.1056022859569,0,0,0,0,0,0,0,0,0,0,0,0,24.7337500879669,0,24.3454108636091,0,24.5370019619399,0,18.2018121730432,0,0
