"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0001",0,27.3681450703538,26.9267939653795,28.042988746969,0,0,0,0,27.5370610199128,0,26.057784759927,27.2778161420675,27.7040429584718,0,27.3746648042178,0,0,0,0,0,0,0,0,0,27.4209444525792,0,0,26.1924322750346,0,0
"Feature0003",0,0,0,0,0,0,0,0,0,0,0,0,22.2458358369664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2594991369945,0,0,0,0,0,0,0,0,0
"Feature0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.987990505167,0,0,0,0,0,0,0,0
"Feature0006",27.4848615864896,28.1879450099832,27.7453368680533,27.3647409581205,28.389961659952,26.9604899570239,27.8202459873694,28.1482465049525,27.9230906939622,27.7947827066272,27.4515163966726,27.7789243638545,28.2059159904797,28.1077264495609,27.9447066484411,28.281548897568,27.0085666028436,26.9968700595083,27.461613146227,27.6092196744654,27.1653998933863,27.5748789246274,27.5916306391186,26.8717055101856,27.7481306415879,27.8761569689359,27.0456459044345,0,27.6305560987778,26.867339206361
"Feature0007",23.8636285768866,24.4193417938157,0,24.7401201345288,0,0,0,24.4042626692285,24.7422333136602,24.2602072183225,0,23.9404600087376,25.6777820731799,24.8070823701077,24.0919105999208,0,0,0,0,0,0,0,0,0,24.0911661466811,25.0934050334973,0,0,0,0
"Feature0008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0855653611107,0,0,0,0
"Feature0009",23.9195042214307,0,0,23.6315183190166,0,0,0,22.2602893024457,23.2507171499572,24.3701720362393,0,0,0,22.7985816956712,0,0,0,0,0,0,0,0,0,0,0,22.9434938306277,0,0,25.1168990992146,0
"Feature0010",0,0,0,0,0,0,0,0,0,0,0,18.8395219033948,0,0,0,0,0,0,0,0,0,0,0,0,21.607616247236,0,0,0,0,0
"Feature0012",18.1240398179392,0,0,23.2679436594479,0,0,0,23.9848354367084,24.2718231969799,0,0,0,0,0,0,0,0,0,0,0,0,25.0922160944354,0,23.7445662369205,0,24.6393340882323,0,17.9895435426659,0,0
"Feature0014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1612035156933,0,0,0,0,0,0,0,0,0
"Feature0015",0,0,0,0,0,0,21.6033319108167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5012058506204,0,0,0,0,0,0,0
"Feature0016",0,0,0,0,0,0,0,0,0,0,0,22.8679477705944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0017",22.3893723149962,23.2561260916177,0,22.4053832862509,0,0,0,25.4168293189129,25.0161751063285,22.3886146159701,25.1844355216006,0,0,24.5643093748382,0,0,0,0,0,0,0,0,0,21.8423299764278,0,25.4436413255676,0,21.26742759123,23.2974462208871,0
"Feature0018",0,0,0,23.7555773430506,0,0,0,0,23.0010292578546,0,0,0,0,23.2196354007983,0,0,0,0,0,0,0,0,0,0,0,23.7505705289147,0,0,0,0
"Feature0019",16.8954695382999,0,0,0,0,0,0,0,17.0425202318004,0,0,0,0,17.4520189429453,0,0,0,0,0,0,0,16.9155851648476,0,0,0,0,0,17.1095761505027,16.1463652667623,0
"Feature0020",0,0,0,0,0,19.8071694641562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0021",0,22.9343214028658,0,22.3014614755098,0,0,0,0,0,0,26.1246838229685,23.5985768608324,0,0,23.2596130865958,0,0,0,0,0,0,0,0,0,0,24.7493010184138,0,21.5563497526402,0,0
"Feature0022",0,24.2618026492497,0,0,0,0,0,0,0,0,0,0,0,0,24.0865769918656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0023",0,0,0,19.8480889011044,0,0,0,0,0,0,0,0,0,24.5791156899831,0,0,0,0,0,0,0,0,0,22.2984390397646,0,0,0,19.7238546359302,19.5719779400482,0
"Feature0024",0,0,0,18.771808660952,0,0,0,0,24.2053146012721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6487522018191,0,0,0,0
"Feature0025",26.5131532980638,25.665529662451,26.2839722482679,26.3606619057348,26.004116433398,25.9481352100416,26.3459331374906,25.7910445336095,25.6612456554764,26.7402023335803,26.9236894030612,25.6941358994773,25.8976657014595,25.8123208446252,25.7608772116075,0,25.5197578650897,25.9923154067636,26.0846979609945,25.8846408145168,26.2241619449843,25.7396744462082,25.934885483545,26.0133522879146,25.6525670001906,25.7630535498098,25.5865720840957,26.1450616921106,26.6178228289642,25.6819475059188
"Feature0026",0,0,0,0,0,0,0,0,0,0,20.9490369489798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0027",0,0,0,0,0,0,0,0,0,0,26.7434569629165,0,0,0,25.3242169859337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0028",26.8717921867441,29.2275714356159,28.4421882961765,27.8755789871212,29.3866916648985,27.0781755463899,29.33036172617,29.2321500619517,29.1657197811546,27.209789297995,27.1410627628654,29.0163959137205,29.1905237403828,29.1546995810814,29.2004629437907,29.5514643039908,26.7669893232838,26.8188081585388,26.9944847485993,27.3494854504761,26.5288333177429,29.0639662758144,26.786097345871,26.9861285536891,29.0062759834198,29.0823849741791,26.9714478131517,27.2214214529321,26.7872410991757,26.6334405089039
"Feature0029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1610682716742,0,0,0,0,0,0,0,0,0
"Feature0030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0435743345338,26.2905878606979,26.071240370783,0,0
"Feature0032",0,24.7157855328086,0,0,0,0,0,0,0,0,0,24.8215459347442,0,0,24.7270971733067,0,0,0,0,0,0,0,0,0,24.5838973698293,0,0,0,0,0
"Feature0033",0,0,0,0,0,21.8984375313707,0,0,0,0,0,0,21.9451638940902,0,0,0,0,0,0,0,0,0,21.6271090665497,0,0,0,0,0,0,0
"Feature0034",0,0,0,0,0,0,0,26.1991607551937,26.3199471234914,0,0,25.8442610140671,0,0,26.117139321551,0,0,0,0,0,0,0,0,0,26.4659138553553,26.3064526143465,0,0,0,0
"Feature0035",0,25.5822800314895,26.4486050011442,0,26.2332643832792,25.3852525570308,26.3924465218388,0,0,0,26.5114396162234,25.6641366386615,26.0764822037291,0,25.7614107904374,0,0,25.0989037293677,25.9887786384858,25.7036811012796,26.0110333551983,0,25.9537837405279,0,25.5401844204506,0,25.1355032588259,0,0,25.0026956518415
"Feature0036",0,0,0,0,21.9950680558202,27.0535658565465,0,0,0,0,0,0,0,0,0,22.4538443359731,26.6344351706315,26.6993911575968,26.6548111570501,26.6357169312408,26.9594610904658,0,26.4677209076164,0,0,0,26.489189338903,0,0,27.2944646240913
"Feature0037",0,0,0,0,0,25.4113457264774,21.6140711995145,0,0,0,0,0,0,0,0,21.5657376909645,22.2539892733029,0,0,0,21.2336237395539,0,22.3517754682884,0,0,0,0,0,0,0
"Feature0040",0,17.8899005440553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.673922311264,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0042",0,26.1192772706198,0,0,0,0,0,0,0,0,24.0442457408733,25.6459678078527,0,0,25.3773954456012,0,0,0,0,0,0,0,0,0,25.4335771661992,0,0,0,0,0
"Feature0043",0,0,0,0,19.4343863113063,29.197542200319,20.8467440757404,0,0,0,0,0,0,0,0,20.4158864064645,27.4864538134684,28.3352154614397,27.1859426462958,26.0830734951888,28.1125819561746,0,0,0,0,0,0,0,0,0
"Feature0044",0,0,0,0,0,0,0,0,0,0,23.146123430695,24.1603915458585,0,0,23.9747438785429,0,0,0,0,0,0,0,0,0,23.9937545644609,0,0,0,0,0
"Feature0045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0560545432578,0,0,0,0
"Feature0046",0,0,0,0,0,0,0,28.2128847947312,24.8866591074103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.547415218902,0,0,0,0,0
"Feature0047",26.7258898069064,26.2190427769271,26.8697591422348,26.7546078514409,26.3375979671164,26.4337127013296,26.7676181433914,26.3552171505049,26.2610050842177,26.7328663236688,26.7118723297075,26.1375370397337,26.3890586496858,26.3713936445166,26.2042349062912,26.3476880976449,26.0593573562049,26.3732097484918,26.5816337476058,26.5066136522613,26.6044369795851,26.333327029666,26.5364289071798,26.6110789397063,26.1508256897663,26.2674619327145,26.1258052035145,26.7895565164555,27.00872131493,26.3288916567277
"Feature0048",0,0,0,20.7408107017607,0,0,0,0,18.8191112904157,20.9329482753111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5318584856769,0,20.8709122196012,21.5110392344767,0
"Feature0049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3563041425976,0,0,0,0,0,0,0
"Feature0050",0,0,0,0,21.8043258039583,0,0,0,0,0,0,0,0,0,0,0,0,20.7802360264961,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0051",0,0,0,0,0,0,0,0,0,0,0,22.9690153307305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0053",0,24.0012533401103,0,23.978181673758,0,0,0,23.9246990924083,24.2024247866112,0,0,0,0,24.2992027750534,0,0,0,0,0,0,0,0,0,0,0,24.6819586817731,0,0,0,0
"Feature0055",0,0,25.3703790394156,0,25.6092724287953,23.5389774975485,0,0,0,0,0,0,24.7711946824741,0,0,0,0,23.2970904443789,23.6050183542444,0,23.2827303505282,0,24.0014635920231,0,0,0,23.2882845843895,0,0,23.4079788885076
