"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0001",NA,265328972.2,94180813.81,451637535.1,NA,NA,NA,NA,209900403.9,NA,48316571.87,174486707,286487846,NA,232952094.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,188463839.2,NA,NA,106842169.1,NA,NA
"Feature0003",529970412.5,6567127769,NA,23544198.55,6177729688,180882255.6,4812171960,5899734626,5673252194,96441494.82,201288045.7,5318952292,6439472833,6044236916,5771263692,1670227853,58417245.94,78053364.23,151645124.8,171861555.5,80081395.79,5691441687,122122922.3,3557974026,5216030082,6023940974,176254079.3,315581929.6,161757296.1,73841009.33
"Feature0004",12255626.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4562720.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51638573.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0007",247587012,428098462.6,158753682.6,269954297.3,341386789.3,154075608.4,122665754.8,389927192.9,279032166.9,334234169,137257449.7,237649325.5,412580432.5,387151696.8,324168419.3,377312653.3,119744703,144346651.4,344466101.5,399990752.4,189619088.7,155449720.9,294032111,147315200.5,235308506.8,383578282.3,189410606.7,NA,275789020.4,89905793.51
"Feature0009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11139429.15,NA,NA,NA,NA
"Feature0010",9232767.157,NA,NA,10927884.01,NA,NA,NA,11171758.26,13772477.93,8549647.989,NA,NA,NA,13111384.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10362555.13,NA,NA,8665736.354,NA
"Feature0011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2985721.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52885634.64,NA,NA,NA,NA,NA
"Feature0013",196697.4919,NA,NA,10089617.25,NA,NA,NA,27411365.41,21227314.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23070513.06,NA,43435931.58,NA,30196710.11,NA,339130.9567,NA,NA
"Feature0015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3376769.114,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0016",NA,NA,NA,NA,NA,NA,711085.7004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14831023.81,NA,NA,NA,NA,NA,NA,NA
