"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0001",25.2313517674437,23.5237043787798,24.0718785838423,25.1921029232686,23.5879167381501,25.3926844749749,24.1282008265157,23.6599676421761,23.853488148238,24.9543057834568,25.3872957903858,24.0607090846145,23.7952392515978,23.7612693810564,23.6866954917627,23.6126291118842,25.2215512838235,25.3114642520135,24.8794484277592,24.7350610448066,25.2548847553083,24.1258606058633,25.372106293792,23.9424443907481,23.7821727256872,23.781220650765,25.8292717740521,25.3268923950638,25.1823519172082,25.5433014465118
"Feature0002",25.1144213656551,23.2749901854914,23.7657128177886,24.9029569601061,23.6075479331349,25.1404909498849,23.7639222682694,23.4199758473396,23.5882258276652,24.8772348334279,25.107659786541,23.7393828438887,23.4041758879049,23.5541712726068,23.5634496131163,23.4890344760118,24.9878767444386,25.1342439981339,24.7318363595241,24.5743715919154,25.0476406494905,23.8318571196811,25.1430204695664,23.7562166401984,23.5518382372568,23.4466509414705,25.574205568374,25.2659516214763,24.9735758324115,25.3890718525656
"Feature0003",19.4032303425382,19.5226378665968,19.0219960008014,18.5646210385983,19.3776774735526,20.3550293413118,19.4365182317509,19.4511805632308,19.4197827541976,19.14681848513,18.874072977039,19.2257813197833,19.5085185939312,19.301026697565,19.1591282167432,19.6637092778087,19.5344201507078,19.3547431929297,19.0730260549607,18.8035411840096,18.8785548484068,19.1421860121887,19.0530581313875,19.53594684326,19.2932365611074,19.2522965071211,19.9843546464856,18.6476241302119,19.1047754819905,18.4926192049241
"Feature0004",18.4454330651024,25.5236808467523,25.6696461282874,17.025345266484,25.6444246989504,17.6629198414252,25.0519154504629,25.535095774385,25.2479898521289,18.2862795139769,17.3749241080547,25.5676793677184,25.6845048658965,25.4384417501562,25.325755725482,25.4531713012117,17.6618600358337,17.5278976804971,17.7032892999837,17.5334182190478,18.5454235514566,24.9993698500845,18.0106628591487,25.051339455267,25.2893089647184,25.2471917662677,17.1132539534693,16.7067138376611,17.7114593477244,17.5195948669977
"Feature0005",25.666848618897,24.5638468940262,25.1545744128527,25.5603668950947,24.6103456943393,26.0114931677506,25.0419126430414,24.5813932180983,24.7603343137109,25.4910054076263,25.8584145506905,24.9062723243204,24.3964923788056,24.5689782297727,24.651670092985,24.5041337030308,25.8880374894539,25.7609571047923,25.3718375737349,25.3296355911216,25.7761588246507,25.0179100270047,25.6541043149152,24.7651335381808,24.8595237965152,24.651609610604,26.4874847237269,25.7967760045606,25.7141052141022,25.9986837889325
"Feature0006",21.8010906048428,24.8470809638741,24.969638405315,23.8801735989683,25.3256486212783,20.4864283492187,24.9099315694903,24.9988047026141,24.8538284530053,21.5859270197528,20.6124000278168,25.2557090093606,24.8499630243434,24.8116823861648,25.207909990965,25.2340763424741,20.4543700871775,20.5797217657673,21.7212033999826,21.0452343799816,21.2844658207222,25.1373510683734,21.1147177119224,23.6695899507786,25.2606714255974,24.7943002370508,20.2650363559549,21.387656862548,21.2912110698753,20.7688661013757
"Feature0007",26.2019201094091,24.6016266948951,25.2322968633628,25.9469079122333,16.6552959206351,26.6520785669557,25.8849474306135,24.9659750131287,24.9789137274602,26.1298264528813,26.8778644881272,25.3823063213832,24.705226095007,24.8348055221591,24.9930466431756,24.760447898073,27.1850056582457,26.7681798414626,25.8105397093998,25.8325664325422,26.2858922158886,25.4916901483759,26.3928231466672,24.9399167025145,25.2382483076482,24.7956328341201,18.7292291507983,17.9658632694158,26.0684208375198,27.5268705765925
"Feature0008",21.3013353791357,16.7082863664585,20.4775253374848,21.77436527893,17.0975788782929,19.8466310139235,25.8417807301663,25.014293491613,24.9435381798639,19.5303709957693,27.125205051062,25.5073903727433,24.7124681562092,24.8479482684073,25.01589203547,24.8040043612198,27.3328395481107,27.1107133777898,26.1004253109194,26.1493984348356,26.6271475030649,25.4821741795254,22.0142903173682,24.9134983481213,25.2797334293408,24.7845240304783,27.1897653521239,26.6422820424365,22.2296326469457,20.8123048629667
"Feature0009",20.5588560353988,24.3382602752054,23.8924467787917,22.836589244666,24.0664905527265,19.6368768517976,23.6786848615468,24.3438442747582,23.8926719440137,20.0073931866557,18.587877038335,24.3088486153662,24.0477759137795,24.2821449087293,23.8140610370946,24.0001342214942,18.0974213714029,19.3300374001173,20.0829830024109,19.535461480144,19.543328158236,23.9615465704191,20.4405172889651,25.7349588826703,24.3233763181863,24.0404883804964,19.0451355319316,20.0669265186733,20.5796260304552,18.8101232524389
"Feature0010",23.621182730434,25.4592019947038,25.9760777791177,21.2631973435922,25.2532554318144,21.1027542439957,25.7846416233376,25.3680421363888,25.3735742901642,22.8255165723981,20.5373740244125,25.4472774770111,24.873742932327,25.7195873264782,25.4745202057101,24.8677555122355,20.5346337941016,21.2128371938924,22.6058444742545,22.3090944240341,23.2910568391065,25.0185205015202,21.7285621840297,24.8714803563186,25.8278308326368,25.6802382815524,21.5982906781878,24.1394036715539,23.4576890742079,20.6175620087943
"Feature0011",16.4869725558983,16.3577715051557,16.2601872977095,16.5613617276036,16.2167497030213,16.5265079193275,16.2243707899872,16.1697294423698,16.0689450978775,27.1118176816808,16.4847648667247,16.1648334400914,16.4062940102922,16.2933356056287,16.0176123448638,16.3718588560287,16.4964834975028,16.3902649342525,16.5751851313025,26.0079036020665,16.5108444286394,25.4710213133684,16.492515866794,16.0247573842738,22.3488201665802,24.1985689005874,16.4003419585297,16.2356025965566,16.5552613424013,16.2637141735523
