"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0001",29789507.65,31298283.59,29824911.46,34540854.22,26372676.09,24770189.1,20975593.27,32232494.14,28971354.14,25837873.68,21713438.89,28325306.8,35783738.76,34510075.66,27656492.73,30871608.79,14942202.29,20853949.43,29579438.74,26841017.48,27017016.28,24026761.56,27608720.02,32007153.07,23594499.87,35702888.3,25423261.7,31306499.22,30640600.09,14552772.57
"Feature0002",25853964.24,26461325.61,25009165.57,26511938.61,26788187.42,20249958.37,16416351.45,27113901.7,24251217.01,23058514.07,17190569.69,22236251.43,27248667.48,29829989.23,25330232.8,28174663.25,12419514.6,17472257.35,25576930.13,22873901.53,22190981.2,19629455.01,21898751.2,28175791.65,20026094.57,28390022.21,21241313.13,28919951.66,25545087.93,12444748.28
"Feature0003",503275.0485,549005.1557,368599.7991,360206.6024,475668.8515,780125.2979,424849.6863,544836.1387,530082.6671,379130.7583,291560.5893,427358.9787,613982.3725,512550.1098,501194.8959,638086.0885,410365.1706,442079.334,385653.7462,347340.3046,301540.3498,394132.8304,377275.3723,718659.5777,461806.6056,580042.8747,808838.0018,455083.842,383293.05,202813.3868
"Feature0004",299760.8127,41947484.3,40323089.44,185067.1216,37457991.78,145556.0606,20824304.34,39163812.07,32767615,233455.7731,115527.8785,35190801.91,56194020.44,43462841.52,37531400.72,40515228.72,117276.0137,127113.8282,185658.3003,182027.8064,264724.5067,21401851.95,191099.8779,42206869.48,26288131.46,39258827.64,133976.4754,169361.7252,174128.109,87645.2991
"Feature0005",49442595.5,58274849.21,51192344.56,54550501.05,48144748.11,44767111.44,35445355.72,55656186.98,49169089.34,47667589.87,36363158.21,47818859.77,50554395.05,55406106.76,49672032.53,53312421.26,27832311.81,35592255.98,49108542.78,49577528.23,47546811.85,40978572.35,44235314.35,53485279.6,44868074.08,59241623.79,43452162.17,50246336.43,53278976.09,25179657.66
"Feature0006",2382306.443,52291398.78,46536781.67,13171670.69,57649545.13,896108.1134,26418537.22,49443083.34,41607080.37,2212952.558,866995.92,39785071.32,55477498.26,49337514.37,53234512.25,61903045.11,656983.2208,786815.1018,2916357.963,1973174.409,1577925.395,35303013.51,1231287.364,23560285.09,40572996.07,49538515.31,743602.8884,2455838.264,1977131.965,574362.3994
"Feature0007",65525661.56,62737129.08,59533310.32,65368553.43,204163.9447,64670351.57,66906057.04,76101481.11,60035981.94,66774270.23,67911458.09,68893620.49,64923357.69,69549019.72,65603503.96,66060025.9,63537614.61,64999973,61820757.8,64232172.49,61998054.45,59411032.52,65488419.1,62302290.63,61468424.57,68511403.82,192439.4663,206770.4943,62611519.69,65670962.56
"Feature0008",1671812.11,267325.99,2608337.476,2703186.664,278312.3501,509921.3817,66906057.04,76101481.11,60035981.94,522990.6763,67911458.09,68893620.49,64923357.69,69549019.72,65603503.96,66060025.9,63537614.61,64999973,61820757.8,64232172.49,61998054.45,59411032.52,2264272.605,62302290.63,61940549.7,68511403.82,67658919.28,72624068.79,3687739.537,504200.9222
"Feature0009",1268520.274,21154095.64,13607614.79,10333541.39,14435019.84,594364.0732,8533296.974,18829046.83,14036439.02,788531.4494,259911.175,15457630.5,20504302.84,21374577.71,14139204.47,16203341.88,157354.8624,418310.3547,1009971.512,770712.2632,533138.5041,11070080.44,961017.1325,76394596.82,13942785.12,18335436.46,463454.0961,1587401.646,1315179.492,196702.9899
"Feature0010",8116342.153,110257140.8,115997692.7,1846003.661,75501813.01,1228829.106,61777976.28,91702001.86,78010227.64,5050606.747,715413.7773,61844442.16,70362224.23,122087272.1,85993154.69,65832025.02,583993.6315,1089226.859,5368143.616,4445130.588,6060129.709,41556392.2,1813203.32,59708170.2,85468622.07,121930875.1,1453167.947,12948924.22,8620303.928,445770.3728
"Feature0011",56305.11793,63623.51813,60931.40332,61415.38232,62132.93889,48970.87953,49050.48459,59292.57221,56069.80196,87481468.61,49083.09509,53382.88891,68093.20574,62694.83874,61351.81752,66447.79044,46273.255,51240.67191,59278.81635,42957793.53,53682.27888,36489935.67,56447.69389,57380.67805,4486725.729,18442041.47,48370.02143,54420.20344,59155.16715,43715.61397
"Feature0012",544904.8748,545866.631,522895.8539,546529.782,550754.8216,557464.5201,552451.3863,618223.8846,512560.4517,525420.402,509894.928,530035.221,590559.9377,589103.0311,502690.9359,513487.2788,588741.9394,574761.9203,615536.141,555609.0919,558811.9705,539778.9403,557565.7549,551064.4231,604925.8324,586371.3444,976727.0364,1283615.933,575564.2175,577352.9787
"Feature0013",294111.5956,310134.3544,254199.25,346343.4448,418444.8451,431504.657,2082233.497,462964.8302,173500.1336,422887.6729,445478.0943,324873.5764,164656.295,177845.8413,383162.5468,325176.8237,276612.0535,200943.8462,444005.4918,496481.9722,378134.3022,387522.4308,489538.8291,188504.505,240576.887,182496.3273,562159.228,2793154.973,343546.2986,184964.3244
