SampleID,Plant,Fungi
60_CTRL_1246.1,CTRL,1246
59_CTRL_1154.1,CTRL,1154
58_ERLE_1154.1,ERLE,1154
57_CTRL_1246.3,CTRL,1246
56_BOCU_1246.1,BOCU,1246
55_LEDU_CTRL.2,LEDU,CTRL
54_LEDU_CTRL.1,LEDU,CTRL
53_ERIN_1177.1,ERIN,1177
52_BOCU_1246.2,BOCU,1246
51_ERLE_1246.2,ERLE,1246
50_BOCU_CTRL.2,BOCU,CTRL
49_ERIN_1246.3,ERIN,1246
48_LEDU_CTRL.2,LEDU,CTRL
47_CTRL_1177.1,CTRL,1177
46_CTRL_1154.2,CTRL,1154
45_LEDU_1154.1,LEDU,1154
44_BOCU_1154.2,BOCU,1154
43_ERIN_1154.3,ERIN,1154
42_ERIN_1154.2,ERIN,1154
41_CTRL_CTRL.1,CTRL,CTRL
40_CTRL_CTRL.3,CTRL,CTRL
39_ERIN_1177.2,ERIN,1177
38_BOCU_1177.2,BOCU,1177
37_ERLE_1246.3,ERLE,1246
36_ERIN_CTRL.1,ERIN,CTRL
35_LEDU_1246.3,LEDU,1246
34_ERLE_1177.2,ERLE,1177
33_BOCU_1177.1,BOCU,1177
32_ERLE_CTRL.2,ERLE,CTRL
31_BOCU_CTRL.1,BOCU,CTRL
30_ERLE_1154.3,ERLE,1154
29_LEDU_1246.1,LEDU,1246
28_ERLE_CTRL.1,ERLE,CTRL
27_LEDU_1177.2,LEDU,1177
26_LEDU_1246.2,LEDU,1246
25_ERIN_CTRL.2,ERIN,CTRL
24_ERLE_1177.1,ERLE,1177
22_BOCU_CTRL.2,BOCU,CTRL
21_LEDU_1177.3,LEDU,1177
20_ERIN_1154.1,ERIN,1154
19_CTRL_1246.2,CTRL,1246
18_BOCU_1154.3,BOCU,1154
17_ERIN_CTRL.2,ERIN,CTRL
16_ERLE_CTRL.2,ERLE,CTRL
15_BOCU_1177.3,BOCU,1177
14_CTRL_1177.3,CTRL,1177
13_ERLE_1246.1,ERLE,1246
12_ERLE_1177.3,ERLE,1177
11_ERIN_1246.1,ERIN,1246
10_CTRL_1154.3,CTRL,1154
9_ERLE_1154.2,ERLE,1154
8_ERIN_1246.2,ERIN,1246
7_BOCU_1154.1,BOCU,1154
6_LEDU_1177.1,LEDU,1177
5_LEDU_1154.2,LEDU,1154
4_BOCU_1246.3,BOCU,1246
3_LEDU_1154.3,LEDU,1154
2_CTRL_CTRL.2,CTRL,CTRL
1_ERIN_1177.3,ERIN,1177
