"","1_ERIN_1177.3","10_CTRL_1154.3","11_ERIN_1246.1","12_ERLE_1177.3","13_ERLE_1246.1","14_CTRL_1177.3","15_BOCU_1177.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","19_CTRL_1246.2","2_CTRL_CTRL.2","20_ERIN_1154.1","21_LEDU_1177.3","22_BOCU_CTRL.2","24_ERLE_1177.1","25_ERIN_CTRL.2","26_LEDU_1246.2","27_LEDU_1177.2","28_ERLE_CTRL.1","29_LEDU_1246.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","33_BOCU_1177.1","34_ERLE_1177.2","35_LEDU_1246.3","36_ERIN_CTRL.1","37_ERLE_1246.3","38_BOCU_1177.2","39_ERIN_1177.2","4_BOCU_1246.3","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","47_CTRL_1177.1","48_LEDU_CTRL.2","49_ERIN_1246.3","5_LEDU_1154.2","50_BOCU_CTRL.2","51_ERLE_1246.2","52_BOCU_1246.2","53_ERIN_1177.1","54_LEDU_CTRL.1","55_LEDU_CTRL.2","56_BOCU_1246.1","57_CTRL_1246.3","58_ERLE_1154.1","59_CTRL_1154.1","6_LEDU_1177.1","60_CTRL_1246.1","7_BOCU_1154.1","8_ERIN_1246.2","9_ERLE_1154.2"
"Feature0001",0,0,0,0,0,0,0,24.9553709340822,0,0,0,24.7275163587736,0,0,0,0,0,0,0,0,25.0319246724511,0,0,0,0,24.8875902887771,0,0,24.9768313745532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9681756929165,0,24.8081134501291,0,24.9747973337132,0,0,24.8355002359963,0,24.9224888472922,0,0,0
"Feature0002",0,0,0,0,0,0,24.5848526791227,24.7482375061802,0,24.6577813821054,24.792086494453,0,0,24.6360002744556,0,0,24.827593122186,25.0072571833051,24.7346909029483,0,24.8231940911824,0,0,0,24.7940653145639,24.7043715137389,0,24.4730812780154,0,24.8290320434749,24.6778019368598,0,24.8904370650237,0,24.7317744333508,0,0,24.8814379582281,24.7903390823205,0,24.8151087756585,0,0,0,0,0,0,0,0,24.7921095045961,24.9704192952938,24.8387665561003,0,24.7572237341372,0,24.8179296221865,0,0,0
"Feature0003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1766834976744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0004",0,0,0,0,0,0,0,25.3026497921902,25.1635786762266,0,0,25.2114462349674,0,0,0,0,25.2867152879831,0,0,25.1838629019857,0,0,0,25.273688377223,25.7658296045904,0,0,0,25.2857731102003,0,0,0,0,25.2581739385004,25.2055415010602,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9623806256219,25.1781533551001,0,0,0,0,0,0,0,0,0
"Feature0005",0,0,0,25.5840089742342,0,0,25.5018014809578,25.6649867117737,0,25.7025477865501,25.679779402827,25.5461408123753,0,0,0,0,0,25.711684345881,25.7165659049864,0,25.799450038091,0,0,0,25.5204247246306,25.7485827514508,0,25.5437503985758,25.5970224331916,25.7089342626189,0,0,25.8052611515238,0,0,0,0,25.43906813552,0,0,25.4003610050719,0,0,0,0,0,25.6108082029304,0,0,0,0,25.7051670279694,0,25.3649270385794,0,25.7077553451499,0,0,0
"Feature0006",0,0,0,0,0,0,0,25.5283991318237,25.4825244950363,0,0,25.8104674740583,0,0,0,0,25.5570947802543,0,0,25.5029771277885,0,0,0,25.509720629839,25.6720526876237,0,0,0,25.4361893104731,0,0,0,0,25.7488705082708,25.7766624578644,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5836597710123,25.4397498635255,0,0,0,0,0,0,0,0,0
"Feature0007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8488053335588,0,26.548145710444,26.3663303544896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8136497871129,25.7980924580172,26.0270052519348,25.6796754865814,25.8934979097162,25.9479068458926,25.862792412834,26.0886499459155,0,26.0314306046817,25.8216040747418,26.5968822825757,26.3823041094796,25.6342923800878,25.7884467791107,26.0083756269691,25.4539460489125,0,26.1392723033013,0,25.7711965742344,0,0,26.2935494576049,0,25.8272303692263,26.0916404782275,0,26.261184436443,25.8369823174658,0,26.2667614543201,0,0,0
"Feature0009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1175136186109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0270065815261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0010",0,0,0,0,0,0,0,26.4175107885368,26.9339275378855,0,0,26.1183938509956,0,0,26.4523314261413,0,26.2690896133752,0,0,26.368015344327,0,0,0,26.2251946022573,25.8200040723484,0,0,0,26.6619000942654,0,0,0,0,26.3636186497406,25.7913018983207,0,0,0,0,0,0,25.8371992507233,0,0,0,0,0,0,26.65258051294,26.5618436498089,0,0,0,0,0,0,0,0,0
"Feature0011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6781652986302,0,0,26.4777179095054,26.0394562009257,0,0,0,0,0,26.8977607994763,0,0,0,0,0,0,0,0,0,0,25.0560099261461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0012",0,0,0,0,26.9350523724557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3256320536324,0,0,0,0,26.8265712510674,0,0,0,0,27.9786084270502,0,0,0
"Feature0013",0,0,0,0,0,25.8818169228614,25.9277256658599,0,0,0,0,0,0,26.0489399007353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8803835563813,0,0,0,0
"Feature0014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5742618859587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7473759979764,0,0,0,25.7591400158526,0,0,0,0,0,0,0,0
"Feature0015",0,0,0,0,0,0,0,26.2252962928453,0,26.2813250654719,0,26.2042573460047,0,0,0,0,26.0170919669699,0,0,26.2500139060157,0,0,0,0,26.0964474352183,0,26.7272308140501,0,26.0907474718011,0,0,0,0,26.0130008699146,25.8737295216151,0,0,0,0,0,0,0,0,0,27.2842316013996,0,26.0234804969929,0,0,25.9909557282868,0,0,0,0,0,0,0,0,0
"Feature0016",0,0,0,0,0,0,0,26.4421843035897,26.2998259897522,25.6735441422432,25.6290942559694,26.3957530864049,0,0,26.4760339835384,0,26.6321838020095,25.8018314091842,0,26.5468889777927,25.8412445565521,0,0,26.6694217633463,26.5264291585835,0,26.8617382543912,25.6264664863748,26.6490104330597,0,0,0,25.6951146564437,26.5743991127685,26.5570448958749,0,0,0,0,0,0,26.5394322180731,0,0,27.6978190784585,0,25.9644985917794,0,26.7710051274434,26.5108486888344,25.5434939609867,0,0,0,0,0,0,0,0
"Feature0017",0,0,0,0,0,0,0,0,0,27.1809331115309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1114691956267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2709684296357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0018",0,0,0,0,0,0,0,25.7403506516574,25.7282345943531,0,0,25.7467166899768,0,0,0,0,25.1757069704949,0,0,0,0,0,0,0,25.2646628382414,0,0,0,25.6961696245879,0,0,0,0,25.0536181065627,25.7409286867424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7726838942373,0,0,0,0,0,0,0,0,0
"Feature0019",0,0,0,0,27.5910251300452,0,0,26.7134117960915,26.8918456892163,27.4772844077024,27.0249914744531,26.7268837670141,0,0,27.1930049138209,0,0,27.3833875674461,26.4423815450504,26.9611118224176,27.081332673441,0,0,26.9974647116058,26.4776545559951,26.4280475184049,27.6830675506998,27.1789876557817,26.8466361877883,0,26.96254000712,0,26.7855407455747,26.808606238593,0,0,0,0,0,0,0,27.0954118400135,0,0,27.4066478993911,0,27.4393903846041,0,0,26.7931951838952,26.5290539090117,27.1086864257232,0,0,0,26.9966763774128,0,26.4002098427317,0
"Feature0020",0,0,0,0,0,0,0,0,0,24.7854493802724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3692512403432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0021",0,0,0,0,0,0,0,28.7764834225306,0,0,0,28.5729172982536,0,0,0,0,28.6839304141891,0,0,28.4791454906295,0,0,0,28.4340575988104,28.6419255757305,0,0,0,28.6507780607546,0,0,0,0,28.5147550580242,28.5468037168213,0,0,0,0,0,0,0,0,0,29.1466503428989,0,28.4106373239917,0,28.2746896502177,28.8363553741607,0,0,0,0,0,0,0,0,0
"Feature0022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1633654610191,0,0,0
"Feature0023",0,0,0,0,0,0,0,25.8016094605685,0,0,0,26.2998122885,0,0,0,0,25.8753937646584,0,0,25.8408326891938,0,0,0,0,26.0997531315007,0,0,0,25.9521393896324,0,0,0,0,26.2860609712375,26.2255793791822,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9087291990003,0,0,0,0,0,0,0,0,0,0
"Feature0024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7709355435049,0,0,0,26.377721165314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7852584524043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0026",0,0,27.1605969937832,0,0,0,0,0,0,0,26.5942946933765,0,0,0,0,0,0,26.0325796444207,0,0,26.2999897571323,0,0,0,0,0,0,26.0472744257474,0,27.1236850693216,0,0,26.7413820697255,0,0,0,0,0,0,0,0,0,26.9690792649214,0,0,27.0037845669705,26.2135909357076,0,0,0,26.3856050072627,26.7638731578727,0,0,0,27.1177260941034,0,26.9039591891373,0
"Feature0027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3329171695964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0028",31.9558423497237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
