"","1_ERIN_1177.3","10_CTRL_1154.3","11_ERIN_1246.1","12_ERLE_1177.3","13_ERLE_1246.1","14_CTRL_1177.3","15_BOCU_1177.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","19_CTRL_1246.2","2_CTRL_CTRL.2","20_ERIN_1154.1","21_LEDU_1177.3","22_BOCU_CTRL.2","24_ERLE_1177.1","25_ERIN_CTRL.2","26_LEDU_1246.2","27_LEDU_1177.2","28_ERLE_CTRL.1","29_LEDU_1246.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","33_BOCU_1177.1","34_ERLE_1177.2","35_LEDU_1246.3","36_ERIN_CTRL.1","37_ERLE_1246.3","38_BOCU_1177.2","39_ERIN_1177.2","4_BOCU_1246.3","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","47_CTRL_1177.1","48_LEDU_CTRL.2","49_ERIN_1246.3","5_LEDU_1154.2","50_BOCU_CTRL.2","51_ERLE_1246.2","52_BOCU_1246.2","53_ERIN_1177.1","54_LEDU_CTRL.1","55_LEDU_CTRL.2","56_BOCU_1246.1","57_CTRL_1246.3","58_ERLE_1154.1","59_CTRL_1154.1","6_LEDU_1177.1","60_CTRL_1246.1","7_BOCU_1154.1","8_ERIN_1246.2","9_ERLE_1154.2"
"Feature0001",0,0,0,0,0,0,0,24.988138204536,0,0,0,24.8836957044158,0,0,0,0,0,0,0,0,24.6326621702751,0,0,0,0,25.1855809057562,0,0,25.1199409706402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6928657450346,0,24.8147459037136,0,24.9222766293007,0,0,24.9047653161897,0,24.5211982047393,0,0,0
"Feature0002",0,0,0,0,0,0,24.7894164202942,24.7459400079529,0,24.8340399245431,24.5013063540181,0,0,24.4608782995818,0,0,24.8225420438132,24.4721585944986,25.0380653052631,0,24.4196903447455,0,0,0,24.7743915042874,25.0069241747607,0,24.5093305741446,0,24.3869137403519,24.6870219869409,0,24.1198001054078,0,24.823705117137,0,0,24.6639046475812,24.4964696502826,0,24.4909953032198,0,0,0,0,0,0,0,0,24.7736734815783,24.9270490746878,24.4737959110899,0,24.7903682694759,0,24.4151252126946,0,0,0
"Feature0003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8744944268448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0004",0,0,0,0,0,0,0,25.4106389432348,25.7458973413309,0,0,25.3899252737776,0,0,0,0,25.3530304951357,0,0,25.1955164052424,0,0,0,25.5517951725674,25.8186224203575,0,0,0,25.4527058240738,0,0,0,0,25.3721021220638,25.3477710202735,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9707069075079,25.2413065811597,0,0,0,0,0,0,0,0,0
"Feature0005",0,0,0,25.3697387479193,0,0,25.8110024232521,25.8849280093868,0,25.8749901805815,25.381632434853,25.7520301411187,0,0,0,0,0,25.3565910531132,25.9948935557375,0,25.4458184038858,0,0,0,25.6660423217016,26.0197841621532,0,25.6057684762132,25.8029683152255,25.3673270545352,0,0,25.1926416653325,0,0,0,0,25.6050355198031,0,0,25.3774000269187,0,0,0,0,0,25.4253418582044,0,0,0,0,25.4021301041377,0,25.5873215176453,0,25.2994811519629,0,0,0
"Feature0006",0,0,0,0,0,0,0,25.7286283081418,25.9526626018323,0,0,26.0119609319306,0,0,0,0,25.6892780039489,0,0,25.5400747834271,0,0,0,25.7288239645401,25.8001085293226,0,0,0,25.6356083563199,0,0,0,0,25.8763658345971,25.9593171032514,0,0,0,0,0,0,0,0,0,0,0,0,0,25.596815132872,25.5768401134566,0,0,0,0,0,0,0,0,0
"Feature0007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5568436723975,0,26.4071883737563,26.5209671647357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0269434092293,26.069993688133,26.1612409077721,25.7431605038846,26.1309534943637,25.6447192416883,25.7685754681042,25.6261474886159,0,26.1777768463234,26.0530842574512,26.3593455636789,26.2835135114656,25.9371528394517,25.9860632410693,26.1050988151284,25.5301357192909,0,25.5576876406565,0,25.9788918297013,0,0,25.6923280233488,0,26.0446336211046,25.9780601951741,0,26.1852295722273,26.1187508586633,0,25.8531845087993,0,0,0
"Feature0009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7511095406152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2730772227833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0010",0,0,0,0,0,0,0,26.8048548219105,27.2703153503614,0,0,26.4011629902113,0,0,26.470144762124,0,26.5804625054082,0,0,26.4469089966524,0,0,0,26.365240718891,26.1430068816042,0,0,0,26.9427642040392,0,0,0,0,26.5682257904675,26.0480962985935,0,0,0,0,0,0,25.6599197662882,0,0,0,0,0,0,26.6716901405293,26.8762810488326,0,0,0,0,0,0,0,0,0
"Feature0011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.467629968052,0,0,26.2231415065176,26.4697325426251,0,0,0,0,0,26.9735145912723,0,0,0,0,0,0,0,0,0,0,25.405687052168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0012",0,0,0,0,26.1702360976784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4248041280693,0,0,0,0,26.9039420246147,0,0,0,0,27.393338794457,0,0,0
"Feature0013",0,0,0,0,0,25.981847562013,26.3148315482619,0,0,0,0,0,0,26.0157997016535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.152925850474,0,0,0,0
"Feature0014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6390532624136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.582205291345,0,0,0,25.6589162558564,0,0,0,0,0,0,0,0
"Feature0015",0,0,0,0,0,0,0,26.6207514426141,0,26.5273919881405,0,26.4910077262264,0,0,0,0,26.3328540925096,0,0,26.3295610567718,0,0,0,0,26.4305648732608,0,26.7623152460834,0,26.3735724365667,0,0,0,0,26.2233703595007,26.1379249901607,0,0,0,0,0,0,0,0,0,27.438002746784,0,25.9687487717351,0,0,26.3108743564948,0,0,0,0,0,0,0,0,0
"Feature0016",0,0,0,0,0,0,0,26.8404019230527,26.6276685386897,25.9205278165213,25.3523278385651,26.6824633156402,0,0,26.4744059717156,0,26.9578005110853,25.5996525416442,0,26.6265842914444,25.586424978367,0,0,26.811480440779,26.8653303030146,0,26.8988557960341,25.6981113761623,26.9363758425757,0,0,0,25.21157694224,26.7865794802141,26.81893325306,0,0,0,0,0,0,26.3512181079167,0,0,27.8390526677192,0,25.9186826735189,0,26.7878191668211,26.8389909522619,25.4628279152049,0,0,0,0,0,0,0,0
"Feature0017",0,0,0,0,0,0,0,0,0,27.8829343518523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2778732314553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.450408864604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
