"","1_ERIN_1177.3","10_CTRL_1154.3","11_ERIN_1246.1","12_ERLE_1177.3","13_ERLE_1246.1","14_CTRL_1177.3","15_BOCU_1177.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","19_CTRL_1246.2","2_CTRL_CTRL.2","20_ERIN_1154.1","21_LEDU_1177.3","22_BOCU_CTRL.2","24_ERLE_1177.1","25_ERIN_CTRL.2","26_LEDU_1246.2","27_LEDU_1177.2","28_ERLE_CTRL.1","29_LEDU_1246.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","33_BOCU_1177.1","34_ERLE_1177.2","35_LEDU_1246.3","36_ERIN_CTRL.1","37_ERLE_1246.3","38_BOCU_1177.2","39_ERIN_1177.2","4_BOCU_1246.3","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","47_CTRL_1177.1","48_LEDU_CTRL.2","49_ERIN_1246.3","5_LEDU_1154.2","50_BOCU_CTRL.2","51_ERLE_1246.2","52_BOCU_1246.2","53_ERIN_1177.1","54_LEDU_CTRL.1","55_LEDU_CTRL.2","56_BOCU_1246.1","57_CTRL_1246.3","58_ERLE_1154.1","59_CTRL_1154.1","6_LEDU_1177.1","60_CTRL_1246.1","7_BOCU_1154.1","8_ERIN_1246.2","9_ERLE_1154.2"
"Feature0001",25.4270820031479,25.1071351684166,24.887619028761,25.4572834867702,24.5693321347575,24.9330157505549,24.8465553553022,23.8496208402079,24.4707276146936,25.0712111829227,24.1906846637067,23.9638216713933,25.2275825814433,25.1634856658529,24.4302833323567,25.2850992057362,23.9844284577363,24.0464973199191,25.1651659344262,24.1971352407656,24.0186511936906,24.9770965511028,25.2702296600704,24.4261709002892,24.1625860427268,25.2544843006773,25.090473043067,23.9033299392053,24.1100414008521,24.5228570487751,25.1300228837163,24.9359212294044,24.4047568835244,24.0491693526669,23.9799180327135,25.0656110823592,25.2005536522353,24.8349933546237,24.7546030871044,25.2663010447245,24.5612161605182,24.4523240565203,24.5736515958622,25.4004083970329,24.0162392473906,24.7902300542857,23.7921394966989,25.3299113072506,24.1083568637811,24.0959617655047,24.6351095146476,24.9104078498085,25.5922381393338,25.3409262477725,25.0556323585232,25.2274603987475,25.1811079840595,24.6033881446561,25.4481134197706
"Feature0002",25.3946616885487,25.0527941708179,24.6057354998096,25.1481531542563,24.227767162758,24.7632397750205,24.6154759281563,23.6711972473228,24.241455638673,24.8697970496532,24.0560310146483,24.0492777893353,25.0532372324081,25.0629307807032,24.1385685611068,25.2225173165156,23.8077603974277,23.9637483375293,25.0384979967238,24.0128117540924,23.8190707958639,24.9481319662351,25.0420183054405,24.1533811502191,23.8436982678896,25.1914653386845,24.9551549636652,23.5526425268791,23.9697339878992,24.3123255730369,24.9412868607726,24.761447715369,24.0644913078289,24.0028287779703,23.931998338915,24.9197407210755,25.0859121835809,24.752177107006,24.6353155722019,25.1054665916265,24.5175630147486,24.2343758541968,24.3696490681202,25.2266252675232,23.8556687000106,24.5911712434817,23.6766568542951,25.1656907406468,23.9607298819014,23.8370703954653,24.6315838573863,24.7304660097027,25.3690510928799,25.3047142475488,24.901692193792,25.1377462786909,25.0202660737087,24.4777388367336,25.3400014848363
"Feature0003",27.2224426289805,21.7213166774131,20.0418980360134,27.5421841472688,20.870247117917,24.5850162177628,25.130900068086,21.6231711983771,21.0957832208788,20.894196860968,20.6542091583048,21.4791390765084,22.7791206704598,27.2501855362086,21.7797502650932,27.7085577246775,21.6635358119197,20.6105914531439,21.2278457354759,21.5999840797952,20.3825552570847,21.4958474433839,21.2206936757403,21.40505892287,21.4725114416344,20.6121452355063,24.5049444354602,20.1558154792563,21.4931946421478,20.0352756851617,23.1521747509988,27.8975019233125,20.6972051372243,21.4601442384814,21.7138839956007,22.0266561064625,21.7654485387996,21.4006384516016,21.065297358034,21.2495998780787,27.9597546269478,21.3657674656783,20.9737314478186,21.5456968157927,21.639345030282,20.2113825512615,20.5176137328496,26.4222267798152,21.5289927108931,21.3578241197568,18.4309353289472,19.3226580023999,22.3956958233611,20.8540300836642,24.5571136191457,19.1429320960503,21.4977121025679,21.0572980642708,21.0682625802715
"Feature0004",19.703672584931,20.916065791876,20.461104465385,19.4962294031806,20.7730107120783,19.1761380755029,19.3041737695404,27.845036935292,27.856211129132,19.8479830956996,22.446206519061,27.7702415002209,20.3105956240255,20.0513606619587,27.3801004940513,19.7814109402454,27.7893640904572,23.317815459622,18.8510304240049,27.5240249560535,24.1673939503741,20.7432857817481,19.8387927993189,27.7268365129016,27.9217265600856,19.117508769744,19.4337912399474,23.4270063028042,27.8529995250059,19.8226075624815,18.946838681162,19.888920272351,24.0832488637285,27.664030416381,27.6503313063185,20.186629008676,19.9245592763315,20.2986036757905,20.0674723957558,21.0227367146224,19.5828311837945,27.0891956385635,20.8603592340481,20.5248713749161,27.4533370036101,20.4504838671548,23.184385824969,19.8430626501758,27.3497159324785,27.3986965838922,21.3637629891991,19.9364908295367,19.7115595679891,19.3188589404566,19.4674837481028,18.8773043087526,20.314655904592,21.5549906609252,19.8284220298348
"Feature0005",25.8979638031958,25.4357836064147,25.6504536518436,25.9267537529462,25.2815671163473,25.502136108023,25.32242538218,24.7616166035892,25.3286596593375,25.2894909361423,25.0340504546714,24.8631294452189,25.7391511438627,25.5110900744772,25.1389471137762,25.827526527801,24.7512000804071,25.0499257000804,25.5205151432026,24.9193344311502,24.9051047566672,25.3909596340354,25.6282534417134,25.0907312224321,24.5962419071609,25.6405093691926,25.3049661058849,24.7629808163009,24.7581084162424,25.3178489921765,25.4119087168221,25.5077884591289,25.2230137464879,24.8062066568514,24.6755480989658,25.6071009637182,25.4947322406378,25.2250837922582,25.2266043241121,25.6725513510399,25.0726777242258,25.1581773474013,25.1684185470662,25.5175058176801,24.8129788572996,25.480512488522,24.6522391059864,25.8622080326192,25.0149220460246,24.8432058368813,25.6950808908288,25.7788709490829,26.2493127340824,25.7134083401834,25.4435274728792,26.1186302938682,25.593219870528,25.3956974055777,25.7399110159389
"Feature0006",20.8025905171121,22.7657684503984,23.7799089372974,20.2791586339116,23.7981993857022,21.4584893468932,20.7815113305459,26.3921190369557,26.4943951842469,24.9134318533822,23.8308488869301,27.0844337748552,21.7499501388716,21.1912849829331,26.3766278199554,21.0442681277186,26.5882862207626,24.0167300626532,24.3585931830708,26.4193282107231,24.3604199313339,22.7974821012718,21.8254639193092,26.5194843711536,26.3365436102619,24.428873120931,24.6887281219656,23.5909000728847,26.3673116724555,23.4667552009283,24.4254994882792,20.8390794054622,24.2232664430892,26.7447132998941,26.8100719023522,21.8385086522252,21.8657586012183,23.0146866394401,22.3566475971436,22.516731617956,21.2526668612175,26.6411699300253,22.037586881616,22.1515875174368,24.9917575344786,23.3682633840398,23.7987156066713,21.3045249946976,26.835381450881,26.2970402620554,23.3192733008708,23.0171175988848,21.4701614580636,22.3256997779182,21.0548367766976,23.4606709095288,22.5230295801764,23.4456274161386,21.7365036494103
"Feature0007",21.8447082029927,26.1013441469713,26.0986801275076,26.6260414300262,25.760104082406,25.9283195922665,25.6687069907859,24.8307256984039,25.4715265826625,25.8277814008126,25.2758800106111,16.9367921801201,26.5012664122841,25.9359120799225,26.0714436463675,26.5252896419078,25.1927489543902,25.2603279765971,25.7953861907976,25.2138418954301,24.9532961700797,26.2071991231878,26.8014929209437,25.66353009316,24.9804264173663,26.0006893184309,26.1262469336665,24.819563390008,25.0875856875088,25.5486478098195,25.7704974735121,26.2434387765526,20.2242424756224,25.2491777647338,25.0282104355187,27.0380790396641,26.6962793455524,25.7819596933878,25.8944275135198,26.3400600361278,25.4182981252562,25.7193795332667,25.7875331622153,26.4764576488324,24.9808263148841,26.0032062944669,24.530110119082,26.6041411138899,25.4493157305883,25.0088843303389,17.9137005847912,19.8501225589297,18.5262701822937,18.0137888860145,26.1978677475059,19.5265441934514,26.1020753050025,25.5889509869852,27.4844422683743
"Feature0008",19.1967558538126,21.5993544492039,19.4639773649996,21.559334977326,20.0411998358616,20.3028233947201,19.1048191564003,17.5701273995983,21.3483564939021,22.166443754406,19.2017791015057,18.0773506011869,20.1642403313661,20.0570091295887,26.679377874376,26.9252200044133,25.8806745734003,25.4904979318105,26.1454740795472,25.857350829177,25.1906079614418,19.9397190869768,27.3853366810977,26.310880117076,25.5823432102373,26.4033219138316,27.0799835657164,24.9885985769113,25.7114391928756,25.7737948281505,26.1879676363642,26.5980217667343,20.4228357288927,25.9334224073997,25.732204720655,27.6870455727547,27.4431609036229,26.5009143867438,26.5130622232144,27.0172732985026,25.7527104254979,26.3620592411086,26.1025263744785,22.4190048590076,25.3909248187859,26.2766972355055,24.8778190712866,26.9538457653028,26.2277231799918,25.6524729224802,25.8030843877964,26.1817968011142,27.3808152920144,26.9099175601424,18.3489452783987,26.8327249041465,22.5926696389042,20.2577816569108,21.0349605748877
"Feature0009",20.4919782232313,22.1609189325137,23.8844743710952,21.287735903038,24.969082146911,21.9334023683069,22.0401443133235,25.9796130226112,25.5499909135536,24.803266968829,24.3064777895047,25.8150691675678,21.5620514942781,22.201314389131,25.3201613464995,21.114667222651,26.0408685819367,25.4934427451344,21.5350838441675,25.5882451087714,24.5916781417121,21.7916835856524,20.3965622237025,25.7544107051268,25.6073362669409,21.8906997290637,24.9719026788918,24.4047316390004,25.941338607105,22.1059896098984,22.2711528894547,20.8736916123236,24.5478710722925,25.4936928854146,25.5530855738403,20.1006139359532,21.253680917094,22.0278122453368,21.4191674306269,21.3912436291241,21.9192362551649,25.5313449462331,23.3011040452025,22.1643213746815,27.3863826472476,23.4154179756745,25.1588322790767,21.7966110797448,25.9049796182209,25.5249675033528,22.4623307515801,23.976107258979,20.9607565164284,21.8473089731067,22.0597850239403,23.5891587737154,22.4701854315234,24.1251369148698,20.4750656795424
"Feature0010",19.9622621960259,24.7198598703858,19.3923229785752,19.8614660410692,21.9649871478785,20.9187980519466,20.2058399972638,28.0942469248898,28.3875728170009,22.2079182839042,23.4739069802089,28.0064997412834,22.4678966838809,20.6011911921285,28.0071327853225,19.7103340495357,28.0939565549293,24.4314123999743,19.3134309696811,27.8402453372036,25.2957243634532,24.311246016846,21.7587243860995,27.5856052551778,27.1693682231325,19.2766077057122,19.492589449439,24.7521022082169,28.2296135284654,20.487037200989,19.6576993366065,19.9016800327551,24.7181101540591,27.9085770927223,27.3827674679441,21.8947413044256,22.5505237693052,24.2609853911662,23.817647026167,24.7478966884608,21.0106996707099,27.2899641602982,20.2545884275193,22.9465742795064,26.8077401678044,19.673318752874,24.1830948362662,21.0614818336179,28.3606817086475,28.075077156261,24.0481437872239,21.6639406886408,22.547536146453,24.815471994103,19.4208384891886,20.7927800028092,24.9998969073362,21.9151194897939,21.5510954137335
