"","1_ERIN_1177.3","10_CTRL_1154.3","11_ERIN_1246.1","12_ERLE_1177.3","13_ERLE_1246.1","14_CTRL_1177.3","15_BOCU_1177.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","19_CTRL_1246.2","2_CTRL_CTRL.2","20_ERIN_1154.1","21_LEDU_1177.3","22_BOCU_CTRL.2","24_ERLE_1177.1","25_ERIN_CTRL.2","26_LEDU_1246.2","27_LEDU_1177.2","28_ERLE_CTRL.1","29_LEDU_1246.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","33_BOCU_1177.1","34_ERLE_1177.2","35_LEDU_1246.3","36_ERIN_CTRL.1","37_ERLE_1246.3","38_BOCU_1177.2","39_ERIN_1177.2","4_BOCU_1246.3","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","47_CTRL_1177.1","48_LEDU_CTRL.2","49_ERIN_1246.3","5_LEDU_1154.2","50_BOCU_CTRL.2","51_ERLE_1246.2","52_BOCU_1246.2","53_ERIN_1177.1","54_LEDU_CTRL.1","55_LEDU_CTRL.2","56_BOCU_1246.1","57_CTRL_1246.3","58_ERLE_1154.1","59_CTRL_1154.1","6_LEDU_1177.1","60_CTRL_1246.1","7_BOCU_1154.1","8_ERIN_1246.2","9_ERLE_1154.2"
"Feature0001",NA,NA,NA,NA,NA,NA,NA,31298283.59,NA,NA,NA,26372676.09,NA,NA,NA,NA,NA,NA,NA,NA,33786555.94,NA,NA,NA,NA,33559693.24,NA,NA,34510075.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33651212.8,NA,23594499.87,NA,36674381.32,NA,NA,31306499.22,NA,28057833.22,NA,NA,NA
"Feature0002",NA,NA,NA,NA,NA,NA,26013002.03,26461325.61,NA,26511938.61,29309723.25,NA,NA,29151984.38,NA,NA,27113901.7,26283450.4,30006414.97,NA,29149627.78,NA,NA,NA,27248667.48,29650836.22,NA,27264643.63,NA,24781336.36,28587558.41,NA,22487394.06,NA,28174663.25,NA,NA,25576930.13,22873901.53,NA,29871428.21,NA,NA,NA,NA,NA,NA,NA,NA,28390022.21,36795901.32,26689565.08,NA,28919951.66,NA,26068916.18,NA,NA,NA
"Feature0003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38226326.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0004",NA,NA,NA,NA,NA,NA,NA,41947484.3,40323089.44,NA,NA,37457991.78,NA,NA,NA,NA,39163812.07,NA,NA,32767615,NA,NA,NA,35190801.91,56194020.44,NA,NA,NA,43462841.52,NA,NA,NA,NA,37531400.72,40515228.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26288131.46,39258827.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0005",NA,NA,NA,42915427.22,NA,NA,52810285.15,58274849.21,NA,54550501.05,53953085,48144748.11,NA,NA,NA,NA,NA,48520256.16,58243588.01,NA,59364709.72,NA,NA,NA,50554395.05,59832643.36,NA,58298923.04,55406106.76,48894335.47,NA,NA,47303865.7,NA,NA,NA,NA,49108542.78,NA,NA,55219237.6,NA,NA,NA,NA,NA,55911096.37,NA,NA,NA,NA,50792307.55,NA,50246336.43,NA,48121665.41,NA,NA,NA
"Feature0006",NA,NA,NA,NA,NA,NA,NA,52291398.78,46536781.67,NA,NA,57649545.13,NA,NA,NA,NA,49443083.34,NA,NA,41607080.37,NA,NA,NA,39785071.32,55477498.26,NA,NA,NA,49337514.37,NA,NA,NA,NA,53234512.25,61903045.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40572996.07,49538515.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64113618.01,NA,67911458.09,68893620.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64923357.69,61951633.73,64557060.64,64123859.57,69549019.72,59260037.04,60500242.19,64362467.61,NA,65603503.96,66060025.9,63537614.61,64999973,61820757.8,64232172.49,61998054.45,61385872.35,NA,60621049.91,NA,62302290.63,NA,NA,63197057.1,NA,68511403.82,76240427.98,NA,67658919.28,72624068.79,NA,70635328.88,NA,NA,NA
"Feature0009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31890034.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76394596.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0010",NA,NA,NA,NA,NA,NA,NA,110257140.8,115997692.7,NA,NA,75501813.01,NA,NA,61777976.28,NA,91702001.86,NA,NA,78010227.64,NA,NA,NA,61844442.16,70362224.23,NA,NA,NA,122087272.1,NA,NA,NA,NA,85993154.69,65832025.02,NA,NA,NA,NA,NA,NA,41556392.2,NA,NA,NA,NA,NA,NA,85468622.07,121930875.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
