FeatureID,Name,KEGGPathways,Comment,isolate
Feature0261,lactosamine,Metabolic pathways,Downregulated,1154
Feature0261,lactosamine,Other,Downregulated,1154
Feature0260,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",NA,Downregulated,1154
Feature0253,methoxyresorcinol,Microbial metabolism in diverse environments,Upregulated,1154
Feature0253,methoxyresorcinol,Other,Upregulated,1154
Feature0252,DL-Carnitine,Other,Upregulated,1154
Feature0248,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],NA,Downregulated,1154
Feature0239,"3',4'-Dimethoxyacetophenone",Metabolic pathways,Upregulated,1154
Feature0239,"3',4'-Dimethoxyacetophenone",Biosynthesis of secondary metabolites,Upregulated,1154
Feature0239,"3',4'-Dimethoxyacetophenone",Phenylpropanoid biosynthesis,Upregulated,1154
Feature0239,"3',4'-Dimethoxyacetophenone",Biosynthesis of phenylpropanoids,Upregulated,1154
Feature0239,"3',4'-Dimethoxyacetophenone",Biosynthesis of various plant secondary metabolites,Upregulated,1154
Feature0239,"3',4'-Dimethoxyacetophenone",Other,Upregulated,1154
Feature0233,DL-Stachydrine,ABC transporters,Upregulated,1154
Feature0229,L-Saccharopine,Metabolic pathways,Upregulated,1154
Feature0229,L-Saccharopine,Biosynthesis of secondary metabolites,Upregulated,1154
Feature0229,L-Saccharopine,Biosynthesis of amino acids,Upregulated,1154
Feature0229,L-Saccharopine,Other,Upregulated,1154
Feature0223,Tetrolic Acid,Metabolic pathways,Downregulated,1154
Feature0223,Tetrolic Acid,Other,Downregulated,1154
Feature0216,L-Glutamine,Metabolic pathways,Upregulated,1154
Feature0216,L-Glutamine,Microbial metabolism in diverse environments,Upregulated,1154
Feature0216,L-Glutamine,Biosynthesis of amino acids,Upregulated,1154
Feature0216,L-Glutamine,Biosynthesis of plant secondary metabolites,Upregulated,1154
Feature0216,L-Glutamine,ABC transporters,Upregulated,1154
Feature0216,L-Glutamine,Biosynthesis of cofactors,Upregulated,1154
Feature0216,L-Glutamine,Protein digestion and absorption,Upregulated,1154
Feature0216,L-Glutamine,Central carbon metabolism in cancer,Upregulated,1154
Feature0216,L-Glutamine,D-Amino acid metabolism,Upregulated,1154
Feature0216,L-Glutamine,Aminoacyl-tRNA biosynthesis,Upregulated,1154
