FeatureID,Name,KEGGPathways,Comment,isolate,KEGG ID,notes
Feature0138,Adipic acid,2-Oxocarboxylic acid metabolism,Upregulated,1154,C00966; C06006; C06104; C06762,
Feature0072,Caffeic acid,2-Oxocarboxylic acid metabolism,Upregulated,1154,C01179; C01197; C05350; C12623,
Feature0047,Butyl glyoxylate,2-Oxocarboxylic acid metabolism,Upregulated,1154,C00233; C00671; C06102,
Feature0053,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",ABC transporters,Downregulated,1154,C00973,Galactose oligomer/ maltooligosaccharide
Feature0233,DL-Stachydrine,ABC transporters,Upregulated,1154, ,
Feature0216,L-Glutamine,ABC transporters,Upregulated,1154,C00064; C00819; C21029,Glutamine/ Aspartate/ Glutamate/ 
Feature0200,"pentane-1,2,3,4,5-pentol",ABC transporters,Upregulated,1154,C00379; C00474; C00532; C01904,Xylitol
Feature0216,L-Glutamine,Aminoacyl-tRNA biosynthesis,Not real,1154,C00064; C00819; C21029,
Feature0229,L-Saccharopine,Biosynthesis of amino acids,Upregulated,1154,C00449,
Feature0216,L-Glutamine,Biosynthesis of amino acids,Upregulated,1154,C00064; C00819; C21029,
Feature0138,Adipic acid,Biosynthesis of amino acids,Upregulated,1154,C00966; C06006; C06104; C06762,
Feature0072,Caffeic acid,Biosynthesis of amino acids,Upregulated,1154,C01179; C01197; C05350; C12623,"Associated with Tyrosine, biosynthesis"
Feature0047,Butyl glyoxylate,Biosynthesis of amino acids,Upregulated,1154,C00233; C00671; C06102,
Feature0216,L-Glutamine,Biosynthesis of cofactors,Upregulated,1154,C00064; C00819; C21029,
Feature0138,Adipic acid,Biosynthesis of cofactors,Upregulated,1154,C00966; C06006; C06104; C06762,
Feature0072,Caffeic acid,Biosynthesis of cofactors,Upregulated,1154,C01179; C01197; C05350; C12623,
Feature0239,"3',4'-Dimethoxyacetophenone",Biosynthesis of phenylpropanoids,Upregulated,1154,C00590,
Feature0072,Caffeic acid,Biosynthesis of phenylpropanoids,Upregulated,1154,C01179; C01197; C05350; C12623,
Feature0216,L-Glutamine,Biosynthesis of plant secondary metabolites,Upregulated,1154,C00064; C00819; C21029,
Feature0072,Caffeic acid,Biosynthesis of plant secondary metabolites,Upregulated,1154,C01179; C01197; C05350; C12623,
Feature0239,"3',4'-Dimethoxyacetophenone",Biosynthesis of secondary metabolites,Upregulated,1154,C00590,
Feature0229,L-Saccharopine,Biosynthesis of secondary metabolites,Upregulated,1154,C00449,
