FeatureID,Name,Formula,MW,KEGG Pathways,name4plot,C,H,N,O,S,P,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment,Fungi,KEGGPathways
Feature0266,DL-Carbidopa,C10 H14 N2 O4,226.09535,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Other,DL-Carbidopa-peak2,10,14,2,4,0,0,0,1.4,0.4,0,60.3,5,1,-0.25,0.16666666666666666,-1,Phenol,28.142018660144767,29.7094794609968,1.0556982361422387,0.07819750947240776,0.002523057992520938,0.017192919083286202,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0258,DL-Carbidopa,C10 H14 N2 O4,226.09535,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Other,DL-Carbidopa-peak1,10,14,2,4,0,0,0,1.4,0.4,0,60.3,5,1,-0.25,0.16666666666666666,-1,Phenol,28.05071303549453,29.625771205788833,1.056150379075971,0.0788152662316137,2.6009505770139055e-4,0.005197323953817471,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0239,"3',4'-Dimethoxyacetophenone",C10 H12 O3,180.07864,Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Biosynthesis of various plant secondary metabolites;Other,"3',4'-Dimethoxyacetophenone",10,12,0,3,0,0,0,1.2,0.3,-0.5999999999999996,77.39999999999999,5,2,0.2857142857142857,0.4117647058823529,2,Phenol,17.799012940185268,30.803264371745964,1.730616437847555,0.7912860109364868,1.7782210928160189e-6,4.961236848956693e-4,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0229,L-Saccharopine,C11 H20 N2 O6,276.13216,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Other,L-Saccharopine,11,20,2,6,0,0,0,1.818181818181818,0.5454545454545454,-0.18181818181818168,65.48181818181817,3,-3,-1.6666666666666667,-0.3333333333333333,-5,Protein,21.5011007825544,28.750534912557033,1.337165720179531,0.41917827535294455,0.0035921638731441254,0.02004427441214422,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0156,Glycerol 3-phosphate,C3 H9 O6 P,172.01368,Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Other,Glycerol 3-phosphate,3,9,0,6,0,1,0,3,2,-0.666666666666667,79.30000000000001,0,-6,1.75,4,-7,Other,22.719312247664902,26.0680721864783,1.1473970647662357,0.19836473245182037,0.007928343696764956,0.032857597566875514,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0144,Meconin,C10 H10 O4,194.05788,Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids,Meconin,10,10,0,4,0,0,0,1,0.4,-0.20000000000000015,66,6,2,0.3333333333333333,0.5,2,Phenol,20.925301453295067,24.119595880252433,1.152652253736319,0.2049573287045514,0.0010879452109863851,0.010840596923757193,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0138,Adipic acid,C6 H10 O4,146.0579,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Other,Adipic acid,6,10,0,4,0,0,0,1.6666666666666667,0.6666666666666666,-0.33333333333333304,69.79999999999998,2,-2,-1,0,-2,Amino Sugar,20.746348713841833,27.502007756199134,1.325631229646206,0.4066794955454165,7.417196234998397e-5,0.004138795499129105,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0076,Pinolenic acid,C18 H30 O2,278.2246,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Other,Pinolenic acid,18,30,0,2,0,0,0,1.6666666666666667,0.1111111111111111,-1.4444444444444446,101.46666666666668,4,2,0.125,0.17647058823529413,2,Lipid,22.058664187789933,23.469668492786134,1.063965990550653,0.08945203613225275,0.004248641327039206,0.021443793215456378,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0072,Caffeic acid,C9 H8 O4,180.04228,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Degradation of aromatic compounds;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",Caffeic acid,9,8,0,4,0,0,0,0.8888888888888888,0.4444444444444444,0,60.3,6,2,0.4,0.5714285714285714,2,Phenol,20.1398876945499,28.441202704245665,1.4121827855049165,0.4979268355457371,0.002091401028198977,0.016005731105025064,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0054,L-Cystathionine,C7 H14 N2 O4 S,222.06742,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of cofactors;Other,L-Cystathionine,7,14,2,4,1,0,0,2,0.5714285714285714,0.2857142857142856,52.15714285714286,2,-2,-Inf,-1.5,-5,Amino Sugar,21.143057162053633,26.013940531154866,1.2303774393536246,0.29910095487608784,1.677806732747333e-4,0.005080206514066914,Upregulated,1154,Biosynthesis of secondary metabolites
