"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0001",21.8878701457469,22.6065244519816,21.921058720087,22.4963141636722,23.0582643656645,21.4290744849866,21.8673061550523,21.377028412047,23.2979560804961,21.5894157238476,22.5127113762942
"Feature0002",21.4142204842661,21.7924328238106,21.7193802773349,23.8116785410263,24.4196102962515,24.6661865308204,23.8914219040077,24.4350149390777,24.2997532578798,24.2242134810126,23.041346173088
"Feature0003",19.3062679607583,20.1011907137796,20.4340869148072,20.8320138177213,20.3488014113821,19.7056967051529,20.5263316140429,20.1024179896493,25.1060984536833,22.3178162002987,23.1622819606948
"Feature0004",20.5852189800047,20.9565792414302,20.2592094313348,25.5719123607996,25.6755353429192,25.1260510109603,26.1179011299675,25.2831311491302,20.7877498599587,20.1391389241753,20.1885932595878
"Feature0005",23.6601107795202,22.9757416402847,22.9450878980627,24.7725005487985,24.7022633406195,25.6519496485193,24.4201994338188,24.5793866930575,22.3611166624613,23.0410711138818,23.2827508364819
"Feature0006",21.323837445664,21.7776817038392,21.5000839322032,22.2729506365186,21.5065017444197,20.885588115183,21.8717731268574,20.849613712967,24.7983581126339,22.5741593976757,22.5134668032046
"Feature0007",21.6881857911976,21.0263019302502,21.2406697262085,25.7635025889148,25.8621817145564,25.9782334067729,24.9610476480815,24.292925775952,22.1511213611993,22.5024237602869,22.9895965578725
"Feature0008",24.5582129782753,23.3678929090967,21.0251287374377,24.247797704026,20.777105417962,24.8573511009061,24.1483000156803,24.5424680784333,23.6542325614595,24.9270780414471,24.5684658856481
"Feature0009",22.3391594000605,21.9888232045026,21.5619234121064,24.6550696274923,24.8414347304909,25.160912671771,24.4572550791185,24.8266331773067,22.2923645174997,23.0452592237969,22.6568264086075
"Feature0010",21.152297545519,21.0415163640233,20.2172486393983,24.1673367438239,25.8440351105811,24.7603783214163,23.9184967909752,25.4802084703553,22.3670131864716,21.3456810915284,21.3107948310153
"Feature0011",18.790563342896,19.4663248143829,19.4891657137659,26.230652840648,27.2548506208522,26.0889364258387,26.7708671878558,26.304047562292,19.6172190536487,17.6410778394266,16.1929650722639
"Feature0012",26.3919062179809,26.999589950409,27.1419937788454,21.7171077414731,21.7887590614768,20.7707680616482,20.0385672151176,19.3836735563247,21.5893415070946,18.5646575594179,18.0250632128332
"Feature0013",23.6692169055403,23.2076430657529,23.1199894660146,24.834417776822,25.4120065907523,25.6352664549529,25.1625201871978,23.8967662221292,23.7603088854915,24.9550957040836,25.1969371154478
"Feature0014",23.4105044414967,22.8545316574516,22.9361649005637,23.950730721463,22.3549417579788,23.5800856923028,24.899612993395,22.0433632553817,24.7041508881406,24.5658155408128,24.4438682283439
"Feature0015",23.681719747512,24.250986726675,24.4633332169967,21.4707532694136,20.2553801467771,19.7631056075203,21.3554822876716,22.2451540343951,24.7445347060801,23.55803868393,23.9654443869883
"Feature0016",19.9183788595865,21.2136012491826,21.0736865829191,28.3986075455735,19.5402450753275,26.6316041780774,27.2167933315959,24.7588252363014,17.0067809531513,16.9691486808903,17.6994682461949
"Feature0017",18.599434598791,22.0158640534152,21.9603174266984,23.9673787694502,24.3023752564846,23.7954842267894,23.5503632995852,22.1843353758083,25.1736987293458,25.002846686221,25.5646014695053
"Feature0018",24.9811966357556,24.1013298204738,24.2651666025493,22.4234717051574,23.0331141398808,23.530661515677,23.8242609613919,23.0797005935014,24.096391535412,25.0276986913824,24.799468869514
"Feature0019",20.0521651406568,19.1070181427277,18.5287712441162,26.4296258540428,26.6126481726238,25.990272035282,26.4835224899974,25.2979632595847,22.3392211241297,22.2188241362939,22.7726318289119
"Feature0020",24.4272633737528,24.1911830417479,24.457071928827,23.4005654665836,24.0197095455372,20.5867289750459,25.4799742936561,24.40045281302,25.3170607271411,20.6738849405853,20.6682851057627
"Feature0021",21.6283024372666,22.6840144242961,22.78964591998,21.6106896625164,22.3742688904824,20.3978625221145,20.9002156103857,19.1486140891059,25.4258046033479,23.1695795258521,23.3475232864614
"Feature0022",17.4613996251292,19.8972855391201,18.1319119428894,26.2570000716793,25.7321550721191,25.5337291815614,27.8031295679279,26.6317653921874,20.5947684751317,19.2934372247797,19.434893580103
"Feature0023",24.6071921344851,24.9513555271219,25.9958478362052,19.8645982697968,20.7889028169475,21.075971182134,22.4905298531746,19.7554192783116,24.7990999909487,24.6391652931442,25.0116652031509
"Feature0024",27.9774205099845,21.1247337429891,23.0751231780756,20.2169692600018,19.9214803184624,23.2558959000792,20.0775172786074,24.8398777836453,16.854449414628,17.5611337792943,17.3268509129961
"Feature0025",25.3828200708499,25.5769226447438,25.8419501761003,22.1551795446961,22.7860834592249,19.7113082290885,25.5302455091758,22.8611722156,24.5995504464266,20.4532577241276,20.1058094095502
"Feature0026",24.9056235055105,25.4312319730507,25.3681028106615,19.7319891273183,21.0197900689534,18.4558709131614,19.1612730001645,22.4070099435534,25.3596120210734,24.8896665531685,25.179400590598
"Feature0027",19.7226991770395,21.6609961105149,21.2316814629674,21.8233841084423,21.7138600854076,21.1558686757255,22.4268948947579,20.8446360278886,24.5884060583834,23.7710378454082,24.1300052952252
"Feature0028",27.3470278934235,21.7340699553763,23.6185643114517,21.3817926228509,22.244213165058,20.9192462055863,22.4619595729219,25.8888006666683,21.1820644239594,19.0367111993943,14.5928694850114
"Feature0029",22.2074044643814,21.354236706471,21.6026133072448,24.8254460547084,25.6094978727214,26.279723511826,25.9926816079488,25.4219216724418,22.8947900625341,23.7751000045973,24.0752265254148
"Feature0030",23.7269879067915,23.7079075412374,23.9172000562396,24.3783745125649,24.6747619673086,19.545557858776,25.8794678729772,25.1833995938338,25.5901421293571,20.4681747415496,19.6533240938903
"Feature0031",20.2886805121493,19.8096057778325,19.9805294155873,24.9348133529233,24.9324466991749,25.0048878994153,25.3183226784898,25.6231029643105,24.1271407422964,24.7378109924557,23.1181463875349
"Feature0032",25.2439465844345,24.5494511149275,24.3712382338191,24.8095355173163,24.1600146892174,25.7089490859364,24.3070575035271,25.0310523886053,23.8149646358303,24.5208440780138,24.8405180137203
"Feature0033",25.3425838939435,25.3577583228499,25.495820291191,24.2539016887475,23.8337249848545,24.6616968766744,22.4672583780877,21.9656016224678,21.6641578690638,21.2098627914071,20.8550971391116
"Feature0034",20.8925929687022,21.7104804233683,21.5038042522592,24.2126081945487,24.033101999994,24.3258127774433,25.345753627081,26.345274448671,21.5421492102078,20.8690514594486,20.8925301854109
