FeatureID,Name,Formula,MW,Area: 2,Area: 10,Area: 14,Area: 19,Area: 23,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,name4plot,C,H,O,Cl,N,S,P,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0049,D-(+)-Maltose,C12 H22 O11,342.11635,3059344310,1013330.965,1537515.106,95846634.53,1976054.689,3266503542,3898012088,1009198.99,4254267.578,100196444.2,1242910.356,67370082.88,284909.8436,D-(+)-Maltose-peak2,12,22,11,0,0,0,0,1.8333333333333333,0.9166666666666666,0,60.3,2,-9,-9,-0.5384615384615384,-9,Carbohydrate,29.938779448094333,25.525842230585265,0.8526012984210029,-0.23005684251289332,1.5984981279159024e-4,0.001524006322865359,Downregulated
Feature0048,D-(+)-Maltose,C12 H22 O11,342.11635,2814305312,4230615.787,6994124.643,287514775.2,13660919.05,3435540829,3725075794,4009267.944,13168371.18,234728123.3,7124985.786,135385467.9,602412.6266,D-(+)-Maltose-peak1,12,22,11,0,0,0,0,1.8333333333333333,0.9166666666666666,0,60.3,2,-9,-9,-0.5384615384615384,-9,Carbohydrate,31.30166555246573,26.9116000766175,0.8597497801358237,-0.21801125307626434,4.5355926061527364e-4,0.0024693781966831567,Downregulated
Feature0047,"[Similar to: (2S,3Z,4S)-2-(β-D-Glucopyranosyloxy)-3-(2-{[(2E)-3-(4-hydroxyphenyl)-2-propenoyl]oxy}ethylidene)-4-(2-methoxy-2-oxoethyl)-3,4-dihydro-2H-pyran-5-carboxylic acid; ΔMass: -13.9640 Da]",C30 H32 O10,552.19956,7235928.49,50299.94337,52840.83506,900187871.4,67946.74377,1205786.678,56214.41924,50651.67371,58481.96634,3031603792,59581.01424,2612432422,54250.19292,"[Similar to: (2S,3Z,4S)-2-(β-D-Glucopyranosyloxy)-3-(2-{[(2E)-3-(4-hydroxyphenyl)-2-propenoyl]oxy}ethylidene)-4-(2-methoxy-2-oxoethyl)-3,4-dihydro-2H-pyran-5-carboxylic acid; ΔMass: -13.9640 Da]",30,32,10,0,0,0,0,1.0666666666666669,0.3333333333333333,-0.4000000000000003,71.7,15,5,0.25,0.4,5,Phenol,21.384727626203865,24.921065364994135,1.165367443560843,0.2207849123231919,0.17656898944035765,0.22841398411641914,Upregulated
Feature0046,L-Iditol,C6 H14 O6,182.07904,50902132.29,709135034.9,644295882.3,47651545.29,240239707.5,42683338.33,47003856.95,1258879228,2827807693,11936668.85,1224508015,10345872.12,324929.6286,L-Iditol-peak2,6,14,6,0,0,0,0,2.3333333333333335,1,-0.33333333333333304,69.79999999999998,0,-6,-Inf,-1,-6,Carbohydrate,25.314574399379133,23.4811840860221,0.9275757006840297,-0.1084630680921302,0.05989765174726364,0.10075471680540869,Downregulated
Feature0045,L-Iditol,C6 H14 O6,182.07904,70987544.31,1238325399,894095309.2,31159760.82,247655610.8,31248476.64,46417489.56,1546998420,2683285614,20516595.6,2234359747,19534380.68,283312.3719,L-Iditol-peak1,6,14,6,0,0,0,0,2.3333333333333335,1,-0.33333333333333304,69.79999999999998,0,-6,-Inf,-1,-6,Carbohydrate,25.334147659280667,23.881336658613034,0.9426540406961185,-0.08519970399720193,0.031159038695331973,0.06459355235542152,Downregulated
Feature0044,D-(+)-Glucose,C6 H12 O6,180.06335,924720969.1,17575969.53,72335746.67,2222989365,46423772.73,788755478.4,1088300071,37034571.28,326231720.2,637006513.8,32055209.67,294091879.9,878060.1805,D-(+)-Glucose-peak2,6,12,6,0,0,0,0,2,1,0,60.3,1,-5,-Inf,-0.6666666666666666,-5,Carbohydrate,29.6387192483934,28.9039361540079,0.9752086759138444,-0.036217133980302615,0.3442036029993098,0.40157087016586146,Downregulated
Feature0043,[Similar to: Quercetin-3β-D-glucoside; ΔMass: -248.0555 Da],C6 H13 Cl O6,216.04001,1557700295,31262802.62,73216662.97,1154398735,42564702.44,1539723852,1823000037,76656945.49,384660426.7,1034271632,55397429.28,538577881.6,585070.051,[Similar to: Quercetin-3β-D-glucoside; ΔMass: -248.0555 Da],7,13,6,1,0,0,0,1.8571428571428572,0.8571428571428571,-0.14285714285714324,64.37142857142858,1.5,-4.5,-4.5,-0.375,-4.5,Carbohydrate,30.414017500213966,29.179788633026835,0.9594190781543922,-0.05976696691240703,0.002528214549739343,0.0093001103830983,Downregulated
Feature0042,NA,C27 H37 N O5,455.26725,32132.90356,3396576.475,776229368.1,90554.77938,2052878.334,38225.5306,38455.38379,464684.3474,1542818261,69972.92563,3406981.432,69408.47646,36517.44033,Feature0042,27,37,5,0,1,0,0,1.3703703703703705,0.18518518518518515,-0.8888888888888893,85.63333333333334,10,5,0.1904761904761905,0.2765957446808511,4,Phenol,17.39644303347753,9.199119940563403,0.5287931517299664,-0.9192246019093679,8.444157624027976e-4,0.004137637235773708,Downregulated
Feature0041,D-(+)-Glucose,C6 H12 O6,180.06334,1072246512,33611686.81,89298825.13,735848691,53541598.85,1104029568,1492348385,60955100.81,393645711.2,625603416.1,62606479.16,446348035.8,733867.1291,D-(+)-Glucose-peak1,6,12,6,0,0,0,0,2,1,0,60.3,1,-5,-Inf,-0.6666666666666666,-5,Carbohydrate,30.006412259500532,28.605542135501032,0.9533143078924419,-0.0689761455179608,0.002821525709015469,0.0093001103830983,Downregulated
Feature0040,Xylitol,C5 H12 O5,152.06851,9938000.329,304100674.9,574347440.7,8636942.056,19347711.23,7292182.496,9248847.704,348030170.6,1298909139,6236534.648,913826504,5980904.991,226012.9462,Xylitol,5,12,5,0,0,0,0,2.4,1,-0.4000000000000003,71.7,0,-5,-Inf,-1,-5,Carbohydrate,22.584014714624033,21.891839920649833,0.9693511183586863,-0.04490876158830936,0.07060773804027612,0.11160577948301709,Downregulated
Feature0039,"α,α-Trehalose",C12 H22 O11,342.11637,731599715.9,703467.0058,885946.0557,1010241907,784150.5248,850880328.4,1103766409,754391.5873,3196302.034,1017620644,1072390.964,924680996.2,141720.9831,"α,α-Trehalose",12,22,11,0,0,0,0,1.8333333333333333,0.9166666666666666,0,60.3,2,-9,-9,-0.5384615384615384,-9,Carbohydrate,28.189002369593066,28.989455469866698,1.0283959357546142,0.04039581373009409,0.061686561309433896,0.10075471680540869,Upregulated
Feature0038,"[Similar to: α,α-Trehalose; ΔMass: -126.0762 Da]",C6 H13 Cl O6,216.04002,1035603244,2830919.545,2063907.111,140891807,2508382.891,300695817.3,378646398.5,1799822.946,3071271.851,245902016.3,5279058.193,311284994.8,192506.2932,"[Similar to: α,α-Trehalose; ΔMass: -126.0762 Da]",7,13,6,1,0,0,0,1.8571428571428572,0.8571428571428571,-0.14285714285714324,64.37142857142858,1.5,-4.5,-4.5,-0.375,-4.5,Carbohydrate,27.225323464618068,26.8617395182222,0.9866453764316747,-0.01939645559108683,0.7226883012711238,0.7534409949422355,Downregulated
