"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0001",17.6392553921217,19.9770233138123,20.9328265217878,19.4755374491616,19.295003170579,19.0617588617754,19.0904730304489,19.4801743893051,19.7556145204541,18.372171095966,17.8233691948488,17.8128814021977
"Feature0002",19.782993997316,18.9755954173438,21.0351105188106,18.1301254369942,18.0923192312045,18.4960708088414,18.2541704163539,18.3345943053131,18.3261377479193,16.9452879430124,17.4081657035838,17.1909560654541
"Feature0003",19.9363361163254,18.9907829397961,19.8542012558879,18.0175447864103,17.9366101193383,18.3312530571879,18.1877803062831,18.2313593545611,18.1469670400462,17.1421708564825,17.4449630866054,17.2488763035923
"Feature0004",22.9559869407007,22.6993414186283,22.8782015312118,27.3976237219778,26.2920836972819,26.9490668814775,26.6979954228995,27.6883722469615,26.0345750709774,24.0866574179499,24.445976024019,23.8226920320783
"Feature0005",22.4113741838905,22.5573567461908,22.7490038155226,26.5512355481712,26.5870302731981,26.3924811978865,27.1374965499253,27.267626346907,27.27494172641,25.0427614068571,25.2761968966907,25.585717408364
"Feature0006",16.5514778606388,17.6993528608824,18.5522427727547,25.6288747077187,22.7026649910355,27.3988147190585,27.5760995470623,20.1208749447195,29.079580724422,8.52130114459645,7.24321844062623,7.26144265692885
"Feature0007",16.1721519038076,19.7068558596563,17.5575940228604,22.1658575697816,24.0810458653339,21.8518624942909,25.2154944971678,28.8789213152188,25.2665343520275,14.8846607723538,14.2743332686965,13.3693191841213
"Feature0008",21.8410131037524,22.1246426840251,21.9571434033745,26.3188419370797,26.1040332004641,26.4882896725485,27.2270479839613,27.64738238008,27.4737755459185,24.9863848684287,25.6367880182961,25.8725947133671
"Feature0009",18.2584998096337,19.8218702489171,18.2137404366736,29.0053229154552,24.170838499783,28.8572592219853,28.936568667464,29.3624786955681,25.0015440604563,18.4761467604141,15.4523087285181,15.7994045626017
"Feature0010",19.9243741513702,20.3191651287263,18.5027466348504,17.2819146377933,17.2392037902921,17.7020833543372,18.4399194420216,17.6334789438145,19.4161497331665,19.8720141108689,18.369958942922,18.3152498543992
"Feature0011",20.4481913511976,20.5378270933431,21.7204409856151,22.9079043161699,22.6582571828712,21.9370140216521,22.680798788945,19.9371626738772,21.932016881051,24.1255857127901,22.3783535225781,22.5281573275611
"Feature0012",23.7138405828854,23.9922114076984,25.6760536648021,23.4377521995678,24.3956246449707,24.1384063555677,22.9384505803317,22.9832984670607,24.0463122524127,24.617778313061,23.7796667613181,23.8190978573571
"Feature0013",19.2145205951328,19.7538976716165,19.7063780529286,27.9698760772058,24.8818661835617,21.1130028067972,29.2823581555378,28.9239384454547,30.4786422017159,21.8448846966104,11.8444212858457,11.8209202841887
"Feature0014",23.5768065439432,23.6396135371858,23.7065692620263,27.5195416496882,27.6794529074096,27.5920578178951,27.0383851342834,27.6285063580856,27.6175445313578,25.8959460799916,25.981479645131,26.1347473287215
