"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0001",71263.17626,174912.3531,190239.4542,144579.8075,118700.658,101066.9162,112488.2954,155271.897,161927.7501,35806706.25,74993444.72,78997316.93
"Feature0002",334505.1162,75860.55916,181054.1604,55494.2969,58070.90653,61787.33547,58214.59795,66166.23008,60647.58916,21692798.38,85767438.36,83121579.44
"Feature0003",379670.8853,75201.92683,78963.42946,50927.96409,53292.55811,53896.10144,54695.75122,60721.76021,53618.79566,27259043.04,94748740.42,94141552.84
"Feature0004",15535392.27,17760593.15,22483990.13,49045307.74,22022586.08,66725903.81,39175984.52,96277523.44,29202906.6,46233470.55,39845404.48,21560809.23
"Feature0005",7257202.35,10294817.97,12970159.12,38044614.08,35300964.03,59642877.79,72279778.56,95019706.69,97611743.7,87510719.95,70332654.4,76328092
"Feature0006",33572.45411,35763.11078,36229.65535,10283315.53,1267140.34,32540913.59,40172304.52,241516.0157,103842803.6,39733.29787,50090.02806,53997.66722
"Feature0007",27602.36165,230488.3031,29787.04047,933463.8592,2630014.904,800597.8817,8867236.267,110344085,7041032.85,1227413.099,2447153.591,1208645.162
"Feature0008",5336735.686,8556893.584,8409783.296,29335747.58,23115470.07,58498143.17,69719712.29,115232656.9,98206473.09,86880756.31,93810416.52,96386607.92
"Feature0009",247407.5523,992401.4287,229763.1674,78011998.75,1646720.628,114906806.2,117314843.4,146019510.2,5178309.846,2184368.235,864240.4662,820301.4226
"Feature0010",360527.4481,198450.8024,31982.31903,31104.05555,31176.23973,36680.47992,67664.24798,41436.35761,128883.5602,145317413.3,150417068.4,160776795
"Feature0011",749706.2003,1010517.697,1318020.578,1389164.034,694291.3945,1026836.727,1665542.605,229931.4273,646272.7402,197728733.6,203901178.3,194143242
"Feature0012",35040259.83,68689093.45,235617865,1591109.396,2444376.819,4204040.975,1822592.063,1652376.152,2836728.164,69300829.08,34966750.02,21855045.42
"Feature0013",371331.7274,714315.1417,421365.9994,42791120.32,2942898.721,571624.5978,157159568,114049678.7,237787182.7,31400745.9,109098.3399,88661.89497
"Feature0014",14265459.89,16250632.5,19128396.55,95463541.2,106225947.7,168552719.6,95166939.89,140681016.4,238304601.4,141307353.5,103036587,96085679.37
"Feature0015",34216111.98,39154530.07,55685615.55,50272494.88,84535997.35,93687105.13,37757903.16,20392375.54,248373804.6,43081771.68,25224252.35,37167469.52
"Feature0016",139264434,163517011.8,211232999.9,58519060.18,167784.9103,91789416.42,134431049.2,152866358.7,17853043.81,246950043.3,252433498.5,232418285.1
