"","Area: 10","Area: 14","Area: 19","Area: 2","Area: 40","Area: 41","Area: 46","Area: 47","Area: 57","Area: 59","Area: 60","Area: B"
"Feature0001",17.0827115693055,16.4148314067156,17.4076958022603,16.5051789558056,18.4962871330462,19.4800290094196,17.3574245224208,17.645696228924,16.3836549424996,16.6799186837835,16.3887448581697,17.6150038454404
"Feature0002",15.7054951379008,15.4552437064656,16.1562597147773,18.8555269765987,17.5723312868982,19.6768496380956,16.0729902221944,16.1582266891301,16.2375535024728,16.053285462665,15.9644526132835,17.1037364996797
"Feature0003",15.5855977030837,15.3648704489397,16.3726846787106,19.0573977797425,17.6128900766674,18.5262121784481,15.8929915794254,15.9659856504672,16.3178687680346,15.8774334766378,16.0464178303189,16.9924609052895
"Feature0004",26.5323302962682,25.9094926488009,22.7205138412866,21.1127700223529,20.6858827126474,20.8612181347998,25.5029048998712,25.1446974490812,23.1733552790309,26.027835290913,22.6574750289263,23.6774974108153
"Feature0005",25.7103336877957,26.3764749609787,23.7351174561779,20.5604794284835,20.5619068934343,20.7586235032746,25.80087442668,26.3826560411603,24.0431202497469,25.4678034978425,24.4240238391078,24.0185703061002
"Feature0006",23.2347798237756,24.8883804019027,7.27897281896333,15.4959843371606,16.3796809023122,17.2564506497382,20.6256507671264,26.9283072067541,5.62554773307728,25.0569948418151,5.57087402837431,15.3135932711298
"Feature0007",19.7741644422594,22.7167397637239,12.5850245241929,15.1246988978853,18.8682964810981,16.778865062603,21.8473009390288,23.0940283817603,11.4776401873265,19.659961440446,10.4028704589253,15.6569397669277
"Feature0008",25.5376528259334,26.5137754151674,23.6680729595965,19.8932522913785,20.0151146395545,19.8421473214891,25.3618272405042,26.6183349604628,24.4225198751964,25.6160245365712,24.7590560657184,23.8644824252551
"Feature0009",26.7925732241968,27.0820868351707,15.8968330192769,16.7940727584023,18.6578841605789,17.2807383548136,22.4838890585854,23.307008976397,12.099249666517,26.9690751956339,12.6484621341333,20.23440445459
"Feature0010",14.8654845116774,15.6752600589145,19.1442032982907,18.9144219792211,18.8368902109221,17.0623006911899,15.2944494871618,17.2780194309778,17.1958702800455,15.2593650920983,17.1374985714286,17.3413490157289
"Feature0011",20.9948551989651,20.9615443435884,22.434787510703,18.3706756960959,18.6535170514222,19.7672017331211,21.2646718924644,20.317915145936,19.9821489796255,20.1661672692369,20.5448295145696,17.276375296747
"Feature0012",21.277380080716,21.109605970838,22.9714188294756,22.7564241267759,22.9690157087365,24.7734125377717,22.7441968018026,22.1972271427907,21.593390498632,22.0136910439262,21.73330585617,22.3999508938239
"Feature0013",25.8017447547753,27.3600787739654,19.4729021529945,17.5871716314778,18.4606654390178,18.4513825279673,23.1297190874714,28.7213062341424,9.01621257972374,19.2724830918358,9.27715473400036,19.9171317918326
