"","Area: 10","Area: 14","Area: 19","Area: 2","Area: 40","Area: 41","Area: 46","Area: 47","Area: 57","Area: 59","Area: 60","Area: B"
"Feature0001",144579.8075,112488.2954,35806706.25,71263.17626,174912.3531,190239.4542,118700.658,161927.7501,74993444.72,101066.9162,78997316.93,128
"Feature0002",55494.2969,58214.59795,21692798.38,334505.1162,75860.55916,181054.1604,58070.90653,60647.58916,85767438.36,61787.33547,83121579.44,128
"Feature0003",50927.96409,54695.75122,27259043.04,379670.8853,75201.92683,78963.42946,53292.55811,53618.79566,94748740.42,53896.10144,94141552.84,128
"Feature0004",49045307.74,39175984.52,46233470.55,15535392.27,17760593.15,22483990.13,22022586.08,29202906.6,39845404.48,66725903.81,21560809.23,128
"Feature0005",38044614.08,72279778.56,87510719.95,7257202.35,10294817.97,12970159.12,35300964.03,97611743.7,70332654.4,59642877.79,76328092,128
"Feature0006",10283315.53,40172304.52,39733.29787,33572.45411,35763.11078,36229.65535,1267140.34,103842803.6,50090.02806,32540913.59,53997.66722,32
"Feature0007",933463.8592,8867236.267,1227413.099,27602.36165,230488.3031,29787.04047,2630014.904,7041032.85,2447153.591,800597.8817,1208645.162,32
"Feature0008",29335747.58,69719712.29,86880756.31,5336735.686,8556893.584,8409783.296,23115470.07,98206473.09,93810416.52,58498143.17,96386607.92,128
"Feature0009",78011998.75,117314843.4,2184368.235,247407.5523,992401.4287,229763.1674,1646720.628,5178309.846,864240.4662,114906806.2,820301.4226,128
"Feature0010",31104.05555,67664.24798,145317413.3,360527.4481,198450.8024,31982.31903,31176.23973,128883.5602,150417068.4,36680.47992,160776795,128
"Feature0011",1389164.034,1665542.605,197728733.6,749706.2003,1010517.697,1318020.578,694291.3945,646272.7402,203901178.3,1026836.727,194143242,16
"Feature0012",1591109.396,1822592.063,69300829.08,35040259.83,68689093.45,235617865,2444376.819,2836728.164,34966750.02,4204040.975,21855045.42,128
"Feature0013",42791120.32,157159568,31400745.9,371331.7274,714315.1417,421365.9994,2942898.721,237787182.7,109098.3399,571624.5978,88661.89497,128
"Feature0014",95463541.2,95166939.89,141307353.5,14265459.89,16250632.5,19128396.55,106225947.7,238304601.4,103036587,168552719.6,96085679.37,128
"Feature0015",50272494.88,37757903.16,43081771.68,34216111.98,39154530.07,55685615.55,84535997.35,248373804.6,25224252.35,93687105.13,37167469.52,128
"Feature0016",58519060.18,134431049.2,246950043.3,139264434,163517011.8,211232999.9,167784.9103,17853043.81,252433498.5,91789416.42,232418285.1,128
"Feature0017",112719781.4,123870372.6,6457306.889,537017.9084,279731.4123,188786.9491,158708542,307068990.9,8185484.336,251052150.9,6271403.527,128
"Feature0018",69963387.3,86131656.98,135780614.5,234414593.7,251961808,310678932.2,84625517.33,256469359.6,99485711.76,125586890.1,77315892.34,NA
"Feature0019",99046649.57,255650765.9,2368521.607,592676.9492,2117641.951,845627.5506,1345838.487,2750627.975,1125514.277,106523353.8,1154067.457,128
"Feature0020",416369.1992,216703.7313,136143526.2,907268.0149,452102.1266,497403.3876,134532.6613,1261191.498,367757439.8,732165.0557,365055952.9,128
"Feature0021",113728076.1,137503035.9,374832222.6,45606833.41,64998104.8,48575670.77,32438228.47,95107765.44,322625337.8,84434138.98,329141922.9,128
"Feature0022",521627.005,372528.0603,69989835.8,1073838.622,612427.3602,552359.4526,142640.1512,383466.1778,383683026.1,671542.8815,278119459.4,128
"Feature0023",206584678.9,265184138,341624206.3,174450293.1,176562430.3,156450808.1,278480995.3,385396200.4,346090091.7,329561833.8,318421837.8,128
"Feature0024",255099.9673,350064.2442,92824822.36,263196098.3,301946037.6,388046717.8,180893.3721,197573.0874,34912233.09,544294.4686,11546931.96,NA
"Feature0025",65566.72532,68878.81548,208488067,909646.7409,159451.8926,73276.3327,66025.21106,76232.11412,439557771.3,77664.73943,426432037.2,128
"Feature0026",48185.60089,50547.63354,106703817.8,1645617.916,268487.6309,74711.41573,50422.86652,50731.53687,453957912,50993.91032,422001745,128
"Feature0027",1414474.454,1213439.828,154988100.4,400975155.1,471075801.3,138974729.1,1799832.238,1794500.718,243071443,2715967.742,287499220.5,NA
"Feature0028",180888.6802,414959.774,16071525.53,470808109.3,548577034.6,572179993.6,229926.9138,1047974.518,23542977.81,260351.2202,15703379.67,NA
"Feature0029",134226345.9,264812674.8,3575287.142,3640194.106,3336577.418,3972179.61,159042369.4,633644240.1,2974459.777,432559340.5,2684452.65,128
"Feature0030",4781965.323,5512134.319,228613699,420094949.1,641858382.8,569864324.2,5345095.779,5614182.715,7222948.085,5640868.463,6442576.804,NA
"Feature0031",287748.2296,476782.4558,2520663.764,413016.2342,443368.7611,684449.6781,312871.7199,429516.0839,606950659.9,84449107.48,652418587.4,16
"Feature0032",598612.8839,653949.9914,156759412.9,453552777.2,518998992.6,664436604.4,400306.0458,543727.928,61458907.53,998336.9811,18463454.85,64
"Feature0033",8206565.677,10447768.55,756334164.2,7908583.55,3997346.666,1111684.87,11169680.6,7528705.961,271622962.8,14063681.95,227809977.8,128
"Feature0034",2187743.357,1914509.196,145646111.4,70434876.33,572416689.7,765280914.2,2308386.815,6382446.371,143521060.7,6603139.612,81871513,128
"Feature0035",635192.7273,809863.2279,24324302.1,621911607.5,734921160.5,812698843.3,946108.9466,1187325.836,30615787.09,1245851.869,19467750.26,64
"Feature0036",58895445.61,129623982.8,897124925,8459307.288,8358926.821,8682257.187,100431559.9,458387554.2,683148568.1,141290436,698530184.1,128
"Feature0037",291446.9242,554424.0909,28971425.28,867707514.9,1010477192,876800976.8,721328.4846,1262049.972,23352548.83,888161.9383,20491535.68,NA
"Feature0038",2830919.545,2063907.111,140891807,1035603244,300695817.3,378646398.5,1799822.946,3071271.851,245902016.3,5279058.193,311284994.8,128
"Feature0039",703467.0058,885946.0557,1010241907,731599715.9,850880328.4,1103766409,754391.5873,3196302.034,1017620644,1072390.964,924680996.2,NA
"Feature0040",304100674.9,574347440.7,8636942.056,9938000.329,7292182.496,9248847.704,348030170.6,1298909139,6236534.648,913826504,5980904.991,128
"Feature0041",33611686.81,89298825.13,735848691,1072246512,1104029568,1492348385,60955100.81,393645711.2,625603416.1,62606479.16,446348035.8,NA
"Feature0042",3396576.475,776229368.1,90554.77938,32132.90356,38225.5306,38455.38379,464684.3474,1542818261,69972.92563,3406981.432,69408.47646,32
"Feature0043",31262802.62,73216662.97,1154398735,1557700295,1539723852,1823000037,76656945.49,384660426.7,1034271632,55397429.28,538577881.6,128
"Feature0044",17575969.53,72335746.67,2222989365,924720969.1,788755478.4,1088300071,37034571.28,326231720.2,637006513.8,32055209.67,294091879.9,128
"Feature0045",1238325399,894095309.2,31159760.82,70987544.31,31248476.64,46417489.56,1546998420,2683285614,20516595.6,2234359747,19534380.68,128
"Feature0046",709135034.9,644295882.3,47651545.29,50902132.29,42683338.33,47003856.95,1258879228,2827807693,11936668.85,1224508015,10345872.12,128
"Feature0047",50299.94337,52840.83506,900187871.4,7235928.49,1205786.678,56214.41924,50651.67371,58481.96634,3031603792,59581.01424,2612432422,128
"Feature0048",4230615.787,6994124.643,287514775.2,2814305312,3435540829,3725075794,4009267.944,13168371.18,234728123.3,7124985.786,135385467.9,NA
"Feature0049",1013330.965,1537515.106,95846634.53,3059344310,3266503542,3898012088,1009198.99,4254267.578,100196444.2,1242910.356,67370082.88,NA
