"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0001",1499341.714,1505757.283,968019.8337,847171.6531,1134542.076,883423.8526,619948.5371,1070684.577,11328106.05,11433102.99,16237561.63
"Feature0002",3237776.687,4626839.462,4466830.299,7027879.945,9962088.305,11795542.37,9110235.695,24057297.04,23281995.03,15466239.41,4753416.414
"Feature0003",123577.0306,142682.2013,171515.9446,129225.1459,108164.8726,141286.8157,102094.2452,193766.3639,24862216.44,18671209,22999153.87
"Feature0004",1009048.863,938373.7126,597374.8547,12138583.14,10970209.47,14646721.59,21886239.8,25803204.4,2242499.638,2327347.712,1762369.613
"Feature0005",16926630.24,15931255.3,16232076.25,20043968.63,16290420.46,21554078.02,17334364.23,27340120.26,7333430.626,5602076.846,4468392.193
"Feature0006",884118.2186,739658.265,622476.3903,635505.4215,351496.9855,542419.7667,526501.0266,646874.7602,29131083.7,22745448.32,16004110.27
"Feature0007",4027496.122,3012439.717,3551120.659,29205698.76,29256339.35,28762046.39,20466012.46,22314515.8,5424228.863,4372570.256,4247436.017
"Feature0008",30674641.16,18945883.32,3834621.91,12379669.28,1005434.556,12511804.71,13465951,26912672.35,17028411.69,21214914.59,11231800.82
"Feature0009",6176755.361,5386028.428,4069124.294,12745304.91,13506972.3,16579649.17,13626808.24,31688426.72,5816975.535,6754443.548,3596969.449
"Feature0010",1631892.348,1125260.296,651191.6545,5021313.982,13493970.35,11663076.82,5203769.21,32113943.52,6529355.019,4649475.492,3298464.664
"Feature0011",173012.2494,168575.571,176857.0492,11138961.08,20617678.41,22111880.01,18269978.49,32177215.07,875483.3675,741533.4057,203159.9619
"Feature0012",30678603,28510776.17,32209224.11,446672.6796,437576.1349,515071.1369,153848.1517,242545.6151,3222843.618,1412310.648,716614.2476
"Feature0013",17846906.89,19790570.46,20535771.92,28055379.27,31494768.75,28348545.27,32447693.7,17026543.26,20827588.79,24352840.66,19716487.68
"Feature0014",13656016.28,12296818.53,13280035.28,9343464.876,2851687.365,5271023.151,21560382.73,4763786.37,33884311.22,17003265.41,10690115.68
"Feature0015",7923893.117,8170681.287,9840990.959,645929.0614,235283.4446,346954.3023,736760.721,2893938.335,35476976.87,28789423.62,28191161.99
"Feature0016",304972.6045,460397.3909,422551.8591,40629963.17,84548.6347,26996451.75,19228448.95,8816399.241,124144.0963,467080.1472,561513.7338
"Feature0017",422320.1758,4277697.782,4155217.566,6740423.779,7669256.481,6572422.091,6180855.219,4683180.283,40765638.43,31362822.62,32678298.37
"Feature0018",42932504.9,36037833.19,42232707.73,4128102.727,5270146.023,5008045.122,11767102.88,9632598.071,24867911.16,22046331.53,12697765.46
"Feature0019",1130778.06,544586.0286,367767.3942,36188149.12,36765798.73,30070234.63,45920848.02,39808456.97,5709330.008,4715666.597,4894442.374
"Feature0020",26022016.79,24069221.05,29387335.88,5238104.594,7471970.111,698929.3589,27156608.9,23400464.13,46956835.31,1333009.109,927175.5001
"Feature0021",1208063.039,1530247.548,1696400.138,442770.8787,688246.6651,420100.4617,303269.5938,220594.4335,48247903.81,34306866.17,28913830.64
"Feature0022",83510.58648,285299.1485,88087.60116,13771766.54,8332636.681,17213733.94,48046659.42,48264594.56,1949416.039,2131208.878,1781800.52
"Feature0023",22694084.86,23630514.39,49046335.13,322374.4444,523334.883,970933.0207,2422853.719,748885.1196,32265196.96,31881383.01,29481164.83
"Feature0024",51087152.21,293080.9194,1083854.115,85733.4742,81122.39618,1681932.801,76266.26669,5268393.926,82587.22212,693861.6083,405383.8745
"Feature0025",42665809.78,42536268.83,51389962.49,1734534.378,2352094.316,384920.6823,21920791.89,6962493.07,27410122.61,1532663.137,855439.2687
"Feature0026",22666507.17,24581676.06,24049324.01,239274.4157,491149.2951,148845.8349,198142.8314,3922358.783,51476421.93,51693304.89,45824524.32
"Feature0027",314235.3967,733899.0504,560108.4135,500498.3201,427652.9146,695817.765,846869.7298,696515.1499,26518184.62,52102483.46,49591926.01
"Feature0028",52477744.77,659674.7976,2462830.111,313363.7049,550450.1792,514358.4284,711158.0928,19268906.32,2241232.346,1957905.321,65179.77553
"Feature0029",6375947.54,5543137.074,6931401.011,22948337.33,32391814.09,34387010.07,54260303.79,48645286.52,10990269.9,9233438.143,7679517.089
"Feature0030",15309850.68,15114623.24,17693731.27,9478454.907,10642929.77,344293.8559,32891459.03,38662894.45,55080568.25,1269198.266,507289.3734
"Feature0031",1494297.056,1197711.586,1369502.744,15547343.77,14464691.7,14863426.47,24868252.88,55138356.41,20792581.1,21721622.81,4925037.314
"Feature0032",55466356.38,49046853.35,48784930.17,29060296.18,13582122.89,33173590.66,18132844.88,38042610.72,21676035.44,19632277.62,16671412.2
"Feature0033",47849534.93,50127990.43,55939253.78,9011003.334,6201600.076,11883105.95,3203654.848,4231686.635,3666281.123,2039889.126,1118403.626
"Feature0034",1372028.311,1805652.035,1602373.582,5216819.509,3872265.452,8646373.136,14086788.86,58853883.76,3678503.83,3305762.265,2440823.965
"Feature0035",48046066.13,48973847.23,59067176.44,6597067.514,4455180.545,11512394.13,4327753.685,10636607.81,1616426.547,1406850.859,1296850.882
"Feature0036",268903.4845,327984.7517,329503.3795,215223.8367,355993.259,59560668.56,162256.6303,149580.8906,133163.0731,56147889.01,58305642.54
"Feature0037",30955160.7,35411058.97,47716818.94,59879413.6,58003073.49,2400626.73,55471185.39,7833646.466,39653926.93,31763823.63,33662802.23
"Feature0038",5579267.7,1714781.167,2597290.848,387741.2959,1440014.466,31802196.73,2607943.695,60767366.42,1544223.737,52885965.48,46518679.7
"Feature0039",55284884.56,33322590.65,61220338.96,6236923.737,4054622.279,7586026.493,634958.5579,914517.6986,1711410.321,1497153.146,1432540.341
"Feature0040",59140381.44,56865842.11,62491250.01,342659.1918,792656.1154,1080723.428,465616.3851,1059496.606,24580494.08,9534245.925,3826445.602
"Feature0041",35366660.4,873188.5425,2126107.992,273973.9063,199450.5665,9012271.756,80382.82897,14591980.72,5516513.353,62504552.88,40060051.82
"Feature0042",57773721.53,53800471.01,62670962.7,2407253.975,1598954.948,2448761.351,1484344.544,1650690.168,13143643.92,8073587.89,7655324.969
"Feature0043",2097647.264,49524313.53,62709411.84,2023904.818,456061.7336,114146.4555,1991769.899,5268393.926,3571932.986,693861.6083,68124.95044
"Feature0044",5579267.7,4862020.019,5441627.695,29262931.83,16458588.76,31802196.73,62814835.17,60767366.42,58642409.8,52885965.48,46518679.7
"Feature0045",21650524.74,12482912.31,16186198.45,31951044.7,30833163.95,42493924.48,62367612.27,63627888.71,9287883.635,4304475.131,9445864.379
"Feature0046",2674153.406,2727583.284,3860507.58,282936.8247,205882.7214,11512548.05,2296186.574,418569.2506,2827816.666,64748446.95,40489030.66
"Feature0047",1117176.432,779667.6719,664288.4893,50841393.41,45028369.28,57911674.19,43274004.33,65478042.77,4333239.236,3798152.193,3654184.187
"Feature0048",21687539.69,20562231.34,23835444.1,4249492.022,7981288.094,23254385.63,5170240.62,65560797.29,50339932.46,52931546.73,28410726.73
"Feature0049",359073.0824,139542.3142,369852.9425,20067406.12,4716194.531,1236488.657,65633475.49,35435755.24,238813.3778,313174.4092,350674.6118
"Feature0050",312976.3334,382215.4835,324372.7558,294344.949,377199.2858,2786248.311,65814775.49,45273637.11,388255.7462,354233.5345,248080.4193
"Feature0051",288042.0613,50448575.32,66501728.39,6810829.892,8251207.011,560434.9851,35415325.12,19266134.5,52184302.36,2046385.185,116697.9446
"Feature0052",67066960.09,53664655.63,65090163.27,2855971.11,1850009.226,1846417.196,2018042.597,1467362.248,31902034.23,29133210.08,26305538.07
"Feature0053",65112956,55642171.7,67638650.96,940065.2739,537380.7385,1402873.471,979051.5762,1001447.401,10828815.43,8764677.957,9433929.369
"Feature0054",3391940.145,2576414.236,3249467.559,36036969.25,23193807.19,38622022.24,33248068.12,67659207.66,3404074.117,408808.2621,13757767.68
"Feature0055",263633.2796,361888.8255,638448.8713,465087.4338,441501.6949,429417.6068,288864.089,420436.3337,7080600.843,68458623.59,43526331.78
"Feature0056",3214934.09,52752558.68,68856286.42,45698602.28,42712880.15,2026977.716,26982081.41,5903422.282,19449465.06,374402.2774,433438.3684
"Feature0057",50849446.1,46803315.17,56560014.5,62021084.44,61233569.64,1471300.474,69118097.67,72569779.01,64722550.35,59669006.2,2058010.004
"Feature0058",208140.2678,65718875.82,66144909.78,422683.9427,62112929.12,72647180.74,431880.7786,61429196.15,892328.712,65743080.51,70685483.68
"Feature0059",20351120.71,354936.7276,1809506.218,382970.9299,406969.1384,7796442.38,97881.47229,26600892.61,3375929.283,72805325.21,33410996.11
"Feature0060",33992637.9,36355291.16,54613913.64,39939814.23,43845277.13,73547316.39,9059014.816,9619351.134,9406618.882,5892437.658,3008595.32
"Feature0061",20400939.63,17584957.72,24751594.52,5191687.777,7568404.708,963616.8276,58775989.11,26864036.33,73957352.76,385977.6263,318410.5439
"Feature0062",2073756.89,321183.7897,219544.3628,112275.705,242381.6196,74604699.26,161406.3767,1259665.577,237564.6124,11138435.92,3670390.349
