"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0001",22.2470207154743,22.5162174405228,23.1814620519022,21.7790868285337,22.6705065106871,20.8637960854286,21.4579700285982,20.8058375761717,22.9196872822385,21.1951992761129,21.3074039761823
"Feature0002",25.0723290524281,26.0342083402944,26.0172780331008,20.3100463425093,21.6856069591981,18.8024203542349,20.2186582987136,23.3176139674178,25.0309864809562,24.217137100278,24.4560766428739
"Feature0003",21.9942937041191,21.3410066406719,21.5265376956718,25.3668760246564,26.3488169459237,26.6037556630572,26.8291721591876,25.8268352871358,22.867519526946,23.8063920625255,23.8349213984656
"Feature0004",21.021801722677,22.2565787933575,22.1799269329009,24.7894526150729,24.6931619388294,24.6892437366063,26.3913525271478,27.2692433742589,21.1111767919268,20.1629716073162,20.1282633881351
"Feature0005",26.3654262545535,27.1704222172711,27.3844322779133,20.8159118219063,22.3655624675876,21.6522083955795,21.4434728944996,21.4124245592578,24.0087845772686,21.8111891316993,20.9108459285845
"Feature0006",25.5677832584733,26.1324373976532,26.2874775121079,23.1949280789064,23.0730379286033,22.6915166672379,22.6072403943198,21.4329033947348,24.019715466979,22.6433978589493,23.0703268648813
"Feature0007",25.6823355812664,25.5430160460945,25.7337136261468,23.1102199115104,22.8590772014684,22.4865477948055,22.7623959464515,21.1285591693179,24.4796468302774,24.2951937432704,24.6974872901716
"Feature0008",21.3976312660258,21.231501651452,21.4819652900406,26.7922207163534,26.5155682673364,26.7372323635631,26.7402362701759,26.5706631220336,21.9887807850101,18.7714797784227,24.3205201533739
"Feature0009",25.5125651498834,25.0001702695354,24.7202216244136,23.9791329845663,23.684502420686,24.9779270050022,23.9683800827372,25.824558820602,24.8143307250737,25.9199982570568,26.1115201982369
"Feature0010",23.9996892790504,23.307981820632,23.3858437390594,25.7246674240925,26.1935785964933,26.5830863315053,25.7747431867134,25.8838412062842,24.0095426041918,24.8524000572611,25.3486352168449
"Feature0011",25.329174045087,24.5432957088245,24.5300764261578,25.4180964098847,25.9052124943147,26.5814665095856,25.7563941727961,25.688825856696,25.2855539927733,26.3303147325589,26.4970617554022
"Feature0012",24.0213202900644,23.4867704161033,23.6632180125461,22.8042761294771,22.9240875914048,23.1797274694349,22.5563036480218,23.5232755281143,26.0072616408605,26.4464699302851,26.8322229756764
"Feature0013",24.9636320889262,24.5316506354721,24.7715746026943,23.9338383981855,24.9586088951121,20.8694356145618,27.0500424237576,25.2091465497301,26.0372438651589,22.0671842413215,21.170067835006
"Feature0014",24.0107908382244,23.427265596344,23.1872723555093,25.8787094022021,25.72208420331,26.8550227403913,25.1395174462802,25.1845873624253,24.8750806088213,25.798103611329,26.2197116959354
"Feature0015",25.3062065275268,25.0550650334578,24.7762147971374,24.0459850073101,24.0580817648215,25.1446551244947,24.1649812689446,24.22545375522,25.6947103993477,26.4801211183085,26.6874259249402
"Feature0016",24.4475936264378,23.6698053209151,23.4523055906094,25.5229312422403,25.6812897612093,26.3799008474355,25.7170340612368,26.1785583911134,23.5358472354663,24.1124493976089,23.6367112271615
"Feature0017",25.9395223803469,26.5464402831316,26.0921253571049,24.7988406205951,24.7186988991114,25.1215199997754,21.7676947647394,20.8248771471062,23.4378677709059,21.6592189692831,20.8081024232838
"Feature0018",21.5936250254754,24.7698439320415,24.7472883682701,26.5826674625712,27.0305010913904,22.9391410347375,26.757494877823,26.3032641060023,25.6683615164909,22.2589111027955,22.4661374333438
"Feature0019",26.4416872613124,21.4440622947788,22.409663871084,19.1318237598999,20.0713225657748,25.3485017636779,22.9181631693696,26.6207145702951,19.1247887941354,24.2582141018199,23.5667139082084
"Feature0020",21.4206707044339,22.3672557787713,22.3144826513928,25.1414937624461,28.8097292886968,24.7803855683611,24.9465869396134,24.409945547342,22.4605735319467,21.3091103750276,21.8344484354179
"Feature0021",25.5431905604019,20.3996535311447,18.7383804340215,23.3830226256488,24.4805621690104,28.0200405140065,21.8871313258946,26.771699385705,22.0685582835231,26.590547542025,26.7962703249563
"Feature0022",26.4755332843601,27.2413786084483,27.5986059001395,22.0181656649658,23.7194739100549,22.9549869313062,23.004672193966,22.1656046389605,20.7151741572988,20.8074988634386,21.0807572772512
"Feature0023",25.4330774251674,24.7537762020932,24.777198787202,24.3584734362315,23.789013018733,25.2559139270566,23.9077342908327,23.838948818368,25.8245425543684,27.0257422866383,27.0709836809703
"Feature0024",27.9714270433074,23.8579854150026,24.1441376757184,22.5247503033685,20.7571090363744,21.0608379073648,23.9598001040742,26.742266394994,19.2326249803233,18.1629734900806,18.4520478795314
"Feature0025",26.8897003151959,27.991575333364,28.163048807835,21.6440335990254,19.704475875676,18.5828014583879,21.4873035564508,20.4782218492419,24.4116175292775,23.4025384979385,21.6101602276427
"Feature0026",25.9203688611664,25.7412700702167,25.9240695924583,24.1978024636503,25.0025217654425,24.982146823302,23.5745128624149,23.7264765624428,22.0948834510699,21.2907159788767,21.8288534423447
"Feature0027",24.5298315143537,23.7579360283671,23.6070527187177,25.9715734854673,25.7681835114044,26.9941796301159,26.0105408327351,26.190121991932,24.5926228499084,25.3510744903364,25.9057532847225
"Feature0028",25.892273212033,25.2048237853696,24.9454037155628,26.0509495807661,26.6366305811278,23.9849554288179,26.3451325844102,26.0879654159952,25.9257662570087,26.7202561187188,22.4186872042392
"Feature0029",26.0977842273229,25.507552716518,25.2633369410987,25.8833550195591,26.3880855066469,26.8203100782277,26.1782679442105,25.9819500016615,25.8041057185392,26.5162756344061,26.9375826651083
"Feature0030",25.9248120905041,25.2823063315456,25.150281879604,23.2619285245036,23.2201974828501,23.8913039881632,24.0465978732054,23.3351530560953,25.9845799217751,27.0921329782269,26.9136573830823
"Feature0031",20.9513256804345,19.2942624143494,21.4069226298764,20.9768490823687,24.2274049307418,28.2734709164421,23.0187003497594,27.1837510967358,18.8659485172211,25.0792218219092,25.5867769508121
"Feature0032",20.3525880974279,20.7771547335538,21.3328399495538,21.8856976524165,21.9629775699147,22.0779560735664,21.896871432872,21.2577535881927,23.8125427031624,22.8566887000158,23.2898841476532
"Feature0033",25.207192323171,25.6543754949309,24.7740205404066,22.6316711118553,22.4011056230235,23.0539104673332,22.8935822090734,22.2829822418349,25.1848306732886,26.0897170771602,26.1950755342192
"Feature0034",21.5281228919212,21.6517379321544,20.0212312587547,20.1306226643408,20.9724845461417,21.619711775868,20.4636719375446,20.5685638528693,23.2728630377606,21.4690351774554,20.8003588054354
"Feature0035",25.8748277474117,25.1834929085929,25.1803319264138,25.8889571004012,26.1335102791979,26.9573779461989,26.170884796334,26.0365596782002,25.3467852369644,26.3283461736655,26.4452553489173
"Feature0036",21.3507385466,21.2875332312352,22.694562535994,20.0514665034964,23.2081014405777,28.0785149878291,22.723834777452,28.0447843287517,17.217970932554,25.3152945606032,25.7074753719257
"Feature0037",25.8836631386311,25.2404987554477,25.1135636805985,25.4833714674377,25.6456760393921,26.8687172500319,24.863360852482,26.3784763944133,24.2986525142326,24.4894544917482,23.7674166088056
"Feature0038",18.7052025674234,25.933327258003,26.0280318550947,27.5980202811363,27.8072715862031,23.1507731983445,27.4281467009005,22.7590200214122,25.5701933388174,19.316347180885,20.3439779559404
"Feature0039",25.4010980095919,25.7760027240084,20.4964254125392,27.317848197298,24.259922038932,22.4980600413231,26.5896759143771,27.3749255696554,24.5573344645861,19.1204092193469,18.5206221815663
"Feature0040",26.0029511150787,25.4599243502624,25.3515134341891,23.9625959902924,24.2798007743026,24.8185131958817,23.6656882221874,24.0853599707701,24.8537800411684,25.8327500983816,26.013210981454
"Feature0041",28.1240638776801,20.0046309556025,21.966647992695,23.6689114413728,20.0166666644517,27.7520841107187,21.4150435556676,21.9966857758189,14.8603368614427,24.0421626648055,24.1200140995997
"Feature0042",24.1050860689102,20.5661557072153,18.7514966592915,26.3795183040698,24.1146105918376,27.1217538899725,26.1038846558653,26.8635863328673,24.6608658700626,24.9407624949417,25.6831579565814
"Feature0043",21.2685717593922,22.5019106587541,22.9155790462638,22.6549820753354,22.7570915111713,28.6900932037143,22.6695095755795,24.644466083369,17.9554746700113,22.4741696479877,21.6358405303851
"Feature0044",26.0329977074076,25.3118639107322,25.2404036536627,25.7253692180713,25.8321780956314,26.9484023097042,25.3866817099386,26.3615889481305,24.9459719669638,25.283907315053,24.9844727754449
"Feature0045",26.1127804692891,25.3239740528702,25.2812140853367,26.0980062291121,26.3796634001738,27.2208378262216,26.4452109066435,26.066407528972,23.9509028441147,24.395057890944,24.578657800646
"Feature0046",26.3546165009667,26.3758759245904,26.1230619424795,22.1215507028735,22.0190614655944,21.7270286683079,24.7078858256149,21.2853156157132,24.293090906346,24.3913201488303,24.5464406945828
"Feature0047",26.0962723390405,25.8677116655743,25.7196889767542,23.5234636326621,22.3913761571265,22.9043658436714,23.2339625465072,22.7592186214346,23.8584533170042,24.7520220280627,25.05592282427
"Feature0048",21.9930927752372,25.7644162084964,26.0333048422236,24.1826947960188,24.726231249673,20.6019489906352,27.2656980129047,25.0008807409771,26.0360076562094,21.4858245117375,21.9421218097298
"Feature0049",20.2750832412451,20.8080136708807,20.4358920500062,20.651084801977,20.5129094327829,20.373969462151,30.4594127650046,29.3361208605906,12.1619758482889,10.7784494681517,10.5230468403056
"Feature0050",26.6541991965367,27.2481028933992,27.1809050981827,21.7434985849397,21.8577852930809,21.5711589238342,19.6190928920714,23.8762877484769,24.5884939375832,23.4342220086365,23.3831819416378
"Feature0051",21.9397783224463,18.5361336706287,22.5900339859631,23.7380493787882,24.1692681678762,28.5909026578983,23.2432840963105,21.5339841284544,18.5145734766526,25.2501178503392,25.6189922828196
"Feature0052",22.3355449361721,25.4951822073358,25.5510468320361,26.0772896186012,25.411732898523,22.8894146186741,25.0502482916361,24.3464956269795,26.4005892949657,22.8346771157956,23.0887787583533
"Feature0053",20.4560367001503,20.729010168354,21.2775348031089,21.7675540849699,21.8995401290771,20.7836005841969,21.8840485264854,21.2117808326462,24.0279730902222,23.0274763239409,23.4875808759057
