"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0001",1443846.94,1376655.791,1526131.557,428255.2975,688246.6651,393114.9143,337772.6492,298493.2736,48247903.81,30164511.67,27968224.37
"Feature0002",23737106.91,25564376.62,23857666.01,239274.4157,491149.2951,148845.8349,198142.8314,3922358.783,51476421.93,51693304.89,45824524.32
"Feature0003",5934839.182,5290923.461,6680732.264,20924216.12,31280170.91,34387010.07,54260303.79,47701015.64,9454371.867,9423522.894,7605196.634
"Feature0004",1372028.311,1805652.035,1602373.582,5216819.509,3872265.452,8646373.136,14086788.86,58853883.76,3678503.83,3305762.265,2440823.965
"Feature0005",59140381.44,56865842.11,62491250.01,342659.1918,792656.1154,1080723.428,465616.3851,1059496.606,24580494.08,9534245.925,3826445.602
"Feature0006",55732333.41,54299780.38,62670962.7,2407253.975,1772531.229,2448761.351,1484344.544,1650690.168,12999392.61,7841637.888,7447928.222
"Feature0007",67066960.09,53664655.63,65090163.27,2770810.739,1883015.474,2015565.28,2098240.134,1583265.56,19394558.25,18151381.57,17310410.84
"Feature0008",3391940.145,2576414.236,3249467.559,34785469.41,23193807.19,38622022.24,32205140.81,67659207.66,3404074.117,408808.2621,13757767.68
"Feature0009",65235429.03,71798824.67,73326745.08,17292284.85,9862574.609,20257190.89,15360282.21,70633158.91,43421998.75,45658778.75,39292930.39
"Feature0010",22656690.9,22100124.77,28951276.89,59879413.6,58003073.49,62706014.46,55471185.39,74626833.92,24938823.94,21670032.92,23006235.65
"Feature0011",50460618.93,46069291.81,56227265.05,61973020.44,61747238.22,74676276.14,69118097.67,72569779.01,64110445.45,59297288.39,51324240.03
"Feature0012",23005760.89,20078995.71,24870451.28,3120480.633,2629169.812,3165611.416,2496198.153,9389974.091,74772894.19,62961281.41,63195717.66
"Feature0013",44390172.22,42085965.18,54565868.85,6930391.464,10901850.35,639673.1859,57003471.26,30330949.58,77278219.33,3005788.083,1243162.81
"Feature0014",22406086.08,23730339.12,24955717.4,71165264.41,44721974.39,78317861.39,38086876.55,47334547.6,45740859.53,41032605,41367298.83
"Feature0015",55549846.15,73787121.09,75516182.6,19296632.04,13624600.37,23512606.94,18738339.22,23973376.81,80448610.47,66457832.66,57739124.6
"Feature0016",32539129.36,29117120.05,30623412.65,43305657.07,33922865.91,48499994.31,44377914.22,83884815.75,17587046.43,12960991.93,7118206.081
"Feature0017",75718399.35,87019360.62,66748657.91,8057815.794,6129010.172,12906754.51,932023.5632,1182798.787,8882952.194,3418632.212,1347431.748
"Feature0018",4581537.528,63197487.15,75204256.55,82337026.89,79096497.08,4124879.585,83396298.84,87079237.62,76597798.53,3513038.309,3132131.827
"Feature0019",44459121.37,848490.5314,1445030.168,87876.75459,137152.8688,11955363.32,1159892.039,30521375.56,1547513.619,87479943.24,42655118.33
"Feature0020",2932028.587,3421460.618,3377278.308,8764996.938,88369449.89,10473149.73,6901445.328,12022047.16,4627459.245,3579030.618,3655111.76
"Feature0021",64299294.55,2103959.303,722359.2837,4231298.299,7134537.931,90289529.36,1435374.469,87079237.62,4463053.419,73294875.03,63680707.99
"Feature0022",81164482.59,74839668.49,94871825.68,888396.2535,2269967.559,2891400.199,1530485.659,2131332.037,1693596.949,3424269.812,2989655.824
"Feature0023",60289813.02,59658268.61,75307604.67,24484256.01,11555524.57,25681635.47,16011454.34,18516471.67,88214000.49,96497081.05,74919253.18
"Feature0024",98086500.53,3848718.147,3696402.448,787040.2607,193996.234,523374.5188,2163617.931,25797135.13,2664554.751,2190004.791,2177212.594
"Feature0025",77791364.07,94006928.16,98446566.4,579868.8884,120204.7168,123939.2515,465503.6686,520209.5172,38177904.04,32593223.57,7147497.671
"Feature0026",82819862.49,80507551.47,98749119.12,7081023.377,9829037.748,11007759.83,4416131.381,10393153.18,4349936.622,1914586.948,2076448.462
"Feature0027",30926876.83,28894072.47,32211479.91,83550624.5,50995536.29,91168881.79,76247419.63,99006273.66,38273599.21,29333003.89,32744576.34
"Feature0028",77246497.8,76136667.48,78474675.02,92057321.67,97608852.06,11768837.92,99947831.67,93929528.69,98128903.79,76200194.32,2963171.487
"Feature0029",77246497.8,76136667.48,78474675.02,92057321.67,97608852.06,102304068.7,99947831.67,93929528.69,98128903.79,76830989.79,75963851.54
"Feature0030",87521811.95,87691831.18,99044281.44,10237855.67,6960090.428,9384871.225,15786902.56,12419324.53,97371518.59,102907355.6,68655990.4
"Feature0031",1326993.103,234453.9722,952119.8797,374516.159,2825233.644,104380839.6,1367607.464,56092289.01,755023.2265,97600651.72,104706811.9
