FeatureID,Name,Formula,MW,KEGG Pathways,Area: 2,Area: 10,Area: 14,Area: 19,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,name4plot,C,H,N,O,S,P,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0279,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,195.08956,Other,2781581.563,2755193.107,133982144.8,1932928.476,3584031.268,2986687.263,1774515.843,3996839365,2836879.689,2630914.973,2191114.355,730601.324,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime-peak3",10,13,1,3,0,0,0,1.3,0.3,-0.4000000000000003,71.7,5,2,0.16666666666666666,0.3333333333333333,1,Phenol,21.0819176408658,29.48891839876325,1.3987778010099554,0.48416680536117623,0.14707290848610163,0.3189397646369776,Upregulated
Feature0278,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,817106.9296,751110.9385,2206629.964,2921797054,7378643.782,872850.1032,286793.2395,909997.4955,2675385293,1738263.012,2874776777,465876.0683,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak7",11,12,0,3,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,19.947475295575966,20.36008344393075,1.020684730385218,0.029537314650739718,0.7948368713261624,0.8774615354025287,Upregulated
Feature0277,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,195.08955,Other,1749356.625,1576816.303,2830391164,2809624.038,3866751.77,2654103.228,1526934.641,651580794.2,2518249.91,2343500.54,1911133.118,579778.5693,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime-peak2",10,13,1,3,0,0,0,1.3,0.3,-0.4000000000000003,71.7,5,2,0.16666666666666666,0.3333333333333333,1,Phenol,20.860163841934334,30.39015628545545,1.456851274790247,0.5428536048737219,0.08740178062912933,0.2216826981411553,Upregulated
Feature0276,Choline O-Sulfate,C5 H13 N O4 S,183.05656,ABC transporters,18455380.89,173889126.6,358388843.4,2281488183,18362239.37,17267620.54,388426123.5,1013034308,1617001965,273773566.5,1510370737,75097.23344,Choline O-Sulfate,5,13,1,4,1,0,0,2.6,0.8,0,60.3,0,-4,6,-4,-6,Other,23.437973605826034,28.27709109470165,1.206464840786097,0.27078587265052234,0.06193134704780691,0.18738013484947477,Upregulated
Feature0275,Betaine,C5 H11 N O2,117.07895,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Protein digestion and absorption;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Cyanoamino acid metabolism;Other,1932171556,1399168738,2002960831,2195957216,1922636748,2159050538,506181853.5,1849146123,2252386478,1274603634,1898401604,276652.6598,Betaine,5,11,1,2,0,0,0,2.2,0.4,-0.7999999999999998,83.1,1,-1,-1,-0.3333333333333333,-2,Protein,31.085694170392166,29.77366220205625,0.9577930619421209,-0.06221410986465826,0.05455828401038401,0.1716721005585329,Downregulated
Feature0274,NA,C30 H32 O10,552.19967,NA,801339.7713,764300.7706,795643.4129,2091823089,1442045.221,802660.1892,849278.6099,828862.5083,1831460665,866730.3238,2085742045,1537081.377,Feature0274,30,32,0,10,0,0,0,1.0666666666666669,0.3333333333333333,-0.4000000000000003,71.7,15,5,0.25,0.4,5,Phenol,19.4317182469726,19.6810463501797,1.0128309859189082,0.018393447465511078,0.6806217214631688,0.8292290842280529,Upregulated
Feature0273,L-Phenylalanine,C9 H11 N O2,165.07901,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Protein digestion and absorption;Biosynthesis of phenylpropanoids;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Phenylalanine, tyrosine and tryptophan biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Biosynthesis of various plant secondary metabolites;Cyanoamino acid metabolism;Other",1114276985,823092033.2,579010543.8,396138389,1096837395,1313901615,698448659.6,1801302787,189142092.7,41680686.25,3240448.84,344192.227,L-Phenylalanine-peak2,9,11,1,2,0,0,0,1.2222222222222223,0.2222222222222222,-0.44444444444444464,72.96666666666667,5,3,0.3333333333333333,0.42857142857142855,2,Phenol,29.554026463951566,29.0170090103396,0.9818292964490983,-0.026455879485859864,0.581499798881782,0.7515644229825477,Downregulated
Feature0272,Citric acid,C6 H8 O7,192.02697,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Biosynthesis of phenylpropanoids;Central carbon metabolism in cancer;Other,90697292.98,640009222,252913102.6,1749547143,1410964699,1607313906,430161123,461060593.3,42128945.36,9433412.19,30358473.39,223896.4851,Citric acid-peak2,6,8,0,7,0,0,0,1.3333333333333333,1.1666666666666667,1,31.799999999999997,3,-4,4,-0.2,-4,Other,28.3765628931078,27.478089387219953,0.96833747944483894,-0.04641815991919796,0.533151500173442,0.7220838279048074,Downregulated
Feature0271,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,351486.3383,532220.9311,719590.199,1196298798,2351960.839,620492.3733,391500.384,967328.4151,1381709804,952632.6253,1661935952,664340.0482,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak6",11,12,0,3,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,19.6049648085063,19.9664342880648,1.0184376500080055,0.02635765946169981,0.7297096051401746,0.8574505684562764,Upregulated
Feature0270,L-alpha-Glycerylphosphorylcholine,C8 H20 N O6 P,257.10283,NA,1054614637,1511943134,1065144213,1523394896,963071590.3,984793503,871763245.8,759968428.4,1393915817,1654364950,845675553,59041.63733,L-alpha-Glycerylphosphorylcholine,8,20,1,6,0,1,0,2.5,0.75,-1.25,95.925,0,-6,-Inf,-1.6666666666666667,-8,Carbohydrate,29.857721076819033,28.712913664806,0.9616579105596295,-0.05640431784663089,0.14639179248994624,0.3189397646369776,Downregulated
