FeatureID,Name,Formula,MW,KEGG Pathways,Area: 2,Area: 10,Area: 14,Area: 19,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,name4plot,C,H,N,O,S,P,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment,Fungi,KEGGPathways
Feature0266,DL-Carbidopa,C10 H14 N2 O4,226.09535,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Other,296704218.5,1159091671,1103375942,1101375243,276582992.2,343090102.8,882899621,1086193946,961638007,1352782325,803965985.4,321550.9151,DL-Carbidopa-peak2,10,14,2,4,0,0,0,1.4,0.4,0,60.3,5,1,-0.25,0.16666666666666666,-1,Phenol,27.9175058849391,29.304441292763833,1.0496797748889508,0.06994927299466007,0.0031865877368817282,0.0181440403793878,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0258,DL-Carbidopa,C10 H14 N2 O4,226.09535,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Other,296856630.4,1159091671,1103375942,1101375243,277620167.4,343090102.8,882899621,1086193946,961638007,1045269849,67820963.14,205179.3044,DL-Carbidopa-peak1,10,14,2,4,0,0,0,1.4,0.4,0,60.3,5,1,-0.25,0.16666666666666666,-1,Phenol,27.817191724163468,29.20783280272917,1.0499921448705305,0.07037853494023484,0.001051225039016695,0.009461025351150256,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0239,"3',4'-Dimethoxyacetophenone",C10 H12 O3,180.07864,Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Biosynthesis of various plant secondary metabolites;Other,112358.174,389306311.7,179447171,259501.7357,109757.5682,115519.0185,486749658.7,54551628.35,91659.79689,625563644.6,88226.95533,258235.0683,"3',4'-Dimethoxyacetophenone",10,12,0,3,0,0,0,1.2,0.3,-0.5999999999999996,77.39999999999999,5,2,0.2857142857142857,0.4117647058823529,2,Phenol,17.525755087868866,30.483611313159898,1.7393607956019148,0.7985572219121241,2.33910980844253e-6,6.526116365554659e-4,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0229,L-Saccharopine,C11 H20 N2 O6,276.13216,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Other,4646747.079,521488308.2,363788501.2,32226366.04,6649745.741,6156437.36,199916067.8,90744102.83,17297842.19,524871677.7,35879668.63,62587.03754,L-Saccharopine,11,20,2,6,0,0,0,1.818181818181818,0.5454545454545454,-0.18181818181818168,65.48181818181817,3,-3,-1.6666666666666667,-0.3333333333333333,-5,Protein,21.089489654092933,28.285192486142734,1.3411985282751162,0.4235228051460973,0.004008090924465522,0.020240975162326914,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0156,Glycerol 3-phosphate,C3 H9 O6 P,172.01368,Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Other,13541119.58,34159893.31,88229166.35,10987349.95,10192815.02,14601457.63,67164831.57,155021980.8,8272609.69,59020248.97,6003899.27,41409.66888,Glycerol 3-phosphate,3,9,0,6,0,1,0,3,2,-0.666666666666667,79.30000000000001,0,-6,1.75,4,-7,Other,22.337314537247302,25.63342584360653,1.147560768814129,0.1985705532429598,0.007820250768835748,0.031169285207216766,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0144,Meconin,C10 H10 O4,194.05788,Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids,542300.1153,2498062.078,136933185.4,490637.4113,644051.4156,524561.4011,3225740.319,27059180.21,462208.4246,4523561.857,601240.4866,200083.0272,Meconin,10,10,0,4,0,0,0,1,0.4,-0.20000000000000015,66,6,2,0.3333333333333333,0.5,2,Phenol,20.232775245753867,23.5506571023969,1.163985504526342,0.2190730920278323,9.476892780681972e-4,0.00942069820667333,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0138,Adipic acid,C6 H10 O4,146.0579,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Other,3313108.084,112407652.1,80023827.49,3535632.023,2783941.81,3735736.623,115906047.3,131342348.1,4265285.557,120629328.8,3380688.225,195838.9082,Adipic acid,6,10,0,4,0,0,0,1.6666666666666667,0.6666666666666666,-0.33333333333333304,69.79999999999998,2,-2,-1,0,-2,Amino Sugar,20.3752173760544,27.024836492541667,1.3263581925904804,0.4074704382634302,6.599791855218397e-5,0.0023638117175856918,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0076,Pinolenic acid,C18 H30 O2,278.2246,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Other,3740817.618,4268378.323,83448388.23,5896001.826,5063307.124,3677278.551,4764238.567,26067419.67,4356952.377,4583058.106,3721250.231,9320763.668,Pinolenic acid,18,30,0,2,0,0,0,1.6666666666666667,0.1111111111111111,-1.4444444444444446,101.46666666666668,4,2,0.125,0.17647058823529413,2,Lipid,21.424303346972433,22.896715908295533,1.0687262748980435,0.09589239336288057,0.0028579382571239944,0.016728311641111628,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0072,Caffeic acid,C9 H8 O4,180.04228,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Degradation of aromatic compounds;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",200145.1528,74383084.17,4771483.301,654734.8043,606130.4439,246261.2116,42505285.23,1310279.281,167752.2762,80103533.62,215933.7693,489237.6381,Caffeic acid,9,8,0,4,0,0,0,0.8888888888888888,0.4444444444444444,0,60.3,6,2,0.4,0.5714285714285714,2,Phenol,19.623152111233434,28.02981436381537,1.4284052941611491,0.5144053861703891,0.0028329963701418308,0.016728311641111628,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0054,L-Cystathionine,C7 H14 N2 O4 S,222.06742,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of cofactors;Other,3391940.145,36036969.25,33248068.12,3404074.117,2576414.236,3249467.559,23193807.19,67659207.66,408808.2621,38622022.24,13757767.68,32782.5336,L-Cystathionine,7,14,2,4,1,0,0,2,0.5714285714285714,0.2857142857142856,52.15714285714286,2,-2,-Inf,-1.5,-5,Amino Sugar,20.682166756853434,25.567558907021567,1.2362127821326683,0.3059270873416037,2.0428914868922106e-4,0.004046720366048839,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0047,Butyl glyoxylate,C6 H10 O3,130.06295,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Other,1117176.432,50841393.41,43274004.33,4333239.236,779667.6719,664288.4893,45028369.28,65478042.77,3798152.193,57911674.19,3654184.187,522642.9425,Butyl glyoxylate,6,10,0,3,0,0,0,1.6666666666666667,0.5,-0.666666666666667,79.30000000000001,2,-1,-0.3333333333333333,0.1111111111111111,-1,Protein,18.9200184756832,26.2953994854963,1.3898189116090056,0.474896917234233,2.3206998514975423e-4,0.004046720366048839,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0044,Galactosamine,C6 H13 N O5,179.07942,Metabolic pathways;Biosynthesis of secondary metabolites;Other,5579267.7,29262931.83,62814835.17,58642409.8,4862020.019,5441627.695,16458588.76,60767366.42,52885965.48,31802196.73,46518679.7,146930.282,Galactosamine,6,13,1,5,0,0,0,2.1666666666666665,0.8333333333333334,0,60.3,1,-4,-Inf,-1,-5,Carbohydrate,21.079742801596034,24.5841406653392,1.166244811273401,0.22187066241312378,0.002546424721613945,0.016522151100704433,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0005,L-Histidine,C6 H9 N3 O2,155.06951,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Protein digestion and absorption;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Other,16926630.24,20043968.63,17334364.23,7333430.626,15931255.3,16232076.25,16290420.46,27340120.26,5602076.846,21554078.02,4468392.193,26220.13393,L-Histidine,6,9,3,2,0,0,0,1.5,0.3333333333333333,0.6666666666666665,41.3,4,2,-1,0,-1,Protein,22.753195980956068,24.591600934558066,1.0807976582780152,0.11209645394874207,0.009677524250363976,0.03600039021135399,Upregulated,1154,Biosynthesis of secondary metabolites
