FeatureID,Name,Formula,MW,# ChemSpider Results,# mzCloud Results,KEGG Pathways,Area: 60_CTRL_1246.1,Area: 59_CTRL_1154.1,Area: 58_ERLE_1154.1,Area: 57_CTRL_1246.3,Area: 56_BOCU_1246.1,Area: 55_LEDU_CTRL.2,Area: 54_LEDU_CTRL.1,Area: 53_ERIN_1177.1,Area: 52_BOCU_1246.2,Area: 51_ERLE_1246.2,Area: 50_BOCU_CTRL.2,Area: 49_ERIN_1246.3,Area: 48_LEDU_CTRL.2,Area: 47_CTRL_1177.1,Area: 46_CTRL_1154.2,Area: 45_LEDU_1154.1,Area: 44_BOCU_1154.2,Area: 43_ERIN_1154.3,Area: 42_ERIN_1154.2,Area: 41_CTRL_CTRL.1,Area: 40_CTRL_CTRL.3,Area: 39_ERIN_1177.2,Area: 38_BOCU_1177.2,Area: 37_ERLE_1246.3,Area: 36_ERIN_CTRL.1,Area: 35_LEDU_1246.3,Area: 34_ERLE_1177.2,Area: 33_BOCU_1177.1,Area: 32_ERLE_CTRL.2,Area: 31_BOCU_CTRL.1,Area: 30_ERLE_1154.3,Area: 29_LEDU_1246.1,Area: 28_ERLE_CTRL.1,Area: 27_LEDU_1177.2,Area: 26_LEDU_1246.2,Area: 25_ERIN_CTRL.2,Area: 24_ERLE_1177.1,Area: 22_BOCU_CTRL.2,Area: 21_LEDU_1177.3,Area: 20_ERIN_1154.1,Area: 19_CTRL_1246.2,Area: 18_BOCU_1154.3,Area: 17_ERIN_CTRL.2,Area: 16_ERLE_CTRL.2,Area: 15_BOCU_1177.3,Area: 14_CTRL_1177.3,Area: 13_ERLE_1246.1,Area: 12_ERLE_1177.3,Area: 11_ERIN_1246.1,Area: 10_CTRL_1154.3,Area: 9_ERLE_1154.2,Area: 8_ERIN_1246.2,Area: 7_BOCU_1154.1,Area: 6_LEDU_1177.1,Area: 5_LEDU_1154.2,Area: 4_BOCU_1246.3,Area: 3_LEDU_1154.3,Area: 2_CTRL_CTRL.2,Area: 1_ERIN_1177.3,Gap Status: 60_CTRL_1246.1,Gap Status: 59_CTRL_1154.1,Gap Status: 58_ERLE_1154.1,Gap Status: 57_CTRL_1246.3,Gap Status: 56_BOCU_1246.1,Gap Status: 55_LEDU_CTRL.2,Gap Status: 54_LEDU_CTRL.1,Gap Status: 53_ERIN_1177.1,Gap Status: 52_BOCU_1246.2,Gap Status: 51_ERLE_1246.2,Gap Status: 50_BOCU_CTRL.2,Gap Status: 49_ERIN_1246.3,Gap Status: 48_LEDU_CTRL.2,Gap Status: 47_CTRL_1177.1,Gap Status: 46_CTRL_1154.2,Gap Status: 45_LEDU_1154.1,Gap Status: 44_BOCU_1154.2,Gap Status: 43_ERIN_1154.3,Gap Status: 42_ERIN_1154.2,Gap Status: 41_CTRL_CTRL.1,Gap Status: 40_CTRL_CTRL.3,Gap Status: 39_ERIN_1177.2,Gap Status: 38_BOCU_1177.2,Gap Status: 37_ERLE_1246.3,Gap Status: 36_ERIN_CTRL.1,Gap Status: 35_LEDU_1246.3,Gap Status: 34_ERLE_1177.2,Gap Status: 33_BOCU_1177.1,Gap Status: 32_ERLE_CTRL.2,Gap Status: 31_BOCU_CTRL.1,Gap Status: 30_ERLE_1154.3,Gap Status: 29_LEDU_1246.1,Gap Status: 28_ERLE_CTRL.1,Gap Status: 27_LEDU_1177.2,Gap Status: 26_LEDU_1246.2,Gap Status: 25_ERIN_CTRL.2,Gap Status: 24_ERLE_1177.1,Gap Status: 22_BOCU_CTRL.2,Gap Status: 21_LEDU_1177.3,Gap Status: 20_ERIN_1154.1,Gap Status: 19_CTRL_1246.2,Gap Status: 18_BOCU_1154.3,Gap Status: 17_ERIN_CTRL.2,Gap Status: 16_ERLE_CTRL.2,Gap Status: 15_BOCU_1177.3,Gap Status: 14_CTRL_1177.3,Gap Status: 13_ERLE_1246.1,Gap Status: 12_ERLE_1177.3,Gap Status: 11_ERIN_1246.1,Gap Status: 10_CTRL_1154.3,Gap Status: 9_ERLE_1154.2,Gap Status: 8_ERIN_1246.2,Gap Status: 7_BOCU_1154.1,Gap Status: 6_LEDU_1177.1,Gap Status: 5_LEDU_1154.2,Gap Status: 4_BOCU_1246.3,Gap Status: 3_LEDU_1154.3,Gap Status: 2_CTRL_CTRL.2,Gap Status: 1_ERIN_1177.3,Gap Status: 1plus_RP_pos_MS2.raw (F193),name4plot,C,H,N,O,S,P,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class
Feature0368,δ-Valerolactam,C5 H9 N O,99.06838,38,62,Biosynthesis of secondary metabolites;Cyanoamino acid metabolism,6916390.35,5274848.335,1025390.907,7406621.837,10636949.11,1138184.298,492358.8619,10587266.65,6646155.228,5058585.587,50730370.9,4818003.464,1750798.437,3514870.247,2456749.41,5328866.033,3550944.205,1248525.582,1616312.829,1150305.196,1537818.004,6726852.688,36458381.95,5767656.066,1985673.178,10013550.12,41007229.61,32220942.88,1154163.714,964466.895,538696.2721,7654065.509,510255.0321,34310769.25,6317475.649,2038198.127,5391025.754,3882576.114,3390152.313,622662.8249,9060670.468,8206937.868,2224325.307,1986045.899,5126707.036,6868937.192,5938723.556,4296504.407,4984246.888,3594321.743,1878633.893,6328308.135,3136142.09,3365481.88,4906996.091,4679539.658,2772726.251,1039567.529,3801707.184,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,δ-Valerolactam,5,9,1,1,0,0,0,1.8,0.2,-0.7999999999999998,83.1,2,1,0,0.14285714285714285,0,Lipid
Feature0367,α-Eleostearic acid,C18 H30 O2,278.22457000000003,58,23,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Other,19016304.46,4870413.181,4864356.637,13655278.88,42759220.85,5510790.448,4785357.019,8633481.558,34551021.02,6818290.929,16039110.41,3730372.057,6055312.951,9999916.744,6740116.493,5641044.904,6011059.494,3425641.845,5776591.84,4642205.26,5055103.077,3229982.288,33931925.43,3134566.996,4274493.377,11867182.55,31539866.35,64300337.1,4562720.876,4684824.885,7541803.349,24053178.85,4956932.143,49331788.25,10649946.26,4542322.224,4303616.848,4506230.624,7709056.091,6072386.118,32023319.14,6020561.379,4005674.586,4703062.006,7667028.211,9126471.867,6776402.4,3192913.01,8083264.09,5183422.105,4911278.964,8516278.893,7368405.785,6720868.244,5600933.589,12715346.13,6889694.389,4010956.861,4073797.936,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,α-Eleostearic acid,18,30,0,2,0,0,0,1.6666666666666667,0.1111111111111111,-1.4444444444444446,101.46666666666667,4,2,0.125,0.17647058823529413,2,Lipid
Feature0366,Υ-Aminobutyric acid (GABA),C4 H9 N O2,103.06331,38,65,Metabolic pathways;Microbial metabolism in diverse environments;Other,78244452.83,106842169.1,46601325.03,119490082.3,152957869.7,275384021.9,188463839.2,25930038.75,103344272.3,57173204.18,72289980.74,49800271.63,134668225.9,113570484.2,37092236.09,97168896.28,62047783.8,42770007.88,35993403.52,261595381.1,232952094.5,33488508.83,610553807.4,82761047.89,276799615.2,107302139.1,180083586.6,510600368.2,286487846,174486707,48316571.87,113191836.3,209900403.9,532657411,89750085.54,249574933.1,30417636.05,108235661.5,90306481.7,55688427.73,163191454.8,451637535.1,94180813.81,265328972.2,227559237.7,171429212.2,50897509.74,42662469.04,63102161.58,115261485.8,31353453.25,91560038.19,51998643.63,122160331.4,101416177.3,65240007.78,51309215.52,245868068.5,29598066.12,Full gap,Missing ions,Full gap,Full gap,Missing ions,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,No gap,Full gap,No gap,Full gap,Missing ions,No gap,No gap,Missing ions,Full gap,Missing ions,No gap,No gap,Full gap,No gap,Full gap,Missing ions,Full gap,Full gap,No gap,No gap,Missing ions,No gap,No gap,Full gap,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Υ-Aminobutyric acid (GABA),4,9,1,2,0,0,0,2.25,0.5,-0.5,74.55,1,-1,-2,-0.5,-2,Protein
Feature0365,Valylproline,C10 H18 N2 O3,214.13173,10,45,Metabolic pathways;Biosynthesis of cofactors;Other,16329899.62,78868328.13,58441017.55,85643323.29,178164712.1,92697810.78,50148669.74,26476000.69,192689302.4,40736304.62,55210856.86,71950931.59,27430165.51,180225790.8,51638573.97,115909434.4,101070066.2,42853536.52,30100129.03,73720235.55,56383271.94,39343533.91,33698680.95,105911596.3,72662183.26,152082084.5,4416949.213,25268811,83102403.18,43666192.62,43341654.09,144530656.6,61854571.65,40097533.78,87329625.16,65746390.88,35733764.35,31811663.6,105757764.8,49595046.19,116270272.6,14879035.24,30478826.75,110467040.3,114951258.6,49139090.74,54424885.59,27423324.75,44160310.16,56446434.62,23517962.78,66945032.94,53957275.17,81188869.46,54977799.3,83522768.26,89784293.94,64474935.93,39675516.47,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Valylproline,10,18,2,3,0,0,0,1.8,0.3,-0.5999999999999996,77.39999999999999,3,0,-0.4,-0.07692307692307693,-2,Lipid
Feature0364,Valyllysine,C11 H23 N3 O3,245.17392,4,17,NA,5747996.443,5801083.911,2119280.96,14238346.28,31553998.11,4884701.855,3181369.377,2937308.874,31784758.01,13599673.45,14311687.68,19667348.59,2880409.496,6469815.853,2495414.866,5068808.036,2498367.149,2973591.645,2296394.548,5142478.541,4925905.325,4680677.569,4450482.194,21975958.29,5207241.805,29634436.27,1377644.741,4959993.382,4937627.178,3063999.425,1773831.197,22816327.88,4703667.251,5257529.621,14162685.71,3954568.896,1895417.42,2518406.533,1576206.788,2834148.618,21798659.02,2842841.851,3059525.593,5335468.259,15472304.74,8113763.098,13617029.79,3681771.399,12709700.16,5816016.742,1937637.322,21066866.53,4677380.969,10001514.41,3458307.853,16539773.79,4830120.933,4409974.995,1634765.826,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Valyllysine,11,23,3,3,0,0,0,2.090909090909091,0.2727272727272727,-0.7272727272727275,81.02727272727273,2,-1,-0.8,-0.38461538461538464,-4,Lipid
Feature0363,Valine,C5 H11 N O2,117.07893,43,147,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of cofactors;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;D-Amino acid metabolism;Cyanoamino acid metabolism;Other,29781804.25,343718240.9,189410606.7,66762488.07,318888778.1,383578282.3,235308506.8,96418174.64,280697957.8,60125683.49,147315200.5,184628577.5,155449720.9,461560322.8,189619088.7,399990752.4,344466101.5,144346651.4,119744703,377312653.3,324168419.3,111879663.5,285974028,112114748.7,387151696.8,225855792.5,202149111.5,265367176.3,412580432.5,237649325.5,137257449.7,210870824.3,279032166.9,288947923.7,97852890.32,389927192.9,132727471.5,122665754.8,345202753.6,154075608.4,137245855.9,269954297.3,158753682.6,428098462.6,293066636.3,143956782.7,76912639.97,98551834.46,72929886.65,247587012,89905793.51,151206905.5,275789020.4,356829805.3,294032111,107125411.7,334234169,341386789.3,107397218.1,Full gap,Full gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,Valine,5,11,1,2,0,0,0,2.2,0.4,-0.7999999999999998,83.1,1,-1,-1,-0.3333333333333333,-2,Protein
Feature0362,Val-Leu,C11 H22 N2 O3,230.16304,12,50,NA,42725725.09,11948903.91,22807019.79,87450380.4,61918820.44,56498876.37,33136159.42,33468592.25,71860542.58,44668936.67,51250503.33,34435868.51,27028391.53,30596185.85,10683726.27,12873798.36,17750938.2,13469547.72,14237831.15,52462702.11,42304251.32,71835755.92,51670626.35,96449616.55,52963787.03,127756122.8,12218130.63,49471110.1,56066071.76,27149069.65,23590440.56,65056399.61,42268968.85,58452563.62,78501909.18,50811623.92,37263665.37,19162057.88,17107210.96,29990942.87,77368858.25,24631985.8,63060298.5,58895415.69,27942078.93,58686172.46,47306157.51,53611935.46,47911387.11,6949667.995,8715657.397,29582172.99,11687734.82,10709703.06,7194844.684,48394231.05,8306187.739,44500365.54,28650179.69,Full gap,Full gap,Full gap,Full gap,No gap,No gap,No gap,Full gap,Full gap,No gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,No gap,No gap,No gap,No gap,No gap,Full gap,No gap,No gap,Full gap,Full gap,No gap,Full gap,No gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,No gap,No gap,Full gap,No gap,No gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Val-Leu-peak2,11,22,2,3,0,0,0,2,0.2727272727272727,-0.9090909090909092,86.2090909090909,2,-1,-0.5,-0.2,-3,Lipid
Feature0361,Val-Leu,C11 H22 N2 O3,230.16304,12,94,NA,9967321.8,9156235.459,312829.2108,30960956.72,31284489.17,16618841.57,2426619.547,8742413.571,37223552,18821025.98,13995907.64,16157999.95,6320613.571,23451071.93,7545344.947,19226217.22,19660245.74,21107223.53,11084174.34,12613509.31,10475212.79,20217012.73,7646289.493,39032998.98,14957086.05,63003853.35,1883088.508,8464184.089,13485573.5,8282998.29,16266736.8,29848446.99,9471403.562,10557730.51,29402153.86,13089072.59,9643460.892,7143562.801,8219903.568,21279329.19,36253577.71,18980040.08,9673054.878,15826835.09,24410109.88,15190280.67,21028627.17,13250126.51,22407971.27,5990123.385,11967330.83,16180969.63,7841055.447,5861473.833,3925937.064,21260951.74,10568449.68,9931215.039,14725127.86,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Val-Leu-peak1,11,22,2,3,0,0,0,2,0.2727272727272727,-0.9090909090909092,86.2090909090909,2,-1,-0.5,-0.2,-3,Lipid
Feature0360,val-his,C11 H18 N4 O3,254.13787,9,117,NA,4691077.348,10954936.18,6336563.604,9363606.829,19784017.66,11139429.15,7639239.577,4638697.483,17933488.65,6815830.116,12028218.39,10756861.88,6849223.217,7240048.04,7486390.172,13138852.81,12649775.48,5393876.137,3876923.71,11083193.46,11177411.68,4422061.387,6945600.977,11253493.53,11896618.08,13879639.47,4432472.079,8102433.433,13069876,9950170.611,5183576.771,13719244.07,9387872.417,8201833.855,9715475.299,10619471.42,2133014.533,7865366.792,3191117.842,4569516.169,11756746.7,5538991.34,10446334.53,12273340.34,17155344.93,10206946.78,7752233.412,4213428.492,6719273.209,7905339.997,3312029.405,10280780.33,9116896.607,12960130.28,9076695.104,9156826.54,10777196.41,11519892.82,2593758.643,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,val-his,11,18,4,3,0,0,0,1.6363636363636365,0.2727272727272727,0,60.3,5,2,-0.5,-0.09090909090909091,-2,Lipid
Feature0359,val-arg,C11 H23 N5 O3,273.18012,4,0,NA,10752172.73,5289687.756,3862035.964,17013222.13,30305139.04,10362555.13,8348008.275,11347694.89,30353352.05,18127759.88,20548542.7,16816878.35,4223551.518,4740723.863,2809840.902,4411008.127,5586043.546,3808974.933,3277918.343,13097718.75,12149463.33,19960423.6,15586363.54,29776690.28,13111384.57,40768400.04,4009147.992,17892719.58,14344177.48,7982971.182,5461954.928,30840962.48,13772477.93,19332635.76,25367685.16,11171758.26,10463064.37,6749082.967,2760754.702,7505414.493,33495061.28,10927884.01,23988745.7,16721420.05,12485516.35,21347981.65,25086744.56,16941805.25,26326841.53,9232767.157,4019041.353,29422851.6,8665736.354,7449730.734,6948967.569,35736814.19,8549647.989,13614885.04,10125134.38,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,val-arg,11,23,5,3,0,0,0,2.090909090909091,0.2727272727272727,-0.18181818181818166,65.48181818181817,3,0,-1.6666666666666667,-0.7777777777777778,-5,Lipid
