"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0001",1443846.94,1376655.791,1526131.557,428255.2975,688246.6651,393114.9143,337772.6492,10890.92403,298493.2736,48247903.81,30164511.67,27968224.37
"Feature0002",23737106.91,25564376.62,23857666.01,239274.4157,491149.2951,148845.8349,198142.8314,1724076.685,3922358.783,51476421.93,51693304.89,45824524.32
"Feature0003",5934839.182,5290923.461,6680732.264,20924216.12,31280170.91,34387010.07,54260303.79,72912.44996,47701015.64,9454371.867,9423522.894,7605196.634
"Feature0004",55732333.41,54299780.38,62670962.7,2407253.975,1772531.229,2448761.351,1484344.544,680021.5998,1650690.168,12999392.61,7841637.888,7447928.222
"Feature0005",3391940.145,2576414.236,3249467.559,34785469.41,23193807.19,38622022.24,32205140.81,1110475.893,67659207.66,3404074.117,408808.2621,13757767.68
"Feature0006",65235429.03,71798824.67,73326745.08,17292284.85,9862574.609,20257190.89,15360282.21,269530.2704,70633158.91,43421998.75,45658778.75,39292930.39
"Feature0007",22656690.9,22100124.77,5972700.666,59203973.79,57862952.7,62706014.46,53888702.56,699828.3976,74626833.92,5883415.271,15551300.47,23006235.65
"Feature0008",23005760.89,20078995.71,24870451.28,3120480.633,2629169.812,3165611.416,2496198.153,420664.0622,9389974.091,74772894.19,62961281.41,63195717.66
"Feature0009",22406086.08,23730339.12,24955717.4,71165264.41,44721974.39,78317861.39,38086876.55,1485158.148,47334547.6,45740859.53,41032605,41367298.83
"Feature0010",32539129.36,29117120.05,30623412.65,43305657.07,33922865.91,47898288.04,40430468,1961656.529,83884815.75,17587046.43,12960991.93,7118206.081
"Feature0011",60289813.02,59658268.61,75307604.67,24484256.01,11555524.57,25681635.47,16011454.34,934730.263,18516471.67,88214000.49,96497081.05,74919253.18
"Feature0012",82819862.49,80507551.47,98749119.12,7081023.377,9829037.748,11007759.83,4416131.381,225113.8591,10393153.18,4349936.622,1914586.948,2076448.462
"Feature0013",75718399.35,99836951.95,66748657.91,7940370.986,5800301.115,12824633.78,932023.5632,18720.95511,1182798.787,8790589.151,3418632.212,1347431.748
"Feature0014",6993993.527,75691544.45,82734432.16,92057321.67,97608852.06,11611439.8,99947831.67,4068182.84,93929528.69,98128903.79,76200194.32,2923541.61
"Feature0015",73706446.44,75691544.45,82734432.16,92057321.67,97608852.06,102304068.7,99947831.67,4063080.803,93929528.69,98128903.79,76200194.32,76003984.98
"Feature0016",87521811.95,87691831.18,99044281.44,10237855.67,6960090.428,9384871.225,15786902.56,1601160.605,12419324.53,97371518.59,102907355.6,68655990.4
"Feature0017",1312857.183,231956.429,941977.3323,370526.5901,2795137.575,104380839.6,1353038.896,489932.4883,56092289.01,746980.2699,97497614.57,104706811.9
"Feature0018",24505716.48,105434423.5,66308111.6,2578609.886,2031949.064,3317190.997,3594402.336,266119.3841,3428940.503,33686390.49,45851038.96,29554898.37
"Feature0019",615882.5276,714898.8875,137141.3195,124255.3778,204187.2431,533392.2576,146126.266,89737.43153,149600.1775,106195727.2,67745215.45,40961612.8
"Feature0020",68492400.95,64271932.85,77278693.04,86764973.45,82437640.4,107426618.5,94155518.37,3217210.689,95554463.81,70012075.43,64505973.5,52907859.13
"Feature0021",78898544.62,78401295.51,92698118.71,58272973.2,45771918.28,82308405.32,33739489.03,1345360.038,111793250.3,31028784.33,16189415.23,7433416.567
"Feature0022",88438098.12,98307547.44,113757173.9,16207112.17,14431604.58,17913438.05,11795199.49,1091894.374,20735643.89,44344757.74,43539204.09,36623773.16
"Feature0023",115305510,274461.4352,863077.2139,1793692.416,118926.3995,55977884.17,379639.0981,29287.21492,1022719.218,117419.3533,114175342,97347574.05
"Feature0024",26712165.31,3464384.336,1159105.802,59916740.92,8911293.052,63527788.51,44884489.23,1626207.718,115835747,36818213.75,21196132.32,27903485.02
"Feature0025",77791364.07,115870577,98446566.4,579868.8884,120204.7168,123939.2515,465503.6686,31641.69282,520209.5172,38177904.04,32593223.57,7147497.671
"Feature0026",81851824.31,78044835.34,91455923.63,76960833.2,58981522.21,96820654.27,53680741.5,3851703.994,115871241.1,50791999.39,28820324.42,18058598.31
"Feature0027",85775867.49,79174202.08,94691471.15,99258944.3,85764061.35,116277316,111389237.4,4077390.276,95513856.22,25414693.28,15500716.01,13574083.06
"Feature0028",86816964.99,118335677.8,106888273.9,1609179.112,1198589.597,1156830.538,9142713.958,351084.5365,1886943.572,19227081.24,16921849.53,13960092.12
"Feature0029",88547377.73,119674811.1,119507046,5685944.883,1974793.817,2624438.491,4391809.41,416877.8731,5654517.806,18456011.38,18223478.65,17742493.09
"Feature0030",5518515.675,91210241.86,120918747.2,7696969.253,8789168.639,522260.0733,62276067.86,1710157.221,25787691.37,73084400.7,2053474.499,2144582.656
"Feature0031",149276.9296,463319.1298,150545.3388,141456.2235,137848.9947,136201.0161,123140060.3,6461472.815,22589380.4,170929.8625,127479.6353,133721.2785
"Feature0032",120486167.5,127293193.4,126742111.6,919803.3987,798480.2074,1115038.799,197205.9102,73992.31689,9345800.832,19460740.97,12719898.96,8693189.942
"Feature0033",2375501.676,128079.9663,1953494.294,2396630.634,2580167.965,124563203.9,1539897.807,2203603.585,1037121.308,709261.0508,127569351.1,126193083.6
"Feature0034",7821898.589,105809636.7,129875328.2,49678556.81,22330881.91,3440741.288,22066895.56,1177517.137,20466443.55,123981978.5,4956450.89,4646381.616
"Feature0035",383232.9991,370612.0379,376075.2585,394920.8566,375732.4673,343889.4286,420288.4836,355963.7425,360505.6326,106160839.2,102258218.5,131196227.6
