"","FC","log2(FC)","raw.pval","-log10(p)"
"Feature0035",0.03756,-4.7347,8.529e-08,7.0691
"Feature0090",0.059827,-4.0631,3.9326e-07,6.4053
"Feature0050",0.0041456,-7.9142,3.4451e-06,5.4628
"Feature0030",228.54,7.8363,3.492e-06,5.4569
"Feature0099",0.050623,-4.3041,6.1671e-06,5.2099
"Feature0032",0.043563,-4.5208,6.8821e-06,5.1623
"Feature0004",0.13305,-2.91,7.3542e-06,5.1335
"Feature0105",0.040242,-4.6352,9.8255e-06,5.0076
"Feature0094",0.067422,-3.8906,1.0058e-05,4.9975
"Feature0098",0.096246,-3.3771,1.2327e-05,4.9091
"Feature0060",0.080034,-3.6432,1.3917e-05,4.8565
"Feature0037",0.032733,-4.9331,2.8238e-05,4.5492
"Feature0040",0.025141,-5.3138,3.1068e-05,4.5077
"Feature0073",0.1146,-3.1253,4.1906e-05,4.3777
"Feature0076",0.049661,-4.3317,4.5674e-05,4.3403
"Feature0002",0.10319,-3.2767,0.00013318,3.8756
"Feature0078",129.46,7.0164,0.0001388,3.8576
"Feature0026",0.21179,-2.2393,0.00015254,3.8166
"Feature0077",0.037321,-4.7439,0.00018861,3.7244
"Feature0114",4.4,2.1375,0.00019104,3.7189
"Feature0111",0.43643,-1.1962,0.00020931,3.6792
"Feature0013",0.33573,-1.5746,0.00021506,3.6675
"Feature0081",0.33343,-1.5845,0.00026481,3.5771
"Feature0008",9.1544,3.1945,0.00033263,3.478
"Feature0068",0.12475,-3.0028,0.00036396,3.4389
"Feature0023",0.10554,-3.2442,0.00036992,3.4319
"Feature0005",35.326,5.1427,0.00051758,3.286
"Feature0022",0.15929,-2.6503,0.00065612,3.183
"Feature0089",231.75,7.8564,0.00088116,3.0549
"Feature0071",0.42485,-1.235,0.00090314,3.0442
"Feature0051",2.7006,1.4333,0.00093676,3.0284
"Feature0072",0.43333,-1.2064,0.0012196,2.9138
"Feature0086",0.062793,-3.9932,0.0014134,2.8497
"Feature0044",7.8894,2.9799,0.0015924,2.798
"Feature0024",0.31706,-1.6572,0.0020252,2.6935
"Feature0109",12.782,3.6761,0.0023814,2.6232
"Feature0039",3.4965,1.8059,0.0025735,2.5895
"Feature0110",15.177,3.9238,0.0038232,2.4176
"Feature0062",8.0576,3.0104,0.0043153,2.365
"Feature0087",2.4896,1.3159,0.004726,2.3255
"Feature0017",2.5125,1.3291,0.0047815,2.3204
"Feature0021",3.1332,1.6476,0.004794,2.3193
"Feature0020",6.8661,2.7795,0.004904,2.3094
"Feature0091",2.5355,1.3423,0.0051877,2.285
"Feature0102",313.66,8.2931,0.0052865,2.2768
"Feature0031",0.10653,-3.2307,0.0064569,2.19
"Feature0009",4.6866,2.2285,0.0066334,2.1783
"Feature0049",7.5965,2.9253,0.0067613,2.17
"Feature0006",0.46418,-1.1072,0.0069896,2.1555
"Feature0045",186.13,7.5402,0.007021,2.1536
"Feature0011",0.38844,-1.3642,0.0077376,2.1114
"Feature0063",2.3724,1.2464,0.0079051,2.1021
"Feature0064",0.32215,-1.6342,0.0084864,2.0713
"Feature0106",21.315,4.4138,0.010285,1.9878
"Feature0012",0.35547,-1.4922,0.01032,1.9863
"Feature0053",49.268,5.6226,0.010981,1.9594
"Feature0082",0.44233,-1.1768,0.011442,1.9415
"Feature0120",2.4397,1.2867,0.011625,1.9346
"Feature0103",2.8898,1.531,0.011733,1.9306
"Feature0080",3.5676,1.835,0.011814,1.9276
"Feature0065",7.8214,2.9674,0.012152,1.9154
"Feature0093",3.1549,1.6576,0.012226,1.9127
"Feature0096",8.177,3.0316,0.01237,1.9076
"Feature0047",2.9643,1.5677,0.013344,1.8747
"Feature0115",2.606,1.3819,0.013418,1.8723
"Feature0019",4.051,2.0183,0.013818,1.8595
"Feature0057",2.6229,1.3911,0.013974,1.8547
"Feature0061",2.2862,1.193,0.014393,1.8419
"Feature0074",4.1938,2.0683,0.014662,1.8338
"Feature0043",4.6744,2.2248,0.015425,1.8118
"Feature0046",4.5658,2.1909,0.01618,1.791
"Feature0036",4.235,2.0824,0.017081,1.7675
"Feature0055",4.4976,2.1691,0.017765,1.7504
"Feature0016",4.6465,2.2161,0.017892,1.7473
"Feature0095",15319,13.903,0.018211,1.7397
"Feature0048",3.701,1.8879,0.019165,1.7175
"Feature0033",23.548,4.5575,0.019255,1.7155
"Feature0007",8.8424,3.1444,0.020942,1.679
"Feature0104",109.67,6.777,0.021945,1.6587
"Feature0070",4.1318,2.0468,0.034712,1.4595
"Feature0067",3.2327,1.6927,0.038478,1.4148
"Feature0003",17.856,4.1583,0.039541,1.403
"Feature0029",4.122,2.0433,0.039809,1.4
"Feature0014",4.61,2.2048,0.039852,1.3996
"Feature0107",3.452,1.7874,0.044365,1.353
"Feature0092",98.547,6.6227,0.047056,1.3274
"Feature0042",20.997,4.3921,0.053729,1.2698
"Feature0058",3.4315,1.7788,0.054644,1.2625
"Feature0028",3.6172,1.8549,0.057778,1.2382
