"","FC","log2(FC)","raw.pval","-log10(p)"
"Feature0035",0.034862,-4.8422,1.9054e-07,6.72
"Feature0099",0.014923,-6.0664,2.0536e-06,5.6875
"Feature0050",0.012492,-6.3229,4.085e-06,5.3888
"Feature0008",4.605,2.2032,6.3083e-06,5.2001
"Feature0105",0.051271,-4.2857,1.4208e-05,4.8475
"Feature0060",0.14545,-2.7814,1.5038e-05,4.8228
"Feature0094",0.09625,-3.3771,2.0124e-05,4.6963
"Feature0102",205.25,7.6812,2.6635e-05,4.5746
"Feature0073",0.071019,-3.8157,2.667e-05,4.574
"Feature0096",6.3789,2.6733,2.9356e-05,4.5323
"Feature0026",0.21479,-2.219,3.1139e-05,4.5067
"Feature0016",3.4603,1.7909,4.3183e-05,4.3647
"Feature0111",0.1028,-3.2821,4.5157e-05,4.3453
"Feature0076",0.03441,-4.861,4.9981e-05,4.3012
"Feature0040",0.051216,-4.2873,5.0539e-05,4.2964
"Feature0071",0.23397,-2.0956,7.6215e-05,4.118
"Feature0011",0.20568,-2.2815,0.00014376,3.8424
"Feature0077",0.019493,-5.6809,0.00017287,3.7623
"Feature0036",3.3335,1.737,0.00031623,3.5
"Feature0098",0.12911,-2.9533,0.00047502,3.3233
"Feature0072",0.13027,-2.9404,0.0005425,3.2656
"Feature0022",0.20967,-2.2538,0.00071484,3.1458
"Feature0068",0.1309,-2.9334,0.00079341,3.1005
"Feature0023",0.17269,-2.5338,0.00088665,3.0522
"Feature0014",3.4541,1.7883,0.0011773,2.9291
"Feature0086",0.064569,-3.953,0.0015438,2.8114
"Feature0019",3.2247,1.6892,0.0016908,2.7719
"Feature0074",3.2481,1.6996,0.001948,2.7104
"Feature0081",0.24522,-2.0279,0.0020027,2.6984
"Feature0104",74.229,6.2139,0.0020365,2.6911
"Feature0012",0.027815,-5.168,0.0021556,2.6664
"Feature0045",151.86,7.2466,0.0021768,2.6622
"Feature0109",8.3268,3.0578,0.0026533,2.5762
"Feature0049",6.6492,2.7332,0.0028987,2.5378
"Feature0051",2.6118,1.385,0.0031153,2.5065
"Feature0110",15.091,3.9156,0.0031984,2.4951
"Feature0064",0.31774,-1.6541,0.0038101,2.4191
"Feature0078",187.37,7.5498,0.0039242,2.4063
"Feature0063",2.6339,1.3972,0.0072258,2.1411
"Feature0043",3.9572,1.9845,0.0075216,2.1237
"Feature0009",4.9346,2.3029,0.010011,1.9995
"Feature0031",0.17378,-2.5247,0.01021,1.991
"Feature0055",3.0878,1.6266,0.010895,1.9628
"Feature0082",0.25566,-1.9677,0.011211,1.9503
"Feature0069",56.187,5.8122,0.01137,1.9442
"Feature0005",35.912,5.1664,0.01355,1.8681
"Feature0118",100,6.6439,0.014199,1.8477
"Feature0037",0.21642,-2.2081,0.015154,1.8195
"Feature0021",2.8233,1.4974,0.027296,1.5639
"Feature0088",0.49661,-1.0098,0.03046,1.5163
"Feature0048",3.1306,1.6464,0.032878,1.4831
"Feature0101",0.41967,-1.2527,0.03811,1.419
"Feature0053",552.75,9.1105,0.044861,1.3481
"Feature0020",6.6245,2.7278,0.047399,1.3242
"Feature0038",18.416,4.2029,0.051085,1.2917
"Feature0007",5.2225,2.3847,0.056191,1.2503
"Feature0089",106.42,6.7337,0.057009,1.2441
"Feature0033",433.48,8.7598,0.069459,1.1583
"Feature0004",0.33791,-1.5653,0.06963,1.1572
"Feature0079",99.505,6.6367,0.077326,1.1117
"Feature0025",1163,10.184,0.085677,1.0671
"Feature0054",2103.5,11.039,0.088346,1.0538
"Feature0066",0.1895,-2.3997,0.09667,1.0147
