"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0001",22.0885631915287,22.2366127268245,23.0441026359309,21.5462695150922,22.3905808194861,20.8928780889389,21.2936622251075,16.9034511270507,21.0013052687206,21.6454885856944,20.3534248303004,20.5498999448852
"Feature0002",24.8646318627247,25.8082197710489,25.6053369860374,19.6931202769012,21.1503068608695,18.5655748102773,20.0121001823555,25.0560343724074,23.2793768220011,24.6692180773843,24.006405645578,24.0938994222395
"Feature0003",21.9103017984564,21.7137894156812,21.8130462257852,25.2062109693962,26.1927509079879,26.0456566264633,26.9835415560692,20.8832547761684,25.7815778273583,22.8689031977071,22.8204395391224,22.8039882028057
"Feature0004",25.5501654682334,26.0932255471219,26.1105502139205,22.6501656862792,22.6041388995184,22.4110647092582,22.5217395671802,23.9094918492962,21.527260812406,23.410910323979,22.0216603153198,22.2200226503408
"Feature0005",21.2594740024335,21.1245711211689,21.2451600545008,26.2293681279709,26.0337107494841,26.3207294102889,26.5983404748665,24.7260188636083,26.5635883020076,21.5011532019296,18.0952955680617,23.4466597919183
"Feature0006",25.2835833496398,24.47801813854,24.2186802747856,23.5886510422371,23.2758830215985,24.6086924964039,23.6835404725746,22.7283472731142,25.3557938822344,24.4750596940603,25.5110385135242,25.7101083747206
"Feature0007",23.7345375606928,22.8391039239957,20.6698489557362,25.5799181624267,26.0416042160149,26.3345690631528,25.7285583141024,24.2203576457378,25.5524935808233,21.6903768605199,23.9180712804278,24.8691702236773
"Feature0008",23.8439141547312,23.5758940634478,23.6446063415811,22.4206018725386,22.5825734402419,22.5859761666706,22.4914621933342,23.4271544112635,23.3993108307402,25.8344317728001,25.5840122711756,25.8814107009482
"Feature0009",23.7255610912427,22.8125607654947,22.5946228393805,25.3576084793534,25.2115267636836,26.4651317358387,24.6966339258112,24.9519508208138,24.7106751636084,24.4162113209549,25.4284341693588,25.8849020206564
"Feature0010",24.2769992801972,23.1801106068783,22.9638953832093,24.9344419791933,25.0790605658261,25.8592432471838,25.103331108133,25.6063822085439,25.6141450578049,23.1840875775452,23.6936412776536,23.2415200750842
"Feature0011",25.156892665756,24.1530485770134,24.1980142162581,23.8718187098,23.3039751393615,24.8732943285341,23.5035892308295,24.3365715030818,23.3652254116065,25.3892722061669,26.6450654472021,26.7183109997214
"Feature0012",25.8126581550354,25.9455885033992,26.0189479168447,23.8510257538236,24.7159086120151,24.4838977699531,23.6256890807599,22.4512037042781,23.7756510046238,21.8344275929543,20.3954590401784,20.7944672418175
"Feature0013",26.2804656684599,27.4639511317221,26.7301819420761,24.588231987553,24.5478377475658,24.8877535397724,22.1081000522641,18.6181624453122,21.3383700607424,22.5835687357091,20.4492061860876,19.3792191020683
"Feature0014",22.0467327286482,24.495939197446,24.3359925299935,25.6051946799994,26.2351738882489,23.6529602719998,25.9597275425113,26.2553439010508,25.6789996222137,25.4619680878587,26.3490693037937,22.105661352502
"Feature0015",25.773553763456,24.9851161954747,24.8302573662013,25.361281583957,25.8877340564251,26.4516089782848,25.6501394221273,25.6422333254322,25.5209063570597,25.3585270765325,26.2852890505268,26.7760178816954
"Feature0016",25.7034474731075,24.733820400708,24.6181540929322,22.7059351636474,22.6534540521769,23.4493613316203,23.5841620161964,25.1982636340005,22.805829360841,25.5782065556394,26.7105224965851,26.5557573036339
"Feature0017",20.8974357482656,19.2094496932889,21.185100675708,20.47483639038,23.7959810548101,28.127318958723,22.8701254207994,23.174353506003,27.2835825617401,18.0900016601988,24.5936114178487,24.9422832327713
"Feature0018",23.9743060998931,26.0823626602357,25.1781343934131,22.2163943668817,22.2779952052205,22.6844231299693,23.107706100357,22.7393251099126,22.0133390687281,24.7161462102645,25.0822535589589,24.7418692763985
"Feature0019",21.1150566958652,21.3121587002048,19.7868442184,19.9536052738322,20.759331154941,21.5535512622845,20.1569422822309,19.7311299979558,20.3306118682322,22.1078468551209,20.8709879198998,20.4553839174696
"Feature0020",25.5751516325374,24.6237188272886,24.6073421436825,25.2958574654296,25.7114795005465,26.5850449224106,25.6001892795009,25.3848529469829,25.5920744890208,24.8946753773052,26.0863503024635,26.2710644609645
"Feature0021",25.5407363250655,24.5403005587803,24.4930309065574,24.9785026320925,25.1700632131994,26.4966087471595,24.4270364201409,24.7011724775346,25.9366211244498,23.8142920251513,24.1075803486196,23.4411147604555
"Feature0022",25.7192360186034,24.9070836447506,24.8266613058643,23.3999400337005,23.7342915158901,24.3932095845452,23.1975393413849,24.6703502787447,23.5562093792026,24.4587228321235,25.4624974075041,25.6384076202538
"Feature0023",27.9904538574797,19.7595456895808,21.7644877554347,23.3235911995812,19.6630467749735,27.7113221071859,21.2972618981828,18.7327434327553,22.2344641006872,13.8329946889449,23.3016282211466,23.3325876216042
"Feature0024",23.9401865186815,20.2494887991047,18.394849307461,25.8243046613234,23.5620784299209,26.4659891747277,25.7047642171934,25.5068784028339,26.3404304143576,24.4377096640142,24.3216090348432,25.0693472845903
