"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0001",2039377.33959754,756932.860706762,757828.66238207,1150322.95318629,2381617.35973555,1213085.12340918,684060.565444626,433762.888493051,384879.176969668,20830626.5072941,17894096.8804757,23746762.9678981
"Feature0002",33527735.2458551,14056176.4630398,11846962.3650646,642707.408633858,1699579.15780395,459312.68804728,401280.854466186,68666394.2204658,5057515.03869328,22224512.0405308,30665339.9827317,38907872.8326764
"Feature0003",8382728.25644966,2909132.30256789,3317440.3426348,56203872.3648631,108242294.270945,106112408.451146,109888512.819778,2903951.4750664,61506001.1862875,4081845.50354969,5590192.65636986,6457285.21777638
"Feature0004",78719741.4701371,29855893.0761672,31120417.9058448,6466048.4476352,6133689.21307655,7556457.05014013,3006109.49550881,27083848.2165882,2128410.68620905,5612378.38118194,4651791.80105988,6323754.54908983
"Feature0005",4790982.80942728,1416601.45605788,1613582.81492563,93436144.5924259,80260140.2130108,119180928.809962,65222174.9892721,44227948.8519745,87240224.3592823,1469680.35779572,242511.953370413,11681200.9136628
"Feature0006",92142492.4048426,39477471.4987897,36411742.4123269,46448257.1309943,34128576.4124532,62510212.7058093,31107797.9784564,10734830.9751287,91074856.529191,18747082.6032855,27085557.3375409,33362143.1214744
"Feature0007",32001689.882534,12151411.2485453,2965854.24484691,159025913.673552,200229684.535927,193499993.316603,109135942.272353,27872711.8430225,96224327.176871,2540115.03961154,9225293.62556617,19533725.7573694
"Feature0008",32494737.5926601,11040124.7445078,12349879.4975516,8381823.92154336,9098012.06961466,9768533.25975141,5055325.59858613,16754176.0646266,12107493.935537,32282567.9199453,37349693.6265647,53657096.9971173
"Feature0009",31647720.3744489,13047759.3550058,12392219.955928,191154756.51622,154756478.992015,241675472.218102,77133925.3504386,59150765.0196574,61033474.9014577,19748231.2339247,24341233.07418,35123411.0161072
"Feature0010",45960247.7441389,16009597.4019614,15206618.1579677,116321950.063992,117387109.070116,147805892.232698,81880190.3196574,78128706.0589562,108161629.428799,7593059.31699027,7688678.92839599,6043799.9325932
"Feature0011",85157003.1942309,32802174.820314,37395374.6336587,65766382.4461909,39986881.6113536,79249117.2433611,32426558.3236312,37228365.3548494,23875259.535268,38085652.4701617,57243695.3689898,63611108.2155697
"Feature0012",116979817.009336,44265830.0216194,49035689.2961603,19020111.9989923,34012525.0395968,33968056.6828959,8943593.67675119,8965817.54624852,13400999.6064383,1878048.53574804,1135765.25648447,1763033.96275173
