"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0001",20.0530686544861,19.9936129944665,20.0416954149589,19.0117102238369,20.0651788891517,18.5877373844835,18.5460525611825,17.460948626218,17.8223811065631,24.144311092457,23.5726034225236,23.8531074672924
"Feature0002",24.0922230462628,24.2085080525165,24.0081970891983,18.171905276997,19.5784148034281,17.1866051373056,17.7765408221429,24.7675023979896,21.5383322866931,24.2377566052728,24.3497286361539,24.5654387085293
"Feature0003",22.0923597793308,21.9359646586133,22.1718223256799,24.6222688974932,25.5713577600001,25.0385061552199,25.8737533638065,20.203987441814,25.1425588590363,21.7928983445623,21.8940895991494,21.9743762582721
"Feature0004",25.3235934945942,25.2953195687088,25.4015413325833,21.5025555862178,21.4299923153166,21.2267665604702,20.6817541511885,23.4253309297829,20.2896801340559,22.2522890440266,21.6289781231813,21.9442298779116
"Feature0005",21.2852615540238,20.8978096795566,21.1320194278339,25.3555801103004,25.1398490179158,25.2060661808139,25.121147238675,24.1328565268513,25.6468251571102,20.3191791827057,17.367319359562,22.8295652024813
"Feature0006",25.5507346345752,25.6983334334286,25.6280836784208,24.3472238276931,23.9061455787379,24.2750766016335,24.0530609613911,22.0901976660297,25.7088844941715,23.9922709642998,24.170643467455,24.343588568723
"Feature0007",24.0250161021176,23.998427720387,22.0101995029045,26.1227893343852,26.4587493093866,25.9052463014238,25.8638390912744,23.4667515651577,25.7882333552967,21.1085706035565,22.6167864256807,23.5713437482732
"Feature0008",24.0470741097004,23.8600603176644,24.0681768636095,21.8769354839869,21.9987885950862,21.5971985536445,21.4316606066309,22.7324189301131,22.7977319572034,24.7763602040528,24.6342160989812,25.0291456037104
"Feature0009",24.008969596218,24.1011059233772,24.073114555261,26.3882685582187,26.0870932464971,26.2259838454724,25.3631502182777,24.5522950181713,25.131432408548,24.0673283045023,24.0165219438207,24.4178095601955
"Feature0010",24.5472545866895,24.3962408726008,24.3683792424306,25.6716508193688,25.6883674231187,25.5166165680722,25.4492991423918,24.9537509115179,25.9569485625242,22.6883580452198,22.3539273303173,21.878904409933
"Feature0011",25.4369931920093,25.43109531445,25.6665397354565,24.8489496794298,24.1346921179741,24.6173795551451,24.1129605944346,23.8843004614246,23.7773480928936,25.0148524732262,25.2502364984154,25.2746553219252
"Feature0012",25.8950557442638,25.8634973176582,26.057512056629,23.0591251054996,23.901231455003,23.3951633737967,22.2547112372727,21.830405236612,22.9441722949939,20.6729111147401,19.5948562801509,20.1015087727831
"Feature0013",25.7657228504285,26.1739470947584,25.492483007156,23.224373640044,23.1403090675829,23.6155601042227,20.0103664783116,18.2424763034433,19.8088154490682,21.6878765924702,20.4312423218299,19.4776029060674
"Feature0014",22.3292673028555,25.7745053506106,25.8022320485167,26.7596277902992,27.2131213551232,23.4721893505521,26.755031507464,26.0060629736691,26.1201176451269,25.1685229720984,24.909545872379,20.5951078336113
"Feature0015",25.7268697413325,25.7745053506106,25.8022320485167,26.7596277902992,27.2131213551232,26.6114340934155,26.755031507464,26.0042525085883,26.1201176451269,25.1685229720984,24.909545872379,25.2953938663048
"Feature0016",25.9747215432565,25.9868156622921,26.0618178578358,23.5910088940541,23.4032873199929,23.1650513296638,24.0925843765247,24.6607964778418,23.2011255844095,25.1573446705345,25.3430253971967,25.1487044080063
"Feature0017",19.9158608256136,17.4243708490552,19.3455803313159,18.8028162097112,22.0871005631868,26.6404274818731,20.5481314572515,22.952333320271,25.3763413325329,18.13105877601,25.265118117131,25.757602201004
"Feature0018",24.1381972647474,26.2526472729876,25.4829295466058,21.6017607527112,21.6270455075058,21.664676462402,21.957680048565,22.0718239576877,21.3443736517082,23.626010679789,24.1767056204915,23.9327160631587
"Feature0019",18.8238779470831,19.0482562231704,16.5655512962071,17.2265474246259,18.312145909414,19.0279831693463,17.3372155730306,20.5035321546037,16.8257945721044,25.2824986435491,24.7398702543901,24.4035913238727
"Feature0020",25.6210228707016,25.5385620649666,25.7038148728842,26.6742080731392,26.9694125760996,26.681922083323,26.6689018912444,25.6674888711106,26.1448621449414,24.6814486027403,24.6691839614073,24.7728008450759
"Feature0021",25.8250776251459,25.8252506995271,25.9662842377245,26.0999222427796,26.1205721205613,26.2976822413106,25.1882943636691,24.4096707633968,26.3713000555484,23.5074520033277,22.6748020712984,21.9414161672373
"Feature0022",25.9897469369593,26.151675387708,26.2616298019298,24.2537223713107,24.4553410796711,24.0976847295981,23.6720560576866,24.1085117544677,23.9406517218968,24.022608393355,24.1020662304629,24.2420992358181
"Feature0023",26.3724684872193,17.6671204651989,19.21937762172,21.0780997430458,17.5323221776059,25.7414994328975,18.7146286287278,18.8880932689475,19.5990208953947,15.4616588546171,25.4929304016519,25.6524638302509
"Feature0024",24.2625758636882,21.3250441012458,19.6448283429891,26.1400544738483,23.7598160555557,25.9240302731819,25.6000732166449,24.6831899995038,26.4225475086362,23.7542644638625,23.0635522343631,23.8497641229768
"Feature0025",25.804688941696,26.3888155701474,26.0530850667574,19.4489658670338,17.5477466830005,16.9224194462382,19.0087925866947,18.9996490484767,18.6237754786745,23.8065827296095,23.6843232417107,21.8848289534053
"Feature0026",25.8780935087173,25.8186763699904,25.9468207946159,26.501219739342,26.4863724209891,26.5319573186841,25.8582608387071,25.9271752880491,26.4229895079291,24.2184460940997,23.5068377711053,23.2220047201813
"Feature0027",25.9456507484152,25.8394036285706,25.9969786659549,26.8682924315959,27.0264825907886,26.7961402458669,26.9113941777501,26.0093245067067,26.1442489153951,23.2195076479582,22.6120860536975,22.8101735496709
