FeatureID,Name,Formula,MW,Area: 2,Area: 10,Area: 14,Area: 19,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,name4plot,C,H,N,O,S,P,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0279,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,195.08956,2781581.563,2755193.107,133982144.8,1932928.476,3584031.268,2986687.263,1774515.843,3996839365,2836879.689,2630914.973,2191114.355,730601.324,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime-peak3",10,13,1,3,0,0,0,1.3,0.3,-0.4000000000000003,71.7,5,2,0.16666666666666666,0.3333333333333333,1,Phenol,21.556714527561034,29.9764352936704,1.3905846020897317,0.4756915198031638,0.14430299425721602,0.31453543279502555,Upregulated
Feature0278,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07866,817106.9296,751110.9385,2206629.964,2921797054,7378643.782,872850.1032,286793.2395,909997.4955,2675385293,1738263.012,2874776777,465876.0683,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak7",11,12,0,3,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,20.236177997823933,20.6725039958204,1.0215616801771257,0.030776314202518897,0.7810760534261716,0.8822680927364448,Upregulated
Feature0277,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,195.08955,1749356.625,1576816.303,2830391164,2809624.038,3866751.77,2654103.228,1526934.641,651580794.2,2518249.91,2343500.54,1911133.118,579778.5693,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime-peak2",10,13,1,3,0,0,0,1.3,0.3,-0.4000000000000003,71.7,5,2,0.16666666666666666,0.3333333333333333,1,Phenol,21.309576965536767,30.866096679950402,1.4484612589855284,0.5345210983350016,0.08817874628098406,0.22779509455920882,Upregulated
Feature0276,Choline O-Sulfate,C5 H13 N O4 S,183.05656,18455380.89,173889126.6,358388843.4,2281488183,18362239.37,17267620.54,388426123.5,1013034308,1617001965,273773566.5,1510370737,75097.23344,Choline O-Sulfate,5,13,1,4,1,0,0,2.6,0.8,0,60.3,0,-4,6,-4,-6,Other,23.697503256421633,28.76133787071235,1.2136864191766068,0.27939571983296424,0.059255249433074635,0.18786607490713436,Upregulated
Feature0275,Betaine,C5 H11 N O2,117.07895,1932171556,1399168738,2002960831,2195957216,1922636748,2159050538,506181853.5,1849146123,2252386478,1274603634,1898401604,276652.6598,Betaine,5,11,1,2,0,0,0,2.2,0.4,-0.7999999999999998,83.1,1,-1,-1,-0.3333333333333333,-2,Protein,31.184002517560835,30.180436188186498,0.9678179114817224,-0.04719245535570961,0.092784808657341,0.23113358585176907,Downregulated
Feature0274,NA,C30 H32 O10,552.19967,801339.7713,764300.7706,795643.4129,2091823089,1442045.221,802660.1892,849278.6099,828862.5083,1831460665,866730.3238,2085742045,1537081.377,Feature0274,30,32,0,10,0,0,0,1.0666666666666669,0.3333333333333333,-0.4000000000000003,71.7,15,5,0.25,0.4,5,Phenol,19.871201410822135,20.15038531659585,1.0140496741994507,0.02012832587764034,0.6625676040426542,0.8107735154732479,Upregulated
Feature0273,L-Phenylalanine,C9 H11 N O2,165.07901,1114276985,823092033.2,579010543.8,396138389,1096837395,1313901615,698448659.6,1801302787,189142092.7,41680686.25,3240448.84,344192.227,L-Phenylalanine-peak2,9,11,1,2,0,0,0,1.2222222222222223,0.2222222222222222,-0.44444444444444464,72.96666666666667,5,3,0.3333333333333333,0.42857142857142855,2,Phenol,29.8221613951755,29.4775260881366,0.9884436509322007,-0.016769371560944428,0.6977826005315588,0.8305134768967425,Downregulated
Feature0272,Citric acid,C6 H8 O7,192.02697,90697292.98,640009222,252913102.6,1749547143,1410964699,1607313906,430161123,461060593.3,42128945.36,9433412.19,30358473.39,223896.4851,Citric acid-peak2,6,8,0,7,0,0,0,1.3333333333333333,1.1666666666666667,1,31.799999999999997,3,-4,4,-0.2,-4,Other,28.71957649231817,27.9473097036542,0.9731100913388979,-0.039325063525437715,0.6003971731748233,0.7683982170448427,Downregulated
Feature0271,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07866,351486.3383,532220.9311,719590.199,1196298798,2351960.839,620492.3733,391500.384,967328.4151,1381709804,952632.6253,1661935952,664340.0482,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak6",11,12,0,3,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,20.000662843578734,20.4528137384767,1.0226067955064364,0.032251518278958245,0.6703931553276912,0.8167672067092832,Upregulated
Feature0270,L-alpha-Glycerylphosphorylcholine,C8 H20 N O6 P,257.10283,1054614637,1511943134,1065144213,1523394896,963071590.3,984793503,871763245.8,759968428.4,1393915817,1654364950,845675553,59041.63733,L-alpha-Glycerylphosphorylcholine,8,20,1,6,0,1,0,2.5,0.75,-1.25,95.925,0,-6,-Inf,-1.6666666666666667,-8,Carbohydrate,30.018303216046935,29.13386538066065,0.9705367145830719,-0.04314530498289301,0.2246629635614124,0.4206776297559333,Downregulated
Feature0269,Citric acid,C6 H8 O7,192.02696,1414006569,18353706.89,5249703.767,51025485.35,23793018.37,6685672.121,15108284.09,461060593.3,1539752182,571926322.2,1385809330,229366.333,Citric acid-peak1,6,8,0,7,0,0,0,1.3333333333333333,1.1666666666666667,1,31.799999999999997,3,-4,4,-0.2,-4,Other,25.13524472603733,25.28429302719985,1.005929852793839,0.008529704194195983,0.9730177301538088,0.9823413108286452,Upregulated
Feature0268,1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose,C10 H19 N O7,265.11614,502369597.5,79698117.86,23169906.2,1441632291,555393728.8,536760591.2,26406342.01,33511708.23,1095664071,100516511.3,989159664.9,124542.1197,1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose-peak2,10,19,1,7,0,0,0,1.9,0.7,-0.20000000000000015,66,2,-5,-3,-0.4545454545454546,-6,Amino Sugar,28.5339466022518,24.3468733432045,0.8532599321989034,-0.2289427920669368,1.9947051635408355e-4,0.008361867670461279,Downregulated
Feature0267,Adenosine,C10 H13 N5 O4,267.09675,171950044,743269264,696101538.9,1175248996,155975869.1,188386905.4,616581587.1,1357108263,845637758.7,925647307.9,778356683.2,298650.9187,Adenosine-peak2,10,13,5,4,0,0,0,1.3,0.4,1,31.799999999999997,7,3,-2,0,-2,Phenol,27.2058436666524,29.34236977284405,1.0785318820607097,0.1090688240746639,0.08494413786069724,0.22148985479564984,Upregulated
Feature0266,DL-Carbidopa,C10 H14 N2 O4,226.09535,296704218.5,1159091671,1103375942,1101375243,276582992.2,343090102.8,882899621,1086193946,961638007,1352782325,803965985.4,321550.9151,DL-Carbidopa-peak2,10,14,2,4,0,0,0,1.4,0.4,0,60.3,5,1,-0.25,0.16666666666666666,-1,Phenol,28.142018660144767,29.4721360758285,1.0472644635676924,0.06662580912522027,0.029731342441353344,0.12961007095527474,Upregulated
Feature0265,methoxyresorcinol,C7 H8 O3,140.04735,611513.5352,7449786.748,8153301.295,1328496974,2529981.849,1253515.598,7311472.835,4501771.277,1074872485,9697784.924,984413795.7,1434514.421,methoxyresorcinol-peak2,7,8,0,3,0,0,0,1.1428571428571428,0.42857142857142855,-0.2857142857142856,68.44285714285714,4,1,0.25,0.4545454545454546,1,Phenol,19.3519891060348,22.60219704748925,1.1679521378213722,0.22398115440409141,0.049534837938770636,0.1699119513020126,Upregulated
Feature0264,Choline,C5 H13 N O,103.09967,1258592902,730362497,770699118.2,346675206.1,1228856029,1327208320,822407853.3,1130348199,315737652.6,917177209.4,289742797.9,118222.4358,Choline,5,13,1,1,0,0,0,2.6,0.2,-1.5999999999999996,105.89999999999998,0,-1,-0.6666666666666666,-0.42857142857142855,-2,Other,30.196188445255967,29.2451577179372,0.9685049413093002,-0.04616868541429298,0.04815786552085372,0.1686899414159517,Downregulated
