FeatureID,Name,Formula,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment,isolate
Feature0239,"3',4'-Dimethoxyacetophenone",C10 H12 O3,Phenol,17.79901294,30.80326437,1.730616438,0.791286011,1.78E-06,4.96E-04,Upregulated,1154
Feature0186,"3-Hydroxy-4,5,6-trimethoxytetrahydro-2H-pyran-2-carboxamide",C9 H17 N O6,Amino Sugar,18.71512358,26.82931491,1.433563331,0.519605641,0.00438099,0.021443793,Upregulated,1154
Feature0072,Caffeic acid,C9 H8 O4,Phenol,20.13988769,28.4412027,1.412182786,0.497926836,0.002091401,0.016005731,Upregulated,1154
Feature0022,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",C13 H21 N3 O3,Lipid,18.4968657,25.84096144,1.397045416,0.482378922,0.006020621,0.026246144,Upregulated,1154
Feature0047,Butyl glyoxylate,C6 H10 O3,Protein,19.42171145,26.77699643,1.378714564,0.463323806,3.74E-04,0.005217341,Upregulated,1154
Feature0011,[Similar to: Dimethyl phosphate; ΔMass: 60.0212 Da],C4 H11 O6 P,Other,19.24868462,26.5248133,1.37800654,0.462582735,2.36E-04,0.005197324,Upregulated,1154
Feature0019,RV0540000,C5 H12 O4,Carbohydrate,19.22931818,26.34418202,1.370000838,0.454176776,0.001221555,0.01150635,Upregulated,1154
Feature0216,L-Glutamine,C5 H10 N2 O3,Amino Sugar,20.35632919,27.33493841,1.342822577,0.425268698,0.002760162,0.017908959,Upregulated,1154
Feature0141,4-Phenylbutyric acid,C10 H12 O2,Phenol,20.9544646,28.11094,1.34152509,0.423874037,6.66E-04,0.00807301,Upregulated,1154
Feature0229,L-Saccharopine,C11 H20 N2 O6,Protein,21.50110078,28.75053491,1.33716572,0.419178275,0.003592164,0.020044274,Upregulated,1154
Feature0138,Adipic acid,C6 H10 O4,Amino Sugar,20.74634871,27.50200776,1.32563123,0.406679496,7.42E-05,0.004138795,Upregulated,1154
Feature0200,"pentane-1,2,3,4,5-pentol",C5 H12 O5,Carbohydrate,21.14107092,27.91610495,1.320467873,0.401049201,1.64E-04,0.005080207,Upregulated,1154
