"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0001",21.4117669447503,22.2814288078404,21.590650303878,22.1850035189394,22.7599153945448,21.1695922593356,21.6185124738647,19.6032659632513,21.0819520612588,22.9507284449119,21.236892800846,22.1948175653648
"Feature0002",21.1269415499966,21.6792215109633,21.6221616944644,23.5509984551521,24.1815405564325,24.2088933052865,23.6210029100905,21.2939740750257,24.1062708277689,23.9311350609204,23.6078056530915,22.4369744054897
"Feature0003",18.329322446068,19.7340201448624,19.9669765386799,20.5143825250288,20.0491023237597,19.3940100803049,20.1635956702942,20.5635394959695,19.7619424931816,24.5436885851323,21.733722531745,22.615988970124
"Feature0004",20.257177304118,20.6900665035654,19.9650639502235,25.2256612680535,25.3694894649913,24.7441025402056,25.7985774899997,21.1848454161488,24.9574076556382,20.3846209541689,19.6688688550906,19.722221509807
"Feature0005",23.2248770621676,22.5245671516053,22.5101437290953,24.3194783992738,24.266346969621,25.1889774347794,23.9922924441231,25.3110542180669,24.2499860029164,21.8909118606278,22.4986015936674,22.7212357582844
"Feature0006",20.7288229669009,21.3905462396583,21.087809884167,21.9098721116299,21.1703954359478,20.5749308789825,21.5385645814762,20.8080883866398,20.4983981440662,24.3802654283873,22.1943602681924,22.1588370534353
"Feature0007",21.3130023237702,20.7650607785352,21.0014816859494,25.4409941377764,25.5370121200793,25.5219168359705,24.6368454874678,22.5731636579362,23.9571140587371,21.7421806187376,21.9239213238071,22.4216565698071
"Feature0008",24.1183462764877,23.0087327806333,20.6949360813583,23.9170133464155,20.4259108083809,24.4146100656581,23.8111787240877,23.3789040200361,24.2371092343399,23.2183652647424,24.3466179713636,23.9762272682526
"Feature0009",21.9831826327171,21.7327724615683,21.3250958702043,24.318647225289,24.5068894549774,24.7112846884122,24.117061407521,22.5024405723929,24.4763667225957,21.8858703628056,22.4935679700296,22.1207784997565
"Feature0010",20.8258332061649,20.7665322406292,19.911165780804,23.800559018793,25.522762737244,24.3567969949107,23.5547944586989,21.6696071774331,25.124663699295,21.9524247508179,20.8933546949892,20.8646584546335
