FeatureID,Name,Formula,ReClass,MW,KEGG Pathways,name4plot,C,H,N,O,S,P,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment,isolate
Feature0200,"pentane-1,2,3,4,5-pentol",C5 H12 O5,Alcohols,152.06848,Metabolic pathways;ABC transporters;Other,"pentane-1,2,3,4,5-pentol",5,12,0,5,0,0,0,2.4,1,-0.4,71.7,0,-5,#NAME?,-1,-5,Carbohydrate,21.14107092,27.91610495,1.320467873,0.401049201,1.64E-04,0.005080207,Upregulated,1154
Feature0200,"pentane-1,2,3,4,5-pentol",C5 H12 O5,Alcohols,152.06848,Metabolic pathways;ABC transporters;Other,"pentane-1,2,3,4,5-pentol",5,12,0,5,0,0,0,2.4,1,-0.4,71.7,0,-5,#NAME?,-1,-5,Carbohydrate,21.14107092,27.98343236,1.323652546,0.40452447,5.89E-04,0.009671393,Upregulated,1177
Feature0019,RV0540000,C5 H12 O4,Alcohols,136.07356,NA,RV0540000,5,12,0,4,0,0,0,2.4,0.8,-0.8,83.1,0,-4,-4,-0.666666667,-4,Carbohydrate,19.22931818,26.34418202,1.370000838,0.454176776,0.001221555,0.01150635,Upregulated,1154
Feature0022,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",C13 H21 N3 O3,Amino acid & derivatives,267.15833,NA,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",13,21,3,3,0,0,0,1.615384615,0.230769231,-0.461538462,73.45384615,5,2,-0.142857143,0.058823529,-1,Lipid,18.4968657,25.84096144,1.397045416,0.482378922,0.006020621,0.026246144,Upregulated,1154
Feature0022,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",C13 H21 N3 O3,Amino acid & derivatives,267.15833,NA,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",13,21,3,3,0,0,0,1.615384615,0.230769231,-0.461538462,73.45384615,5,2,-0.142857143,0.058823529,-1,Lipid,18.4968657,27.21744748,1.471462675,0.557250947,0.002772465,0.027169524,Upregulated,1177
Feature0207,Adenine,C5 H5 N5,Amino acid & derivatives,135.05449,Metabolic pathways;Biosynthesis of secondary metabolites;Other,Adenine,5,5,5,0,0,0,0,1,0,2,3.3,6,6,Inf,Inf,1,Unsaturated HC,27.38252939,20.2460226,0.739377371,-0.435617204,1.40E-04,0.00432989,Downregulated,1246
Feature0252,DL-Carnitine,C7 H15 N O3,Amino acid & derivatives,161.10522,Other,DL-Carnitine,7,15,1,3,0,0,0,2.142857143,0.428571429,-0.857142857,84.72857143,1,-2,-1,-0.333333333,-3,Protein,22.94810108,29.71306072,1.294793875,0.372722446,7.16E-06,9.98E-04,Upregulated,1154
Feature0252,DL-Carnitine,C7 H15 N O3,Amino acid & derivatives,161.10522,Other,DL-Carnitine,7,15,1,3,0,0,0,2.142857143,0.428571429,-0.857142857,84.72857143,1,-2,-1,-0.333333333,-3,Protein,22.94810108,29.28939088,1.276331788,0.352003413,3.84E-04,0.008361868,Upregulated,1177
Feature0252,DL-Carnitine,C7 H15 N O3,Amino acid & derivatives,161.10522,Other,DL-Carnitine,7,15,1,3,0,0,0,2.142857143,0.428571429,-0.857142857,84.72857143,1,-2,-1,-0.333333333,-3,Protein,22.94810108,28.42118953,1.238498534,0.308592161,0.002004381,0.021508555,Upregulated,1246
Feature0233,DL-Stachydrine,C7 H13 N O2,Amino acid & derivatives,143.09464,ABC transporters,DL-Stachydrine,7,13,1,2,0,0,0,1.857142857,0.285714286,-0.857142857,84.72857143,2,0,-0.25,0,-1,Lipid,20.81894336,27.01144558,1.297445558,0.375674003,0.003216507,0.019330974,Upregulated,1154
Feature0216,L-Glutamine,C5 H10 N2 O3,Amino acid & derivatives,146.06916,Metabolic pathways;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of cofactors;Protein digestion and absorption;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Other,L-Glutamine,5,10,2,3,0,0,0,2,0.6,0.4,48.9,2,-1,#NAME?,-1,-3,Amino Sugar,20.35632919,27.33493841,1.342822577,0.425268698,0.002760162,0.017908959,Upregulated,1154
Feature0216,L-Glutamine,C5 H10 N2 O3,Amino acid & derivatives,146.06916,Metabolic pathways;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of cofactors;Protein digestion and absorption;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Other,L-Glutamine,5,10,2,3,0,0,0,2,0.6,0.4,48.9,2,-1,#NAME?,-1,-3,Amino Sugar,20.35632919,27.77695879,1.364536726,0.448411225,0.003423149,0.027287384,Upregulated,1177
Feature0216,L-Glutamine,C5 H10 N2 O3,Amino acid & derivatives,146.06916,Metabolic pathways;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of cofactors;Protein digestion and absorption;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Other,L-Glutamine,5,10,2,3,0,0,0,2,0.6,0.4,48.9,2,-1,#NAME?,-1,-3,Amino Sugar,20.35632919,26.34844873,1.294361497,0.372240599,0.006876347,0.039968769,Upregulated,1246
Feature0229,L-Saccharopine,C11 H20 N2 O6,Amino acid & derivatives,276.13216,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Other,L-Saccharopine,11,20,2,6,0,0,0,1.818181818,0.545454545,-0.181818182,65.48181818,3,-3,-1.666666667,-0.333333333,-5,Protein,21.50110078,28.75053491,1.33716572,0.419178275,0.003592164,0.020044274,Upregulated,1154
Feature0209,N~2~-Acetyl-L-ornithine,C7 H14 N2 O3,Amino acid & derivatives,174.10048,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Other,N~2~-Acetyl-L-ornithine,7,14,2,3,0,0,0,2,0.428571429,-0.285714286,68.44285714,2,-1,-1.5,-0.428571429,-3,Protein,27.67595857,21.49410423,0.776634499,-0.364692299,4.05E-04,0.007044985,Downregulated,1246
Feature0031,pro-his,C11 H16 N4 O3,Amino acid & derivatives,252.12226,NA,pro-his,11,16,4,3,0,0,0,1.454545455,0.272727273,0.181818182,55.11818182,6,3,-0.25,0.090909091,-1,Phenol,20.0262719,24.95738265,1.246232088,0.317572769,5.97E-04,0.007567285,Upregulated,1154
Feature0031,pro-his,C11 H16 N4 O3,Amino acid & derivatives,252.12226,NA,pro-his,11,16,4,3,0,0,0,1.454545455,0.272727273,0.181818182,55.11818182,6,3,-0.25,0.090909091,-1,Phenol,20.0262719,25.47071282,1.271864926,0.346945462,3.95E-04,0.008361868,Upregulated,1177
Feature0012,[Similar to: 4-[4-chloro-2-nitro-5-(1H-pyrrol-1-yl)phenyl]morpholine; ΔMass: 182.0794 Da],C17 H31 N O13 S,Aromatic amines,489.15175,NA,[Similar to: 4-[4-chloro-2-nitro-5-(1H-pyrrol-1-yl)phenyl]morpholine; ΔMass: 182.0794 Da],17,31,1,13,1,0,0,1.823529412,0.764705882,0,60.3,3,-10,-6,-0.647058824,-12,Carbohydrate,26.84449665,21.42554495,0.79813547,-0.325294454,3.33E-04,0.005197324,Downregulated,1154
Feature0012,[Similar to: 4-[4-chloro-2-nitro-5-(1H-pyrrol-1-yl)phenyl]morpholine; ΔMass: 182.0794 Da],C17 H31 N O13 S,Aromatic amines,489.15175,NA,[Similar to: 4-[4-chloro-2-nitro-5-(1H-pyrrol-1-yl)phenyl]morpholine; ΔMass: 182.0794 Da],17,31,1,13,1,0,0,1.823529412,0.764705882,0,60.3,3,-10,-6,-0.647058824,-12,Carbohydrate,26.84449665,19.71112039,0.734270441,-0.445616572,0.003215812,0.02718823,Downregulated,1177
Feature0040,3-O-(2-Acetamido-2-deoxy-beta-D-glucopyranosyl)-D-galactitol,C14 H27 N O11,Carbohydrates,385.15849,NA,3-O-(2-Acetamido-2-deoxy-beta-D-glucopyranosyl)-D-galactitol,14,27,1,11,0,0,0,1.928571429,0.785714286,-0.142857143,64.37142857,2,-9,-5,-0.6,-10,Carbohydrate,26.52644881,21.07146412,0.794356767,-0.332140989,0.003551398,0.020044274,Downregulated,1154
Feature0040,3-O-(2-Acetamido-2-deoxy-beta-D-glucopyranosyl)-D-galactitol,C14 H27 N O11,Carbohydrates,385.15849,NA,3-O-(2-Acetamido-2-deoxy-beta-D-glucopyranosyl)-D-galactitol,14,27,1,11,0,0,0,1.928571429,0.785714286,-0.142857143,64.37142857,2,-9,-5,-0.6,-10,Carbohydrate,26.52644881,20.43118914,0.770219538,-0.376658375,7.52E-05,0.007336124,Downregulated,1177
Feature0106,"4-({4-[(2,4-Dihydroxy-3,6-dimethylbenzoyl)oxy]-2-methoxy-3,5,6-trimethylbenzoyl}oxy)-2-methoxy-3,5,6-trimethylbenzoic acid",C31 H34 O10,Carbohydrates,566.21536,Biosynthesis of secondary metabolites;Other,"4-({4-[(2,4-Dihydroxy-3,6-dimethylbenzoyl)oxy]-2-methoxy-3,5,6-trimethylbenzoyl}oxy)-2-methoxy-3,5,6-trimethylbenzoic acid",31,34,0,10,0,0,0,1.096774194,0.322580645,-0.451612903,73.17096774,15,5,0.238095238,0.384615385,5,Phenol,20.51261404,25.33838723,1.235258811,0.304813346,0.004616465,0.031414484,Upregulated,1246
Feature0053,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",C18 H30 O15,Carbohydrates,486.15849,Metabolic pathways;ABC transporters;Other,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",18,30,0,15,0,0,0,1.666666667,0.833333333,0,60.3,4,-11,-3.666666667,-0.333333333,-11,Carbohydrate,26.32804276,21.32339751,0.80991199,-0.30416295,3.35E-04,0.005197324,Downregulated,1154
Feature0260,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",C12 H20 O10,Carbohydrates,324.10571,NA,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride-peak2",12,20,0,10,0,0,0,1.666666667,0.833333333,0,60.3,3,-7,-3.5,-0.285714286,-7,Carbohydrate,29.46957123,23.60963295,0.801152917,-0.319850457,0.001471674,0.012831161,Downregulated,1154
Feature0133,methyl N-acetylneuraminate,C12 H21 N O9,Carbohydrates,323.12166,NA,methyl N-acetylneuraminate-peak1,12,21,1,9,0,0,0,1.75,0.75,0,60.3,3,-6,-3.5,-0.384615385,-7,Carbohydrate,26.28436865,20.82544671,0.79231299,-0.33585764,0.005130125,0.024259404,Downregulated,1154
Feature0141,4-Phenylbutyric acid,C10 H12 O2,Carboxylic acids,164.08376,Metabolic pathways;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Degradation of aromatic compounds;Other,4-Phenylbutyric acid,10,12,0,2,0,0,0,1.2,0.2,-0.8,83.1,5,3,0.375,0.444444444,3,Phenol,20.9544646,28.11094,1.34152509,0.423874037,6.66E-04,0.00807301,Upregulated,1154
Feature0138,Adipic acid,C6 H10 O4,Carboxylic acids,146.0579,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Other,Adipic acid,6,10,0,4,0,0,0,1.666666667,0.666666667,-0.333333333,69.8,2,-2,-1,0,-2,Amino Sugar,20.74634871,27.50200776,1.32563123,0.406679496,7.42E-05,0.004138795,Upregulated,1154
Feature0138,Adipic acid,C6 H10 O4,Carboxylic acids,146.0579,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Other,Adipic acid,6,10,0,4,0,0,0,1.666666667,0.666666667,-0.333333333,69.8,2,-2,-1,0,-2,Amino Sugar,20.74634871,26.6903007,1.286505933,0.36345811,3.58E-04,0.008361868,Upregulated,1177
Feature0174,Penicillic acid,C8 H10 O4,Carboxylic acids,170.05795,Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,Penicillic acid,8,10,0,4,0,0,0,1.25,0.5,-0.25,67.425,4,0,0,0.333333333,0,Phenol,20.42629018,28.76662109,1.408313543,0.493968567,3.97E-04,0.008361868,Upregulated,1177
Feature0004,Tiglic acid,C5 H8 O2,Carboxylic acids,100.05241,NA,Tiglic acid,5,8,0,2,0,0,0,1.6,0.4,-0.8,83.1,2,0,0,0.25,0,Protein,20.60033588,25.4578329,1.235796982,0.305441755,6.29E-05,0.004138795,Upregulated,1154
Feature0182,1-(Dimethylamino)-2-propanyl acetate,C7 H15 N O2,Nitrosamines,145.1103,NA,1-(Dimethylamino)-2-propanyl acetate,7,15,1,2,0,0,0,2.142857143,0.285714286,-1.142857143,92.87142857,1,-1,-0.5,-0.2,-2,Lipid,19.76404419,26.73268116,1.352591651,0.435726353,7.23E-04,0.010612167,Upregulated,1246
Feature0276,Choline O-Sulfate,C5 H13 N O4 S,Nitrosamines,183.05656,ABC transporters,Choline O-Sulfate,5,13,1,4,1,0,0,2.6,0.8,0,60.3,0,-4,6,-4,-6,Other,23.69750326,30.5869883,1.290726199,0.368182995,6.29E-05,0.003818145,Upregulated,1246
Feature0039,"(6R)-5-Acetamido-3,5-dideoxy-6-[(1R,2R)-1,2-dihydroxy-3-(lactoyloxy)propyl]-alpha-L-threo-hex-2-ulopyranosonic acid",C14 H23 N O11,Other,381.12725,NA,"(6R)-5-Acetamido-3,5-dideoxy-6-[(1R,2R)-1,2-dihydroxy-3-(lactoyloxy)propyl]-alpha-L-threo-hex-2-ulopyranosonic acid",14,23,1,11,0,0,0,1.642857143,0.785714286,0.142857143,56.22857143,4,-7,-4,-0.333333333,-8,Carbohydrate,26.1448795,20.48488809,0.783514343,-0.351968409,0.001390775,0.016870708,Downregulated,1177
Feature0039,"(6R)-5-Acetamido-3,5-dideoxy-6-[(1R,2R)-1,2-dihydroxy-3-(lactoyloxy)propyl]-alpha-L-threo-hex-2-ulopyranosonic acid",C14 H23 N O11,Other,381.12725,NA,"(6R)-5-Acetamido-3,5-dideoxy-6-[(1R,2R)-1,2-dihydroxy-3-(lactoyloxy)propyl]-alpha-L-threo-hex-2-ulopyranosonic acid",14,23,1,11,0,0,0,1.642857143,0.785714286,0.142857143,56.22857143,4,-7,-4,-0.333333333,-8,Carbohydrate,26.1448795,20.2488752,0.774487226,-0.368686651,1.03E-04,0.00432989,Downregulated,1246
Feature0248,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],C16 H29 N O12,Other,427.16895,NA,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],16,29,1,12,0,0,0,1.8125,0.75,-0.125,63.8625,3,-9,-3.333333333,-0.444444444,-10,Carbohydrate,28.48113499,21.21777624,0.744976499,-0.424733179,0.002162446,0.016005731,Downregulated,1154
Feature0248,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],C16 H29 N O12,Other,427.16895,NA,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],16,29,1,12,0,0,0,1.8125,0.75,-0.125,63.8625,3,-9,-3.333333333,-0.444444444,-10,Carbohydrate,28.48113499,20.94363017,0.735350968,-0.443495113,7.89E-05,0.007336124,Downregulated,1177
Feature0278,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Other,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak7",11,12,0,3,0,0,0,1.090909091,0.272727273,-0.545454545,75.84545455,6,3,0.375,0.473684211,3,Phenol,20.236178,31.82045624,1.572453862,0.653017687,0.0033989,0.027890974,Upregulated,1246
Feature0271,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Other,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak6",11,12,0,3,0,0,0,1.090909091,0.272727273,-0.545454545,75.84545455,6,3,0.375,0.473684211,3,Phenol,20.00066284,30.2802668,1.513963164,0.598330104,0.004515214,0.031414484,Upregulated,1246
