Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,KEGG Pathways,MS2,Area: 2,Area: 10,Area: 14,Area: 19,Area: 23,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,Gap Fill Status: 10_HILIC_neg_MS2.raw (F2),Gap Fill Status: 14_HILIC_neg_MS2.raw (F3),Gap Fill Status: 19_HILIC_neg_MS2.raw (F4),Gap Fill Status: 23_HILIC_neg_MS2.raw (F5),Gap Fill Status: 40_HILIC_neg_MS2.raw (F6),Gap Fill Status: 41_HILIC_neg_MS2.raw (F7),Gap Fill Status: 46_HILIC_neg_MS2.raw (F8),Gap Fill Status: 47_HILIC_neg_MS2.raw (F9),Gap Fill Status: 57_HILIC_neg_MS2.raw (F10),Gap Fill Status: 59_HILIC_neg_MS2.raw (F11),Gap Fill Status: 60_HILIC_neg_MS2.raw (F12),Gap Fill Status: B_HILIC_neg_MS2.raw (F13)
?-MALTOSE,C12 H22 O11,Full match,Partial match,Partial match,Full match,0.76,342.11647,12.217,5586620348,8,,,Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Galactose metabolism;Phosphotransferase system (PTS);Taste transduction;Carbohydrate digestion and absorption;Starch and sucrose metabolism;Bacterial chemotaxis,DDA for preferred ion,272412829.3,461939819,659802280,5586620348,200484326.8,285096024.7,324961066.5,98778721.01,621891026.7,4288740088,327162627.4,4622997299,64,64,64,0,64,64,64,128,64,0,64,0,32
"[Similar to: α,α-Trehalose; ΔMass: 46.0057 Da]",C14 H20 N4 O9,Full match,Invalid mass,No results,No results,-2.84,388.12193,12.216,4614722231,4,,,,DDA for preferred ion,203824531.4,313243627.7,463243629.6,4614722231,137872752,217771157.4,259797830.1,63525320.94,445617774.3,3509332834,226441935.1,3800030336,0,0,0,64,0,0,0,128,0,64,0,64,32
"[Similar to: (1aS,1bS,2S,5aR,6S,6aS)-6-({3,4-Di-O-Acetyl-6-deoxy-2-O-[(2E)-3-phenyl-2-propenoyl]-α-L-mannopyranosyl}oxy)-1a-(hydroxymethyl)-1a,1b,2,5a,6,6a-hexahydrooxireno[4,5]cyclopenta[1,2-c]pyran-2-yl β-D-glucopyranoside; ΔMass: -156.0271 Da]",C32 H30 N4 O6,Full match,Invalid mass,No results,No match,-2.54,566.21509,1.352,4205978956,46,,,Biosynthesis of secondary metabolites;Other,DDA for preferred ion,20659566.91,38603.40546,40495.72395,1130020534,46027.10459,3267378.456,49117.84984,40395.76813,40643.05624,4205978956,40853.25407,3732686587,128,32,32,0,32,128,32,32,32,0,32,0,32
D-(+)-Maltose,C12 H22 O11,Full match,Full match,Partial match,Full match,0.4,342.11635,11.971,3898012088,43,97.4,100,Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Galactose metabolism;Phosphotransferase system (PTS);Taste transduction;Carbohydrate digestion and absorption;Starch and sucrose metabolism;Bacterial chemotaxis,DDA for preferred ion,3059344310,1013330.965,1537515.106,95846634.53,1976054.689,3266503542,3898012088,1009198.99,4254267.578,100196444.2,1242910.356,67370082.88,0,16,16,128,16,0,0,16,16,16,16,16,32
D-(+)-Maltose,C12 H22 O11,Full match,Full match,Partial match,Full match,0.42,342.11635,11.74,3725075794,62,97.2,100,Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Galactose metabolism;Phosphotransferase system (PTS);Taste transduction;Carbohydrate digestion and absorption;Starch and sucrose metabolism;Bacterial chemotaxis,DDA for preferred ion,2814305312,4230615.787,6994124.643,287514775.2,13660919.05,3435540829,3725075794,4009267.944,13168371.18,234728123.3,7124985.786,135385467.9,0,16,128,128,128,0,0,128,128,128,128,128,32
"[Similar to: (2S,3Z,4S)-2-(β-D-Glucopyranosyloxy)-3-(2-{[(2E)-3-(4-hydroxyphenyl)-2-propenoyl]oxy}ethylidene)-4-(2-methoxy-2-oxoethyl)-3,4-dihydro-2H-pyran-5-carboxylic acid; ΔMass: -13.9640 Da]",C30 H32 O10,Full match,Invalid mass,No results,No match,0.03,552.19956,1.383,3031603792,34,,,,DDA for preferred ion,7235928.49,50299.94337,52840.83506,900187871.4,67946.74377,1205786.678,56214.41924,50651.67371,58481.96634,3031603792,59581.01424,2612432422,128,32,32,0,32,128,32,32,32,0,32,0,32
L-Iditol,C6 H14 O6,Full match,Full match,Full match,Full match,-0.02,182.07904,8.989,2827807693,34,97.2,92.2,Metabolic pathways;ABC transporters;Galactose metabolism;Phosphotransferase system (PTS);Fructose and mannose metabolism;Other,DDA for preferred ion,50902132.29,709135034.9,644295882.3,47651545.29,240239707.5,42683338.33,47003856.95,1258879228,2827807693,11936668.85,1224508015,10345872.12,128,0,0,128,0,128,128,0,0,128,0,128,32
L-Iditol,C6 H14 O6,Full match,Full match,Full match,Full match,-0.01,182.07904,8.854,2683285614,40,97.4,92.8,Metabolic pathways;ABC transporters;Galactose metabolism;Phosphotransferase system (PTS);Fructose and mannose metabolism;Other,DDA for preferred ion,70987544.31,1238325399,894095309.2,31159760.82,247655610.8,31248476.64,46417489.56,1546998420,2683285614,20516595.6,2234359747,19534380.68,128,0,0,128,128,128,128,0,0,128,0,128,32
D-(+)-Glucose,C6 H12 O6,Full match,Full match,Full match,Full match,-0.21,180.06335,9.214,2222989365,85,95.7,86.4,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;ABC transporters;Galactose metabolism;Biosynthesis of plant secondary metabolites;Phosphotransferase system (PTS);Taste transduction;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of plant hormones;Carbohydrate digestion and absorption;Fructose and mannose metabolism;Central carbon metabolism in cancer;Carbon metabolism;Biosynthesis of cofactors;Starch and sucrose metabolism;Bacterial chemotaxis;Other,DDA for preferred ion,924720969.1,17575969.53,72335746.67,2222989365,46423772.73,788755478.4,1088300071,37034571.28,326231720.2,637006513.8,32055209.67,294091879.9,128,128,128,0,128,128,0,128,128,128,128,128,32
[Similar to: Quercetin-3β-D-glucoside; ΔMass: -248.0555 Da],C6 H13 Cl O6,Full match,Invalid mass,No match,No match,-0.27,216.04001,9.212,1823000037,39,,,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of terpenoids and steroids;Biosynthesis of plant hormones;Other,DDA for preferred ion,1557700295,31262802.62,73216662.97,1154398735,42564702.44,1539723852,1823000037,76656945.49,384660426.7,1034271632,55397429.28,538577881.6,128,128,128,0,128,128,128,128,128,128,128,128,32
2-Hydroxycinnamic acid,C9 H8 O3,No match,Invalid mass,No match,No match,109788.78,182.0579,1.358,1757881593,41,99.8,10,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,DDA for preferred ion,6970484.977,2114759.455,1402173.776,460440942.7,4853960.918,963052.6998,3566511.325,216528.509,687004.7085,1757881593,877110.0405,1745152567,128,128,128,0,128,128,128,128,128,0,128,0,32
Methyl 3-(4-hydroxy-3-methoxyphenyl)propanoate,C11 H14 O4,Full match,Invalid mass,Partial match,Full match,-1,210.089,1.352,1560799928,12,,,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of phenylpropanoids;Other,DDA for preferred ion,6684067.698,48450.60553,50825.62857,480700293.3,137171.1277,1078449.176,75122.30345,50700.17538,73841.77838,1369561183,51274.35972,1560799928,128,32,32,0,16,128,32,32,16,0,32,0,32
,C27 H37 N O5,Full match,No results,No results,No match,0.16,455.26725,1.47,1542818261,0,,,,DDA for preferred ion,32132.90356,3396576.475,776229368.1,90554.77938,2052878.334,38225.5306,38455.38379,464684.3474,1542818261,69972.92563,3406981.432,69408.47646,32,128,0,32,128,32,32,128,0,32,128,32,32
