Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),mzCloud Best Match,mzCloud Best Match Confidence,mzCloud Best Sim. Match,mzCloud Library Match: Autoprocessed,mzCloud Library Match: Reference,MS2,Area: 2,Area: 10,Area: 14,Area: 19,Area: 23,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,Group Area: CTRL1,Group Area: F1154_1,Group Area: F1177_1,Group Area: F1246_1,Group Area: F1177_2,Group Area: CTRL2,Group Area: CTRL3,Group Area: F1154_2,Group Area: F1177_3,Group Area: F1246_2,Group Area: F1154_3,Group Area: F1246_3,Gap Fill Status: 2plus_RP_pos_MS2.raw (F14),Gap Fill Status: 10plus_RP_pos_MS2.raw (F15),Gap Fill Status: 14plus_RP_pos_MS2.raw (F16),Gap Fill Status: 19plus_RP_pos_MS2.raw (F17),Gap Fill Status: 23plus_RP_pos_MS2.raw (F18),Gap Fill Status: 40plus_RP_pos_MS2.raw (F19),Gap Fill Status: 41plus_RP_pos_MS2.raw (F20),Gap Fill Status: 46plus_RP_pos_MS2.raw (F21),Gap Fill Status: 47plus_RP_pos_MS2.raw (F22),Gap Fill Status: 57plus_RP_pos_MS2.raw (F23),Gap Fill Status: 59plus_RP_pos_MS2.raw (F24),Gap Fill Status: 60plus_RP_pos_MS2.raw (F25),Gap Fill Status: Bplus_RP_pos_MS2.raw (F26)
α-Lactose,C12 H22 O11,No match,Invalid mass,No results,No results,49768.54,359.14284,1.3,5591208591,78.8,49.3,96,Multiple matches found,Multiple matches found,DDA for preferred ion,5591208591,533802061.5,798046321.7,3370710677,8958196.882,5259667714,1092900591,77710202.48,757594983.4,3155308393,313467872.4,2881807793,74188.4781,5591208591,533802061.5,798046321.7,3370710677,8958196.882,5259667714,1092900591,77710202.48,757594983.4,3155308393,313467872.4,2881807793,0,0,0,0,128,0,0,0,0,0,0,0,16
,C30 H35 N2 O7 P,Invalid mass,No results,No results,No results,-5.01,566.21535,19.621,4292997204,,,,No matches found,No matches found,DDA for preferred ion,1009924.781,1309396.934,2896980.25,4189359410,1052967.931,9339108.56,1143722.637,1297994.99,1096385.904,3851906302,1297645.954,4292997204,1788535.576,1009924.781,1309396.934,2896980.25,4189359410,1052967.931,9339108.56,1143722.637,1297994.99,1096385.904,3851906302,1297645.954,4292997204,32,16,128,0,32,128,16,16,32,0,128,0,32
"3,4-Dihydroxyphenylpropionic acid",C9 H10 O4,No match,Invalid mass,No match,No match,-98927.48,164.04738,19.618,3929117045,79.3,9,,Multiple matches found,Multiple matches found,DDA for preferred ion,604717.071,1248378.513,3863775.906,3929117045,869830.3494,10153702.25,995846.8351,559097.436,720198.9377,3699128294,1601113.009,3886994746,998852.2991,604717.071,1248378.513,3863775.906,3929117045,869830.3494,10153702.25,995846.8351,559097.436,720198.9377,3699128294,1601113.009,3886994746,16,128,128,0,128,128,16,32,16,0,128,0,16
"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,No results,Full match,No results,No results,0.06,195.08956,7.345,3692159567,68.1,67.4,77.9,Multiple matches found,Multiple matches found,DDA for preferred ion,2257925.798,2325583.605,110975740,1415762.65,820725.073,2896258.067,2154249.787,1357274.709,3692159567,2269695.912,2151323.734,1634907.96,487806.7065,2257925.798,2325583.605,110975740,1415762.65,820725.073,2896258.067,2154249.787,1357274.709,3692159567,2269695.912,2151323.734,1634907.96,16,16,16,16,16,16,16,16,0,16,16,16,16
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Full match,Full match,No results,Full match,0.09,192.07866,19.617,2921797054,73.4,52.7,99.3,Multiple matches found,Multiple matches found,DDA for preferred ion,817106.9296,751110.9385,2206629.964,2921797054,259358.3891,7378643.782,872850.1032,286793.2395,909997.4955,2675385293,1738263.012,2874776777,465876.0683,817106.9296,751110.9385,2206629.964,2921797054,259358.3891,7378643.782,872850.1032,286793.2395,909997.4955,2675385293,1738263.012,2874776777,16,128,128,0,32,128,128,16,16,0,128,0,32
D-(+)-Glucose,C6 H12 O6,No match,Invalid mass,No results,No results,94558.96,197.08999,1.165,2835940301,95.5,86.3,96.6,Multiple matches found,Multiple matches found,DDA for preferred ion,2835940301,127119788.5,254788935.9,2500866903,15101719.81,2013895614,2152735047,140794878.1,442979187.5,2051109247,177913347.9,1585909977,398007.4585,2835940301,127119788.5,254788935.9,2500866903,15101719.81,2013895614,2152735047,140794878.1,442979187.5,2051109247,177913347.9,1585909977,0,0,0,0,128,0,0,0,0,0,0,0,16
"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,Full match,Full match,No results,Partial match,0.06,195.08956,7.389,2638831468,67.8,67.3,75.1,Multiple matches found,Multiple matches found,DDA for preferred ion,1380037.349,1273825.138,2638831468,2444881.928,715653.4896,3381999.28,2067009.134,1232666.528,351439254.5,2118231.585,2005258.7,1519800.113,408542.5427,1380037.349,1273825.138,2638831468,2444881.928,715653.4896,3381999.28,2067009.134,1232666.528,351439254.5,2118231.585,2005258.7,1519800.113,16,16,0,16,16,16,16,16,16,16,16,16,16
[Similar to: NP-022075; ΔMass: 142.0631 Da],C32 H24 N8 O2,Full match,Invalid mass,No results,No results,-4.64,552.19966,19.378,2535278944,,,92,Multiple matches found,Multiple matches found,DDA for preferred ion,1694897.338,1864041.323,2037584.614,2163291799,1838546.359,1988717.429,1964853.909,1929945.826,1846741.152,2301129793,3623174.178,2535278944,3348103.957,1694897.338,1864041.323,2037584.614,2163291799,1838546.359,1988717.429,1964853.909,1929945.826,1846741.152,2301129793,3623174.178,2535278944,32,32,16,0,32,32,32,32,32,0,32,0,32
"N,N-dimethyl-5-nitro-6-[3-(trifluoromethyl)phenoxy]pyrimidin-4-amine",C13 H11 F3 N4 O3,No match,Full match,No results,No match,-3.72,328.0771,6.042,2294596830,75.9,8.8,91.8,Multiple matches found,Multiple matches found,DDA for preferred ion,2294596830,1356245.279,5696390.139,202706755,308832.9393,210565399.1,406326822.4,5445597.877,2080109.681,58631312.09,5714927.434,31839577.73,336671.5978,2294596830,1356245.279,5696390.139,202706755,308832.9393,210565399.1,406326822.4,5445597.877,2080109.681,58631312.09,5714927.434,31839577.73,0,32,16,16,16,16,16,16,32,16,16,16,32
Choline O-Sulfate,C5 H13 N O4 S,Full match,Invalid mass,No results,Full match,0.15,183.05656,1.175,2281488183,,,79.5,Multiple matches found,Multiple matches found,DDA for preferred ion,18455380.89,173889126.6,358388843.4,2281488183,27346608.57,18362239.37,17267620.54,388426123.5,1013034308,1617001965,273773566.5,1510370737,75654.80713,18455380.89,173889126.6,358388843.4,2281488183,27346608.57,18362239.37,17267620.54,388426123.5,1013034308,1617001965,273773566.5,1510370737,128,0,0,0,128,128,128,0,0,0,0,0,32
