FeatureID,Name,Formula,MW,KEGG Pathways,Metabolika Pathways,name4plot,C,H,N,O,S,P,F,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0342,NA,C8 H16 N2 O9,284.08565,NA,NA,Feature0342,8,16,2,9,0,0,0,0,2,1.125,1,31.799999999999997,2,-7,3,-3,-9,Carbohydrate,2376674.2324166126,2890503.6529781,1.2161968239286305,0.28237672707702266,0.7875157251442149,0.999161322630535,Upregulated
Feature0341,3-Deoxytetronic acid,C4 H8 O4,120.04228,NA,NA,3-Deoxytetronic acid,4,8,0,4,0,0,0,0,2,1,0,60.3,1,-3,-Inf,-0.5,-3,Carbohydrate,1801418.6861192132,2080918.9105345535,1.1551556151654372,0.20808721536845937,0.7490163111284114,0.999161322630535,Upregulated
Feature0340,6-Deoxy-D-arabino-hexos-2-ulose,C6 H10 O5,162.05281,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Fructose and mannose metabolism;Other,Superpathway of butirocin biosynthesis;Other,6-Deoxy-D-arabino-hexos-2-ulose,6,10,0,5,0,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,2,-3,-3,-0.14285714285714285,-3,Carbohydrate,2273796.061721057,536673.4169339944,0.23602530850008657,-2.0829865298344807,0.25257154036393875,0.999161322630535,Downregulated
Feature0339,Oleic acid,C18 H34 O2,282.2559,Biosynthesis of plant secondary metabolites;Other,Other,Oleic acid,18,34,0,2,0,0,0,0,1.8888888888888888,0.1111111111111111,-1.666666666666667,107.8,2,0,0,0.0588235294117647,0,Lipid,1105967.7087129063,1278478.46985205,1.1559817341682668,0.20911860178923694,0.4782330282632032,0.999161322630535,Upregulated
Feature0338,DL-TYROSINE,C9 H11 N O3,181.07387,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Central carbon metabolism in cancer;Other,Superpathway of chorismate metabolism;Superpathway of betalain biosynthesis;Other,DL-TYROSINE,9,11,1,3,0,0,0,0,1.2222222222222223,0.3333333333333333,-0.22222222222222232,66.63333333333333,5,2,0.2,0.38461538461538464,1,Lignin,4351198.0235445,5311674.844625357,1.2207384761354643,0.2877541588881843,0.3636809201995316,0.999161322630535,Upregulated
Feature0337,Mevalonic acid,C6 H12 O4,148.07361,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant hormones;Biosynthesis of terpenoids and steroids;Other,Superpathway of branched chain amino acid biosynthesis;Methanobacterium thermoautotrophicum biosynthetic metabolism;Superpathway of L-threonine metabolism;Superpathway of coenzyme A biosynthesis II (plants);Superpathway of L-isoleucine biosynthesis I;Other,Mevalonic acid-peak2,6,12,0,4,0,0,0,0,2,0.6666666666666666,-0.666666666666667,79.30000000000001,1,-3,-1.5,-0.25,-3,Amino Sugar,1844531.7005040515,276496.11337273836,0.14990043993127405,-2.737923477540642,0.4388477927700594,0.999161322630535,Downregulated
Feature0336,MFCD01318772,C8 H13 N3 O2,183.10073,NA,NA,MFCD01318772,8,13,3,2,0,0,0,0,1.625,0.25,0,60.3,4,2,-0.3333333333333333,0,-1,Lipid,5362443.899385546,4844356.107426116,0.9033858811989073,-0.1465857284702365,0.2591442419708495,0.999161322630535,Downregulated
Feature0335,Leu-arg,C12 H25 N5 O3,287.19584,NA,NA,Leu-arg,12,25,5,3,0,0,0,0,2.0833333333333335,0.25,-0.33333333333333304,69.79999999999998,3,0,-1.25,-0.6363636363636364,-5,Lipid,654940.1643358817,606455.1103602767,0.925970254054018,-0.11096224591377198,0.6114093679774292,0.999161322630535,Downregulated
Feature0334,Ser-Leu,C9 H18 N2 O4,218.12657,Other,NA,Ser-Leu,9,18,2,4,0,0,0,0,2,0.4444444444444444,-0.44444444444444464,72.96666666666667,2,-2,-1.3333333333333333,-0.4,-4,Protein,1010626.0780687347,1839258.1194947965,1.8199195126743057,0.8638746475485244,0.1703286749040902,0.999161322630535,Upregulated
Feature0333,beta-D-Ethyl glucuronide,C8 H14 O7,222.07387,NA,NA,beta-D-Ethyl glucuronide-peak5,8,14,0,7,0,0,0,0,1.75,0.875,0,60.3,2,-5,-5,-0.3333333333333333,-5,Carbohydrate,70979.56610889004,98584.43883288857,1.3889129539288785,0.4739561854458259,0.2117616121572403,0.999161322630535,Upregulated
