FeatureID,Name,Formula,MW,KEGG Pathways,Metabolika Pathways,name4plot,C,H,N,O,S,P,F,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0342,NA,C8 H16 N2 O9,284.08565,NA,NA,Feature0342,8,16,2,9,0,0,0,0,2,1.125,1,31.799999999999997,2,-7,3,-3,-9,Carbohydrate,2376674.2324166126,2746893.6832675133,1.1557720640890947,0.20885690438486648,0.8181746803458949,0.875875171257202,Upregulated
Feature0341,3-Deoxytetronic acid,C4 H8 O4,120.04228,NA,NA,3-Deoxytetronic acid,4,8,0,4,0,0,0,0,2,1,0,60.3,1,-3,-Inf,-0.5,-3,Carbohydrate,1801418.6861192132,2347505.1077997033,1.3031424209642908,0.38199476524951714,0.5054245907369612,0.6107957951662216,Upregulated
Feature0340,6-Deoxy-D-arabino-hexos-2-ulose,C6 H10 O5,162.05281,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Fructose and mannose metabolism;Other,Superpathway of butirocin biosynthesis;Other,6-Deoxy-D-arabino-hexos-2-ulose,6,10,0,5,0,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,2,-3,-3,-0.14285714285714285,-3,Carbohydrate,2273796.061721057,807318.387303582,0.3550531205918772,-1.4938932080693401,0.3148566484125824,0.45244106620631586,Downregulated
Feature0339,Oleic acid,C18 H34 O2,282.2559,Biosynthesis of plant secondary metabolites;Other,Other,Oleic acid,18,34,0,2,0,0,0,0,1.8888888888888888,0.1111111111111111,-1.666666666666667,107.8,2,0,0,0.0588235294117647,0,Lipid,1105967.7087129063,2889407.4979233732,2.612560452859861,1.3854644205550795,0.0032764491978539375,0.15566454572065455,Upregulated
Feature0338,DL-TYROSINE,C9 H11 N O3,181.07387,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Central carbon metabolism in cancer;Other,Superpathway of chorismate metabolism;Superpathway of betalain biosynthesis;Other,DL-TYROSINE,9,11,1,3,0,0,0,0,1.2222222222222223,0.3333333333333333,-0.22222222222222232,66.63333333333333,5,2,0.2,0.38461538461538464,1,Lignin,4351198.0235445,4546161.309187977,1.0448068059850466,0.063236199899828,0.7836316492496963,0.8701364416993381,Upregulated
Feature0337,Mevalonic acid,C6 H12 O4,148.07361,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant hormones;Biosynthesis of terpenoids and steroids;Other,Superpathway of branched chain amino acid biosynthesis;Methanobacterium thermoautotrophicum biosynthetic metabolism;Superpathway of L-threonine metabolism;Superpathway of coenzyme A biosynthesis II (plants);Superpathway of L-isoleucine biosynthesis I;Other,Mevalonic acid-peak2,6,12,0,4,0,0,0,0,2,0.6666666666666666,-0.666666666666667,79.30000000000001,1,-3,-1.5,-0.25,-3,Amino Sugar,1844531.7005040515,147842.873228512,0.08015198285185951,-3.6411179786255947,0.40838058836656543,0.5340653755448862,Downregulated
Feature0336,MFCD01318772,C8 H13 N3 O2,183.10073,NA,NA,MFCD01318772,8,13,3,2,0,0,0,0,1.625,0.25,0,60.3,4,2,-0.3333333333333333,0,-1,Lipid,5362443.899385546,2612060.7048085467,0.4871026632293251,-1.0377022237655884,0.006040728450707661,0.15566454572065455,Downregulated
Feature0335,Leu-arg,C12 H25 N5 O3,287.19584,NA,NA,Leu-arg,12,25,5,3,0,0,0,0,2.0833333333333335,0.25,-0.33333333333333304,69.79999999999998,3,0,-1.25,-0.6363636363636364,-5,Lipid,654940.1643358817,940054.4389172423,1.4353287370464909,0.521381198915771,0.16043235427015018,0.33253251612358403,Upregulated
Feature0334,Ser-Leu,C9 H18 N2 O4,218.12657,Other,NA,Ser-Leu,9,18,2,4,0,0,0,0,2,0.4444444444444444,-0.44444444444444464,72.96666666666667,2,-2,-1.3333333333333333,-0.4,-4,Protein,1010626.0780687347,4707655.50660075,4.65815756070424,2.2197594390769506,0.0019236078555081976,0.15434581914546944,Upregulated
Feature0333,beta-D-Ethyl glucuronide,C8 H14 O7,222.07387,NA,NA,beta-D-Ethyl glucuronide-peak5,8,14,0,7,0,0,0,0,1.75,0.875,0,60.3,2,-5,-5,-0.3333333333333333,-5,Carbohydrate,70979.56610889004,126662.24124491068,1.7844888069701303,0.8355108522531003,0.029573383834477135,0.17078205932289886,Upregulated
