FeatureID,Name,Formula,MW,KEGG Pathways,Metabolika Pathways,name4plot,C,H,N,O,S,P,F,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0342,NA,C8 H16 N2 O9,284.08565,NA,NA,Feature0342,8,16,2,9,0,0,0,0,2,1.125,1,31.799999999999997,2,-7,3,-3,-9,Carbohydrate,2376674.2324166126,3624057.292081847,1.5248439363929527,0.6086615943388597,0.47277164638903557,0.6078492596430458,Upregulated
Feature0341,3-Deoxytetronic acid,C4 H8 O4,120.04228,NA,NA,3-Deoxytetronic acid,4,8,0,4,0,0,0,0,2,1,0,60.3,1,-3,-Inf,-0.5,-3,Carbohydrate,1801418.6861192132,3075628.674909123,1.7073369442697044,0.7717478034487937,0.18066348360202208,0.3462599380783044,Upregulated
Feature0340,6-Deoxy-D-arabino-hexos-2-ulose,C6 H10 O5,162.05281,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Fructose and mannose metabolism;Other,Superpathway of butirocin biosynthesis;Other,6-Deoxy-D-arabino-hexos-2-ulose,6,10,0,5,0,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,2,-3,-3,-0.14285714285714285,-3,Carbohydrate,2273796.061721057,720571.305698264,0.31690234574197346,-1.657889756158736,0.2931595996110962,0.4397393994166443,Downregulated
Feature0339,Oleic acid,C18 H34 O2,282.2559,Biosynthesis of plant secondary metabolites;Other,Other,Oleic acid,18,34,0,2,0,0,0,0,1.8888888888888888,0.1111111111111111,-1.666666666666667,107.8,2,0,0,0.0588235294117647,0,Lipid,1105967.7087129063,1466367.4751009666,1.3258682541531734,0.40693742814828604,0.6063925723653556,0.7172759172773918,Upregulated
Feature0338,DL-TYROSINE,C9 H11 N O3,181.07387,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Central carbon metabolism in cancer;Other,Superpathway of chorismate metabolism;Superpathway of betalain biosynthesis;Other,DL-TYROSINE,9,11,1,3,0,0,0,0,1.2222222222222223,0.3333333333333333,-0.22222222222222232,66.63333333333333,5,2,0.2,0.38461538461538464,1,Lignin,4351198.0235445,3000162.93595714,0.6895027345855425,-0.5363718213711993,0.03181987861153267,0.2315403933009398,Downregulated
Feature0337,Mevalonic acid,C6 H12 O4,148.07361,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant hormones;Biosynthesis of terpenoids and steroids;Other,Superpathway of branched chain amino acid biosynthesis;Methanobacterium thermoautotrophicum biosynthetic metabolism;Superpathway of L-threonine metabolism;Superpathway of coenzyme A biosynthesis II (plants);Superpathway of L-isoleucine biosynthesis I;Other,Mevalonic acid-peak2,6,12,0,4,0,0,0,0,2,0.6666666666666666,-0.666666666666667,79.30000000000001,1,-3,-1.5,-0.25,-3,Amino Sugar,1844531.7005040515,519739.7964671547,0.2817733066474956,-1.8273931482197092,0.5048784561037882,0.6256102608242593,Downregulated
Feature0336,MFCD01318772,C8 H13 N3 O2,183.10073,NA,NA,MFCD01318772,8,13,3,2,0,0,0,0,1.625,0.25,0,60.3,4,2,-0.3333333333333333,0,-1,Lipid,5362443.899385546,2157908.2755248533,0.4024113475149113,-1.3132571069092664,7.668989727023349e-4,0.13113972433209928,Downregulated
Feature0335,Leu-arg,C12 H25 N5 O3,287.19584,NA,NA,Leu-arg,12,25,5,3,0,0,0,0,2.0833333333333335,0.25,-0.33333333333333304,69.79999999999998,3,0,-1.25,-0.6363636363636364,-5,Lipid,654940.1643358817,754910.6653604064,1.1526406631755377,0.20494282152896615,0.306950774314749,0.4544466009335245,Upregulated
Feature0334,Ser-Leu,C9 H18 N2 O4,218.12657,Other,NA,Ser-Leu,9,18,2,4,0,0,0,0,2,0.4444444444444444,-0.44444444444444464,72.96666666666667,2,-2,-1.3333333333333333,-0.4,-4,Protein,1010626.0780687347,4489106.099804697,4.441906059245172,2.15117888201271,0.002640113081263813,0.1590879919784982,Upregulated
Feature0333,beta-D-Ethyl glucuronide,C8 H14 O7,222.07387,NA,NA,beta-D-Ethyl glucuronide-peak5,8,14,0,7,0,0,0,0,1.75,0.875,0,60.3,2,-5,-5,-0.3333333333333333,-5,Carbohydrate,70979.56610889004,157665.1740255751,2.2212755398321304,1.1513883642009803,0.09861382477147769,0.28085732573866523,Upregulated
