FeatureID,Name,Formula,MW,KEGG Pathways,Metabolika Pathways,name4plot,C,H,N,O,S,P,F,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0342,NA,C8 H16 N2 O9,284.08565,NA,NA,Feature0342,8,16,2,9,0,0,0,0,2,1.125,1,31.799999999999997,2,-7,3,-3,-9,Carbohydrate,2376674.2324166126,7611291.762914783,3.2024968584674682,1.679197155336437,0.11271390973440729,0.8033925546539246,Upregulated
Feature0341,3-Deoxytetronic acid,C4 H8 O4,120.04228,NA,NA,3-Deoxytetronic acid,4,8,0,4,0,0,0,0,2,1,0,60.3,1,-3,-Inf,-0.5,-3,Carbohydrate,1801418.6861192132,4504506.12008915,2.5005325829017484,1.3222354040394904,0.07348027725275681,0.8033925546539246,Upregulated
Feature0340,6-Deoxy-D-arabino-hexos-2-ulose,C6 H10 O5,162.05281,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Fructose and mannose metabolism;Other,Superpathway of butirocin biosynthesis;Other,6-Deoxy-D-arabino-hexos-2-ulose,6,10,0,5,0,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,2,-3,-3,-0.14285714285714285,-3,Carbohydrate,2273796.061721057,1539467.029689647,0.6770471000483703,-0.5626718938159156,0.5921632185093538,0.9006456949859296,Downregulated
Feature0339,Oleic acid,C18 H34 O2,282.2559,Biosynthesis of plant secondary metabolites;Other,Other,Oleic acid,18,34,0,2,0,0,0,0,1.8888888888888888,0.1111111111111111,-1.666666666666667,107.8,2,0,0,0.0588235294117647,0,Lipid,1105967.7087129063,1300048.3713341446,1.1754849269940293,0.2332560397222101,0.7802273839718029,0.9006456949859296,Upregulated
Feature0338,DL-TYROSINE,C9 H11 N O3,181.07387,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Central carbon metabolism in cancer;Other,Superpathway of chorismate metabolism;Superpathway of betalain biosynthesis;Other,DL-TYROSINE,9,11,1,3,0,0,0,0,1.2222222222222223,0.3333333333333333,-0.22222222222222232,66.63333333333333,5,2,0.2,0.38461538461538464,1,Lignin,4351198.0235445,4259908.512296563,0.9790196836011679,-0.03059022877818912,0.8414074922456443,0.9154723438053479,Downregulated
Feature0337,Mevalonic acid,C6 H12 O4,148.07361,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant hormones;Biosynthesis of terpenoids and steroids;Other,Superpathway of branched chain amino acid biosynthesis;Methanobacterium thermoautotrophicum biosynthetic metabolism;Superpathway of L-threonine metabolism;Superpathway of coenzyme A biosynthesis II (plants);Superpathway of L-isoleucine biosynthesis I;Other,Mevalonic acid-peak2,6,12,0,4,0,0,0,0,2,0.6666666666666666,-0.666666666666667,79.30000000000001,1,-3,-1.5,-0.25,-3,Amino Sugar,1844531.7005040515,215647.01676856668,0.11691152649186634,-3.096510920425173,0.42407378967314413,0.8803647474626204,Downregulated
Feature0336,MFCD01318772,C8 H13 N3 O2,183.10073,NA,NA,MFCD01318772,8,13,3,2,0,0,0,0,1.625,0.25,0,60.3,4,2,-0.3333333333333333,0,-1,Lipid,5362443.899385546,5455202.169197713,1.0172977604153202,0.024742014102310354,0.8746664299271769,0.9376546544235096,Upregulated
Feature0335,Leu-arg,C12 H25 N5 O3,287.19584,NA,NA,Leu-arg,12,25,5,3,0,0,0,0,2.0833333333333335,0.25,-0.33333333333333304,69.79999999999998,3,0,-1.25,-0.6363636363636364,-5,Lipid,654940.1643358817,529088.9661129611,0.8078432121344467,-0.30785277595123467,0.2797030060132747,0.8033925546539246,Downregulated
Feature0334,Ser-Leu,C9 H18 N2 O4,218.12657,Other,NA,Ser-Leu,9,18,2,4,0,0,0,0,2,0.4444444444444444,-0.44444444444444464,72.96666666666667,2,-2,-1.3333333333333333,-0.4,-4,Protein,1010626.0780687347,1806931.30934603,1.7879325979782772,0.8382923503940695,0.24690096166706232,0.8033925546539246,Upregulated
Feature0333,beta-D-Ethyl glucuronide,C8 H14 O7,222.07387,NA,NA,beta-D-Ethyl glucuronide-peak5,8,14,0,7,0,0,0,0,1.75,0.875,0,60.3,2,-5,-5,-0.3333333333333333,-5,Carbohydrate,70979.56610889004,113830.57422522816,1.603709073828378,0.6814124486426413,0.20054652462358102,0.8033925546539246,Upregulated
Feature0332,NA,C8 H11 N O5,201.06375,NA,NA,Feature0332,8,11,1,5,0,0,0,0,1.375,0.625,0.25,53.175,4,-1,-1,0.1111111111111111,-2,Lignin,3319624.009788627,3161100.2668411266,0.9522464765647981,-0.07059305024723425,0.9214018183533157,0.947196658956064,Downregulated
Feature0331,NA,C9 H13 N O4 S,231.05648,NA,NA,Feature0331,9,13,1,4,1,0,0,0,1.4444444444444444,0.4444444444444444,0,60.3,4,0,-0.6666666666666666,0,-2,Lignin,790819.409824469,581259.9029904753,0.735009656780544,-0.44416489024736533,0.7589912579311845,0.9006456949859296,Downregulated
Feature0330,"8-Azabicyclo[3.2.1]octane-1,2,3,4-tetrol",C7 H13 N O4,175.08438,NA,NA,"8-Azabicyclo[3.2.1]octane-1,2,3,4-tetrol",7,13,1,4,0,0,0,0,1.8571428571428572,0.5714285714285714,-0.2857142857142856,68.44285714285714,2,-2,-1.5,-0.25,-3,Amino Sugar,387654.463108267,320025.68985842296,0.8255436743650848,-0.27658355373648325,0.6829299499196019,0.9006456949859296,Downregulated
Feature0329,NA,C21 H36 N2 O6 S4,540.14577,NA,NA,Feature0329,21,36,2,6,4,0,0,0,1.7142857142857142,0.2857142857142857,-0.4761904761904763,73.87142857142857,5,-1,-0.7777777777777778,-0.3333333333333333,-7,Lipid,119326.64182731233,193273.04369826266,1.6196973344642047,0.6957242483797846,0.3211194109007657,0.8247223872174839,Upregulated
Feature0328,3-methoxyanthranilic acid,C8 H9 N O3,167.05821,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Other,Other,3-methoxyanthranilic acid,8,9,1,3,0,0,0,0,1.125,0.375,0,60.3,5,2,0.25,0.4545454545454546,1,Lignin,1300068.1402222952,1661616.2224025866,1.2780993326384193,0.35399996549920537,0.3044090675818208,0.8247223872174839,Upregulated
Feature0327,cis-trihomoaconitic acid,C9 H12 O6,216.0633,Metabolic pathways;Microbial metabolism in diverse environments;2-Oxocarboxylic acid metabolism;Other,NA,cis-trihomoaconitic acid-peak2,9,12,0,6,0,0,0,0,1.3333333333333333,0.6666666666666666,0,60.3,4,-2,-0.6666666666666666,0.16666666666666666,-2,Tannin,417511.89928004233,463501.24006635667,1.1101509702253238,0.15075588304841242,0.7417037566705935,0.9006456949859296,Upregulated
Feature0326,asp-leu,C10 H18 N2 O5,246.12159,Metabolic pathways;Other,NA,asp-leu-peak2,10,18,2,5,0,0,0,0,1.8,0.5,-0.20000000000000015,66,3,-2,-1.3333333333333333,-0.2727272727272727,-4,Protein,466002.8799981958,147697.30042951033,0.3169450378291271,-1.6576954139113393,0.47904347829940863,0.8893875064229122,Downregulated
Feature0325,"6-(1-Hydroxyethyl)-3-(hydroxymethyl)-2,7-dioxabicyclo[4.1.0]hept-3-en-5-one",C8 H10 O5,186.05284,NA,NA,"6-(1-Hydroxyethyl)-3-(hydroxymethyl)-2,7-dioxabicyclo[4.1.0]hept-3-en-5-one-peak3",8,10,0,5,0,0,0,0,1.25,0.625,0,60.3,4,-1,-0.3333333333333333,0.2727272727272727,-1,Lignin,2484753.1143332995,5279405.144311663,2.124720204135136,1.0872728710462345,0.13448226672538446,0.8033925546539246,Upregulated
Feature0324,NA,C13 H11 N7 O4 S,361.05925,NA,NA,Feature0324,13,11,7,4,1,0,0,0,0.8461538461538461,0.3076923076923077,1.5384615384615383,16.453846153846158,12,8,0,0.6666666666666666,0,Lignin,115480.54733430364,61472.26131852073,0.5323170242739256,-0.9096423883969912,0.18555068474304848,0.8033925546539246,Downregulated
Feature0323,4-Undecylbenzenesulfonic acid,C17 H28 O3 S,312.17604,NA,NA,4-Undecylbenzenesulfonic acid-peak2,17,28,0,3,1,0,0,0,1.6470588235294117,0.17647058823529413,-1.1764705882352944,93.8294117647059,4,1,0,0.10344827586206896,0,Lipid,3768488.64467401,3498960.216573813,0.9284783759449241,-0.10705978438235142,0.8310318984742946,0.9147573807543447,Downregulated
Feature0322,Genipin,C11 H14 O5,226.0841,NA,NA,Genipin,11,14,0,5,0,0,0,0,1.2727272727272727,0.4545454545454546,-0.3636363636363633,70.66363636363636,5,0,0,0.29411764705882354,0,Lignin,94105.8015672571,105656.6786602737,1.122743517409617,0.16702839218829638,0.5764599835343023,0.9006456949859296,Upregulated
Feature0321,Ro 20-1724,C15 H22 N2 O3,278.16312,NA,NA,Ro 20-1724,15,22,2,3,0,0,0,0,1.4666666666666666,0.2,-0.666666666666667,79.30000000000001,6,3,0.1,0.21739130434782608,1,Lignin,232800.15686752534,274580.055447724,1.1794667973697865,0.2381348065009275,0.4614550847174135,0.8803647474626204,Upregulated
Feature0320,Phenyl D-glucopyranosiduronic acid,C12 H14 O7,270.074,NA,NA,Phenyl D-glucopyranosiduronic acid,12,14,0,7,0,0,0,0,1.1666666666666667,0.5833333333333334,0,60.3,6,-1,-0.2,0.29411764705882354,-1,Lignin,2356008.7261747867,2921787.2626337265,1.2401428017533438,0.3105062557084533,0.19335828043719724,0.8033925546539246,Upregulated
Feature0319,NA,C6 H12 O8 S,244.02539,NA,NA,Feature0319,6,12,0,8,1,0,0,0,2,1.3333333333333333,1,31.799999999999997,1,-7,2.6666666666666665,-4,-8,Carbohydrate,1550487.113267174,3363979.5623109033,2.169627553512749,1.117447405426767,0.27373306628555116,0.8033925546539246,Upregulated
Feature0318,NA,C7 H16 O6,196.09468,NA,NA,Feature0318,7,16,0,6,0,0,0,0,2.2857142857142856,0.8571428571428571,-0.5714285714285712,76.58571428571427,0,-6,-6,-0.75,-6,Carbohydrate,93176.9942320604,137288.0375045046,1.4734113139836233,0.5591602259002796,0.2596945361969746,0.8033925546539246,Upregulated
Feature0317,"2,2-Bis(hydroxymethyl)propionic acid",C5 H10 O4,134.05797,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Other,Superpathway of branched chain amino acid biosynthesis,"2,2-Bis(hydroxymethyl)propionic acid",5,10,0,4,0,0,0,0,2,0.8,-0.4000000000000003,71.7,1,-3,-3,-0.3333333333333333,-3,Carbohydrate,6153790.278143817,6382970.79252905,1.037242171739132,0.05275276896106863,0.736494059164766,0.9006456949859296,Upregulated
