"","FeatureID","Name","Formula","MW","KEGG Pathways","Metabolika Pathways","name4plot","C","H","N","O","S","P","F","Cl","H_to_C","O_to_C","NOSC","GFE","DBE","DBE_O","AI","AI_mod","DBE_AI","Class","control_means","treatment_means","ratio","log2FC","pval","pval.adj","Comment","Plant"
"1","Feature0338","DL-TYROSINE","C9 H11 N O3",181.07387,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Central carbon metabolism in cancer;Other","Superpathway of chorismate metabolism;Superpathway of betalain biosynthesis;Other","DL-TYROSINE",9,11,1,3,0,0,0,0,1.22222222222222,0.333333333333333,-0.222222222222222,66.6333333333333,5,2,0.2,0.384615384615385,1,"Lignin",4351198.0235445,3000162.93595714,0.689502734585542,-0.536371821371199,0.0318198786115327,0.23154039330094,"Downregulated","ERLE"
"2","Feature0336","MFCD01318772","C8 H13 N3 O2",183.10073,NA,NA,"MFCD01318772",8,13,3,2,0,0,0,0,1.625,0.25,0,60.3,4,2,-0.333333333333333,0,-1,"Lipid",5362443.89938555,2157908.27552485,0.402411347514911,-1.31325710690927,0.000766898972702335,0.131139724332099,"Downregulated","ERLE"
"3","Feature0334","Ser-Leu","C9 H18 N2 O4",218.12657,"Other",NA,"Ser-Leu",9,18,2,4,0,0,0,0,2,0.444444444444444,-0.444444444444445,72.9666666666667,2,-2,-1.33333333333333,-0.4,-4,"Protein",1010626.07806873,4489106.0998047,4.44190605924517,2.15117888201271,0.00264011308126381,0.159087991978498,"Upregulated","ERLE"
"4","Feature0322","Genipin","C11 H14 O5",226.0841,NA,NA,"Genipin",11,14,0,5,0,0,0,0,1.27272727272727,0.454545454545455,-0.363636363636363,70.6636363636364,5,0,0,0.294117647058824,0,"Lignin",94105.8015672571,279671.418242193,2.97188285508958,1.57137724921696,0.0293451929570743,0.231391239995181,"Upregulated","ERLE"
"5","Feature0321","Ro 20-1724","C15 H22 N2 O3",278.16312,NA,NA,"Ro 20-1724",15,22,2,3,0,0,0,0,1.46666666666667,0.2,-0.666666666666667,79.3,6,3,0.1,0.217391304347826,1,"Lignin",232800.156867525,1292761.31034726,5.55309467030517,2.47329199150241,0.0402318913282543,0.249124987542071,"Upregulated","ERLE"
"6","Feature0312",NA,"C12 H9 N5 O7 S",367.02222,NA,NA,"Feature0312",12,9,5,7,1,0,0,0,0.75,0.583333333333333,1.83333333333333,8.04999999999999,11,4,2,0.6,-2,"Condensed HC",5385616.62359784,6962321.49585171,1.29276218164979,0.370456899346877,0.00953067441302751,0.205108083388393,"Upregulated","ERLE"
"7","Feature0309","(E)-Ferulic acid","C10 H10 O4",194.05792,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of phenylpropanoids;Other","Superpathway of scopolin and esculin biosynthesis;Other","(E)-Ferulic acid",10,10,0,4,0,0,0,0,1,0.4,-0.2,66,6,2,0.333333333333333,0.5,2,"Lignin",1857463.94054848,14893818.1344151,8.01836192309456,3.00330753757718,0.00387111269438129,0.163286835578155,"Upregulated","ERLE"
"8","Feature0297","Wikstromol","C20 H22 O7",374.13667,NA,NA,"Wikstromol",20,22,0,7,0,0,0,0,1.1,0.35,-0.4,71.7,10,3,0.230769230769231,0.393939393939394,3,"Lignin",64833.6384454469,125998.446404695,1.9434116212792,0.958591501069773,0.0481232194377274,0.249124987542071,"Upregulated","ERLE"
"9","Feature0295","D-Sedoheptulose 7-phosphate","C7 H15 O10 P",290.04036,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Other","Other","D-Sedoheptulose 7-phosphate",7,15,0,10,0,1,0,0,2.14285714285714,1.42857142857143,0,60.3,1,-9,2.5,-5,-10,"Carbohydrate",2187179.84901467,745328.188541334,0.340771331117149,-1.55312412726634,0.0147122996704806,0.205108083388393,"Downregulated","ERLE"
"10","Feature0285","2,3-Dihydroxypropyl beta-D-galactopyranoside","C9 H18 O8",254.10022,"Galactose metabolism;Other",NA,"2,3-Dihydroxypropyl beta-D-galactopyranoside",9,18,0,8,0,0,0,0,2,0.888888888888889,-0.222222222222222,66.6333333333333,1,-7,-7,-0.6,-7,"Carbohydrate",4722665.87058022,466791.700463199,0.0988407211636697,-3.33875065284888,0.0173922059013549,0.205108083388393,"Downregulated","ERLE"
"11","Feature0280",NA,"C17 H33 N O8 S2",443.16496,NA,NA,"Feature0280",17,33,1,8,2,0,0,0,1.94117647058824,0.470588235294118,-0.588235294117647,77.0647058823529,2,-6,-1.5,-0.5,-9,"Protein",646260.730973032,228669.876894542,0.353835326726798,-1.49885000177905,0.0415700205709393,0.249124987542071,"Downregulated","ERLE"
"12","Feature0278","Phloroacetophenone","C8 H8 O4",168.04224,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Degradation of aromatic compounds;Other","Superpathway of aromatic compound degradation via 2-oxopent-4-enoate;Superpathway of aromatic compound degradation via 3-oxoadipate;Other","Phloroacetophenone",8,8,0,4,0,0,0,0,1,0.5,0,60.3,5,1,0.25,0.5,1,"Lignin",1230788.69723121,6048482.05871899,4.9143139454609,2.29699002560644,0.000323486463806418,0.110632370621795,"Upregulated","ERLE"
