"","FeatureID","Name","Formula","MW","KEGG Pathways","Metabolika Pathways","name4plot","C","H","O","N","S","P","H_to_C","O_to_C","NOSC","GFE","DBE","DBE_O","AI","AI_mod","DBE_AI","Class","control_means","treatment_means","ratio","log2FC","pval","pval.adj","Comment","Plant"
"1","Feature1115","Choline O-Sulfate","C5 H13 N O4 S",183.05656,"ABC transporters",NA,"Choline O-Sulfate",5,13,4,1,1,0,2.6,0.8,0,60.3,0,-4,6,-4,-6,"Other",256669315.255487,622735803.669626,2.42621835434344,1.27870939569854,0.0437515485194838,0.231053725641857,"Upregulated","ERLE"
"2","Feature1111","L-Glutamic acid","C5 H9 N O4",147.05318,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of various antibiotics;Other","Superpathway of L-lysine degradation;Superpathway of chorismate metabolism;Superpathway of branched chain amino acid biosynthesis;Superpathway of aromatic amino acid biosynthesis;Anaerobic aromatic compound degradation (Thauera aromatica);Superpathway of butirocin biosynthesis;Superpathway of L-threonine metabolism;Superpathway of L-isoleucine biosynthesis I;Kanamycin biosynthesis;Superpathway of neomycin biosynthesis;Superpathway of indole-3-acetate conjugate biosynthesis;Superpathway of 4-hydroxybenzoate biosynthesis (yeast);Superpathway of purine nucleotide salvage;Other","L-Glutamic acid",5,9,4,1,0,0,1.8,0.8,0.4,48.9,2,-2,-Inf,-0.5,-3,"Carbohydrate",478260440.940529,854059814.174595,1.78576303006586,0.836540648190845,0.0263953788545658,0.204245621205675,"Upregulated","ERLE"
"3","Feature1109","Adenosine","C10 H13 N5 O4",267.09675,"Metabolic pathways;ABC transporters;Other","Superpathway of purine nucleotide salvage;Other","Adenosine",10,13,4,5,0,0,1.3,0.4,1,31.8,7,3,-2,0,-2,"Phenol",651366702.833723,818655905.647936,1.2568279927212,0.329787218550539,0.00882092513642845,0.165459082746861,"Upregulated","ERLE"
"4","Feature1107","methoxyresorcinol","C7 H8 O3",140.04735,"Microbial metabolism in diverse environments;Other",NA,"methoxyresorcinol-peak2",7,8,3,0,0,0,1.14285714285714,0.428571428571429,-0.285714285714286,68.4428571428571,4,1,0.25,0.454545454545455,1,"Phenol",6573246.25980719,4577633.60192801,0.696403789086443,-0.52200404226976,0.0449618904194054,0.231053725641857,"Downregulated","ERLE"
"5","Feature1106","Choline","C5 H13 N O",103.09967,NA,NA,"Choline",5,13,1,1,0,0,2.6,0.2,-1.6,105.9,0,-1,-0.666666666666667,-0.428571428571429,-2,"Other",712591226.904913,1100093389.26715,1.54379305797143,0.626479375502535,0.0293428462132559,0.209880723233336,"Upregulated","ERLE"
"6","Feature1104","DL-Carbidopa","C10 H14 N2 O4",226.09535,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Other","Other","DL-Carbidopa",10,14,4,2,0,0,1.4,0.4,0,60.3,5,1,-0.25,0.166666666666667,-1,"Phenol",980039953.186361,588014903.16427,0.599990746553223,-0.736987844174076,0.00313793578642969,0.130243138638824,"Downregulated","ERLE"
"7","Feature1102","Maltotriose","C18 H32 O16",504.16909,"Metabolic pathways;ABC transporters;Other",NA,"Maltotriose-peak2",18,32,16,0,0,0,1.77777777777778,0.888888888888889,0,60.3,3,-13,-6.5,-0.5,-13,"Carbohydrate",90458144.7191496,56743479.962789,0.627289893452531,-0.672795775955232,0.0120325211621236,0.173306779889617,"Downregulated","ERLE"
"8","Feature1101","L-Iditol","C6 H14 O6",182.07905,"Metabolic pathways;ABC transporters;Other","Other","L-Iditol",6,14,6,0,0,0,2.33333333333333,1,-0.333333333333333,69.8,0,-6,-Inf,-1,-6,"Carbohydrate",880747483.19535,1393433753.31775,1.5821035880368,0.661844063182643,0.0386103623155513,0.229430808387016,"Upregulated","ERLE"
"9","Feature1096",NA,"C6 H11 N O7",209.05352,NA,NA,"Feature1096",6,11,7,1,0,0,1.83333333333333,1.16666666666667,1,31.8,2,-5,3,-1.66666666666667,-6,"Carbohydrate",235405092.358823,485488195.540559,2.06235213807754,1.04429068793584,0.00134007292495431,0.130243138638824,"Upregulated","ERLE"
"10","Feature1095","3',4'-Dimethoxyacetophenone","C10 H12 O3",180.07864,"Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Biosynthesis of various plant secondary metabolites;Other",NA,"3',4'-Dimethoxyacetophenone-peak2",10,12,3,0,0,0,1.2,0.3,-0.6,77.4,5,2,0.285714285714286,0.411764705882353,2,"Phenol",432436992.589793,116013807.215701,0.268279100085573,-1.89819342708487,0.0224073087711381,0.202913517900705,"Downregulated","ERLE"
"11","Feature1086","NP-019445","C10 H10 O4",194.05792,"Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids","Superpathway of scopolin and esculin biosynthesis;Other","NP-019445",10,10,4,0,0,0,1,0.4,-0.2,66,6,2,0.333333333333333,0.5,2,"Phenol",141905378.953815,709662950.707846,5.00095877929205,2.32220471359257,0.0251670912994244,0.202913517900705,"Upregulated","ERLE"
"12","Feature1080","DL-Stachydrine","C7 H13 N O2",143.09464,"ABC transporters",NA,"DL-Stachydrine",7,13,2,1,0,0,1.85714285714286,0.285714285714286,-0.857142857142857,84.7285714285714,2,0,-0.25,0,-1,"Lipid",89174746.4239377,461001839.931995,5.16964564990616,2.3700653953094,0.00302076738267726,0.130243138638824,"Upregulated","ERLE"
"13","Feature1074","4-[(1E,3Z)-5-Hydroxy-3-methyl-1,3-pentadien-1-yl]-3,4a,8,8-tetramethyldecahydro-1,2,3-naphthalenetriol","C20 H34 O4",338.24575,"Metabolic pathways;Biosynthesis of secondary metabolites;Other",NA,"4-[(1E,3Z)-5-Hydroxy-3-methyl-1,3-pentadien-1-yl]-3,4a,8,8-tetramethyldecahydro-1,2,3-naphthalenetriol",20,34,4,0,0,0,1.7,0.2,-1.3,97.35,4,0,0,0.111111111111111,0,"Lipid",3094796.83624348,6223744.73216122,2.0110349924345,1.00793818506072,0.0398257179557366,0.229430808387016,"Upregulated","ERLE"
"14","Feature1070","L-Glutamine","C5 H10 N2 O3",146.06916,"Metabolic pathways;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Other","Superpathway of chorismate metabolism;Superpathway of aromatic amino acid biosynthesis;Superpathway of butirocin biosynthesis;Superpathway of jasmonoyl-amino acid conjugates biosynthesis;Kanamycin biosynthesis;Superpathway of neomycin biosynthesis;Superpathway of indole-3-acetate conjugate biosynthesis;Superpathway of purine nucleotide salvage;Other","L-Glutamine",5,10,3,2,0,0,2,0.6,0.4,48.9,2,-1,-Inf,-1,-3,"Amino Sugar",163089668.549052,323972087.615915,1.9864660373534,0.990204127853056,0.0136765620326288,0.178431425588482,"Upregulated","ERLE"
"15","Feature1069","8-{3-Oxo-2-[(2E)-2-penten-1-yl]-1-cyclopenten-1-yl}octanoic acid","C18 H28 O3",292.20378,"Metabolic pathways;Biosynthesis of secondary metabolites;Other","Superpathway of lipoxygenase","8-{3-Oxo-2-[(2E)-2-penten-1-yl]-1-cyclopenten-1-yl}octanoic acid-peak2",18,28,3,0,0,0,1.55555555555556,0.166666666666667,-1.22222222222222,95.1333333333333,5,2,0.133333333333333,0.212121212121212,2,"Lipid",8907881.79971883,53916987.3218603,6.05272819443588,2.59758556642166,0.0370341453858938,0.227967607810908,"Upregulated","ERLE"
"16","Feature1063","L-Pyroglutamic acid","C5 H7 N O3",129.0426,"Metabolic pathways;Biosynthesis of secondary metabolites;Other","Superpathway of butirocin biosynthesis;Other","L-Pyroglutamic acid",5,7,3,1,0,0,1.4,0.6,0.4,48.9,3,0,-1,0.2,-1,"Phenol",155328205.197474,301930606.892173,1.9438234447396,0.95889718655376,0.0129337094235982,0.174838818955146,"Upregulated","ERLE"
"17","Feature1055","8-hydroxy-deoxyguanosine","C10 H13 N5 O5",283.09171,"Metabolic pathways;ABC transporters;Other","Superpathway of purine nucleotide salvage;Other","8-hydroxy-deoxyguanosine",10,13,5,5,0,0,1.3,0.5,1.2,26.1,7,2,-Inf,-0.2,-3,"Phenol",178958060.261837,268761982.838701,1.50181546696176,0.586707555026317,0.0125114520241167,0.173306779889617,"Upregulated","ERLE"
"18","Feature1053","1-Pentofuranosyl-2,4(1H,3H)-pyrimidinedione","C9 H12 N2 O6",244.06954,"Metabolic pathways;ABC transporters;Other","Other","1-Pentofuranosyl-2,4(1H,3H)-pyrimidinedione",9,12,6,2,0,0,1.33333333333333,0.666666666666667,0.666666666666667,41.3,5,-1,-3,0,-3,"Other",55901983.8668485,81946145.6519693,1.46588975888861,0.551776610780755,0.0252832737755469,0.202913517900705,"Upregulated","ERLE"
"19","Feature1050","7,8-Dihydroxy-3,7-dimethyl-6-oxo-7,8-dihydro-6H-isochromene-5-carbaldehyde","C12 H12 O5",236.06846,NA,NA,"7,8-Dihydroxy-3,7-dimethyl-6-oxo-7,8-dihydro-6H-isochromene-5-carbaldehyde",12,12,5,0,0,0,1,0.416666666666667,-0.166666666666667,65.05,7,2,0.285714285714286,0.473684210526316,2,"Phenol",493421.142350191,875606.448194997,1.77456207900707,0.827463044677289,0.0256544271544523,0.20361207500431,"Upregulated","ERLE"
"20","Feature1031","Penicillic acid","C8 H10 O4",170.05795,"Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Tyrosine metabolism;Other",NA,"Penicillic acid-peak2",8,10,4,0,0,0,1.25,0.5,-0.25,67.425,4,0,0,0.333333333333333,0,"Phenol",8674945.55253313,51734107.061982,5.96362325834718,2.57618912071962,0.0425902713391497,0.229430808387016,"Upregulated","ERLE"
"21","Feature1026","Succinyl proline","C9 H13 N O5",215.07946,"Other",NA,"Succinyl proline-peak2",9,13,5,1,0,0,1.44444444444444,0.555555555555556,0,60.3,4,-1,-0.666666666666667,0.0909090909090909,-2,"Phenol",12445950.6629486,2477320.10398804,0.199046273850577,-2.3288242304795,0.00649217076088571,0.149375076711941,"Downregulated","ERLE"
"22","Feature1024","2-Deoxyhexopyranose","C6 H12 O5",164.0685,"Metabolic pathways;Microbial metabolism in diverse environments;ABC transporters;Other","Other","2-Deoxyhexopyranose",6,12,5,0,0,0,2,0.833333333333333,-0.333333333333333,69.8,1,-4,-4,-0.428571428571429,-4,"Carbohydrate",183384852.385092,264075398.339529,1.44000660308079,0.526075427091249,0.0243377644706152,0.202913517900705,"Upregulated","ERLE"
"23","Feature1014","1-linoleoyl-sn-glycerol","C21 H38 O4",354.27689,NA,NA,"1-linoleoyl-sn-glycerol",21,38,4,0,0,0,1.80952380952381,0.19047619047619,-1.42857142857143,101.014285714286,3,-1,-0.0588235294117647,0.0526315789473684,-1,"Lipid",129550385.279032,49798937.3988214,0.384398219206851,-1.3793264423017,0.0387406369525158,0.229430808387016,"Downregulated","ERLE"
"24","Feature1005","8-Azabicyclo[3.2.1]octane-1,2,7-triol","C7 H13 N O3",159.08956,"Metabolic pathways;Lysine degradation;Other","Superpathway of L-lysine degradation","8-Azabicyclo[3.2.1]octane-1,2,7-triol",7,13,3,1,0,0,1.85714285714286,0.428571428571429,-0.571428571428571,76.5857142857143,2,-1,-0.666666666666667,-0.111111111111111,-2,"Protein",12766958.6025463,3671630.55741954,0.287588506528661,-1.79792207524868,0.021439484072143,0.20138456856034,"Downregulated","ERLE"
"25","Feature1003",NA,"C6 H14 O4",150.08924,NA,NA,"Feature1003",6,14,4,0,0,0,2.33333333333333,0.666666666666667,-1,88.8,0,-4,-2,-0.5,-4,"Other",165880692.446351,72935102.4001937,0.439684096591182,-1.18546074378772,0.0351002700004441,0.225185000801873,"Downregulated","ERLE"
"26","Feature0995","L-Aspartic acid","C4 H7 N O4",133.03749,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of various plant secondary metabolites;Other","Superpathway of L-isoleucine biosynthesis I;Superpathway of indole-3-acetate conjugate biosynthesis;Superpathway of purine nucleotide salvage;Other","L-Aspartic acid",4,7,4,1,0,0,1.75,1,1,31.8,2,-2,3,-1,-3,"Carbohydrate",100094845.544986,149338189.679802,1.49196683272452,0.577215464014247,0.04368490432874,0.231053725641857,"Upregulated","ERLE"
"27","Feature0988","6-Methoxy-1,2,4-benzenetriol","C7 H8 O4",156.04228,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Phenylalanine, tyrosine and tryptophan biosynthesis;Other","Superpathway of chorismate metabolism;Superpathway of aromatic compound degradation via 2-oxopent-4-enoate;Superpathway of aromatic compound degradation via 3-oxoadipate;Other","6-Methoxy-1,2,4-benzenetriol",7,8,4,0,0,0,1.14285714285714,0.571428571428571,0,60.3,4,0,0,0.4,0,"Phenol",689108.398405303,2369430.12938517,3.43839972763121,1.78173727359695,0.0208897386217737,0.200327237039573,"Upregulated","ERLE"
"28","Feature0986",NA,"C18 H31 N O11",437.18971,NA,NA,"Feature0986",18,31,11,1,0,0,1.72222222222222,0.611111111111111,-0.333333333333333,69.8,4,-7,-1.33333333333333,-0.217391304347826,-8,"Amino Sugar",9865182.81111112,2367385.1065893,0.239973769560856,-2.05905137485605,0.00463180194424659,0.141159411818674,"Downregulated","ERLE"
"29","Feature0985","3-Hydroxy-5-methyl-L-tyrosine","C10 H13 N O4",211.08446,NA,NA,"3-Hydroxy-5-methyl-L-tyrosine",10,13,4,1,0,0,1.3,0.4,-0.2,66,5,1,0,0.285714285714286,0,"Phenol",56115267.6872429,43749895.9741239,0.779643362265737,-0.359113762134023,0.00349572814353148,0.130243138638824,"Downregulated","ERLE"
"30","Feature0979","5-[(5-Hydroxytetrahydro-2-furanyl)methyl]-1,3-benzenediol","C11 H14 O4",210.08921,"Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids","Other","5-[(5-Hydroxytetrahydro-2-furanyl)methyl]-1,3-benzenediol-peak3",11,14,4,0,0,0,1.27272727272727,0.363636363636364,-0.545454545454546,75.8454545454546,5,1,0.142857142857143,0.333333333333333,1,"Phenol",1036789.50384176,4729306.76364236,4.56149174554546,2.1895057063979,0.00346937453099376,0.130243138638824,"Upregulated","ERLE"
"31","Feature0975","Methylhippuric acid","C10 H11 N O3",193.07394,"Phenylalanine metabolism;Other",NA,"Methylhippuric acid-peak1",10,11,3,1,0,0,1.1,0.3,-0.2,66,6,3,0.333333333333333,0.466666666666667,2,"Phenol",1417238.70691793,1111262.19523319,0.784103757404321,-0.350883521684296,0.0301257048377256,0.209880723233336,"Downregulated","ERLE"
"32","Feature0973","Methylglutaric acid","C6 H10 O4",146.05791,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Biosynthesis of cofactors;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Aminobenzoate degradation;Other","Superpathway of branched chain amino acid biosynthesis;Superpathway of L-threonine metabolism;Superpathway of L-isoleucine biosynthesis I;Other","Methylglutaric acid",6,10,4,0,0,0,1.66666666666667,0.666666666666667,-0.333333333333333,69.8,2,-2,-1,0,-2,"Amino Sugar",103888310.284535,151299204.850181,1.45636409366746,0.54237107700845,0.0412121257655749,0.229430808387016,"Upregulated","ERLE"
"33","Feature0972",NA,"C11 H20 N4 O3",256.15356,NA,NA,"Feature0972",11,20,3,4,0,0,1.81818181818182,0.272727272727273,-0.181818181818182,65.4818181818182,4,1,-0.75,-0.272727272727273,-3,"Lipid",863840.045678758,603862.062143414,0.699043839382246,-0.51654516020781,0.0186021639265501,0.191421554979227,"Downregulated","ERLE"
"34","Feature0965","DL-Mevalonic acid","C6 H12 O4",148.07354,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant secondary metabolites;Other","Superpathway of branched chain amino acid biosynthesis;Superpathway of L-threonine metabolism;Superpathway of L-isoleucine biosynthesis I;Other","DL-Mevalonic acid",6,12,4,0,0,0,2,0.666666666666667,-0.666666666666667,79.3,1,-3,-1.5,-0.25,-3,"Amino Sugar",67113430.1524764,91866762.7457652,1.36882830362047,0.452941496230675,0.00236988683527613,0.130243138638824,"Upregulated","ERLE"
"35","Feature0961","Phenacetin","C10 H13 N O2",179.0946,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of alkaloids derived from shikimate pathway;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",NA,"Phenacetin-peak2",10,13,2,1,0,0,1.3,0.2,-0.6,77.4,5,3,0.285714285714286,0.375,2,"Phenol",101347754.488701,61588112.1431437,0.607690939516674,-0.718590312979392,0.00799243835981753,0.159503161292373,"Downregulated","ERLE"
"36","Feature0960","L-Threonine","C4 H9 N O3",119.05821,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Other","Superpathway of branched chain amino acid biosynthesis;Superpathway of L-threonine metabolism;Superpathway of L-isoleucine biosynthesis I;Other","L-Threonine",4,9,3,1,0,0,2.25,0.75,0,60.3,1,-2,-Inf,-1,-3,"Carbohydrate",85853593.8245094,111369997.100934,1.29720833036509,0.375410193582439,0.00318195323251063,0.130243138638824,"Upregulated","ERLE"
"37","Feature0958","4-Phenylbutyric acid","C10 H12 O2",164.08376,"Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Phenylpropanoid biosynthesis;Other","Other","4-Phenylbutyric acid",10,12,2,0,0,0,1.2,0.2,-0.8,83.1,5,3,0.375,0.444444444444444,3,"Phenol",92550578.2080789,7052508.69142231,0.0762016707833673,-3.71403355945176,0.0128081786528807,0.174838818955146,"Downregulated","ERLE"
"38","Feature0957","Cantharidin","C10 H12 O4",196.07357,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Phenylpropanoid biosynthesis;Other","Other","Cantharidin",10,12,4,0,0,0,1.2,0.4,-0.4,71.7,5,1,0.166666666666667,0.375,1,"Phenol",22238106.2198054,152447308.031769,6.85522888167511,2.77720483536192,0.00616209507722408,0.149375076711941,"Upregulated","ERLE"
"39","Feature0954",NA,"C11 H19 N3 O2",225.14773,NA,NA,"Feature0954",11,19,2,3,0,0,1.72727272727273,0.181818181818182,-0.545454545454546,75.8454545454546,4,2,-0.166666666666667,0,-1,"Lipid",36788985.0480717,5710607.57166773,0.155226015727418,-2.68755772282928,0.0447694315676468,0.231053725641857,"Downregulated","ERLE"
"40","Feature0951","8-{3-Oxo-2-[(2E)-2-penten-1-yl]-1-cyclopenten-1-yl}octanoic acid","C18 H28 O3",292.20371,"Metabolic pathways;Biosynthesis of secondary metabolites;Other","Superpathway of lipoxygenase","8-{3-Oxo-2-[(2E)-2-penten-1-yl]-1-cyclopenten-1-yl}octanoic acid-peak1",18,28,3,0,0,0,1.55555555555556,0.166666666666667,-1.22222222222222,95.1333333333333,5,2,0.133333333333333,0.212121212121212,2,"Lipid",1502991.10177232,26140064.93507,17.3920290707281,4.12035435182798,0.000728149970666336,0.130243138638824,"Upregulated","ERLE"
"41","Feature0945",NA,"C75 H89 N10 O16 P3 S",1510.53964,NA,NA,"Feature0945",75,89,16,10,1,3,1.18666666666667,0.213333333333333,-0.533333333333333,75.5,38,22,0.177777777777778,0.30188679245283,8,"Phenol",386540.249787739,150816.21487127,0.390169497106933,-1.35782710036608,0.0488801174151697,0.239245432239397,"Downregulated","ERLE"
"42","Feature0942","Norspermidine-2,3-dihydroxybenzoate","C13 H21 N3 O3",267.15832,NA,"Other","Norspermidine-2,3-dihydroxybenzoate",13,21,3,3,0,0,1.61538461538462,0.230769230769231,-0.461538461538462,73.4538461538462,5,2,-0.142857142857143,0.0588235294117647,-1,"Lipid",19080492.2865619,12415596.7592651,0.650695829688277,-0.619944787363674,0.0439141980912381,0.231053725641857,"Downregulated","ERLE"
"43","Feature0940","acetoacetic acid","C4 H6 O3",102.03166,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Tyrosine metabolism;Lysine degradation;Other","Superpathway of L-lysine degradation;Superpathway of branched chain amino acid biosynthesis;Superpathway of L-threonine metabolism;Superpathway of L-isoleucine biosynthesis I;Other","acetoacetic acid-peak2",4,6,3,0,0,0,1.5,0.75,0,60.3,2,-1,-1,0.2,-1,"Carbohydrate",71923176.0162513,89074722.370489,1.23847036941698,0.308559352309301,0.0171726038123851,0.191421554979227,"Upregulated","ERLE"
"44","Feature0938",NA,"C5 H14 N O4 P",183.06609,NA,NA,"Feature0938",5,14,4,1,0,1,2.8,0.8,-1.6,105.9,0,-4,6,-4,-6,"Other",1140123.20711337,5522042.1264891,4.84337314777595,2.27601215670947,0.0369787619739747,0.227967607810908,"Upregulated","ERLE"
"45","Feature0937",NA,"C16 H27 N O14",457.14329,NA,NA,"Feature0937",16,27,14,1,0,0,1.6875,0.875,0.25,53.175,4,-10,-11,-0.5,-11,"Carbohydrate",76090230.6435333,27602774.4486735,0.362763711125896,-1.46289795103089,0.00971891678131274,0.167909500293562,"Downregulated","ERLE"
"46","Feature0936","Pyrone","C5 H4 O2",96.02111,"Metabolic pathways;Microbial metabolism in diverse environments;Other",NA,"Pyrone",5,4,2,0,0,0,0.8,0.4,0,60.3,4,2,0.666666666666667,0.75,2,"Condensed HC",47445844.935077,70301728.5852354,1.48172571658137,0.567278413938992,0.0497849789870812,0.239245432239397,"Upregulated","ERLE"
"47","Feature0935","9S,13R-12-Oxophytodienoic acid","C18 H28 O3",292.20376,"Metabolic pathways;Biosynthesis of secondary metabolites;Other","Superpathway of lipoxygenase","9S,13R-12-Oxophytodienoic acid",18,28,3,0,0,0,1.55555555555556,0.166666666666667,-1.22222222222222,95.1333333333333,5,2,0.133333333333333,0.212121212121212,2,"Lipid",4916287.62821862,18668396.9058462,3.79725482266191,1.92495681724908,0.00465498951630207,0.141159411818674,"Upregulated","ERLE"
"48","Feature0931","Caffeic acid","C9 H8 O4",180.04227,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Biosynthesis of cofactors;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of various antibiotics;Phenylalanine metabolism;Tyrosine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Other","Superpathway of chorismate metabolism;Superpathway of scopolin and esculin biosynthesis;Superpathway of aromatic amino acid biosynthesis;Superpathway of 4-hydroxybenzoate biosynthesis (yeast);Other","Caffeic acid-peak2",9,8,4,0,0,0,0.888888888888889,0.444444444444444,0,60.3,6,2,0.4,0.571428571428571,2,"Phenol",74172493.912002,8700100.25477888,0.1172955066753,-3.09178034683573,0.0115694404126839,0.173306779889617,"Downregulated","ERLE"
"49","Feature0925",NA,"C20 H29 N5 O7",451.2068,NA,NA,"Feature0925",20,29,7,5,0,0,1.45,0.35,0,60.3,9,2,-0.375,0.0434782608695652,-3,"Phenol",3148973.4504759,748173.626912956,0.237592865954422,-2.07343657695868,0.0297186582964131,0.209880723233336,"Downregulated","ERLE"
"50","Feature0924","NL8513000","C11 H13 N O2",191.09464,NA,"Other","NL8513000",11,13,2,1,0,0,1.18181818181818,0.181818181818182,-0.545454545454546,75.8454545454546,6,4,0.375,0.444444444444444,3,"Phenol",9835754.54118603,17558312.8053169,1.78515158463884,0.836046584686591,0.0153171900739336,0.186803122423408,"Upregulated","ERLE"
"51","Feature0918","Phenyl D-glucopyranosiduronic acid","C12 H14 O7",270.07398,NA,NA,"Phenyl D-glucopyranosiduronic acid-peak5",12,14,7,0,0,0,1.16666666666667,0.583333333333333,0,60.3,6,-1,-0.2,0.294117647058824,-1,"Phenol",66276810.2632006,886978.327902384,0.0133829362695638,-6.22346150602321,0.0327376374349551,0.217346918355146,"Downregulated","ERLE"
"52","Feature0910","D-lysopine","C9 H18 N2 O4",218.12665,"Lysine degradation",NA,"D-lysopine",9,18,4,2,0,0,2,0.444444444444444,-0.444444444444445,72.9666666666667,2,-2,-1.33333333333333,-0.4,-4,"Protein",15048562.6003169,34734891.8133046,2.3081866843929,1.20675991278583,0.00915318945243819,0.165643202671543,"Upregulated","ERLE"
"53","Feature0909","3-O-beta-D-galactosyl-sn-glycerol","C9 H18 O8",254.10017,"Other",NA,"3-O-beta-D-galactosyl-sn-glycerol",9,18,8,0,0,0,2,0.888888888888889,-0.222222222222222,66.6333333333333,1,-7,-7,-0.6,-7,"Carbohydrate",72038442.4085758,16858011.5781616,0.234014104338196,-2.09533260932847,0.00353500694328962,0.130243138638824,"Downregulated","ERLE"
"54","Feature0904","5-Ethyl-4-hydroxy-3(2H)-furanone","C6 H8 O3",128.04731,"Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Aminobenzoate degradation;Other","Other","5-Ethyl-4-hydroxy-3(2H)-furanone-peak2",6,8,3,0,0,0,1.33333333333333,0.5,-0.333333333333333,69.8,3,0,0,0.333333333333333,0,"Phenol",60758845.3697036,89679757.666813,1.47599509373709,0.561687925833992,0.0465568962149418,0.232338452898241,"Upregulated","ERLE"
"55","Feature0896","Imidazoleacetic acid riboside","C10 H14 N2 O6",258.08518,"Metabolic pathways;Biosynthesis of secondary metabolites;Other",NA,"Imidazoleacetic acid riboside",10,14,6,2,0,0,1.4,0.6,0.4,48.9,5,-1,-1.5,0,-3,"Phenol",13954298.2022307,1720736.63172377,0.123312301828887,-3.01961136244404,0.0065155544559594,0.149375076711941,"Downregulated","ERLE"
