FeatureID,Name,Formula,MW,KEGG Pathways,Metabolika Pathways,name4plot,C,H,N,O,S,P,F,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0342,NA,C8 H16 N2 O9,284.08565,NA,NA,Feature0342,8,16,2,9,0,0,0,0,2,1.125,1,31.799999999999997,2,-7,3,-3,-9,Carbohydrate,798906.35699915,6922139.679117203,8.664519462729181,3.115119739234068,3.3709009437422443e-4,8.733697899695814e-4,Upregulated
Feature0341,3-Deoxytetronic acid,C4 H8 O4,120.04228,NA,NA,3-Deoxytetronic acid,4,8,0,4,0,0,0,0,2,1,0,60.3,1,-3,-Inf,-0.5,-3,Carbohydrate,4254231.975575859,4966102.361500602,1.1673322917066327,0.22321529571421006,0.5135026066693643,0.5776904325030349,Upregulated
Feature0340,6-Deoxy-D-arabino-hexos-2-ulose,C6 H10 O5,162.05281,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Fructose and mannose metabolism;Other,Superpathway of butirocin biosynthesis;Other,6-Deoxy-D-arabino-hexos-2-ulose,6,10,0,5,0,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,2,-3,-3,-0.14285714285714285,-3,Carbohydrate,704602.158162424,2113680.96582026,2.999821873002292,1.5848768371992195,0.015727759872804406,0.03073653643713775,Upregulated
Feature0339,Oleic acid,C18 H34 O2,282.2559,Biosynthesis of plant secondary metabolites;Other,Other,Oleic acid,18,34,0,2,0,0,0,0,1.8888888888888888,0.1111111111111111,-1.666666666666667,107.8,2,0,0,0.0588235294117647,0,Lipid,115283.96715430982,2891300.979054931,25.07981855954756,4.648455005858741,9.158047565783053e-6,3.319999467812949e-5,Upregulated
Feature0338,DL-TYROSINE,C9 H11 N O3,181.07387,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Central carbon metabolism in cancer;Other,Superpathway of chorismate metabolism;Superpathway of betalain biosynthesis;Other,DL-TYROSINE,9,11,1,3,0,0,0,0,1.2222222222222223,0.3333333333333333,-0.22222222222222232,66.63333333333333,5,2,0.2,0.38461538461538464,1,Lignin,710245.4070353217,7720343.943419759,10.869966728325233,3.442275619341485,8.37859011635773e-10,2.604979836176676e-8,Upregulated
Feature0337,Mevalonic acid,C6 H12 O4,148.07361,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant hormones;Biosynthesis of terpenoids and steroids;Other,Superpathway of branched chain amino acid biosynthesis;Methanobacterium thermoautotrophicum biosynthetic metabolism;Superpathway of L-threonine metabolism;Superpathway of coenzyme A biosynthesis II (plants);Superpathway of L-isoleucine biosynthesis I;Other,Mevalonic acid-peak2,6,12,0,4,0,0,0,0,2,0.6666666666666666,-0.666666666666667,79.30000000000001,1,-3,-1.5,-0.25,-3,Amino Sugar,350810.1010018032,1080338.4920498063,3.0795535503815303,1.6227212154214972,0.2397458086164624,0.3333051485643502,Upregulated
Feature0336,MFCD01318772,C8 H13 N3 O2,183.10073,NA,NA,MFCD01318772,8,13,3,2,0,0,0,0,1.625,0.25,0,60.3,4,2,-0.3333333333333333,0,-1,Lipid,3570648.161759712,7347387.80086024,2.0577182259366738,1.0410454400182843,1.0962668191205675e-4,3.0731414109773283e-4,Upregulated
Feature0335,Leu-arg,C12 H25 N5 O3,287.19584,NA,NA,Leu-arg,12,25,5,3,0,0,0,0,2.0833333333333335,0.25,-0.33333333333333304,69.79999999999998,3,0,-1.25,-0.6363636363636364,-5,Lipid,1284053.1962564404,1253376.2798826643,0.9761093103749812,-0.034885376704315886,0.8811566378119742,0.9022621860230394,Downregulated
Feature0334,Ser-Leu,C9 H18 N2 O4,218.12657,Other,NA,Ser-Leu,9,18,2,4,0,0,0,0,2,0.4444444444444444,-0.44444444444444464,72.96666666666667,2,-2,-1.3333333333333333,-0.4,-4,Protein,6606906.071100693,4981780.89141678,0.7540262927616932,-0.4073132639987945,0.11859229776325296,0.17711164120101533,Downregulated
Feature0333,beta-D-Ethyl glucuronide,C8 H14 O7,222.07387,NA,NA,beta-D-Ethyl glucuronide-peak5,8,14,0,7,0,0,0,0,1.75,0.875,0,60.3,2,-5,-5,-0.3333333333333333,-5,Carbohydrate,129513719.21263121,204154.2455347081,0.0015763136660413143,-9.309229643639336,8.500214720950217e-9,1.321397015711352e-7,Downregulated
