"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","<NA>"
"Feature0001",10826682.7386718,19753100.1561023,17568143.2159099,6601469.1959413,15213295.6772078,24052269.3272517,11969939.4015637,8146187.03579071,11355356.5026076,18645011.7822678,7510030.1366364,6178232.5853468,8675268.35984229,13517275.8704407,12645527.0452655,26168152.6692378,37916737.7460342,28147539.763658,7009048.43437068,8199655.33284957,6324094.34896133,19287836.1197279,25496658.2427029,9169308.28507704,23860677.3680567,7258356.77318038,26614203.0841146,18316298.3844638,6529790.82662727,6895229.30769375,20480049.8722874,30791751.7721663,19599463.0722851,26798966.1343887,5995844.33865614,29820035.1048203,7115619.162446,21087590.3908521,11154478.8306995,24694311.9628141,32663848.7261022,14817533.4354101,13945692.5500702,18247432.0320142,20398033.3971781,15290872.1931614,9218528.07764224,18380116.3735541,6406083.26784643,11162677.6254557,7949508.47614245,5873486.57863183,15190074.835868,30635909.8337746,36902273.5186954,8066298.00645054,11679589.5348846,15606115.4914295,26891046.0181053,15934412.257886,5899995.61351237
"Feature0002",983726.721660515,52293435.2360452,285808.409991077,9663841.11108674,3690885.89434561,4648819.57909744,3016564.3892755,10027689.4264838,1313137.10287742,7076125.50239629,11720712.2391422,2419014.28341583,12875240.2393936,7396611.46052131,2619887.75709779,38924551.7844136,34467488.0602799,4744900.97588217,9862887.07709584,1475648.03449428,1834654.65964405,31997460.4635788,20908621.843779,384115.047412079,37490861.0502386,8191740.45796351,15932529.7975721,26913225.6823821,7375982.91068944,718678.795902421,30077749.7333437,42961611.9455146,11281811.2161821,31707352.8135364,6048956.52235554,55010458.9030348,8421089.63322751,15144829.9124485,4250177.08554956,40416251.6346571,37516340.4831342,2895497.88843804,787192.269169471,882280.72961247,2055859.67864764,857282.780674213,3239242.48030486,24808368.0242673,8389654.39859367,2253250.43881008,11580469.6652201,6965524.45344633,5037509.52903375,33078177.4275599,53051123.5810496,7992505.28966407,8656202.59995471,556251.523609009,4037842.95419509,12789895.1030735,2141392.12972157
"Feature0003",4754884.05544787,383641811.974091,1519448.94880045,142422408.93676,5008563.41532695,168631311.308146,1625003.80005775,129462365.912677,2593968.16962992,139814656.033813,94565017.7950917,3274732.82812063,133256047.546232,202745300.38341,163658676.791022,411532709.145088,222568048.248192,323602686.452965,132834736.031043,1523887.61303966,13208074.2418754,296266673.258993,180674651.838384,1586557.81756489,395200720.646092,122607773.937753,153659166.676358,323055378.465676,124266237.312761,6569096.26836204,267020508.881498,431333415.281597,165558391.738948,196417213.750612,97998590.8997352,487690016.725231,88675932.2815056,154663164.563873,1658904.94534026,402011288.39426,455529197.482666,2134969.59340359,1773553.93005327,8244529.77081762,6567600.81918759,1245169.4408302,17238884.1653274,177008771.859093,58748396.5010737,160712192.4638,94886601.3097285,104114516.495949,2943930.55540869,389744280.851807,488381684.831103,111634829.027957,157768856.442429,1465825.63010449,116880607.432115,206898276.388566,7675871.22404781
"Feature0004",2614499.65370903,444120733.432588,1692148.38171018,3597203.4906771,2352563.76916926,1101186.79411519,1735630.58606146,3488129.59805721,2568589.61233838,1546589.300974,2817012.08856012,2365723.25350078,3070753.21986562,904598.687193303,756162.466332114,533059035.816178,477631707.794478,1911725.37951324,2881315.02080425,2472611.21336181,2210798.34434068,366736638.61926,1262653.27351173,2650113.12445848,462540705.461072,2874278.42501634,1954249.85394974,409674438.45784,3295122.24563861,3425249.19078871,337550840.562619,551486151.14622,1417381.35109335,2130318.18457804,2296581.09890284,543423767.311078,3304535.6323077,1320041.08719377,2488852.27473946,468988013.324174,532629388.643116,3890912.19676648,3774523.30038855,1794965.08620329,1840369.54673694,2366136.22697691,582268.565993734,311484545.399424,3300626.61258394,5677137.6061659,2396176.59101977,3003120.18061648,1188368.28402566,518087617.846569,432723108.003381,2132582.26050454,4137907.24965135,3330214.65770772,1584607.17129827,3061230.02695544,6034354.98583493
"Feature0005",87104678.4928613,167364155.477987,81399007.0066637,10210071.5131869,96859356.158942,55920964.784392,81014879.538416,11178528.388205,102118910.722937,60603674.9515048,10449536.5438559,31654625.1624201,10880398.2574512,21093378.6991221,24066727.3132683,183475008.988614,76085479.571025,40140369.8858425,8623500.81146408,88150229.9629431,71040238.5263624,91197273.5467858,7499704.00814088,56468745.285892,186378073.294603,14096004.1282218,15823169.8495755,154636391.37756,13188420.797972,93638113.5088219,116525715.938892,178757750.151986,4794584.66506101,28843838.4452635,14392215.9716542,242051813.509973,11081270.9311147,10252372.4490527,46861672.8224212,151706885.638178,169275117.472547,85654491.969769,84624724.4892399,88386196.0172288,108052245.537758,91664434.8662461,55114717.5697588,95341879.6994939,12928385.2455191,14711351.7422863,11583806.2215974,8130684.52400519,35342636.5632206,195237415.140551,165318767.289758,12040399.4217098,11328141.9458011,127814537.067227,103911870.836563,16110809.6681954,4469339.07163094
"Feature0006",253605293.310427,2246586224.34386,97514441.2632032,400701600.45696,87275519.9377135,84680961.4569984,55021891.0509774,440787083.428312,140469099.250332,44918790.3216123,54128944.9286567,123967244.031178,367806547.882941,17984066.8913583,51133118.813289,2189888448.09429,1112254035.92994,12577341.2679464,482565512.294234,126214300.745038,118815477.23267,1821209415.99239,29695447.0951384,220929034.733004,2574253366.30194,404445577.682885,29031495.6939412,920774322.909006,896172060.11602,67634058.7435571,1411777765.71098,2151011212.47337,15088145.7582706,10066144.201487,506431370.982054,2489615541.96486,65732414.0503347,16142317.3960537,223009276.154432,2055557711.08042,2418152899.55215,110468547.654702,144942635.187579,47085394.4151387,59270891.487077,75701924.4518435,280462210.393191,934927193.865532,41710198.290923,934305384.381914,61887313.0889992,630941738.190769,51435440.4193521,1986115030.46009,1917743681.09299,422775541.836239,323781874.561245,88390168.8992767,41822275.9428606,188519061.672304,24352389.9597615
"Feature0007",694988.039600849,15924063.7781633,512545.327024432,1245625.40188235,664333.206778978,489677.250907627,451898.53389155,318475.709969736,878273.348956577,356980.09309511,680028.176733964,556026.508568182,720732.129970616,239358.205288204,234326.613801689,30972719.2843935,8258736.85911153,494061.132709328,589009.992666436,676388.585046453,606748.549557953,10973972.9787157,650238.879118081,633969.264054784,24648128.802484,1665505.85822624,511721.811040117,22084555.050844,1308868.78718394,629969.825995641,17294971.2531909,26079057.3441905,750557.427537485,1279790.45931393,2953273.74464426,27692825.9247251,1067275.66820556,738748.440117676,679402.731101905,17765531.0768368,20710255.3468405,902467.259378061,1103651.60320766,564994.683754715,435146.796074612,582593.769811808,284463.84043038,5214241.8556607,491361.86975992,759216.543782462,603165.354376763,679025.800894379,450162.557055965,22074017.5552305,33902360.7872998,478096.501230038,873430.980569736,748139.030695146,271518.283974357,502172.429357327,2005224.56643069
"Feature0008",10284881.4987546,1988278490.98497,3051273.72412741,291599218.374881,2649356.1341235,1544067.31396261,2738568.72120384,546786640.670841,4522605.78425231,2164492.50752264,559797622.708477,49785547.3253,496280623.980928,1369118.07424874,5165579.13039383,1724136404.80513,840296842.010729,2474279.72103007,504578755.140111,3339016.65182011,2471263.1538335,1051004291.44206,1285495.07028137,6931981.94685722,1138264051.54908,289072912.688385,1903230.40691341,1838588841.52102,360813696.686784,8814920.97717714,1220007966.59791,1990373440.42025,1060691.17708999,1814922.63952773,247120735.630574,1663048359.35609,405994995.053572,1802249.14469732,4976838.47468952,2090371629.03627,2331563266.67332,3705754.89337215,3457242.78172294,2827383.30615085,3281090.8839591,2840639.81714186,5222066.64404034,210725127.400725,7436147.77447042,19002822.5854994,557400366.53173,347617942.814818,3473085.56327046,935277066.280815,795941517.913914,333743354.377144,593861497.326831,2999470.93649304,1910975.2481723,771237207.58881,6178694.17356677
"Feature0009",123481.461859735,61711.3124721808,62211.8685385679,21780.2062067741,94639.1431275296,41461.5500678076,72454.9732662908,24807.5489499917,122922.281610483,81600.3455405559,66474.3790646427,81805.7208448763,27856.4211404093,40055.6396864798,78916.8311043327,53016.6720066691,72977.8366856947,61341.3082095012,16329.8174786297,61146.3110203758,63596.6775116193,519503.263923643,58683.0974303765,79113.747923749,92782.9780172568,22818.4305792635,69758.6110061476,151573.331024353,33222.921536188,114486.286230784,51984023.1523621,91631.301036895,88465.3625076169,72145.6749207841,22310.7943403503,77973.8715657894,28046.9426599975,48102.0967823196,73051.2264114198,52994.7347961614,87642.3929588163,91384.4470164756,82663.5972753398,111641.164420498,56048.3085940145,56976.9704600718,40175.5570461123,70683.5745786602,30864.0694152646,21423.4703891251,32236.445559109,15947.1070064552,69096.455884443,88469.2870412462,98582.3985045019,29311.4556220922,21249.1394388967,75739.0835464697,61198.1980584332,24900.7054901782,426052.840423162
"Feature0010",359085.77919743,6078277.24191842,1865991.76174887,981423.714760241,1878524.11817673,9193753.91510181,1489418.96294913,1001316.94438539,1755973.62694236,4945501.45010575,661811.031110262,424471.476804212,746818.548510321,10229483.2244468,11109069.9392462,7342692.42532122,14463573.6857208,10561410.9906193,869595.904211494,1036445.93112342,508280.015401211,5840026.67381255,16845618.4152724,514244.141087412,7254772.9754103,997241.90706837,16679472.4882146,6410600.04168673,1140679.69241463,1752715.45399762,5521476.55484137,7851634.27213952,13635867.4615634,16441060.0821217,767229.662216106,8735524.96740313,572563.739808371,15316942.067213,667240.009824413,7421249.91000456,8130865.46486406,744268.335534447,712069.139882351,1865619.72415355,2047547.2318301,2190433.75781355,484280.12272784,5167749.48497333,560166.528977805,4436556.38855273,424216.328725995,979927.349592639,1149862.87197077,7237475.86243201,8936330.6333254,827332.593541215,72826.5310633565,283570.315454793,5915091.64893797,879360.851202159,1687288.68110198
"Feature0011",1159286.97005394,39894378.6534324,1109333.71836953,6690799.745231,921448.539533292,603684.716724138,3154568.95629099,3220283.42677227,3961869.06545994,1400084.06893579,3438736.10733894,1448797.13791274,4201203.72255762,955838.837927901,1062637.65385175,41322421.9699474,25601408.3871913,1766542.69606645,4354662.87470901,3287411.93750839,2692441.256839,15672049.9943343,373678.640967622,1916852.02105492,38291349.9882867,4518829.10715295,2223971.74856417,25948976.1395643,5842792.22246049,1754379.23939769,26684676.8811458,42286287.7652368,1215971.06551599,947553.857437824,4197829.89146686,50355719.9995808,4116944.34320748,291941.696153835,1403546.23952535,34278430.711854,75112276.6160619,1313276.94835683,3000624.04841067,2423318.83678871,765246.33981064,2570264.54730755,1108894.32177787,19846684.4936413,2871335.28504185,22456290.1687081,2503650.86649079,5126388.2188354,788800.762911902,33588584.8699076,38598974.8821599,4324592.96302486,6117864.40462103,904639.899463593,1680116.42619716,7754696.62845186,10357915.4034994
