"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","<NA>"
"Feature0001",3694058.634,9934754.72,13025475.94,14751872.49,6736098.959,28284135.16,5461657.495,15207580.47,2880065.206,10870622.99,5458826.555,2577601.486,11711154.11,15105165.24,20664931.64,13859546.45,17452802.42,22884851.23,17911329.36,3577619.917,2755434.514,5463007.028,31250937.78,4377661.93,7163257.946,11636041.54,16461121.44,5212193.479,11129689.8,2408514.62,9384560.016,12461600.87,24213331.91,15168782.98,18076561.48,16281575.54,15388550.92,32624196.4,6905674.708,13459192.84,19530885.12,4784168.347,5195057.924,14912403.69,13702643.59,8352836.245,14154986,9179158.237,9549791.37,17165359.79,9908186.671,21260169.25,8624018.91,11311505.52,23113364.95,31654773.47,24943809.38,7779179.506,27902971.52,23787303.97,409171.7318
"Feature0002",335647.0562,26300805.87,211905.7502,21595155.2,1634239.757,5466754.073,1376401.413,18720033.46,333051.673,4125601.714,8519451.194,1009229.537,17380894.33,8265499.602,4281340.051,20615770.64,15865137.53,3857756.445,25204194.34,643845.0867,799366.7538,9062828.526,25627438.47,183386.3327,11255200.52,13132370.76,9854411.459,7658585.619,12571980.32,251035.6523,13782507.82,17386814,13937638.93,17947033.9,18236686.66,30035408.71,18211818.77,23430268.53,2631260.577,22028154.72,22432363.75,934875.5248,293245.3459,721028.9308,1381050.413,468301.7811,4973834.388,12389471.92,12506776.11,3464926.228,14433779.84,25213001.99,2859997.591,12213248.72,33228033.49,31365186.88,18486836.97,277274.6655,4189789.303,19093087.19,148508.0979
"Feature0003",1622364.017,192951348,1126558.765,318262064.7,2217677.19,198301072.4,741458.5727,241684770.9,657909.5486,81516302.16,68736612.36,1366241.249,179888626.4,226562015.4,267445979.6,217961763.3,102446476.2,263099347.2,339453597.7,664892.6637,5754813.515,83913348.71,221450679.9,757463.2177,118643937,196555390.6,95039561.96,91930536.49,211805356.5,2294595.828,122356635.2,174563139.6,204532148.4,111176307.1,295450891.2,266276073.1,191774470.8,239276340.4,1027018.662,219109058.9,272377223.5,689322.1463,660685.3955,6737701.829,4411871.062,680189.8744,26470187.21,88399414.52,87578463.54,247134486.8,118265696.7,376861717.9,1671388.262,143902845,305892917.7,438091330.3,336943029.5,730670.0189,121278891.8,308863114.1,532330.8232
"Feature0004",892065.9497,223369016.4,1254602.593,8038435.936,1041661.366,1294934.615,791935.4878,6511759.59,651472.7714,901709.766,2047605.684,986996.1497,4145354.668,1010862.897,1235697.462,282326252.1,219850449.2,1554293.955,7363079.712,1078833.532,963254.1397,103872970.6,1547618.457,1265231.681,138860198,4607822.982,1208720.925,116579365.1,5616364.968,1196445.018,154675703.5,223189650,1751044.147,1205805.256,6923843.763,296706395.1,7146534.08,2042209.607,1540834.356,255613524.3,318478189.4,1256267.047,1406087.73,1466904.709,1236292.121,1292532.446,894069.3493,155557553.2,4920369.315,8729994.08,2986570.18,10870348.04,674684.6651,191290253.2,271031732.3,8368945.495,8837225.774,1660011.912,1644236.849,4569883.595,418489.7145
"Feature0005",29720071.92,84175234.29,60351329.92,22815780.64,42887104.94,65759954.07,36965560.91,20868458.98,25900474.51,35333831.37,7595469.863,13206529.17,14687963.01,23571241.26,39329106.09,97174624.5,35021600.51,32635406.18,22036994.71,38461131.06,30952530.8,25830339.04,9192294.186,26959621.03,55952905.02,22597633.97,9786771.358,44004240.04,22478979.24,32707942.74,53395503.5,72344300.23,5923267.869,16326224.06,43390348.74,132158962,23964843.83,15861243.8,29011796.4,82685123.28,101215655.9,27655446.91,31524454.16,72232116.46,72585497.87,50072880.36,84628267.01,47614399.31,19272834.38,22622318.24,14437938.49,29430514.02,20065442.03,72086290.6,103545734.1,47250438.29,24193231.49,63711705.06,107822134.2,24050634.6,309953.9945
"Feature0006",86529996.86,1129912921,72299729.85,895421722.2,38643601.72,99580115.57,25105450.71,822876397.5,35627253.55,26189054.77,39344785.12,51719994.03,496519414.3,20096675.15,83560171.2,1159839636,511962554.9,10225781.23,1233175931,55068997.15,51768403.3,515831831.9,36397341.2,105477163,772821349.4,648376166.9,17956238.43,262020951,1527478797,23624684.84,646918013.1,870526737,18640014.77,5697651.024,1526813789,1359316425,142155809.3,24973461.8,138063780.6,1120344947,1445900233,35667213.53,53994119.17,38479738.31,39815990.37,41353153.07,430647781.1,466909157.6,62178975.05,1436724110,77135718.83,2283810129,29201976.66,733320839.9,1201159315,1659108552,691492910.4,44059842.49,43396072.2,281426145.6,1688867.285
"Feature0007",237129.565,8008953.862,380014.3671,2783517.813,294151.5315,575833.2971,206192.7744,594541.3438,222756.9441,208130.5205,494293.0723,231978.1159,972950.3107,267475.8788,382929.3503,16404208.85,3801437.339,401687.5228,1505190.337,295117.4379,264362.8957,3108222.775,796989.7294,302673.1162,7399660.193,2670011.403,316504.4938,6284510.735,2230898.964,220049.4673,7925063.499,10554346.05,927244.5905,724388.532,8903672.51,15120131,2308137.295,1142903.184,420614.3853,9682784.806,12383403.48,291381.512,411132.9707,461732.3025,292315.5061,318249.3644,436792.2563,2604028.729,732491.7812,1167481.994,751779.1751,2457859.273,255575.4627,8150251.544,21234400.02,1876205.966,1865364.859,372924.8203,281735.6729,749656.0293,139064.715
"Feature0008",3509196.327,999997922.7,2262293.288,651617747.5,1173074.229,1815737.551,1249557.235,1020759995,1147070.949,1261966.594,406900914.2,20770875.65,669952631.8,1529949.891,8441430.652,913161463.5,386782609.2,2011668.65,1289429850,1456857.879,1076739.753,297682114,1575615.364,3309505.202,341720349.6,463419548.7,1177164.943,523199642.7,614988232.6,3079065.989,559043462,805515697.2,1310386.281,1027284.691,745031544.9,908015278.8,878022630.5,2788224.21,3081132.53,1139319650,1394125190,1196484.917,1287894.197,2310630.952,2204115.372,1551736.155,8018447.155,105237597.5,11085347.61,29221509.18,694738158.8,1258267334,1971810.929,345326505.9,498529901.5,1309717329,1268295255,1495146.108,1982886.344,1151322910,428499.8093
"Feature0009",42131.81187,31037.49528,46125.48901,48670.80573,41904.04545,48756.48406,33059.83719,46311.58053,31176.84471,47575.54474,48318.32883,34129.91413,37604.69733,44761.02005,128963.4599,28079.4383,33591.17478,49872.44798,41730.1638,26678.95799,27709.33995,147141.9585,71927.14469,37770.92357,27854.5489,36580.75986,43146.32167,43132.59759,56626.74667,39990.2428,23820605.33,37083.71999,109290.8095,40835.98152,67263.66176,42573.30602,60655.5516,74417.80799,45225.60079,28883.83188,52404.52596,29505.48961,30793.89385,91236.84414,37651.1785,31124.40533,61689.28952,35299.86985,46010.23924,32943.84999,40179.17852,57723.49855,39228.84835,32664.96194,61746.086,115027.6728,45381.25951,37753.65669,63501.12139,37172.4191,29547.27257
"Feature0010",122519.8849,3057048.921,1383494.573,2193123.541,831767.4635,10811344.86,679593.7698,1869292.706,445368.5399,2883381.485,481051.5491,177092.4442,1008165.598,11431151.95,18154100.66,3888940.424,6657479.225,8586765.356,2222215.868,452215.3012,221459.7411,1654105.031,20647465.56,245513.2851,2177968.771,1598701.83,10316402.16,1824238.011,1944229.375,612226.31,2530102.633,3177602.015,16845858.66,9305988.563,2313081.09,4769548.699,1238251.523,23696539.86,413084.5134,4044819.463,4861735.696,240303.491,265260.4318,1524646.011,1375466.419,1196552.705,743608.7735,2580810.115,835061.4971,6822295.617,528738.926,3547027.992,652823.5877,2672247.98,5597180.107,3246721.831,155533.8142,141351.2791,6137679.944,1312732.69,117015.4822
