FeatureID,Name,Formula,MW,KEGG Pathways,Metabolika Pathways,Area: B,Area: 60,Area: 59,Area: 58,Area: 57,Area: 56,Area: 55,Area: 54,Area: 53,Area: 52,Area: 51,Area: 50,Area: 49,Area: 48,Area: 47,Area: 46,Area: 45,Area: 44,Area: 43,Area: 42,Area: 41,Area: 40,Area: 39,Area: 38,Area: 37,Area: 36,Area: 35,Area: 34,Area: 33,Area: 32,Area: 31,Area: 30,Area: 29,Area: 28,Area: 27,Area: 26,Area: 25,Area: 24,Area: 23,Area: 22,Area: 21,Area: 20,Area: 19,Area: 18,Area: 17,Area: 16,Area: 15,Area: 14,Area: 13,Area: 12,Area: 11,Area: 10,Area: 9,Area: 8,Area: 7,Area: 6,Area: 5,Area: 4,Area: 3,Area: 2,Area: 1,Gap Status: B,Gap Status: 60,Gap Status: 59,Gap Status: 58,Gap Status: 57,Gap Status: 56,Gap Status: 55,Gap Status: 54,Gap Status: 53,Gap Status: 52,Gap Status: 51,Gap Status: 50,Gap Status: 49,Gap Status: 48,Gap Status: 47,Gap Status: 46,Gap Status: 45,Gap Status: 44,Gap Status: 43,Gap Status: 42,Gap Status: 41,Gap Status: 40,Gap Status: 39,Gap Status: 38,Gap Status: 37,Gap Status: 36,Gap Status: 35,Gap Status: 34,Gap Status: 33,Gap Status: 32,Gap Status: 31,Gap Status: 30,Gap Status: 29,Gap Status: 28,Gap Status: 27,Gap Status: 26,Gap Status: 25,Gap Status: 24,Gap Status: 23,Gap Status: 22,Gap Status: 21,Gap Status: 20,Gap Status: 19,Gap Status: 18,Gap Status: 17,Gap Status: 16,Gap Status: 15,Gap Status: 14,Gap Status: 13,Gap Status: 12,Gap Status: 11,Gap Status: 10,Gap Status: 9,Gap Status: 8,Gap Status: 7,Gap Status: 6,Gap Status: 5,Gap Status: 4,Gap Status: 3,Gap Status: 2,Gap Status: 1,name4plot,C,H,O,N,S,P,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class
Feature1122,α-Lactose,C12 H22 O11,342.11629,Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Other,Other,606753.1,3830251275,437908548.4,282260320.9,4161045209,4996102677,6882896770,6421950739,146575504.7,4686643597,2918554751,4525858698,3093919362,6492546080,1057980772,161745660.6,291843172.9,267822110.4,126013944.6,101021648.1,2830582481,6934009109,213954974,297182887.5,3263544851,7090111415,4987180113,99848406.21,286647077,7397499688,6402952521,311180541.7,4653305265,6754591248,285458898.9,3975059294,6888409035,160929366.9,19334061.55,5934000197,877623834.8,267395301,4465778075,137936206.6,6913681706,7523245035,1197919801,1085828257,3178080148,210391864.9,2864658906,757440848.2,139447345.7,3922099176,230022065.9,845006752.8,201575728.3,4406537518,186299871.4,7334621440,203543391.7,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Missing ions,Missing ions,Full gap,Missing ions,Full gap,Missing ions,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Missing ions,Full gap,Full gap,Full gap,Missing ions,Missing ions,Full gap,Full gap,Missing ions,Missing ions,Full gap,Missing ions,Missing ions,Full gap,Missing ions,Missing ions,Full gap,Full gap,Missing ions,Full gap,Full gap,Missing ions,Full gap,Missing ions,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Full gap,Full gap,Full gap,Missing ions,Full gap,Missing ions,Full gap,α-Lactose-peak2,12,22,11,0,0,0,1.8333333333333333,0.9166666666666666,0,60.3,2,-9,-9,-0.5384615384615384,-9,Carbohydrate
Feature1121,Phenacetin,C10 H13 N O2,179.09462,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of alkaloids derived from shikimate pathway;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",NA,5562216.366,3021159.937,7330461.62,3163913.526,3540980.728,3566577.929,5136262.115,19180326.54,6774628124,3082434.758,3250968.146,4276054.436,4667064.734,19794061.21,6375687713,4834168.961,5222320.949,5917369.122,3601645.241,3710519.099,5685223.19,16541320.9,2771139362,2726841081,3873307.731,5487192.078,20294702.51,2100986092,5351166605,3172897.561,3963158.437,3977915.145,5329095.309,17428044.89,5075246145,5127886.873,16737465.12,3249421888,4937585.134,18880720.79,2378605954,4065564.287,4075505.519,6575426.491,8077535.794,31554448.48,2696479051,3089302191,15153839.93,5402271042,3315182.643,7652362.674,3138709.954,4915012.52,19649975.3,1203241075,5160951.584,2889214.419,4984296.512,8129355.726,250471935.5,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Phenacetin-peak3,10,13,2,1,0,0,1.3,0.2,-0.5999999999999996,77.39999999999999,5,3,0.2857142857142857,0.375,2,Lignin
Feature1120,"4-({4-[(2,4-Dihydroxy-3,6-dimethylbenzoyl)oxy]-2-methoxy-3,5,6-trimethylbenzoyl}oxy)-2-methoxy-3,5,6-trimethylbenzoic acid",C31 H34 O10,566.21535,Biosynthesis of secondary metabolites;Other,NA,2317781.26,4327862461,1612352.295,3468139.242,3888405047,3938223503,7305458.723,1618599.176,3298145.959,4607787139,5265277173,2756258.34,3989803790,1534810.991,1494086.266,1638360.149,1468129.899,1482709.826,1357499.711,1456611.57,1449412.536,9779280.435,1898884.848,12192747.6,4794490103,3630713.853,3973072257,1405158.378,1375953.384,1416909.839,1274001.905,1360567.286,5220620922,1853058.596,3661031.48,3662001158,1309012.553,1312507.776,1364551.743,1981490.476,2217448.674,2477759.249,4240775394,3152955.403,1386081.949,1506402.401,12041900.01,3217275.833,3875164627,23480168.11,4716013779,1617632.006,2778222.572,4610173514,1338299.595,1680204.398,2590683.65,4094938704,1405099.859,1308771.692,1491169.997,Full gap,No gap,Full gap,Full gap,No gap,Missing ions,Full gap,Full gap,Full gap,No gap,No gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Missing ions,No gap,Full gap,Full gap,Missing ions,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,"4-({4-[(2,4-Dihydroxy-3,6-dimethylbenzoyl)oxy]-2-methoxy-3,5,6-trimethylbenzoyl}oxy)-2-methoxy-3,5,6-trimethylbenzoic acid-peak2",31,34,10,0,0,0,1.096774193548387,0.3225806451612903,-0.45161290322580605,73.17096774193547,15,5,0.23809523809523808,0.38461538461538464,5,Lignin
Feature1119,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,195.08956,Other,NA,543563.8706,1938525.227,2193641.647,1847339.308,1977009.111,3220872.762,1348114.076,1314822.851,5177791417,3054457.164,2051082.915,2357488.636,1866784.738,913925.5962,4019262400,3256620.516,1387417.477,1838380.612,935030.2731,741229.786,1480868.031,1541708.313,5194278430,2606631532,5619206.206,2745860.937,2853327.338,4106503436,1893216017,1933735.597,2841424.309,1143519.536,2068027.974,1293569.094,2364828970,2062122.144,3255599.732,3515063683,9718023.179,1838484.832,2780931386,1582036.014,3051934.962,1440078.065,1307154.628,1308376.45,821993336.1,2846012383,2071296.879,3604216073,2415966.913,1024322.706,1508237.776,1917292.316,2631433.284,343419304.9,1414812.521,1596901.379,1954785.911,1180133.275,638295930.2,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Missing ions,Full gap,Full gap,Full gap,Missing ions,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Full gap,Full gap,Missing ions,Full gap,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Missing ions,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,Missing ions,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime-peak3",10,13,3,1,0,0,1.3,0.3,-0.40000000000000036,71.7,5,2,0.16666666666666666,0.3333333333333333,1,Lignin
Feature1118,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,NA,1337575.273,2936214398,2244300.621,3864978.546,2730743350,2709610724,6334381.348,1452916.945,3408916.7,3331327161,3555940520,3019200.354,2905463572,1152327.008,1458970.235,848456.3288,1144880.807,928976.9505,1498877.25,1666499.107,1369394.986,7639616.464,2733248.262,10039561.37,3266691806,3456020.38,2752636953,1202267.564,1275444.568,766134.4163,1257671.26,1034105.866,3708618766,1871689.517,4142134.263,2552407412,744246.3631,1314104.651,775823.4784,1690001.75,1120481.51,2644453.634,2981882295,3119805.093,1195061.98,1696850.766,9111972.244,2740741.326,2740679550,19332099.21,3419783873,1264464.032,3338543.504,3454201817,1275608.337,1736199.008,3267128.718,3163639989,798877.335,1297462.268,1186519.788,Full gap,No gap,Full gap,Full gap,No gap,No gap,Missing ions,Full gap,Full gap,No gap,No gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Full gap,Missing ions,No gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Missing ions,Full gap,No gap,Missing ions,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",11,12,3,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Lignin
Feature1117,Betaine,C5 H11 N O2,117.07895,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of alkaloids derived from shikimate pathway;Lysine degradation;Other,Superpathway of L-lysine degradation;Superpathway of branched chain amino acid biosynthesis;Superpathway of jasmonoyl-amino acid conjugates biosynthesis;Superpathway of linamarin and lotaustralin biosynthesis;Superpathway of indole-3-acetate conjugate biosynthesis;Other,369018.3343,1919482601,1286457342,569440092.9,2262910646,2306095843,2199598426,1589525710,1104206609,2331595742,1482470934,2254406528,1241797417,1899866654,1841279112,511985926.8,1196082960,836430303.3,766546834,669033537.3,2127680066,1907145891,836066203.8,2548625902,1656065794,2070460007,2199504465,1424735787,2695162686,2020390225,1618777545,625263089.3,2097872346,1748475442,2869666389,1871058842,1968767512,905887310.6,373848541.2,1008757415,1522280413,543600588.9,2176810563,1537084848,1807561508,2073699204,1921386623,2032700035,1650464773,671758089.1,1720110875,1386864764,577046974.3,1804589877,747546059.5,1713502590,625744556.6,1998290562,584741990,1939892885,684869491.9,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,No gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,No gap,Missing ions,Missing ions,Missing ions,No gap,No gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,No gap,Missing ions,Missing ions,Missing ions,No gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Betaine,5,11,2,1,0,0,2.2,0.4,-0.7999999999999998,83.1,1,-1,-1,-0.3333333333333333,-2,Protein
Feature1116,NA,C30 H32 O10,552.19968,NA,NA,3958171.278,2559493689,4912022.434,4308153.639,2322310269,1924372638,2315676.839,2294617.205,2661451.904,2082116727,2593329162,2263075.685,2233446859,2270520.192,2307658.909,2246308.686,2323878.109,2373866.318,2163648.625,2204727.048,2291290.975,2187402.473,2426570.201,2384484.412,2785033884,2282788.66,1663753951,2121108.172,2174794.885,2235423.537,2308172.284,2122119.688,2098271207,2308988.918,2387189.408,1401341737,2297911.742,2208519.892,2163347.751,2209561.974,2234581.054,2218598.086,2189613941,2171392.213,2041244.801,2049923.676,3025377.759,2397915.68,1303542358,5754736.121,2608778275,2126233.508,2196677.351,2163196167,2174292.592,2200867.173,2110114.652,1967171375,1989059.136,2112027.176,2232356.872,Full gap,No gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Feature1116,30,32,10,0,0,0,1.0666666666666667,0.3333333333333333,-0.40000000000000036,71.7,15,5,0.25,0.4,5,Lignin
Feature1115,Choline O-Sulfate,C5 H13 N O4 S,183.05656,ABC transporters,NA,226192.0662,1527300321,286982349.1,537223804.1,1629673110,2475555186,115419980.9,73864626.12,229590911.9,1777028603,1102948778,661371833.9,1277895663,49452120.77,1019723652,394989643.6,279805159.1,268522441.2,314480781.3,244901804.3,114979725.4,101651359,401538306,288383417.8,1245387993,117320032.2,1879936762,212968040.3,374324331.5,115415815.8,70015994.11,407308445.6,1715468515,97074466.64,337303847.8,1356561667,116397444.2,375919737.8,27870214.67,49724691.27,775036019.4,598327380.2,2201031533,164775962.6,50480142.92,129447380.1,394573042,360619067.9,1267569228,416091964.6,1010116578,179968482.3,289855299,1555557904,420413390.4,417937969.7,300310951.1,1400679535,318564312.6,105188053.6,370240931.7,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,No gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Choline O-Sulfate,5,13,4,1,1,0,2.6,0.8,0,60.3,0,-4,6,-4,-6,Other
Feature1114,NA,C9 H16 O7,236.0896,NA,NA,445984.1934,1517511620,587323214.8,4444073.945,1636735979,2034837153,1822275792,1373838804,24015093.3,2108674662,1175952879,1746669030,951615046.2,1025281940,195780768,17243058.3,54864685.25,66935918.77,4660140.365,3226255.185,1909100428,1702334667,6235660.271,1277587212,1420463894,1824320017,2188360618,821873446.9,1217015405,1888454942,1422944305,5002389.283,2112405642,1471925231,1276665479,1867264479,1839485384,5800267.389,36617998.79,1187011947,141175559.2,3634336.414,1946546107,1354161604,1084853290,1848518579,1102726002,1236087381,1489033844,12434354.31,1290745690,756886904.5,2294927.356,1573844085,25754125.61,890308334.4,34305109.1,1717502350,17144703.33,1701802383,9067446.973,Full gap,Missing ions,Missing ions,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Full gap,No gap,Missing ions,Missing ions,Missing ions,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Missing ions,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Full gap,Full gap,Missing ions,Full gap,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Full gap,Missing ions,Missing ions,Full gap,Missing ions,Full gap,Missing ions,Full gap,Missing ions,Full gap,Missing ions,Full gap,Feature1114,9,16,7,0,0,0,1.7777777777777777,0.7777777777777778,-0.22222222222222232,66.63333333333333,2,-5,-2.5,-0.2727272727272727,-5,Carbohydrate
Feature1113,L-Phenylalanine,C9 H11 N O2,165.07901,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;ABC transporters;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of various plant secondary metabolites;Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",Superpathway of chorismate metabolism;Superpathway of scopolin and esculin biosynthesis;Superpathway of aromatic amino acid biosynthesis;Anaerobic aromatic compound degradation (Thauera aromatica);Superpathway of jasmonoyl-amino acid conjugates biosynthesis;Superpathway of indole-3-acetate conjugate biosynthesis;Other,200246.0161,93045518.52,1149643166,730689976.4,202838465,870650655.3,1283132347,770929631.2,478419182.8,730507518.8,200423902,463830690.3,533960723.3,558536900.3,1825902464,713038379.7,1317757607,1197493823,547661579.5,414972348.4,1339446069,1075413757,572383317.7,729538501.9,361130693.5,1293061922,632146096.6,620201974.4,628585702.8,1414668990,755474904.7,516460217.1,538803707.9,1007793111,712961347.3,248474961.5,1318578321,551089484.5,14891263.76,405324093.4,1180763402,582306654.3,401872549,761283285.7,507496214.1,1322213614,1087002954,589482489.6,239768579.4,480732630.5,221394545.5,834730360.4,335744326.9,420494492.2,893934174.9,1196153380,941576170.9,297773297.5,1067649392,1123052324,489248210.4,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,No gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,L-Phenylalanine-peak2,9,11,2,1,0,0,1.2222222222222223,0.2222222222222222,-0.44444444444444464,72.96666666666667,5,3,0.3333333333333333,0.42857142857142855,2,Lignin
