FeatureID,Name,Formula,MW,KEGG Pathways,Metabolika Pathways,name4plot,C,H,O,N,S,P,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature1694,α-Lactose,C12 H22 O11,342.11629,Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Other,Other,α-Lactose-peak2,12,22,11,0,0,0,1.8333333333333333,0.9166666666666666,0,60.3,2,-9,-9,-0.5384615384615384,-9,Carbohydrate,372727843.0740743,158306856.01715255,0.4247250613517792,-1.2353988559425688,0.2810734023876923,0.9991396619206181,Downregulated
Feature1693,Phenacetin,C10 H13 N O2,179.09462,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of alkaloids derived from shikimate pathway;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",NA,Phenacetin-peak6,10,13,2,1,0,0,1.3,0.2,-0.5999999999999996,77.39999999999999,5,3,0.2857142857142857,0.375,2,Lignin,5518659.195653943,8221541.95245605,1.489771638540514,0.5750912023690689,0.567735943872118,0.9991396619206181,Upregulated
Feature1692,"4-({4-[(2,4-Dihydroxy-3,6-dimethylbenzoyl)oxy]-2-methoxy-3,5,6-trimethylbenzoyl}oxy)-2-methoxy-3,5,6-trimethylbenzoic acid",C31 H34 O10,566.21535,Biosynthesis of secondary metabolites;Other,NA,"4-({4-[(2,4-Dihydroxy-3,6-dimethylbenzoyl)oxy]-2-methoxy-3,5,6-trimethylbenzoyl}oxy)-2-methoxy-3,5,6-trimethylbenzoic acid-peak2",31,34,10,0,0,0,1.096774193548387,0.3225806451612903,-0.4516129032258061,73.17096774193547,15,5,0.23809523809523808,0.38461538461538464,5,Lignin,1394385.6442256833,1387834.17387565,0.9953015362879245,-0.0067944245043763075,0.9855916404670859,0.9991396619206181,Downregulated
Feature1691,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,195.08956,Other,NA,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime-peak5",10,13,3,1,0,0,1.3,0.3,-0.4000000000000003,71.7,5,2,0.16666666666666666,0.3333333333333333,1,Lignin,1912300.43273814,1477193.019210563,0.7724691130752057,-0.3724508464063811,0.6422919848926445,0.9991396619206181,Downregulated
Feature1690,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,NA,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak13",11,12,3,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Lignin,1157524.8152596313,1225828.3111189972,1.0590082346044958,0.08271380743873051,0.87834982616974,0.9991396619206181,Upregulated
Feature1689,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,195.08956,Other,NA,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime-peak4",10,13,3,1,0,0,1.3,0.3,-0.4000000000000003,71.7,5,2,0.16666666666666666,0.3333333333333333,1,Lignin,6068167.047037956,6374846.221433314,1.0505390131843941,0.0711297394336607,0.727156090440533,0.9991396619206181,Upregulated
Feature1688,Betaine,C5 H11 N O2,117.07895,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of alkaloids derived from shikimate pathway;Lysine degradation;Other,Superpathway of L-lysine degradation;Superpathway of branched chain amino acid biosynthesis;Superpathway of jasmonoyl-amino acid conjugates biosynthesis;Superpathway of linamarin and lotaustralin biosynthesis;Superpathway of indole-3-acetate conjugate biosynthesis;Other,Betaine-peak2,5,11,2,1,0,0,2.2,0.4,-0.7999999999999998,83.1,1,-1,-1,-0.3333333333333333,-2,Protein,864509321.326771,730965968.1581237,0.8455269944762458,-0.24207727972540408,0.5910540768029944,0.9991396619206181,Downregulated
Feature1687,NA,C30 H32 O10,552.19968,NA,NA,Feature1687,30,32,10,0,0,0,1.0666666666666669,0.3333333333333333,-0.4000000000000003,71.7,15,5,0.25,0.4,5,Lignin,2482463.9244157798,1636337.08556461,0.659158455222951,-0.6013027782348456,0.16710516556839555,0.9991396619206181,Downregulated
Feature1686,Phenacetin,C10 H13 N O2,179.09467,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of alkaloids derived from shikimate pathway;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",NA,Phenacetin-peak5,10,13,2,1,0,0,1.3,0.2,-0.5999999999999996,77.39999999999999,5,3,0.2857142857142857,0.375,2,Lignin,5628689.8139399,4654985.409955637,0.8270104702567183,-0.2740225003253662,0.23400658565415755,0.9991396619206181,Downregulated
Feature1685,Choline O-Sulfate,C5 H13 N O4 S,183.05656,ABC transporters,NA,Choline O-Sulfate,5,13,4,1,1,0,2.6,0.8,0,60.3,0,-4,6,-4,-6,Other,252735526.35082468,216238497.176916,0.8555920107438841,-0.22500508376588244,0.7497448940559441,0.9991396619206181,Downregulated
