FeatureID,name4plot,KEGG Pathways,Formula,MW,Comment,log2FC,pval
Feature1657,"3',4'-Dimethoxyacetophenone-peak2",Metabolic pathways,C10 H12 O3,180.07864,Downregulated,-2.3357630109703793,0.017927989918775457
Feature1657,"3',4'-Dimethoxyacetophenone-peak2",Biosynthesis of secondary metabolites,C10 H12 O3,180.07864,Downregulated,-2.3357630109703793,0.017927989918775457
Feature1657,"3',4'-Dimethoxyacetophenone-peak2",Phenylpropanoid biosynthesis,C10 H12 O3,180.07864,Downregulated,-2.3357630109703793,0.017927989918775457
Feature1657,"3',4'-Dimethoxyacetophenone-peak2",Biosynthesis of phenylpropanoids,C10 H12 O3,180.07864,Downregulated,-2.3357630109703793,0.017927989918775457
Feature1657,"3',4'-Dimethoxyacetophenone-peak2",Biosynthesis of various plant secondary metabolites,C10 H12 O3,180.07864,Downregulated,-2.3357630109703793,0.017927989918775457
Feature1657,"3',4'-Dimethoxyacetophenone-peak2",Other,C10 H12 O3,180.07864,Downregulated,-2.3357630109703793,0.017927989918775457
Feature1643,Beauvericin,NA,C45 H57 N3 O9,783.40966,Upregulated,2.842342405984824,0.016396597821479453
Feature1637,DL-Stachydrine,ABC transporters,C7 H13 N O2,143.09464,Upregulated,2.6771101773041126,0.014316466945853944
Feature1568,Penicillic acid-peak2,Metabolic pathways,C8 H10 O4,170.05795,Upregulated,3.3933043209403424,0.0027036879046477293
Feature1568,Penicillic acid-peak2,Microbial metabolism in diverse environments,C8 H10 O4,170.05795,Upregulated,3.3933043209403424,0.0027036879046477293
Feature1568,Penicillic acid-peak2,Degradation of aromatic compounds,C8 H10 O4,170.05795,Upregulated,3.3933043209403424,0.0027036879046477293
Feature1568,Penicillic acid-peak2,Tyrosine metabolism,C8 H10 O4,170.05795,Upregulated,3.3933043209403424,0.0027036879046477293
Feature1568,Penicillic acid-peak2,Other,C8 H10 O4,170.05795,Upregulated,3.3933043209403424,0.0027036879046477293
Feature1560,Feature1560,NA,C21 H31 N O12,489.18471,Downregulated,-2.8083598773622813,0.003119669189652396
Feature1559,Succinyl proline-peak2,Other,C9 H13 N O5,215.07946,Downregulated,-2.675346053635272,0.0031050297913786076
Feature1499,Feature1499,NA,C18 H31 N O11,437.18971,Downregulated,-2.025002263838454,0.005033069785939504
Feature1485,Isoferulic acid,Metabolic pathways,C10 H10 O4,194.05792,Upregulated,2.851024689404438,0.01698255319443866
Feature1485,Isoferulic acid,Biosynthesis of secondary metabolites,C10 H10 O4,194.05792,Upregulated,2.851024689404438,0.01698255319443866
Feature1485,Isoferulic acid,Phenylpropanoid biosynthesis,C10 H10 O4,194.05792,Upregulated,2.851024689404438,0.01698255319443866
Feature1485,Isoferulic acid,Biosynthesis of phenylpropanoids,C10 H10 O4,194.05792,Upregulated,2.851024689404438,0.01698255319443866
Feature1456,4-Phenylbutyric acid,Metabolic pathways,C10 H12 O2,164.08376,Downregulated,-3.5512175946506295,0.013363651993045705
Feature1456,4-Phenylbutyric acid,Microbial metabolism in diverse environments,C10 H12 O2,164.08376,Downregulated,-3.5512175946506295,0.013363651993045705
Feature1456,4-Phenylbutyric acid,Degradation of aromatic compounds,C10 H12 O2,164.08376,Downregulated,-3.5512175946506295,0.013363651993045705
Feature1456,4-Phenylbutyric acid,Phenylpropanoid biosynthesis,C10 H12 O2,164.08376,Downregulated,-3.5512175946506295,0.013363651993045705
Feature1456,4-Phenylbutyric acid,Other,C10 H12 O2,164.08376,Downregulated,-3.5512175946506295,0.013363651993045705
Feature1447,Feature1447,NA,C11 H19 N3 O2,225.14773,Downregulated,-2.2042512723774155,0.048539754574092785
Feature1415,"9S,13R-12-Oxophytodienoic acid",Metabolic pathways,C18 H28 O3,292.20376,Upregulated,2.242445727514161,0.0059848015792485065
Feature1415,"9S,13R-12-Oxophytodienoic acid",Biosynthesis of secondary metabolites,C18 H28 O3,292.20376,Upregulated,2.242445727514161,0.0059848015792485065
