FeatureID,Name,Formula,MW,KEGG Pathways,Metabolika Pathways,name4plot,C,H,N,O,P,S,F,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,SampleID,AUC,Plant,Fungi
Feature0525,pyr-gln-OH,C10 H15 N3 O5,257.10125,NA,NA,pyr-gln-OH,10,15,3,5,0,0,0,0,1.5,0.5,0.3999999999999999,48.9,5,0,-1.5,-0.1111111111111111,-3,Protein,6,63685.28378,LEDU,1177
Feature0524,Hypoxanthine,C5 H4 N4 O,136.03856,Metabolic pathways;Other,Superpathway of purine nucleotide salvage;Other,Hypoxanthine,5,4,4,1,0,0,0,0,0.8,0.2,2,3.299999999999997,6,5,Inf,3,1,Condensed HC,6,8623591.895,LEDU,1177
Feature0523,beta-D-Xylopyranosyl-(1->4)-beta-D-xylopyranosyl-(1->4)-beta-D-xylopyranosyl-(1->4)-beta-D-xylopyranose,C20 H34 O17,546.17965,ABC transporters,NA,beta-D-Xylopyranosyl-(1->4)-beta-D-xylopyranosyl-(1->4)-beta-D-xylopyranosyl-(1->4)-beta-D-xylopyranose-peak2,20,34,0,17,0,0,0,0,1.7,0.85,0,60.3,4,-13,-4.333333333333333,-0.391304347826087,-13,Carbohydrate,6,100122.918,LEDU,1177
Feature0522,NA,C16 H30 N2 O14,474.16984,NA,NA,Feature0522,16,30,2,14,0,0,0,0,1.875,0.875,0.25,53.175,3,-11,-Inf,-0.8571428571428571,-13,Carbohydrate,6,80550.95585,LEDU,1177
Feature0521,(+)-[6]-Gingerol,C17 H26 O4,294.18323,Biosynthesis of secondary metabolites;Other,NA,(+)-[6]-Gingerol,17,26,0,4,0,0,0,0,1.5294117647058822,0.23529411764705882,-1.0588235294117645,90.47647058823529,5,1,0.07692307692307693,0.2,1,Lipid,6,4865814.249,LEDU,1177
Feature0520,NA,C9 H11 N8 P S,294.05636,NA,NA,Feature0520,9,11,8,0,1,1,0,0,1.2222222222222223,0,1.1111111111111112,28.63333333333333,9,9,1,1,-1,Unsaturated HC,6,675416.5742,LEDU,1177
Feature0519,NA,C9 H21 N O6,239.13682,NA,NA,Feature0519,9,21,1,6,0,0,0,0,2.3333333333333335,0.6666666666666666,-0.666666666666667,79.30000000000001,0,-6,-3.5,-0.8,-7,Other,6,299036.8472,LEDU,1177
Feature0518,Homogentisic acid,C8 H8 O4,168.04221,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Degradation of aromatic compounds;Other,Superpathway of aromatic compound degradation via 2-oxopent-4-enoate;Superpathway of aromatic compound degradation via 3-oxoadipate;Other,Homogentisic acid-peak2,8,8,0,4,0,0,0,0,1,0.5,0,60.3,5,1,0.25,0.5,1,Lignin,6,1833538.307,LEDU,1177
Feature0517,D-Xylulosonic acid,C5 H8 O6,164.03204,NA,NA,D-Xylulosonic acid-peak4,5,8,0,6,0,0,0,0,1.6,1.2,0.7999999999999998,37.5,2,-4,4,-0.5,-4,Carbohydrate,6,3388866.376,LEDU,1177
Feature0516,NA,C11 H15 N5 O6,313.10235,NA,NA,Feature0516,11,15,5,6,0,0,0,0,1.3636363636363635,0.5454545454545454,1.0909090909090908,29.209090909090907,7,1,-Inf,-0.3333333333333333,-4,Lignin,6,149102012.3,LEDU,1177
Feature0515,NA,C6 H3 N3 O9 P2 S,354.90656,NA,NA,Feature0515,6,3,3,9,2,1,0,0,0.5,1.5,2.666666666666667,-15.700000000000017,8,-1,0.7777777777777778,0.5555555555555556,-7,Other,6,3389712.881,LEDU,1177
Feature0514,2-(alpha-D-mannosyl)-D-glyceric acid,C9 H16 O9,268.07951,Metabolic pathways;ABC transporters;Fructose and mannose metabolism;Phosphotransferase system (PTS);Other,Superpathway of CMP-sialic acids biosynthesis;Superpathway of purine nucleotide salvage;Other,2-(alpha-D-mannosyl)-D-glyceric acid,9,16,0,9,0,0,0,0,1.7777777777777777,1,0.22222222222222232,53.96666666666666,2,-7,-Inf,-0.5555555555555556,-7,Carbohydrate,6,17385976.68,LEDU,1177
Feature0513,Arabinosylhypoxanthine,C10 H12 N4 O5,268.08079,Metabolic pathways;ABC transporters;Other,Superpathway of purine nucleotide salvage;Other,Arabinosylhypoxanthine,10,12,4,5,0,0,0,0,1.2,0.5,1,31.799999999999997,7,2,-2,0.14285714285714285,-2,Lignin,6,7878434.273,LEDU,1177
Feature0512,meglumine,C7 H17 N O5,195.11071,NA,NA,meglumine,7,17,1,5,0,0,0,0,2.4285714285714284,0.7142857142857143,-0.5714285714285712,76.58571428571427,0,-5,-6,-1,-6,Carbohydrate,6,85048001.38,LEDU,1177
Feature0511,Guanosine,C10 H13 N5 O5,283.09172,Metabolic pathways;ABC transporters;Other,Superpathway of purine nucleotide salvage;Other,Guanosine,10,13,5,5,0,0,0,0,1.3,0.5,1.2000000000000002,26.099999999999994,7,2,-Inf,-0.2,-3,Lignin,6,15907053.42,LEDU,1177
Feature0510,"alpha-L-Glucopyranosyl-(1->4)-alpha-L-glucopyranosyl-(1->4)-alpha-L-glucopyranosyl-(1->4)-alpha-L-glucopyranosyl-(1->4)-alpha-L-glucopyranosyl-(1->4)-alpha-D-glucopyranosyl-(1->4)-alpha-D-glucopyranos
yl-(1->4)-alpha-D-glucopyranosyl-(1->4)-D-glucopyranose",C54 H92 O46,1476.4853,NA,NA,"alpha-L-Glucopyranosyl-(1->4)-alpha-L-glucopyranosyl-(1->4)-alpha-L-glucopyranosyl-(1->4)-alpha-L-glucopyranosyl-(1->4)-alpha-L-glucopyranosyl-(1->4)-alpha-D-glucopyranosyl-(1->4)-alpha-D-glucopyranos
yl-(1->4)-alpha-D-glucopyranosyl-(1->4)-D-glucopyranose",54,92,0,46,0,0,0,0,1.7037037037037037,0.8518518518518519,0,60.3,9,-37,-4.625,-0.45161290322580644,-37,Carbohydrate,6,201576.8922,LEDU,1177
Feature0509,N-Acetylneuraminic acid,C11 H19 N O9,309.10612,Metabolic pathways;Other,Superpathway of CMP-sialic acids biosynthesis;Other,N-Acetylneuraminic acid,11,19,1,9,0,0,0,0,1.7272727272727273,0.8181818181818182,0.18181818181818166,55.11818181818182,3,-6,-7,-0.45454545454545453,-7,Carbohydrate,6,372386.073,LEDU,1177
Feature0508,L-(+)-Lactic acid,C3 H6 O3,90.03171,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Galactose metabolism;Carbon metabolism;Fructose and mannose metabolism;Glucagon signaling pathway;Central carbon metabolism in cancer;Other,Superpathway of anaerobic sucrose degradation;Superpathway of microbial D-galacturonate and D-glucuronate degradation;Homolactic fermentation;Superpathway of coenzyme A biosynthesis II (plants);Other,L-(+)-Lactic acid-peak2,3,6,0,3,0,0,0,0,2,1,0,60.3,1,-2,-Inf,-0.3333333333333333,-2,Carbohydrate,6,97102553.65,LEDU,1177
Feature0507,Pseudouridine,C9 H12 N2 O6,244.0695,Metabolic pathways;ABC transporters;Other,Other,Pseudouridine-peak2,9,12,2,6,0,0,0,0,1.3333333333333333,0.6666666666666666,0.6666666666666665,41.3,5,-1,-3,0,-3,Tannin,6,4112071.042,LEDU,1177
Feature0506,4-Oxoproline,C5 H7 N O3,129.04265,Metabolic pathways;Biosynthesis of secondary metabolites;Other,Superpathway of butirocin biosynthesis;Other,4-Oxoproline-peak2,5,7,1,3,0,0,0,0,1.4,0.6,0.3999999999999999,48.9,3,0,-1,0.2,-1,Lignin,6,2039124.593,LEDU,1177
Feature0505,N-Acetylornithine,C7 H14 N2 O3,174.1004,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Other,Other,N-Acetylornithine-peak2,7,14,2,3,0,0,0,0,2,0.42857142857142855,-0.2857142857142856,68.44285714285714,2,-1,-1.5,-0.42857142857142855,-3,Protein,6,482930.7452,LEDU,1177
Feature0504,NA,C19 H36 N2 O15,532.21176,NA,NA,Feature0504,19,36,2,15,0,0,0,0,1.894736842105263,0.7894736842105263,0,60.3,3,-12,-7,-0.6842105263157895,-14,Carbohydrate,6,64862.41705,LEDU,1177
Feature0503,Allantoin,C4 H6 N4 O3,158.04394,Metabolic pathways;Microbial metabolism in diverse environments;Other,Other,Allantoin,4,6,4,3,0,0,0,0,1.5,0.75,3,-25.200000000000003,4,1,1,1,-3,Carbohydrate,6,1018524.944,LEDU,1177
Feature0502,NA,C18 H34 O17,522.17965,NA,NA,Feature0502,18,34,0,17,0,0,0,0,1.8888888888888888,0.9444444444444444,0,60.3,2,-15,-15,-0.6842105263157895,-15,Carbohydrate,6,83164.36987,LEDU,1177
Feature0501,NA,C8 H N2 O4 P,219.96744,NA,NA,Feature0501,8,1,2,4,1,0,0,0,0.125,0.5,1,31.799999999999997,10,6,3,1.6666666666666667,3,Other,6,22025116.92,LEDU,1177
Feature0500,NA,C6 H2 O3 S3,217.91667,NA,NA,Feature0500,6,2,0,3,0,3,0,0,0.3333333333333333,0.5,1.6666666666666665,12.800000000000004,6,3,NA,1,0,Condensed HC,6,20610112.85,LEDU,1177
Feature0499,DL-Arginine,C6 H14 N4 O2,174.11162,Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;Central carbon metabolism in cancer;Other,Other,DL-Arginine,6,14,4,2,0,0,0,0,2.3333333333333335,0.3333333333333333,0.3333333333333335,50.8,2,0,-Inf,-3,-4,Other,6,33300913.54,LEDU,1177
Feature0498,D-(+)-Maltose,C12 H22 O11,342.11623,Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Galactose metabolism;Phosphotransferase system (PTS);Other,Superpathway of anaerobic sucrose degradation;Chitin biosynthesis;Superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis;Other,D-(+)-Maltose-peak4,12,22,0,11,0,0,0,0,1.8333333333333333,0.9166666666666666,0,60.3,2,-9,-9,-0.5384615384615384,-9,Carbohydrate,6,561990.9588,LEDU,1177
Feature0497,Leu-Val,C11 H22 N2 O3,230.16303,NA,NA,Leu-Val,11,22,2,3,0,0,0,0,2,0.2727272727272727,-0.9090909090909092,86.2090909090909,2,-1,-0.5,-0.2,-3,Lipid,6,2367563.646,LEDU,1177
