SampleID,Plant,Fungi
2,CTRL,CTRL
3,LEDU,1154
4,BOCU,1246
5,LEDU,1154
6,LEDU,1177
7,BOCU,1154
1,ERIN,1177
8,ERIN,1246
9,ERLE,1154
10,CTRL,1154
11,ERIN,1246
12,ERLE,1177
13,ERLE,1246
14,CTRL,1177
15,BOCU,1177
16,ERLE,CTRL
17,ERIN,CTRL
18,BOCU,1154
19,CTRL,1246
20,ERIN,1154
21,LEDU,1177
22,BOCU,CTRL
23,CTRL,1177
24,ERLE,1177
25,ERIN,CTRL
26,LEDU,1246
27,LEDU,1177
28,ERLE,CTRL
29,LEDU,1246
30,ERLE,1154
31,BOCU,CTRL
32,ERLE,CTRL
33,BOCU,1177
34,ERLE,1177
35,LEDU,1246
36,ERIN,CTRL
37,ERLE,1246
38,BOCU,1177
39,ERIN,1177
40,CTRL,CTRL
41,CTRL,CTRL
42,ERIN,1154
43,ERIN,1154
44,BOCU,1154
45,LEDU,1154
46,CTRL,1154
47,CTRL,1177
48,LEDU,CTRL
49,ERIN,1246
50,BOCU,CTRL
51,ERLE,1246
52,BOCU,1246
53,ERIN,1177
54,LEDU,CTRL
55,LEDU,CTRL
56,BOCU,1246
57,CTRL,1246
58,ERLE,1154
59,CTRL,1154
60,CTRL,1246
B,n/a,n/a
