FeatureID,Name,Formula,MW,KEGG Pathways,Metabolika Pathways,name4plot,C,H,O,N,S,P,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment,KEGGPathways
Feature1675,N-(3-Carboxypropanoyl)-5-hydroxynorvaline,C9 H15 N O6,233.08991,NA,NA,N-(3-Carboxypropanoyl)-5-hydroxynorvaline-peak2,9,15,6,1,0,0,1.6666666666666667,0.6666666666666666,0,60.3,3,-3,-2,-0.2,-4,Amino Sugar,40546001.36535553,82382659.00750497,2.0318319003929375,1.0227810485169346,0.04071451906315936,0.8724505635080375,Upregulated,NA
Feature1672,1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose,C10 H19 N O7,265.11614,NA,NA,1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose-peak3,10,19,7,1,0,0,1.9,0.7,-0.20000000000000015,66,2,-5,-3,-0.4545454545454546,-6,Amino Sugar,19605220.577863898,77770413.12750827,3.966821633994684,1.9879835289335217,0.009674860773980474,0.8724505635080375,Upregulated,NA
Feature1486,dihydropyranone,C5 H6 O2,98.03676,Microbial metabolism in diverse environments;Other,NA,dihydropyranone-peak3,5,6,2,0,0,0,1.2,0.4,-0.4000000000000003,71.7,3,1,0.3333333333333333,0.5,1,Lignin,31503809.92124667,12250563.2308013,0.3888597366929682,-1.3626782318831432,0.00682032033217491,0.8724505635080375,Downregulated,Microbial metabolism in diverse environments;Other
Feature1477,NA,C11 H20 N4 O3,256.15356,NA,NA,Feature1477,11,20,3,4,0,0,1.818181818181818,0.2727272727272727,-0.18181818181818168,65.48181818181817,4,1,-0.75,-0.2727272727272727,-3,Lipid,1559266.52478309,734609.0563064041,0.4711247529722962,-1.0858189614545872,0.04084324697753125,0.8724505635080375,Downregulated,NA
Feature1438,"5-[(Z)-(4-Ethyl-3-methyl-5-oxo-1,5-dihydro-2H-pyrrol-2-ylidene)methyl]-5-methoxy-3-methyl-4-vinyl-1,5-dihydro-2H-pyrrol-2-one",C16 H20 N2 O3,288.14735,NA,Superpathway of indole-3-acetate conjugate biosynthesis,"5-[(Z)-(4-Ethyl-3-methyl-5-oxo-1,5-dihydro-2H-pyrrol-2-ylidene)methyl]-5-methoxy-3-methyl-4-vinyl-1,5-dihydro-2H-pyrrol-2-one-peak2",16,20,3,2,0,0,1.25,0.1875,-0.5,74.55,8,5,0.2727272727272727,0.36,3,Lignin,78841666.87127073,32292628.993125066,0.40958835948827765,-1.2877533803970367,0.009737525859349842,0.8724505635080375,Downregulated,NA
Feature1434,1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose,C10 H19 N O7,265.11624,NA,NA,1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose-peak1,10,19,7,1,0,0,1.9,0.7,-0.20000000000000015,66,2,-5,-3,-0.4545454545454546,-6,Amino Sugar,20599008.89262696,66458261.04691493,3.2262844000568616,1.689873619047446,0.016379213110374498,0.8724505635080375,Upregulated,NA
Feature1414,NA,C14 H25 N O12,399.13775,NA,NA,Feature1414,14,25,12,1,0,0,1.7857142857142858,0.8571428571428571,0.1428571428571428,56.22857142857143,3,-9,-10,-0.5714285714285714,-10,Carbohydrate,6594752.180620583,2664912.4594703466,0.40409592149671525,-1.3072303042819926,0.02024382029810207,0.8724505635080375,Downregulated,NA
Feature1408,Isoamylamine,C5 H13 N,87.10481,NA,NA,Isoamylamine,5,13,0,1,0,0,2.6,0,-2,117.3,0,0,-0.25,-0.25,-1,Other,18233775.46466988,57727442.406315766,3.165962118935247,1.6626439935827337,0.01192803360588303,0.8724505635080375,Upregulated,NA
Feature1195,"2-oxa-4-azatetracyclo[6.3.1.1~6,10~.0~1,5~]tridecan-3-one",C11 H15 N O2,193.11027,NA,NA,"2-oxa-4-azatetracyclo[6.3.1.1~6,10~.0~1,5~]tridecan-3-one",11,15,2,1,0,0,1.3636363636363635,0.18181818181818185,-0.7272727272727275,81.02727272727273,5,3,0.25,0.3333333333333333,2,Lignin,14068879.066705199,28973799.437954232,2.0594248696417026,1.0422414958723918,0.003508572915175959,0.8724505635080375,Upregulated,NA
Feature1125,"8-Methyl-8-azabicyclo[3.2.1]octane-1,2,3,4,6-pentol",C8 H15 N O5,205.09502,NA,NA,"8-Methyl-8-azabicyclo[3.2.1]octane-1,2,3,4,6-pentol",8,15,5,1,0,0,1.875,0.625,-0.25,67.425,2,-3,-2,-0.3333333333333333,-4,Amino Sugar,5467367.782159046,11230074.92524406,2.054018564818286,1.038449221213186,0.04317074129017043,0.8724505635080375,Upregulated,NA
