FeatureID,Name,Formula,MW,KEGG Pathways,Metabolika Pathways,name4plot,C,H,O,N,S,P,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment,KEGGPathways
Feature1633,Isoleucine,C6 H13 N O2,131.0946,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant secondary metabolites;ABC transporters;Other,Superpathway of branched chain amino acid biosynthesis;Superpathway of jasmonoyl-amino acid conjugates biosynthesis;Superpathway of linamarin and lotaustralin biosynthesis;Superpathway of L-threonine metabolism;Superpathway of L-isoleucine biosynthesis I;Superpathway of indole-3-acetate conjugate biosynthesis,Isoleucine-peak1,6,13,2,1,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,55412697.3602394,128426589.54424356,2.317638297037571,1.212655429248782,0.04816531565774534,0.484170640650723,Upregulated,Biosynthesis of secondary metabolites
Feature1569,Adenine,C5 H5 N5,135.05448,Metabolic pathways;Biosynthesis of secondary metabolites;Other,Superpathway of purine nucleotide salvage;Other,Adenine,5,5,0,5,0,0,1,0,2,3.299999999999997,6,6,Inf,Inf,1,Unsaturated HC,925137.237889273,26965428.214324668,29.14748981010327,4.865299738366278,0.015845028129944295,0.484170640650723,Upregulated,Biosynthesis of secondary metabolites
Feature1543,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,NA,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak7",11,12,3,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Lignin,29714214.7452173,134836960.86196268,4.537793174684705,2.1819908547888804,0.0018363819470879922,0.33240884501639273,Upregulated,Biosynthesis of secondary metabolites
Feature1511,Hordenine,C10 H15 N O,165.11539,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of alkaloids derived from shikimate pathway;Tyrosine metabolism;Other,NA,Hordenine,10,15,1,1,0,0,1.5,0.1,-1,88.8,4,3,0.25,0.29411764705882354,2,Lipid,63212246.31012973,102623825.18198967,1.623480119318972,0.6990897178943786,0.04439493911160618,0.484170640650723,Upregulated,Biosynthesis of secondary metabolites
Feature1506,Thymidine,C10 H14 N2 O5,242.09029,Metabolic pathways;Biosynthesis of secondary metabolites;Other,Other,Thymidine,10,14,5,2,0,0,1.4,0.5,0.20000000000000015,54.599999999999994,5,0,-0.6666666666666666,0.09090909090909093,-2,Lignin,28870763.695301034,41350937.9230023,1.4322772462625408,0.5183107824717822,0.024809720815422417,0.484170640650723,Upregulated,Biosynthesis of secondary metabolites
Feature1504,Pyrogallol,C6 H6 O3,126.03166,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Aminobenzoate degradation;Other,NA,Pyrogallol-peak2,6,6,3,0,0,0,1,0.5,0,60.3,4,1,0.3333333333333333,0.5555555555555556,1,Lignin,971934.838209832,1831469.6514202934,1.8843543614442346,0.9140702958557815,0.042343578144506774,0.484170640650723,Upregulated,Biosynthesis of secondary metabolites
Feature1448,Phloroglucinol,C6 H6 O3,126.03166,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Aminobenzoate degradation;Other,NA,Phloroglucinol-peak2,6,6,3,0,0,0,1,0.5,0,60.3,4,1,0.3333333333333333,0.5555555555555556,1,Lignin,71406768.10476036,99573886.01437443,1.39446005829994,0.4797066116571144,0.01247281412788056,0.484170640650723,Upregulated,Biosynthesis of secondary metabolites
Feature1350,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,NA,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak5",11,12,3,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Lignin,16342494.940269733,59465279.81577896,3.638690422308155,1.86341931273506,4.3532741675728407e-4,0.33240884501639273,Upregulated,Biosynthesis of secondary metabolites
Feature1099,mycosporine,C11 H19 N O6,261.12118,Biosynthesis of secondary metabolites;Other,Superpathway of linamarin and lotaustralin biosynthesis,mycosporine-peak2,11,19,6,1,0,0,1.7272727272727273,0.5454545454545454,-0.3636363636363633,70.66363636363636,3,-3,-1,-0.14285714285714285,-4,Protein,11710088.258761033,20560134.9551129,1.7557625955321563,0.8120977848487692,0.0368602950041145,0.484170640650723,Upregulated,Biosynthesis of secondary metabolites
Feature1067,Maltol,C6 H6 O3,126.03166,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Aminobenzoate degradation;Other,NA,Maltol,6,6,3,0,0,0,1,0.5,0,60.3,4,1,0.3333333333333333,0.5555555555555556,1,Lignin,8854794.420303829,26157449.619862135,2.954043694101326,1.5626911655736215,0.014576023711027484,0.484170640650723,Upregulated,Biosynthesis of secondary metabolites
Feature1048,Xanthine,C5 H4 N4 O2,152.03344,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of plant secondary metabolites;Other,Other,Xanthine,5,4,2,4,0,0,0.8,0.4,2.4,-8.099999999999994,6,4,-0,Inf,0,Condensed HC,78816.34809170307,113750.2711029714,1.4432319418126631,0.5293031739891718,0.02969149750549555,0.484170640650723,Upregulated,Biosynthesis of secondary metabolites
Feature1038,"2-(2,4-Dihydroxy-5-methoxyphenyl)-5,7-dihydroxy-6-(3-methyl-2-buten-1-yl)-2,3-dihydro-4H-chromen-4-one",C21 H22 O7,386.13664,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of various plant secondary metabolites,NA,"2-(2,4-Dihydroxy-5-methoxyphenyl)-5,7-dihydroxy-6-(3-methyl-2-buten-1-yl)-2,3-dihydro-4H-chromen-4-one",21,22,7,0,0,0,1.0476190476190477,0.3333333333333333,-0.3809523809523814,71.15714285714287,11,4,0.2857142857142857,0.42857142857142855,4,Lignin,4948527.255884304,20787683.800631966,4.200781914642036,2.070657889649383,0.0025562306262978144,0.33240884501639273,Upregulated,Biosynthesis of secondary metabolites
Feature0988,NA,C14 H27 N O9,353.16869,Biosynthesis of secondary metabolites;Other,NA,Feature0988,14,27,9,1,0,0,1.9285714285714288,0.6428571428571429,-0.4285714285714288,72.51428571428572,2,-7,-2,-0.4117647058823529,-8,Amino Sugar,126906.75671703297,8229757.723741744,64.84885388799141,6.019009171990049,0.04809015781236562,0.484170640650723,Upregulated,Biosynthesis of secondary metabolites
Feature0874,Azobenzene,C12 H10 N2,182.08443,Biosynthesis of secondary metabolites;Biosynthesis of alkaloids derived from shikimate pathway;Other,NA,Azobenzene-peak1,12,10,0,2,0,0,0.8333333333333334,0,-0.33333333333333304,69.79999999999998,9,9,0.7,0.7,7,Unsaturated HC,10999124.12223119,16281441.7430494,1.4802489327438086,0.5658398135809931,0.02950998753842851,0.484170640650723,Upregulated,Biosynthesis of secondary metabolites
Feature0788,2-Amino-3-methoxybenzoic acid,C8 H9 N O3,167.05827,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Other,Other,2-Amino-3-methoxybenzoic acid,8,9,3,1,0,0,1.125,0.375,0,60.3,5,2,0.25,0.4545454545454546,1,Lignin,4228689.623935146,7942410.45030173,1.8782202423526793,0.90936624505763,0.028875085985084082,0.484170640650723,Upregulated,Biosynthesis of secondary metabolites
Feature0636,Acetophenone,C8 H8 O,120.05748,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Phenylpropanoid biosynthesis;Phenylalanine metabolism;Other,Anaerobic aromatic compound degradation (Thauera aromatica);Other,Acetophenone-peak2,8,8,1,0,0,0,1,0.125,-0.75,81.675,5,4,0.5714285714285714,0.6,4,Unsaturated HC,2484867.111322697,5640284.415131073,2.2698535424410466,1.182599213634915,0.04797979497904209,0.484170640650723,Upregulated,Biosynthesis of secondary metabolites
Feature0212,Amino-levulinic acid,C5 H9 N O3,131.05828,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Other,Other,Amino-levulinic acid,5,9,3,1,0,0,1.8,0.6,0,60.3,2,-1,-2,-0.2,-2,Amino Sugar,2034718.66921135,2803041.8630340733,1.3776065976337273,0.4621639572192494,0.007610999974813546,0.4445873778391085,Upregulated,Biosynthesis of secondary metabolites
Feature0007,(Z)-dehydrobutyrine,C4 H7 N O2,101.04765,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Other,Superpathway of branched chain amino acid biosynthesis;Superpathway of jasmonoyl-amino acid conjugates biosynthesis;Superpathway of L-threonine metabolism;Superpathway of L-isoleucine biosynthesis I;Other,(Z)-dehydrobutyrine-peak1,4,7,2,1,0,0,1.75,0.5,0,60.3,2,0,-1,0,-1,Protein,2453098.2932700533,2919743.9008849235,1.1902270320333628,0.2512367892880528,0.00630498319666875,0.4233174293522737,Upregulated,Biosynthesis of secondary metabolites
