FeatureID,Name,Formula,MW,KEGG.Pathways,name4plot,C,H,O,NA.,F,N,Cl,P,S,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0550,NA,C23 H38 O5,354.27704,NA,Feature0550,23,38,5,0,0,0,0,0,0,1.6521739130434783,0.21739130434782608,-1.2173913043478262,94.99565217391304,5,0,0,0.12195121951219512,0,Lipid,23.729379940913066,24.933406077585232,1.0507398903667198,0.07140557574949866,0.3066775410361105,0.46842933017450594,Upregulated
Feature0549,NA,NA,684.19664,NA,Feature0549,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,23.064889412682934,25.364848370468334,1.09971688641701,0.13713216090141064,0.07331303823841406,0.2880155073651981,Upregulated
Feature0548,NA,C14 H10 F N O2,243.07186,NA,Feature0548,14,10,2,0,1,1,0,0,0,0.7142857142857143,0.14285714285714285,-0.2142857142857144,66.40714285714286,10.5,8.5,0.6818181818181818,0.7083333333333334,7.5,Condensed HC,20.668279033391052,21.936876353202067,1.0613789526337198,0.08593984520188101,0.19217518399034753,0.360738399981881,Upregulated
Feature0547,NA,C8 H15 N O4,189.10013,NA,Feature0547,8,15,4,0,0,1,0,0,0,1.875,0.5,-0.5,74.55,2,-2,-1,-0.2,-3,Protein,24.1166319092693,27.916307519591033,1.1575541570073604,0.21107969259409715,0.044452906220178376,0.23638722847797947,Upregulated
Feature0546,NA,C19 H22 Cl2 N6 O,420.12438,NA,Feature0546,20,22,1,0,0,6,2,0,0,1.1,0.05,-0.09999999999999964,63.149999999999984,13,12,0.46153846153846156,0.48148148148148145,6,Unsaturated HC,26.917221229625266,24.279840715576235,0.9020188417091763,-0.1487705255347705,0.06702311552243072,0.2750948771443052,Downregulated
Feature0545,NA,NA,85.98542,NA,Feature0545,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,26.809583341396184,26.682215351495465,0.9952491619030851,-0.006870343460234627,0.3701015045951248,0.5273467034386493,Downregulated
Feature0544,NA,C14 H10 F N O2,221.08991,Metabolic pathways;ABC transporters;Other,Feature0544,14,10,2,0,1,1,0,0,0,0.7142857142857143,0.14285714285714285,-0.2142857142857144,66.40714285714286,10.5,8.5,0.6818181818181818,0.7083333333333334,7.5,Condensed HC,22.404072748552732,24.245122136538733,1.0821747638765782,0.11393350343298084,0.027357282115042136,0.22749380705371272,Upregulated
Feature0543,NA,C5 H14 N O6 P,215.05586,Metabolic pathways;Other,Feature0543,5,14,6,0,0,1,0,1,0,2.8,1.2,-0.7999999999999998,83.1,0,-6,2.6666666666666665,-Inf,-8,Other,23.636931117640433,24.012483737294666,1.0158883832162948,0.02274190031261441,0.5715821043780644,0.7073906390385677,Upregulated
Feature0542,NA,C23 H38 O5,376.259,NA,Feature0542,23,38,5,0,0,0,0,0,0,1.6521739130434783,0.21739130434782608,-1.2173913043478262,94.99565217391304,5,0,0,0.12195121951219512,0,Lipid,22.52841448512195,22.302650141536468,0.9899786847523344,-0.014530632051836856,0.9045655770056238,0.9476401282916059,Downregulated
Feature0541,NA,C14 H10 F N O2,243.07186,NA,Feature0541,14,10,2,0,1,1,0,0,0,0.7142857142857143,0.14285714285714285,-0.2142857142857144,66.40714285714286,10.5,8.5,0.6818181818181818,0.7083333333333334,7.5,Condensed HC,20.3532617063316,21.3543294114478,1.04918463288883,0.0692685821232394,0.21232330549652995,0.37670263878416604,Upregulated
Feature0540,NA,NA,103.99596,NA,Feature0540,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,26.935482778727884,26.8590441275361,0.9971621577448706,-0.004099961225351194,0.4550787560331573,0.6086779017840006,Downregulated
Feature0539,NA,C4 H2 O8 S2,241.91814,NA,Feature0539,4,2,8,0,0,0,0,0,2,0.5,2,4.5,-67.95,4,-4,1,1,-6,Other,26.617589163129285,26.278205680552166,0.9872496535844338,-0.018513138428233322,0.09256357680235704,0.2930805150956689,Downregulated
Feature0538,NA,C10 H19 N O8,281.11106,NA,Feature0538,10,19,8,0,0,1,0,0,0,1.9,0.8,0,60.3,2,-6,-7,-0.6,-7,Carbohydrate,24.832518976726483,24.854977273694566,1.0009043906093107,0.0013041701962921708,0.9525099609560337,0.9719489397510548,Upregulated
Feature0537,NA,C12 H12 N2 O S,232.07112,NA,Feature0537,12,12,1,0,0,2,0,0,1,1,0.08333333333333333,-0.16666666666666696,65.05000000000001,8,7,0.5,0.5294117647058824,4,Unsaturated HC,25.906449265539084,26.0874483026946,1.0069866400949157,0.010044542930924797,0.41229442448352277,0.5683256477843046,Upregulated
Feature0536,NA,C11 H20 N4 O3,256.15356,NA,Feature0536,11,20,3,0,0,4,0,0,0,1.8181818181818181,0.2727272727272727,-0.18181818181818166,65.48181818181817,4,1,-0.75,-0.2727272727272727,-3,Lipid,18.651753822831065,28.6775566746347,1.5375260121400136,0.6206108184310317,6.831839668490151e-6,0.0012525039392231943,Upregulated
Feature0535,NA,C23 H40 N2 O3,370.31962,NA,Feature0535,23,40,3,0,0,2,0,0,0,1.7391304347826086,0.13043478260869565,-1.2173913043478262,94.99565217391304,5,2,0,0.07692307692307693,0,Lipid,26.269759983601634,26.016139157263765,0.9903455217521521,-0.013996139846200397,0.18953357944479168,0.360738399981881,Downregulated
Feature0534,NA,C19 H20 N4 O2,336.16458,NA,Feature0534,19,20,2,0,0,4,0,0,0,1.0526315789473684,0.10526315789473684,-0.21052631578947345,66.29999999999998,12,10,0.46153846153846156,0.5,6,Unsaturated HC,25.34619844761515,24.9410168268946,0.9840141068271847,-0.023249096697095857,0.008636984845001474,0.14844817702346283,Downregulated
Feature0533,NA,C2 H3 P S,89.96937,NA,Feature0533,2,3,0,0,0,0,0,1,1,1.5,0,-3,145.8,2,2,NA,NA,0,Lipid,25.876111490020467,25.8989896996206,1.0008841440341203,0.0012749866605513487,0.8993573777069643,0.9439819804176153,Upregulated
Feature0532,NA,C11 H22 N2 O3,230.16304,NA,Feature0532,11,22,3,0,0,2,0,0,0,2,0.2727272727272727,-0.9090909090909092,86.2090909090909,2,-1,-0.5,-0.2,-3,Lipid,25.30716392665555,25.559604792239433,1.0099750752915457,0.014319689811739686,0.48806470855595696,0.6345995028505351,Upregulated
Feature0531,NA,C16 H29 N O13,443.16395,NA,Feature0531,16,29,13,0,0,1,0,0,0,1.8125,0.8125,0,60.3,3,-10,-5.5,-0.5294117647058824,-11,Carbohydrate,24.589452929410584,24.2560026565079,0.9864392968050193,-0.019697821326189736,0.8219035414950534,0.8933734146685363,Downregulated
Feature0530,NA,NA,101.96297,NA,Feature0530,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,25.82927533642505,25.6433217630947,0.9928006662630557,-0.010424011234076724,0.5944849591031098,0.7233777157228106,Downregulated
Feature0529,NA,C18 H25 N5 O10,471.15896,NA,Feature0529,18,25,10,0,0,5,0,0,0,1.3888888888888888,0.5555555555555556,0.5555555555555554,44.46666666666667,9,-1,-2,-0.125,-6,Phenol,24.740591807671866,23.48512271154653,0.9492546861495842,-0.07513287892756114,0.16145853902960744,0.3402383006371038,Downregulated
Feature0528,NA,C14 H26 N6 O10,438.1713,Metabolic pathways;Biosynthesis of secondary metabolites;Other,Feature0528,14,26,10,0,0,6,0,0,0,1.8571428571428572,0.7142857142857143,0.8571428571428572,35.87142857142857,5,-5,5.5,-2,-11,Carbohydrate,22.51977951189675,22.479385608874168,0.9982062922507192,-0.0025900969082082825,0.9474730272456575,0.9704724539381226,Downregulated
Feature0527,NA,C18 H11 F3 N2,312.08214,NA,Feature0527,18,11,0,0,3,2,0,0,0,0.6111111111111112,0,-0.2777777777777777,68.21666666666667,14.5,14.5,0.78125,0.78125,12.5,Condensed HC,22.60336318212375,23.200124062118636,1.0264014197881333,0.03759507117534835,0.25578926360930504,0.41256332840210486,Upregulated
Feature0526,NA,C20 H32 N6 O3,404.25385,NA,Feature0526,20,32,3,0,0,6,0,0,0,1.6,0.15,-0.40000000000000036,71.7,8,5,-0.09090909090909091,0.04,-1,Lipid,20.1598079890952,19.026358729687765,0.9437767829921526,-0.0834824134253988,0.15633718700413923,0.3358806752042054,Downregulated
Feature0525,NA,C18 H23 N5,309.19516,NA,Feature0525,18,23,0,0,0,5,0,0,0,1.2777777777777777,0,-0.44444444444444464,72.96666666666667,10,10,0.38461538461538464,0.38461538461538464,5,Unsaturated HC,24.477764381573,20.041831018641034,0.8187770217172544,-0.2884574799707546,0.02738019431748609,0.22749380705371272,Downregulated
Feature0524,NA,C10 H7 Cl N4,218.04022,NA,Feature0524,11,7,0,0,0,4,1,0,0,0.6363636363636364,0,0.4545454545454546,47.345454545454544,10.5,10.5,0.9285714285714286,0.9285714285714286,6.5,Condensed HC,23.826065604234532,22.186894509341133,0.9312026113702099,-0.10283299088776214,0.09558134402544274,0.2930805150956689,Downregulated
Feature0523,NA,C9 H9 N O4,179.07955,Metabolic pathways;Biosynthesis of secondary metabolites;Other,Feature0523,9,9,4,0,0,1,0,0,0,1,0.4444444444444444,0.22222222222222232,53.96666666666666,6,2,0.25,0.5,1,Phenol,26.263376242933965,26.119812358586433,0.9945336851203144,-0.007907858536219116,0.5973446255164963,0.7252528565873575,Downregulated
Feature0522,NA,C19 H20 N4 O2,318.1539,NA,Feature0522,19,20,2,0,0,4,0,0,0,1.0526315789473684,0.10526315789473684,-0.21052631578947345,66.29999999999998,12,10,0.46153846153846156,0.5,6,Unsaturated HC,24.5008960958632,24.1680975624155,0.9864168831970235,-0.0197306022267269,0.07963698580213188,0.2930805150956689,Downregulated
Feature0521,NA,C11 H11 N3 O S,233.0664,NA,Feature0521,11,11,1,0,0,3,0,0,1,1,0.09090909090909091,0.18181818181818166,55.11818181818182,8,7,0.5,0.5384615384615384,3,Unsaturated HC,24.185014576105132,23.93046555653603,0.9894749280068412,-0.015264943146113447,0.11378292802115166,0.29641973169192376,Downregulated
Feature0520,NA,C9 H11 N O3,181.07154,NA,Feature0520,9,11,3,0,0,1,0,0,0,1.2222222222222223,0.3333333333333333,-0.22222222222222232,66.63333333333333,5,2,0.2,0.38461538461538464,1,Phenol,22.683303906924767,23.674445404733,1.0436947590119645,0.06169984021323878,0.1743694009075181,0.35129366483199614,Upregulated
Feature0519,NA,C22 H23 N3 O5,431.14036,NA,Feature0519,22,23,5,0,0,3,0,0,0,1.0454545454545454,0.22727272727272727,-0.18181818181818166,65.48181818181817,13,8,0.35714285714285715,0.45454545454545453,5,Phenol,24.11423198150765,20.7206639590584,0.8592711546836052,-0.21881462966140744,0.16031565411324608,0.33914554856614937,Downregulated
Feature0518,NA,C30 H30 N6 O9,618.20799,NA,Feature0518,30,30,9,0,0,6,0,0,0,1,0.3,0.20000000000000018,54.599999999999994,19,10,0.26666666666666666,0.4358974358974359,4,Phenol,22.261681674736217,26.6705735141645,1.1980484629978219,0.2606862686546374,0.002914314218679364,0.076327277155888107,Upregulated
Feature0517,NA,C11 H21 N O8 S,327.09887,Other,Feature0517,11,21,8,0,0,1,0,0,1,1.9090909090909092,0.7272727272727273,0,60.3,2,-6,-8,-0.8,-8,Carbohydrate,24.549795689685666,24.304889538164968,0.9900241063259198,-0.014464440752241013,0.6545300553007671,0.7692126718278246,Downregulated
Feature0516,NA,C35 H63 N O3,545.48105,NA,Feature0516,35,63,3,0,0,1,0,0,0,1.8,0.08571428571428572,-1.5428571428571427,104.27142857142857,5,2,0.03225806451612903,0.07692307692307693,1,Lipid,23.483956328283718,25.0799826148873,1.0679624107749406,0.09486086917627244,0.3522818299129292,0.5098815959266081,Upregulated
Feature0515,NA,C12 H15 N3 S,233.10278,NA,Feature0515,12,15,0,0,0,3,0,0,1,1.25,0,-0.33333333333333304,69.79999999999998,7,7,0.375,0.375,3,Unsaturated HC,19.296317039374465,19.775295938890068,1.0248222963241242,0.03537376881554476,0.16962950598689047,0.3458486490561794,Upregulated
Feature0514,NA,C35 H63 N O3,545.48106,NA,Feature0514,35,63,3,0,0,1,0,0,0,1.8,0.08571428571428572,-1.5428571428571427,104.27142857142857,5,2,0.03225806451612903,0.07692307692307693,1,Lipid,21.9906756615216,25.1152319572333,1.142085506775898,0.19167066784918738,0.09599455620365424,0.2930805150956689,Upregulated
Feature0513,NA,NA,257.89211,NA,Feature0513,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,25.15972424408652,24.298098192652,0.9657537561590313,-0.05027271126632567,0.013165825006825891,0.16997706979626423,Downregulated
Feature0512,NA,C18 H34 N2 O12,470.2113,NA,Feature0512,18,34,12,0,0,2,0,0,0,1.8888888888888888,0.6666666666666666,-0.22222222222222232,66.63333333333333,3,-9,-2.75,-0.5,-11,Amino Sugar,24.87022299487265,23.482024575918,0.9441823091316534,-0.08286264304812015,0.16781049586149444,0.3458486490561794,Downregulated
Feature0511,NA,C3 H2 N4 O18 S2,445.88051,NA,Feature0511,3,2,18,0,0,4,0,0,2,0.6666666666666666,6,16.666666666666664,-414.69999999999993,5,-13,0.9047619047619048,0.8333333333333334,-19,Other,25.194781920674,24.992116748701367,0.9919560656404677,-0.011651870733132454,0.23274880913392232,0.39123209392020647,Downregulated
Feature0510,NA,C18 H19 F3 N2,283.12969,NA,Feature0510,18,19,0,0,3,2,0,0,0,1.0555555555555556,0,-0.7222222222222223,80.88333333333333,10.5,10.5,0.53125,0.53125,8.5,Unsaturated HC,22.698706206932833,26.842966659053467,1.182576945766841,0.24193405727687817,0.038655631988648555,0.23566170716169427,Upregulated
Feature0509,NA,C6 H5 O13 P3,377.89309,NA,Feature0509,6,5,13,0,0,0,0,3,0,0.8333333333333334,2.1666666666666665,1,31.799999999999997,6,-7,1,1,-10,Other,24.88142867734812,24.583015031444667,0.9880065710947248,-0.017407457880802894,0.11159021443054334,0.29384480584282296,Downregulated
Feature0508,NA,C16 H28 N2 O13,456.15919,NA,Feature0508,16,28,13,0,0,2,0,0,0,1.75,0.8125,0.25,53.175,4,-9,-11,-0.6,-11,Carbohydrate,24.063957794192284,23.4035364186817,0.9725555795451913,-0.040147395386996396,0.7236602934771252,0.8294407596838761,Downregulated
Feature0507,NA,C10 H17 N7 O8,363.11421,NA,Feature0507,10,17,8,0,0,7,0,0,0,1.7,0.8,2,3.299999999999997,6,-2,1.8,5,-9,Carbohydrate,24.99026642699375,23.859855364397234,0.9547659459374359,-0.0667809847971,0.04730855658999778,0.23871290022475947,Downregulated
Feature0506,NA,C22 H39 N O17,589.22211,NA,Feature0506,22,39,17,0,0,1,0,0,0,1.7727272727272727,0.7727272727272727,-0.09090909090909083,62.890909090909084,4,-13,-3.5,-0.44,-14,Carbohydrate,24.847254981994183,23.648304783449568,0.9517471769250387,-0.07134970941927553,0.40805929823090625,0.5653214459118349,Downregulated
Feature0505,NA,C18 H15 N3 O,289.11625,NA,Feature0505,18,15,1,0,0,3,0,0,0,0.8333333333333334,0.05555555555555555,-0.22222222222222232,66.63333333333333,13,12,0.6428571428571429,0.6551724137931034,9,Unsaturated HC,23.838865021256716,24.344404608680566,1.0212065292107266,0.030274666937010693,0.45418807316088217,0.6086779017840006,Upregulated
Feature0504,NA,C12 H23 N O4,245.16269,NA,Feature0504,12,23,4,0,0,1,0,0,0,1.9166666666666667,0.3333333333333333,-1,88.8,2,-2,-0.42857142857142855,-0.1111111111111111,-3,Protein,21.998097356610582,25.024895168586035,1.13759361834381,0.18598527688293887,0.010973044136535038,0.16398390887180161,Upregulated
Feature0503,NA,NA,100.00105,NA,Feature0503,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,24.485839723974316,24.2901289545314,0.9920071857183933,-0.01157752390954188,0.1876144839116942,0.360738399981881,Downregulated
Feature0502,NA,C39 H74 N2 O6,666.55504,NA,Feature0502,39,74,6,0,0,2,0,0,0,1.8974358974358974,0.15384615384615385,-1.4358974358974361,101.22307692307692,4,-2,-0.12903225806451613,-0.029411764705882353,-4,Lipid,22.74365846976065,20.1334584450325,0.8852339421030877,-0.17586932611964246,0.042584531982777014,0.23566170716169427,Downregulated
Feature0501,NA,C10 H10 N2 O2,190.06944,NA,Feature0501,10,10,2,0,0,2,0,0,0,1,0.2,0,60.3,7,5,0.5,0.5714285714285714,3,Phenol,23.122512877859467,22.572292554881066,0.9762041294609786,-0.0347452403691697,0.11900522273255107,0.29855731306609323,Downregulated
